T,CAI,P,P2,Q,Q2,Q3,V,W
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,2.4999999e-05
4.0,1.6181169e-09,3.3461429e-06,0.11702015,3.6617922e-07,4.818563e-08,4.8509583e-09,-62.032234,3.7129305e-06
8.0,5.8494942e-09,4.6452556e-06,0.11916541,9.8518581e-07,1.3725517e-07,1.392322e-08,-61.320042,4.6925616e-06
12.0,1.0560042e-08,4.7382932e-06,0.11920711,1.5397669e-06,2.2831198e-07,2.335743e-08,-61.295654,4.7407602e-06
16.0,1.5289691e-08,4.7421886e-06,0.11921032,2.0132563e-06,3.1769144e-07,3.2785529e-08,-61.294895,4.7422868e-06
20.0,2.0011059e-08,4.7423964e-06,0.11921281,2.4167737e-06,4.0530605e-07,4.2195296e-08,-61.294792,4.7424069e-06
24.0,2.4723111e-08,4.7424837e-06,0.11921528,2.7606416e-06,4.9118751e-07,5.1586436e-08,-61.294701,4.7424919e-06
28.0,2.9425829e-08,4.7425683e-06,0.11921775,3.0536787e-06,5.7537011e-07,6.0958982e-08,-61.294613,4.7425765e-06
32.0,3.4119232e-08,4.7426543e-06,0.11922022,3.3034012e-06,6.5788743e-07,7.0312971e-08,-61.294521,4.742662e-06
36.0,3.8803343e-08,4.7427407e-06,0.11922268,3.5162134e-06,7.3877248e-07,7.9648444e-08,-61.29443,4.7427488e-06
40.0,4.3478181e-08,4.7428275e-06,0.11922514,3.697573e-06,8.1805769e-07,8.8965443e-08,-61.294338,4.7428362e-06
44.0,4.8143761e-08,4.7429157e-06,0.11922759,3.8521302e-06,8.9577463e-07,9.8263996e-08,-61.294247,4.7429244e-06
48.0,5.2800107e-08,4.7430049e-06,0.11923003,3.9838483e-06,9.7195448e-07,1.0754415e-07,-61.294151,4.7430131e-06
52.0,5.7447235e-08,4.7430945e-06,0.11923248,4.0961045e-06,1.0466276e-06,1.1680594e-07,-61.294056,4.7431026e-06
56.0,6.2085164e-08,4.7431849e-06,0.11923491,4.191776e-06,1.1198239e-06,1.260494e-07,-61.293961,4.7431931e-06
60.0,6.6713916e-08,4.7432759e-06,0.11923734,4.2733154e-06,1.1915726e-06,1.3527459e-07,-61.293865,4.7432845e-06
64.0,7.133351e-08,4.7433678e-06,0.11923977,4.3428126e-06,1.2619024e-06,1.4448152e-07,-61.293766,4.7433764e-06
68.0,7.5943966e-08,4.7434605e-06,0.11924219,4.4020476e-06,1.3308414e-06,1.5367023e-07,-61.293671,4.7434692e-06
72.0,8.0545291e-08,4.7435537e-06,0.11924461,4.4525382e-06,1.3984172e-06,1.6284078e-07,-61.293571,4.7435624e-06
76.0,8.5137522e-08,4.7436474e-06,0.11924702,4.4955773e-06,1.4646567e-06,1.7199319e-07,-61.293472,4.7436565e-06
80.0,8.9720665e-08,4.743742e-06,0.11924943,4.5322668e-06,1.5295865e-06,1.811275e-07,-61.293373,4.7437511e-06
