Time,M_Tumor_Cells,N_CTL,Z_THL,r_1,k_1,alpha_1,d_1,alpha_2,r_2,k_2,mu_1,mu_2,compartment,Tumor_Growth,Tumor_Killing_T_Cells,CTL_Recruitment,CTL_Death,CTL_Decay,THL_Growth,THL_Decay_IL_2,Tumor_Killing_ACI
0.0,2750000.0,200000.0,7200000.0,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,222749.99999999997,60555.0,0.0,8240.0,188.21,49392.00000000001,0.0,137500.0
0.6,2764871.405033767,195006.172445296,7229539.138501903,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,222474.35299663575,59362.285598899,0.0,8034.254304746195,184.5029439776861,49071.43031322608,0.0,138243.57025168836
1.2,2779833.0417186674,190136.4540035459,7258885.2885012925,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,222180.96487544922,58193.090459898056,0.0,7833.621904946091,180.8689877872581,48748.72127081147,0.0,138991.65208593337
1.8,2794858.2425491414,185387.77201413419,7288037.195611913,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,221870.11020482992,57046.392949235786,0.0,7637.976206982328,177.30495610561752,48423.97018916612,0.0,139742.91212745706
2.4,2809921.88906694,180757.13061082741,7316993.663680832,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,221542.14321637843,55921.26731170336,0.0,7447.193781166089,173.80797160821885,48097.27388803405,0.0,140496.094453347
3.0,2825000.3520921906,176241.6085406194,7345753.554485725,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,221197.49176103825,54816.87494047788,0.0,7261.154271873519,170.3754278349821,47768.728640963076,0.0,141250.01760460954
3.6,2840071.451210386,171838.35750929225,7374315.7873906,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,220836.65069057987,53732.45679369123,0.0,7079.740329382841,167.0049656203555,47438.43012728201,0.0,142003.5725605193
4.2,2855114.3968116706,167544.60003243084,7402679.3389836205,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,220460.17554637502,52667.32586263717,0.0,6902.8375213361505,163.69444968387322,47106.473385352016,0.0,142755.71984058354
4.8,2870109.7461030367,163357.6276769176,7430843.2426705435,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,220068.67593022363,51620.86055446673,0.0,6730.334260289005,160.44194806302013,46772.95276742924,0.0,143505.48730515185
5.4,2885039.3549703243,159274.7992318068,7458806.588245094,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,219662.80902446533,50592.49845066746,0.0,6562.12172835044,157.24571271406361,46437.96189592618,0.0,144251.9677485162
