M_Tumor_Cells_1_task1,N_CTL_2_task1,Z_THL_3_task1,_1_task1
2750000.0,200000.0,7200000.0,0.0
2764871.405033767,195006.172445296,7229539.138501903,0.6
2779833.0417186674,190136.4540035459,7258885.2885012925,1.2
2794858.2425491414,185387.77201413419,7288037.195611913,1.8
2809921.88906694,180757.13061082741,7316993.663680832,2.4
2825000.3520921906,176241.6085406194,7345753.554485725,3.0
2840071.451210386,171838.35750929225,7374315.7873906,3.6
2855114.3968116706,167544.60003243084,7402679.3389836205,4.2
2870109.7461030367,163357.6276769176,7430843.2426705435,4.8
2885039.3549703243,159274.7992318068,7458806.588245094,5.4
2899886.3321927516,155293.53893465796,7486568.521457637,6.0
2914634.9962660726,151411.33484290878,7514128.243510086,6.6
2929270.8355030646,147625.737576118,7541485.010369883,7.2
2943780.459811278,143934.35834121026,7568638.132430088,7.8
2958151.550559038,140334.86681557982,7595586.974237623,8.4
2972372.8185952487,136824.98967679066,7622330.953910547,9.0
2986433.959104021,133402.50888200186,7648869.542675679,9.6
3000325.631749485,130065.26219311317,7675202.263342521,10.2
3014039.440458615,126811.14366976643,7701328.688792425,10.8
3027567.824768211,123638.09630941469,7727248.4441873105,11.4
3040904.0433291304,120544.1128707773,7752961.205302303,12.0
3054042.1312464452,117527.2343739761,7778466.697958818,12.6
3066976.871900579,114585.54999884356,7803764.696807123,13.2
3079703.8204222284,111717.20194902863,7828855.02179642,13.8
3092219.1653175578,108920.37475648918,7853737.541890753,14.4
3104519.7121909587,106193.29632397719,7878412.173318745,15.0
3116602.849361693,103534.23722687077,7902878.878633928,15.6
3128466.512116366,100941.50970485999,7927137.665929085,16.2
3140109.2353639943,98413.47226026311,7951188.585594393,16.8
3151530.0230262307,95948.52263340053,7975031.732167427,17.4
3162728.3022748115,93545.09615911143,7998667.243825746,18.0
3173703.9065014115,91201.66594552553,8022095.30108119,18.6
3184457.037215194,88916.74170985102,8045316.126063003,19.2
3194988.343658812,86688.87249870025,8068329.980369867,19.8
3205298.8499600324,84516.64437731309,8091137.1647754265,20.4
3215389.81385489,82398.67586074014,8113738.019765708,21.0
3225262.754355175,80333.61891994326,8136132.924022682,21.6
3234919.4181229235,78320.15796531615,8158322.293652963,22.2
3244361.825237495,76357.01059735549,8180306.580944826,22.8
3253592.3427530234,74442.92897590085,8202086.272960109,23.4
3262613.41700766,72576.69359374185,8223661.892153544,24.0
3271427.6397239664,70757.11447987604,8245033.995008968,24.6
3280037.724759052,68983.03041397463,8266203.171206376,25.2
3288446.5121798078,67253.308613873,8287170.042738539,25.8
3296657.1178527577,65566.84704411663,8307935.262674533,26.4
3304672.6855750186,63922.56956535137,8328499.514887689,27.0
3312496.413394828,62319.42602250337,8348863.513118234,27.6
3320131.552705389,60756.39184254318,8369028.000101998,28.2
3327581.424586029,59232.46788919637,8388993.74680029,28.8
3334849.4805472074,57746.68105285944,8408761.551694084,29.4
3341939.1458412632,56298.0812404052,8428332.239763362,30.0
3348853.8508068873,54885.74147830704,8447706.661738731,30.6
3355597.019008008,53508.75730039795,8466885.693290466,31.2
3362172.1245210813,52166.24723497774,8485870.234430054,31.8
3368582.7151891612,50857.35274950258,8504661.208810464,32.4
3374832.2637463883,49581.23545189251,8523259.562514244,33.0
3380924.2172566624,48337.077452548256,8541666.263431715,33.6
3386861.9870581604,47124.080779186974,8559882.300464364,34.2
3392649.015205758,45941.46816675639,8577908.683295123,34.8
3398288.7334951796,44788.48191811242,8595746.441366244,35.4
3403784.501904949,43664.38239504024,8613396.622705292,36.0
3409139.6336188014,42568.44806426319,8630860.29338989,36.6
3414357.390726875,41499.97503308832,8648138.53681675,37.2
3419441.0413840753,40458.27800148361,8665232.453820677,37.8
3424393.798219864,39442.6884773019,8682143.16115125,38.4
3429218.803918764,38452.55407867021,8698871.790601866,39.0
3433919.1411999892,37487.2383987169,8715419.488476247,39.6
3438497.836204682,36546.12071763593,8731787.414999796,40.2
3442957.9122555936,35628.596871320944,8747976.744645556,40.8
3447302.31696912,34734.077212123004,8763988.664160622,41.4
3451533.930737454,33861.98643789598,8779824.372069994,42.0
