T,CAI,D,F,H,IAPP,IK,IK1,IKP,IKTOT,INA,ISI,J,M,V,X
0.0,0.00019999999,0.0,1.0,0.98000002,0.0,-0.0,1.8143003,4.725597e-08,1.8143003,-0.0,-0.0,0.99000001,0.0,-81.0,0.0
2.0,0.00018834174,0.0007750644,0.99999887,0.9769392,0.0,-5.8604397e-05,1.504763,2.8101391e-08,1.5047045,-3.7813094e-05,-0.014091835,0.98916668,0.0023159066,-82.566467,6.0957609e-05
4.0,0.00018044896,0.001326881,0.99999797,0.97696692,0.0,-0.00013475218,1.2947615,1.9884896e-08,1.2946267,-2.4003133e-05,-0.024301868,0.98879403,0.0019861157,-83.492538,0.00011599898
6.0,0.00017521606,0.0017256881,0.99999726,0.97823292,0.0,-0.00021417154,1.1678199,1.607367e-08,1.1676056,-1.860983e-05,-0.031746339,0.98866653,0.0018215826,-84.012688,0.00016765411
8.0,0.00017186035,0.0020187031,0.99999666,0.97968721,0.0,-0.00029147326,1.09623,1.421826e-08,1.0959386,-1.6221487e-05,-0.037233751,0.98866272,0.0017380237,-84.294792,0.00021730982
10.0,0.00016982794,0.0022373358,0.99999607,0.98090875,0.0,-0.00036542141,1.0576905,1.329543e-08,1.0573251,-1.5095039e-05,-0.041327436,0.98871672,0.0016954828,-84.443565,0.00026571675
12.0,0.00016872482,0.0024026157,0.99999547,0.98180699,0.0,-0.00043630242,1.0377376,1.2837027e-08,1.0373013,-1.455319e-05,-0.044415254,0.98879403,0.0016740874,-84.519783,0.00031327846
14.0,0.00016826877,0.0025288705,0.99999493,0.98242038,0.0,-0.00050477067,1.0278598,1.2614796e-08,1.0273551,-1.4296624e-05,-0.046765767,0.98887712,0.0016636483,-84.557304,0.00036021078
16.0,0.00016825655,0.0026260836,0.99999446,0.9828195,0.0,-0.00057143514,1.0232941,1.2513108e-08,1.0227227,-1.4182105e-05,-0.048567794,0.98895752,0.0016588559,-84.574608,0.00040662871
18.0,0.00016854129,0.0027013773,0.99999398,0.98306996,0.0,-0.00063675572,1.0214514,1.2472251e-08,1.0208147,-1.4138051e-05,-0.04995662,0.98903161,0.0016569267,-84.581581,0.00045259341
20.0,0.0001690169,0.0027599439,0.9999935,0.98322207,8.0,-0.00070104789,1.0209531,1.246122e-08,1.0202521,-1.4128014e-05,-0.051031023,0.98909819,0.0016564043,-84.583466,0.00049813738
22.0,0.00016982062,0.0032983378,0.99999076,0.97174042,8.0,0.00055277592,2.6162941,5.66572e-07,2.6168475,-0.007422321,-0.057045728,0.98637056,0.013884976,-71.37262,0.00058034918
24.0,0.00017343397,0.0051313112,0.99996471,0.93304205,8.0,0.0017577653,2.0363345,7.6508641e-06,2.0380998,-1.362323,-0.082962103,0.9713192,0.083189249,-59.12394,0.00077694014
26.0,0.00019633297,0.063055702,0.99775082,0.00054998434,0.0,0.023157652,4.0241696e-10,2.3057933,2.3289509,-0.13795379,-0.45371369,0.6983431,0.99991608,38.779465,0.0054212539
28.0,0.00034939227,0.17418611,0.99411345,8.4005317e-11,0.0,0.059827168,9.0475041e-09,2.0754893,2.1353164,-1.8974681e-08,-1.287931,0.38325617,0.99976337,28.757576,0.014067445
30.0,0.00062637788,0.27130321,0.98980618,1.8163005e-17,0.0,0.088314101,8.9618609e-08,1.8203702,1.9086844,-2.9021085e-15,-1.9923023,0.21058384,0.99948496,21.359674,0.020863442
32.0,0.00098548841,0.35341954,0.9849509,6.1904479e-24,0.0,0.11196146,4.4129155e-07,1.5454801,1.6574421,-6.286065800000001e-22,-2.5590074,0.11590959,0.99910784,16.207989,0.026562795
34.0,0.0013912335,0.42249167,0.97969806,3.3345235e-30,0.0,0.13279878,1.2390082e-06,1.310775,1.443575,-2.0283405e-28,-2.9999108,0.063923344,0.99872065,12.867537,0.031610627
36.0,0.0018159739,0.48131049,0.97419274,2.5937469999999998e-36,0.0,0.15206718,2.3006296e-06,1.1520727,1.3041421,-9.1279507e-35,-3.3364427,0.035313211,0.99840862,10.86329,0.03627751
38.0,0.0022399977,0.53228474,0.9685514,2.5755866000000002e-42,0.0,0.1705032,3.2190594e-06,1.0624835,1.23299,-5.1356187e-41,-3.5920713,0.019531464,0.99820673,9.7748613,0.040727969
40.0,0.0026502765,0.57716036,0.96285707,0.0,0.0,0.18853433,3.7439881e-06,1.0218012,1.2103393,-0.0,-3.786902,0.01081003,0.99810672,9.2852411,0.045061987
42.0,0.0030387994,0.61712825,0.95716435,0.0,0.0,0.20640522,3.876648e-06,1.012408,1.2188171,-0.0,-3.9364505,0.0059845964,0.99808174,9.1723719,0.049340233
44.0,0.003401106,0.65299553,0.95150673,0.0,0.0,0.224252,3.7439213e-06,1.021806,1.2460618,-0.0,-4.0522375,0.003313133,0.9981041,9.2852993,0.053598937
46.0,0.0037351635,0.68532377,0.94590318,0.0,0.0,0.24214546,3.4790091e-06,1.0415871,1.2837361,-0.0,-4.1427135,0.0018338718,0.99815172,9.5231676,0.057858791
48.0,0.0040405565,0.71452308,0.94036281,0.0,0.0,0.26011658,3.1747188e-06,1.0662106,1.3263304,-0.0,-4.2140636,0.0010148247,0.99820977,9.8198128,0.062130477
50.0,0.0043179123,0.7409116,0.93488866,0.0,0.0,0.27817214,2.8823861e-06,1.0921149,1.3702899,-0.0,-4.2708206,0.00056142808,0.99826926,10.132863,0.066418238
52.0,0.0045685037,0.76475161,0.92947996,0.0,0.0,0.29630437,2.6248888e-06,1.1171,1.4134071,-0.0,-4.316318,0.00031051374,0.99832499,10.436091,0.070722245
54.0,0.0047939718,0.78627026,0.92413384,0.0,0.0,0.31449726,2.4090682e-06,1.1398911,1.4543908,-0.0,-4.3530221,0.00017169637,0.99837458,10.714077,0.075040184
56.0,0.0049961414,0.8056711,0.91884619,0.0,0.0,0.33273059,2.2339898e-06,1.1598258,1.4925586,-0.0,-4.3827672,9.4917967e-05,0.99841696,10.958514,0.079368293
58.0,0.0051768944,0.8231402,0.91361254,0.0,0.0,0.35098225,2.0955877e-06,1.1766347,1.527619,-0.0,-4.4069304,5.2463511e-05,0.99845207,11.165692,0.083702132
60.0,0.0053380914,0.83884943,0.90842831,0.0,0.0,0.36923009,1.9889937e-06,1.1902895,1.5595217,-0.0,-4.4265542,2.8993609e-05,0.99848014,11.334796,0.088036969
62.0,0.0054815193,0.85295808,0.90328914,0.0,0.0,0.38745275,1.9095794e-06,1.2009034,1.588358,-0.0,-4.4424357,1.6021268e-05,0.99850172,11.466774,0.092368126
64.0,0.0056088627,0.86561352,0.8981908,0.0,0.0,0.40563035,1.853342e-06,1.2086645,1.6142968,-0.0,-4.4551911,8.852252e-06,0.99851739,11.563594,0.096691124
66.0,0.0057216878,0.87695199,0.89312953,0.0,0.0,0.42374462,1.8169873e-06,1.2137958,1.6375422,-0.0,-4.465301,4.8908501e-06,0.99852771,11.627758,0.10100182
68.0,0.0058214357,0.88709903,0.88810194,0.0,0.0,0.44177911,1.7978801e-06,1.21653,1.6583109,-0.0,-4.4731474,2.7020851e-06,0.99853325,11.661997,0.10529641
70.0,0.0059094219,0.8961696,0.88310492,0.0,0.0,0.45971927,1.793955e-06,1.2170948,1.6768159,-0.0,-4.4790339,1.4928187e-06,0.99853444,11.669075,0.10957152
72.0,0.0059868428,0.9042691,0.87813574,0.0,0.0,0.47755221,1.8036184e-06,1.2157061,1.6932601,-0.0,-4.4832082,8.2473952e-07,0.99853182,11.651676,0.11382411
74.0,0.0060547786,0.91149336,0.87319195,0.0,0.0,0.49526674,1.8256616e-06,1.2125632,1.7078317,-0.0,-4.4858713,4.5565466e-07,0.99852568,11.612332,0.11805154
76.0,0.0061142035,0.91792977,0.86827153,0.0,0.0,0.51285321,1.8591879e-06,1.207848,1.720703,-0.0,-4.4871912,2.5175078e-07,0.99851638,11.553393,0.1222515
