T,X,Y,Z
0.0,0.1,1.5,0.1
0.60000002,0.30029622,1.2414118,0.10965668
1.2,0.30175501,1.1795659,0.11923005
1.8,0.30028164,1.1206661,0.12835172
2.4000001,0.29658225,1.0647789,0.13691716
3.0,0.2912336,1.0119069,0.14485551
3.5999999,0.28469136,0.96201897,0.15212116
4.1999998,0.27730986,0.91506457,0.1586875
4.8000002,0.2693626,0.87097985,0.16454251
5.4000001,0.2610606,0.82969099,0.16968538
6.0,0.25256687,0.7911163,0.17412421
6.5999999,0.24400763,0.75516766,0.17787425
7.1999998,0.23548089,0.72175169,0.18095645
7.8000002,0.22706273,0.69077075,0.18339653
8.3999996,0.21881209,0.66212434,0.18522392
9.0,0.21077439,0.63570976,0.1864711
9.6000004,0.20298412,0.61142331,0.18717286
10.2,0.19546704,0.58916104,0.18736564
10.8,0.18824163,0.56881958,0.18708698
11.4,0.18132044,0.55029684,0.18637502
12.0,0.17471103,0.53349286,0.1852679
12.6,0.16841674,0.51831013,0.18380336
13.2,0.16243739,0.50465429,0.18201835
13.8,0.15676975,0.49243441,0.17994867
14.4,0.15140808,0.48156357,0.17762865
15.0,0.14634441,0.47195902,0.17509092
15.6,0.14156902,0.46354252,0.17236625
16.200001,0.13707061,0.45624053,0.16948335
16.799999,0.13283661,0.44998428,0.16646887
17.4,0.12885347,0.44471005,0.16334729
18.0,0.1251068,0.44035906,0.1601409
18.6,0.12158158,0.43687755,0.15686987
19.200001,0.1182624,0.4342168,0.15355232
19.799999,0.11513349,0.43233305,0.15020432
20.4,0.11217897,0.43118748,0.14684004
21.0,0.10938289,0.43074605,0.14347184
21.6,0.10672933,0.43097949,0.14011036
22.200001,0.10420246,0.43186325,0.13676466
22.799999,0.10178659,0.4333773,0.13344231
23.4,0.09946616,0.43550622,0.13014953
24.0,0.097225718,0.43823907,0.12689127
24.6,0.09504988,0.44156957,0.12367132
25.200001,0.092923261,0.44549593,0.12049241
25.799999,0.090830341,0.45002121,0.11735632
26.4,0.088755339,0.45515344,0.11426388
27.0,0.086682051,0.46090576,0.11121513
27.6,0.084593639,0.46729702,0.10820935
28.200001,0.082472414,0.47435197,0.10524508
