IIa_1_task1,_1_task1
0.0,0.0
1.1852637546848464e-09,1.0
4.024720533877402e-08,2.0
3.010878994648403e-07,3.0
1.2424443605565391e-06,4.0
3.7153740760405145e-06,5.0
9.07198581048804e-06,6.0
1.9266258931975167e-05,7.0
3.694773026539914e-05,8.0
6.554897176508934e-05,9.0
0.00010936794378895699,10.0
0.0001736464823617256,11.0
0.00026464634771319184,12.0
0.00038972446877183194,13.0
0.0005574092216786924,14.0
0.0007774797506447586,15.0
0.0010610505743413516,16.0
0.0014206640591154427,17.0
0.0018703933251028957,18.0
0.0024259586427976708,19.0
0.003104860602327854,20.0
0.00392653370484616,21.0
0.004912523896398623,22.0
0.006086694947955911,23.0
0.007475468377182981,24.0
0.009108101623562065,25.0
0.011017011030464074,26.0
0.013238147751947777,27.0
0.01581142887485368,28.0
0.01878124183899477,29.0
0.022197023077993337,30.0
0.02611392708971501,31.0
0.030593597152301227,32.0
0.03570506126920198,33.0
0.041525757981297956,34.0
0.04814272837403693,35.0
0.05565398985146632,36.0
0.06417013382514261,37.0
0.07381617150707191,38.0
0.08473369486964812,39.0
0.09708337859721514,40.0
0.11104792745806359,41.0
0.12683551407177554,42.0
0.14468383847843688,43.0
0.164864929039251,44.0
0.1876908306114028,45.0
0.21352040204235007,46.0
0.24276741925035084,47.0
0.27591033411137555,48.0
0.31350413473701805,49.0
0.3561946512924619,50.0
0.4047360933893065,51.0
0.4600125523087221,52.0
0.5230646437932823,53.0
0.5951224620563192,54.0
0.6776468420388735,55.0
0.7723812498278648,56.0
0.8814174128002316,57.0
1.0072788969904196,58.0
1.1530282976725017,59.0
1.3224056763627237,60.0
1.5200085790764444,61.0
1.751527879523893,62.0
2.0240597610638846,63.0
2.3465208535186,64.0
2.7302054742095065,65.0
3.1895409642530286,66.0
3.7431179764245566,67.0
4.415107089950643,68.0
5.237218325597473,69.0
6.2514183465132716,70.0
7.513691529478959,71.0
9.099189308413099,72.0
11.109085894162499,73.0
13.679176502041122,74.0
16.98928714458114,75.0
21.270208039733216,76.0
26.800372674970355,77.0
33.87924419240394,78.0
42.76681400095645,79.0
53.60524377239444,80.0
66.38548275515956,81.0
81.01848438121311,82.0
97.46339470391243,83.0
115.78649156499146,84.0
136.11135403207274,85.0
158.53666822845003,86.0
183.0933361563976,87.0
209.74605046050337,88.0
238.41075944527245,89.0
268.9676189675201,90.0
301.26616947784964,91.0
335.1265055556504,92.0
370.33947089135967,93.0
406.6670214579993,94.0
443.8430384972412,95.0
