value_component_environment_variable_time,value_component_parameters_variable_v0,value_component_parameters_variable_v1,value_component_parameters_variable_v2,value_component_parameters_variable_v3,value_component_parameters_variable_beta,value_component_parameters_variable_VM2,value_component_parameters_variable_VM3,value_component_parameters_variable_KR,value_component_parameters_variable_KA,value_component_parameters_variable_kf,value_component_parameters_variable_k,value_component_parameters_variable_K2,value_component_parameters_variable_n,value_component_parameters_variable_m,value_component_parameters_variable_p,value_component_cytosol_variable_Z,value_component_insensitive_pool_variable_Y
0.0,1.0,7.3,13.835012594458439,8.912900822799571,0.6,65.0,500.0,2.0,0.9,1.0,10.0,1.0,2.0,2.0,4.0,0.52,0.93
0.1,1.0,7.3,6.270084971676839,2.4473408704693917,0.6,65.0,500.0,2.0,0.9,1.0,10.0,1.0,2.0,2.0,4.0,0.3267435527789499,1.2677998197790297
0.2,1.0,7.3,6.3809555363914106,3.139039736986232,0.6,65.0,500.0,2.0,0.9,1.0,10.0,1.0,2.0,2.0,4.0,0.32993127989568555,1.480188947183577
0.30000000000000004,1.0,7.3,8.669233093588044,6.804699357465394,0.6,65.0,500.0,2.0,0.9,1.0,10.0,1.0,2.0,2.0,4.0,0.392299277362555,1.6012220351138642
0.4,1.0,7.3,37.26545678651208,39.59254116307375,0.6,65.0,500.0,2.0,0.9,1.0,10.0,1.0,2.0,2.0,4.0,1.1591582106109477,0.6957825308126901
0.5,1.0,7.3,20.59459326960068,16.90057179970499,0.6,65.0,500.0,2.0,0.9,1.0,10.0,1.0,2.0,2.0,4.0,0.6810181451935906,0.7965384919438329
0.6000000000000001,1.0,7.3,7.52520027941454,3.1983662408139337,0.6,65.0,500.0,2.0,0.9,1.0,10.0,1.0,2.0,2.0,4.0,0.36184310226709887,1.1584473553784418
0.7000000000000001,1.0,7.3,6.0872313737053165,2.6513393760659576,0.6,65.0,500.0,2.0,0.9,1.0,10.0,1.0,2.0,2.0,4.0,0.3214438996941185,1.4073444555260661
0.8,1.0,7.3,7.419377646737092,4.711224315423297,0.6,65.0,500.0,2.0,0.9,1.0,10.0,1.0,2.0,2.0,4.0,0.35895959070773437,1.5716588319315545
0.9,1.0,7.3,19.54499614907442,35.4647825258188,0.6,65.0,500.0,2.0,0.9,1.0,10.0,1.0,2.0,2.0,4.0,0.6557328564250178,1.380297204631671
1.0,1.0,7.3,27.35741986682027,25.070162388748706,0.6,65.0,500.0,2.0,0.9,1.0,10.0,1.0,2.0,2.0,4.0,0.8525068476634211,0.7117935807852623
