T_1_task1,_1_task1
3.0,0.0
3.177802304714263,0.3
3.3660994306444647,0.6
3.565560881667111,0.8999999999999999
3.776841808736255,1.2
4.0006219752066565,1.5
4.237615345616555,1.7999999999999998
4.488574263180284,2.1
4.754292111785753,2.4
5.035605519676333,2.6999999999999997
5.333396401094997,3.0
5.648598380470494,3.3
5.982182208261889,3.5999999999999996
6.335182602911308,3.9
6.708682723322549,4.2
7.103822295704672,4.5
7.52179988371,4.8
7.963872821185115,5.1
8.431360423430794,5.3999999999999995
8.925648005104104,5.7
9.448188927902622,6.0
10.00050473749964,6.3
10.584187698403742,6.6
11.20090339109156,6.8999999999999995
11.852392363392786,7.199999999999999
12.540471620414817,7.5
13.267036224984361,7.8
14.034060710402716,8.1
14.843600347308287,8.4
15.6977918254358,8.7
16.59885330346116,9.0
17.54908446624208,9.299999999999999
18.550866037317718,9.6
19.60665890094584,9.9
20.719002508040134,10.2
21.890512564381844,10.5
23.123878054208934,10.799999999999999
24.421857426093,11.1
25.78727401489251,11.4
27.223010437608938,11.7
28.732001796968852,12.0
30.317227723670158,12.299999999999999
31.981701708173446,12.6
33.72846672855861,12.9
35.560571943885485,13.2
37.48108126399287,13.5
39.49302702495659,13.799999999999999
41.59943298006809,14.1
43.803254331474534,14.399999999999999
46.10739998615874,14.7
48.514670564298605,15.0
51.0277746794727,15.299999999999999
53.64927009639493,15.6
56.38157106024779,15.899999999999999
59.22689203662826,16.2
62.18724923353798,16.5
65.26440203885196,16.8
68.45985288180498,17.099999999999998
71.77479050131019,17.4
75.21008217577813,17.7
78.7662276030409,18.0
82.44333906442226,18.3
86.2411118812077,18.599999999999998
90.15879126467222,18.9
94.19516242529824,19.2
98.34850617634709,19.5
102.61660954383022,19.8
106.99671382592926,20.099999999999998
111.4855456220557,20.4
116.07926209669066,20.7
120.77350078540084,21.0
125.56332811247346,21.3
130.44330434249676,21.599999999999998
135.40744216873534,21.9
140.44928171124872,22.2
145.5618655783001,22.5
150.73781825945227,22.8
155.96934244965973,23.099999999999998
161.24829749421144,23.4
166.56621922176674,23.7
171.91439314206534,24.0
177.28389688572912,24.3
182.66566330880426,24.599999999999998
188.05054166052705,24.9
193.4293614646329,25.2
198.79300268297132,25.5
204.13243809397665,25.8
209.43881139731334,26.099999999999998
214.70347016603756,26.4
219.91804133257455,26.7
225.07450988815316,27.0
230.16518503143016,27.3
235.18276183493262,27.599999999999998
240.1205368572895,27.9
244.9722101197086,28.2
249.7317778444482,28.5
254.39415041583524,28.799999999999997
258.9546843821306,29.099999999999998
263.40880524126237,29.4
267.75310360600866,29.7
271.98461642901333,30.0
