_1_task1,s16_1_task1
0.0,0.01
5.0,0.010030644844007647
10.0,0.010080673931671074
15.0,0.010142211281003496
20.0,0.010220550807618462
25.0,0.010322968377271653
30.0,0.010458858856757697
35.0,0.010640834428651347
40.0,0.01088633589983203
45.0,0.011220077091018807
50.0,0.011677912894254806
55.0,0.01231332449518996
60.0,0.013208689239463396
65.0,0.014495908974176654
70.0,0.016396154314501428
75.0,0.019301537200927622
80.0,0.023955366756291153
85.0,0.0318822630681853
90.0,0.046526150758909895
95.0,0.07661623734799963
100.0,0.14754472821376868
105.0,0.34529817888449027
110.0,0.9946106782867709
115.0,3.0617473663469306
120.0,6.44501080248796
125.0,8.201823913935899
130.0,8.638015121369206
135.0,8.727949632531733
140.0,8.745803434897159
145.0,8.749305305883814
150.0,8.749835076129667
155.0,8.749962649821049
160.0,8.74999645928806
165.0,8.750000075542482
170.0,8.75000653324284
175.0,8.750006637727635
180.0,8.750003770324172
185.0,8.750002141582698
190.0,8.749998229563397
195.0,8.749997071992283
200.0,8.749989887001094
205.0,8.749971070285547
210.0,8.75002389219334
215.0,8.74999575276287
220.0,8.750062451732042
225.0,8.749984865830148
230.0,8.750021008700312
235.0,8.750032144867108
240.0,8.749975210337352
245.0,8.749985714490684
250.0,8.750015253091199
255.0,8.74996596225915
260.0,8.749967000262798
265.0,8.750011855395313
270.0,8.749995480742678
275.0,8.749994415685912
280.0,8.749997143800531
285.0,8.749999112056265
290.0,8.74999875093223
295.0,8.749989066361957
300.0,8.750023037867965
305.0,8.749995183544774
310.0,8.749999811541313
315.0,8.750007660269711
320.0,8.750006285280715
325.0,8.749998558946002
330.0,8.74999806156979
335.0,8.749996465931185
340.0,8.749992431196993
345.0,8.74999416598323
350.0,8.750009428005017
355.0,8.750018633048692
360.0,8.749967542945821
365.0,8.749984834521069
370.0,8.750014334418196
375.0,8.749984937045559
380.0,8.750002184399332
385.0,8.750004276654407
390.0,8.75000026756703
395.0,8.74999233384895
400.0,8.75000383678237
405.0,8.75000814957375
410.0,8.75000335626927
415.0,8.750006138522794
420.0,8.749999354279279
425.0,8.750000273992521
430.0,8.74999912754398
435.0,8.749997555506503
440.0,8.74999981267882
445.0,8.749995586592075
450.0,8.749996723381932
455.0,8.749998565689125
460.0,8.750011015620107
465.0,8.750001979530294
470.0,8.750003816733816
475.0,8.749997897865079
480.0,8.749995382532468
485.0,8.74998983909582
490.0,8.75001697019084
495.0,8.749987793945815
500.0,8.7500055752992
