Time,T,V,S,I,V0,dv,a,di,r,L,b,S0,tme,virus_burst,virus_decay,tumor_growth,tumor_infection,infected_tumor_death
0.0,251000000.0,0.0,251000000.0,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,24445279.254412767,0.0,0.0
0.064,252567521.36246032,0.0,252567521.36246032,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,24539763.573547848,0.0,0.0
0.128,254141089.82789728,0.0,254141089.82789728,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,24634250.346907537,0.0,0.0
0.192,255720705.43385404,0.0,255720705.43385404,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,24728737.653727964,0.0,0.0
0.256,257306368.18549588,0.0,257306368.18549588,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,24823223.579124294,0.0,0.0
0.32,258898077.89202756,0.0,258898077.89202756,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,24917706.204382066,0.0,0.0
0.384,260495831.95851597,0.0,260495831.95851597,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,25012183.476804975,0.0,0.0
0.448,262099624.99568737,0.0,262099624.99568737,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,25106653.18945002,0.0,0.0
0.512,263709456.82773155,0.0,263709456.82773155,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,25201113.453194454,0.0,0.0
0.576,265325327.4546485,0.0,265325327.4546485,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,25295562.396876153,0.0,0.0
0.64,266947236.87643817,0.0,266947236.87643817,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,25389998.156825587,0.0,0.0
0.704,268575185.0931006,0.0,268575185.0931006,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,25484418.876814052,0.0,0.0
0.768,270209172.10463583,0.0,270209172.10463583,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,25578822.708002318,0.0,0.0
0.832,271849197.9110437,0.0,271849197.9110437,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,25673207.80888976,0.0,0.0
0.896,273495262.51232445,0.0,273495262.51232445,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,25767572.345263824,0.0,0.0
0.96,275147365.90847784,0.0,275147365.90847784,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,25861914.490149867,0.0,0.0
1.024,276805508.09950405,0.0,276805508.09950405,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,25956232.423761535,0.0,0.0
1.088,278469689.0854031,0.0,278469689.0854031,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,26050524.33345139,0.0,0.0
1.152,280139908.86617476,0.0,280139908.86617476,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,26144788.41366201,0.0,0.0
1.216,281816167.44181925,0.0,281816167.44181925,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,26239022.865877513,0.0,0.0
1.28,283498464.81233644,0.0,283498464.81233644,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,26333225.898575407,0.0,0.0
1.344,285186800.6248713,0.0,285186800.6248713,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,26427395.70753647,0.0,0.0
1.408,286881158.65734076,0.0,286881158.65734076,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,26521529.61583556,0.0,0.0
1.472,288581530.09497553,0.0,288581530.09497553,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,26615625.376685657,0.0,0.0
1.536,290287914.9377757,0.0,290287914.9377757,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,26709681.242653843,0.0,0.0
1.6,292000313.185741,0.0,292000313.185741,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,26803695.472987458,0.0,0.0
1.664,293718724.8388718,0.0,293718724.8388718,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,26897666.333568715,0.0,0.0
1.728,295443149.8971678,0.0,295443149.8971678,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,26991592.09686963,0.0,0.0
1.792,297173588.36062914,0.0,297173588.36062914,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,27085471.041907378,0.0,0.0
1.856,298910040.22925586,0.0,298910040.22925586,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,27179301.4542,0.0,0.0
1.92,300652505.50304776,0.0,300652505.50304776,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,27273081.62572248,0.0,0.0
1.984,302400978.02914286,0.0,302400978.02914286,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,27366809.525694802,0.0,0.0
2.048,304155433.7537558,0.0,304155433.7537558,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,27460482.181135774,0.0,0.0
2.112,305915870.24591154,0.0,305915870.24591154,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,27554097.793459203,0.0,0.0
2.176,307682287.50561005,0.0,307682287.50561005,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,27647654.700840004,0.0,0.0
2.24,309454685.53285134,0.0,309454685.53285134,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,27741151.2475977,0.0,0.0
2.304,311233064.32763547,0.0,311233064.32763547,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,27834585.78415521,0.0,0.0
2.368,313017423.8899623,0.0,313017423.8899623,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,27927956.66699796,0.0,0.0
2.432,314807764.219832,0.0,314807764.219832,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,28021262.2586334,0.0,0.0
2.496,316604085.31724447,0.0,316604085.31724447,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,28114500.927550763,0.0,0.0
2.56,318406387.108774,0.0,318406387.108774,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,28207671.044393227,0.0,0.0
2.624,320214647.8424991,0.0,320214647.8424991,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,28300769.8719134,0.0,0.0
2.688,322028850.3331862,0.0,322028850.3331862,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,28393794.9305996,0.0,0.0
2.752,323848994.5808352,0.0,323848994.5808352,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,28486744.636847295,0.0,0.0
2.816,325675080.58544624,0.0,325675080.58544624,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,28579617.41272306,0.0,0.0
2.88,327507108.34701926,0.0,327507108.34701926,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,28672411.685927015,0.0,0.0
2.944,329345077.86555415,0.0,329345077.86555415,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,28765125.889755663,0.0,0.0
3.008,331188989.1410512,0.0,331188989.1410512,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,28857758.46306505,0.0,0.0
3.072,333038841.30934316,0.0,333038841.30934316,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,28950307.80708828,0.0,0.0
3.136,334894605.99045515,0.0,334894605.99045515,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,29042770.961111598,0.0,0.0
3.2,336756269.4493543,0.0,336756269.4493543,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,29135145.71832795,0.0,0.0
3.264,338623831.68604046,0.0,338623831.68604046,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,29227430.565810136,0.0,0.0
3.328,340497292.70051384,0.0,340497292.70051384,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,29319623.995886806,0.0,0.0
3.392,342376652.4927743,0.0,342376652.4927743,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,29411724.5061081,0.0,0.0
3.456,344261911.06282187,0.0,344261911.06282187,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,29503730.599211816,0.0,0.0
3.52,346153068.41065663,0.0,346153068.41065663,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,29595640.783089686,0.0,0.0
3.584,348050573.2808203,0.0,348050573.2808203,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,29687475.243529115,0.0,0.0
3.648,349953328.885929,0.0,349953328.885929,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,29779179.477354478,0.0,0.0
3.712,351861974.73581624,0.0,351861974.73581624,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,29870783.027980063,0.0,0.0
3.776,353776504.46118814,0.0,353776504.46118814,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,29962284.124670785,0.0,0.0
3.84,355696911.69275105,0.0,355696911.69275105,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,30053681.006762147,0.0,0.0
3.904,357623190.06121105,0.0,357623190.06121105,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,30144971.923598476,0.0,0.0
3.968,359555333.1972743,0.0,359555333.1972743,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,30236155.13447167,0.0,0.0
4.032,361493334.7316471,0.0,361493334.7316471,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,30327228.908560377,0.0,0.0
4.096,363437186.2393368,0.0,363437186.2393368,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,30418191.428876996,0.0,0.0
4.16,365386866.82848597,0.0,365386866.82848597,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,30509040.310145006,0.0,0.0
4.224,367342364.85411936,0.0,367342364.85411936,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,30599773.61639607,0.0,0.0
4.288,369303670.97074366,0.0,369303670.97074366,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,30690389.531435292,0.0,0.0
4.352,371270775.8328655,0.0,371270775.8328655,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,30780886.250936456,0.0,0.0
4.416,373243670.0949916,0.0,373243670.0949916,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,30871261.982370343,0.0,0.0
4.48,375222344.41162866,0.0,375222344.41162866,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,30961514.944933534,0.0,0.0
4.544,377206789.43728334,0.0,377206789.43728334,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,31051643.369477753,0.0,0.0
4.608,379196995.82646245,0.0,379196995.82646245,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,31141645.49843973,0.0,0.0
4.672,381192954.2336724,0.0,381192954.2336724,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,31231519.585771438,0.0,0.0
4.736,383194655.3134201,0.0,383194655.3134201,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,31321263.896871038,0.0,0.0
4.8,385202089.72021216,0.0,385202089.72021216,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,31410876.70851413,0.0,0.0
4.864,387215249.5060206,0.0,387215249.5060206,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,31500356.370764595,0.0,0.0
4.928,389234129.14568496,0.0,389234129.14568496,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,31589701.350842815,0.0,0.0
4.992,391258720.24997,0.0,391258720.24997,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,31678909.998290252,0.0,0.0
5.056,393289014.2841716,0.0,393289014.2841716,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,31767980.666669834,0.0,0.0
5.12,395325002.71358544,0.0,395325002.71358544,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,31856911.719983093,0.0,0.0
5.184,397366677.0035073,0.0,397366677.0035073,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,31945701.532607995,0.0,0.0
5.248,399414028.6192331,0.0,399414028.6192331,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,32034348.489237305,0.0,0.0
5.312,401467049.02605844,0.0,401467049.02605844,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,32122850.984817293,0.0,0.0
5.376,403525729.6892792,0.0,403525729.6892792,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,32211207.42448699,0.0,0.0
5.44,405590062.0741912,0.0,405590062.0741912,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,32299416.22351788,0.0,0.0
5.504,407660037.6460901,0.0,407660037.6460901,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,32387475.807253964,0.0,0.0
5.568,409735647.8684059,0.0,409735647.8684059,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,32475384.610973567,0.0,0.0
5.632,411816880.2538662,0.0,411816880.2538662,0.0,0.0,0.0,0.0,0.0,0.037,3490000000.0,0.0,251000000.0,1.0,0.0,0.0,32563140.913697,0.0,0.0
