T_1_task1,_1_task1
251000000.0,0.0
252567521.36246032,0.064
254141089.82789728,0.128
255720705.43385404,0.192
257306368.18549588,0.256
258898077.89202756,0.32
260495831.95851597,0.384
262099624.99568737,0.448
263709456.82773155,0.512
265325327.4546485,0.576
266947236.87643817,0.64
268575185.0931006,0.704
270209172.10463583,0.768
271849197.9110437,0.832
273495262.51232445,0.896
275147365.90847784,0.96
276805508.09950405,1.024
278469689.0854031,1.088
280139908.86617476,1.152
281816167.44181925,1.216
283498464.81233644,1.28
285186800.6248713,1.344
286881158.65734076,1.408
288581530.09497553,1.472
290287914.9377757,1.536
292000313.185741,1.6
293718724.8388718,1.664
295443149.8971678,1.728
297173588.36062914,1.792
298910040.22925586,1.856
300652505.50304776,1.92
302400978.02914286,1.984
304155433.7537558,2.048
305915870.24591154,2.112
307682287.50561005,2.176
309454685.53285134,2.24
311233064.32763547,2.304
313017423.8899623,2.368
314807764.219832,2.432
316604085.31724447,2.496
318406387.108774,2.56
320214647.8424991,2.624
322028850.3331862,2.688
323848994.5808352,2.752
325675080.58544624,2.816
327507108.34701926,2.88
329345077.86555415,2.944
331188989.1410512,3.008
333038841.30934316,3.072
334894605.99045515,3.136
336756269.4493543,3.2
338623831.68604046,3.264
340497292.70051384,3.328
342376652.4927743,3.392
344261911.06282187,3.456
346153068.41065663,3.52
348050573.2808203,3.584
349953328.885929,3.648
351861974.73581624,3.712
353776504.46118814,3.776
355696911.69275105,3.84
357623190.06121105,3.904
359555333.1972743,3.968
361493334.7316471,4.032
363437186.2393368,4.096
365386866.82848597,4.16
367342364.85411936,4.224
369303670.97074366,4.288
371270775.8328655,4.352
373243670.0949916,4.416
375222344.41162866,4.48
377206789.43728334,4.544
379196995.82646245,4.608
381192954.2336724,4.672
383194655.3134201,4.736
385202089.72021216,4.8
387215249.5060206,4.864
389234129.14568496,4.928
391258720.24997,4.992
393289014.2841716,5.056
395325002.71358544,5.12
397366677.0035073,5.184
399414028.6192331,5.248
401467049.02605844,5.312
403525729.6892792,5.376
405590062.0741912,5.44
407660037.6460901,5.504
409735647.8684059,5.568
411816880.2538662,5.632
413903721.8237483,5.696
415996162.82385576,5.76
418094193.49999213,5.824
420197804.09796107,5.888
422306984.863566,5.952
424421726.04261047,6.016
426542017.8808981,6.08
428667850.6242325,6.144
430799214.51841706,6.208
432936099.8092555,6.272
435078425.2996556,6.336
437226340.0501623,6.4
439379733.0992204,6.464
441538594.5133002,6.528
443702914.2589536,6.592
445872682.2028142,6.656
448047888.1115976,6.72
450228521.65210056,6.784
452414572.3912019,6.848
454606029.79586226,6.912
456802883.23312354,6.976
459005121.97010976,7.04
461212734.24790895,7.104
463425704.54655325,7.168
465644020.5940147,7.232
467867670.5097009,7.296
470096642.28494936,7.36
472330923.7830277,7.424
474570502.7391334,7.488
476815366.7603939,7.552
479065503.32586676,7.616
481320899.7865394,7.68
483581543.36532897,7.744
485847421.157083,7.808
488118520.1285787,7.872
490394827.1185235,7.936
492676328.8375545,8.0
494963011.868239,8.064
497254862.66507417,8.128
499551867.5544871,8.192
501854012.73483485,8.256
504161284.2764047,8.32
506473668.12141347,8.384
508791150.08400834,8.448
511113715.85026616,8.512
513441350.978194,8.576
515774040.90771043,8.64
518111773.9868099,8.704
520454538.2584466,8.768
522802319.4492641,8.832
525155103.1839586,8.896
527512874.98527765,8.96
529875620.2740211,9.024
532243324.3690409,9.088
534615972.4872409,9.152
536993549.7435768,9.216
539376041.1510564,9.28
541763431.6207397,9.344
544155705.9617385,9.408
546552848.8812164,9.472
548954844.9843895,9.536
551361678.7745254,9.6
553773334.6529441,9.664
556189796.9190173,9.728
558611049.770169,9.792
561037077.3018748,9.856
563467863.5076628,9.92
565903392.2791123,9.984
568343647.4058558,10.048
570788612.5755765,10.112
573238271.3740107,10.176
575692608.209139,10.24
578151611.2120615,10.304
580615264.9702394,10.368
583083553.4355011,10.432
585556460.4868618,10.496
588033969.9305241,10.56
590516065.4998782,10.624
593002730.8555014,10.688
595493949.5851585,10.752
597989705.2038013,10.816
600489981.1535695,10.88
602994760.8037895,10.944
605504027.4509753,11.008
608017764.3188285,11.072
610535954.5582376,11.136
613058581.2472785,11.2
615585627.3912147,11.264
618117075.9224969,11.328
620652909.7007629,11.392
623193111.5128381,11.456
625737664.0727351,11.52
628286550.0216539,11.584
630839751.9279817,11.648
633397252.2872934,11.712
635959033.5259687,11.776
638525079.5476726,11.84
641095374.1419426,11.904
643669899.866134,11.968
646248639.218339,12.032
648831574.6373848,12.096
651418688.502835,12.16
654009963.1349895,12.224
656605380.7948837,12.288
659204923.6842889,12.352
661808573.9457126,12.416
664416313.6623981,12.48
667028124.8583249,12.544
669643989.4982079,12.608
672263889.4874988,12.672
674887806.6723843,12.736
677515722.8397878,12.8
680147619.7173684,12.864
682783478.973521,12.928
685423282.2173765,12.992
688067010.998802,13.056
690714646.8084003,13.12
693366171.0775101,13.184
696021565.1782066,13.248
698680810.4232999,13.312
701343851.7184802,13.376
704010753.0823771,13.44
706681451.3232285,13.504
709355928.0214562,13.568
712034164.6996413,13.632
714716142.8230829,13.696
717401843.800357,13.76
720091248.9838753,13.824
722784339.670445,13.888
725481097.1018263,13.952
728181502.4652926,14.016
730885536.8941883,14.08
733593181.4684886,14.144
736304417.2153575,14.208
739019225.1097078,14.272
741737586.0747591,14.336
744459480.9825972,14.4
747184890.6547323,14.464
749913795.8626591,14.528
752646177.3284146,14.592
755382015.7251374,14.656
758121291.6776266,14.72
760863985.762901,14.784
763610078.5107573,14.848
766359550.4073918,14.912
769112383.8678015,14.976
771868561.1894107,15.04
774628063.0494124,15.104
777390870.0931621,15.168
780156962.9349318,15.232
782926322.1586626,15.296
785698928.3187181,15.36
788474761.9406377,15.424
791253803.5218904,15.488
794036033.5326269,15.552
796821432.416434,15.616
799609980.5910872,15.68
802401658.4493041,15.744
805196446.3594977,15.808
807994324.6665298,15.872
810795273.692464,15.936
813599273.7373192,16.0
816406305.0798227,16.064
819216347.9781632,16.128
822029382.670745,16.192
824845389.3769401,16.256
827664348.2978421,16.32
830486239.6170195,16.384
833311043.5012687,16.448
836138740.1013672,16.512
838969309.5528275,16.576
841802731.9766493,16.64
844638987.4800737,16.704
847478056.157336,16.768
