value_component_environment_variable_time,value_component_model_parameters_variable_tau,value_component_model_parameters_variable_delta,value_component_model_parameters_variable_np,value_component_model_parameters_variable_c,value_component_model_parameters_variable_k,value_component_model_parameters_variable_N,value_component_model_parameters_variable_m,value_component_uninfected_T_cells_variable_T,value_component_infected_T_cells_variable_T_star,value_component_infectious_virus_variable_VI,value_component_infectious_virus_variable_log_VI,value_component_non_infectious_virus_variable_VNI,value_component_total_virus_variable_virus_total,value_component_total_virus_variable_log_virus_total
0.0,1.0,0.5,1.0,3.0,3.43e-05,480.0,0.01,180.0,3.6,134000.0,5.127104798364807,0.0,134000.0,5.127104798364807
0.1,1.0,0.5,1.0,3.0,3.43e-05,480.0,0.01,180.0,-62.20994023870038,99269.6418161061,4.9968164548646135,-694.2347939188967,98575.40702218721,4.993768578969962
0.2,1.0,0.5,1.0,3.0,3.43e-05,480.0,0.01,180.0,-102.69202160966931,73540.7598507941,4.866528112849978,-2280.3493719309145,71260.41047886318,4.852848319673595
0.30000000000000004,1.0,0.5,1.0,3.0,3.43e-05,480.0,0.01,180.0,-126.13779589182593,54480.336359775094,4.736239780232616,-4097.5417852240535,50382.79457455104,4.702282252773983
0.4,1.0,0.5,1.0,3.0,3.43e-05,480.0,0.01,180.0,-138.26249671064429,40360.03008797821,4.605951481326964,-5798.574129918741,34561.455958059465,4.538592029560104
0.5,1.0,0.5,1.0,3.0,3.43e-05,480.0,0.01,180.0,-142.9825709530954,29899.447950891557,4.475663169792829,-7224.005921172815,22675.442029718743,4.35555576184885
0.6000000000000001,1.0,0.5,1.0,3.0,3.43e-05,480.0,0.01,180.0,-142.96317851908307,22150.057558853932,4.345374859112595,-8322.528728472771,13827.528830381161,4.140744572645625
0.7000000000000001,1.0,0.5,1.0,3.0,3.43e-05,480.0,0.01,180.0,-140.0028615891223,16409.16746189433,4.215086547178786,-9101.408014277473,7307.759447616856,3.863784243074036
0.8,1.0,0.5,1.0,3.0,3.43e-05,480.0,0.01,180.0,-135.30287559692832,12156.211198340028,4.084798236774545,-9596.431929212818,2559.77926912721,3.4082025175255057
0.9,1.0,0.5,1.0,3.0,3.43e-05,480.0,0.01,180.0,-129.65517370393138,9005.543427832177,3.954509924883247,-9854.29700855281,-848.7535807206332,
1.0,1.0,0.5,1.0,3.0,3.43e-05,480.0,0.01,180.0,-123.5731063584406,6671.471184413432,3.82422161454919,-9922.799212511101,-3251.3280280976696,
