Time,Pt,M,N,P,kpn,kpm,Ninf,kptn,kptm,mupt,knp,knpt,snr,munr,mun,knm,kmp,kmm,kmn,kmpt,smr,mumr,mum,fi2,fEN,R1,R2,ENinf,ken,EMinf,kem,Cn,Cm1,Cm2,kpg,pinf,kbp,sb,mub,kpb,C,E,fEM_Kmm_E,compartment,Pathogen_Growth,Pathogen_Destruction_Background_Response,Pathogen_Destruction_Neutrophils,Pathogen_Destruction_Macrophages,Debris_Destruction_Neutrophils,Debris_Destruction_Macrophages,Debris_Neutrophil_Decay,Debris_Decay_Intrinsic,Macrophage_Recruitment,Macrophage_Activation,Neutrophil_Activation,Neutrophil_Destruction_Macrophage
0.0,2.0,0.0,0.1,0.1,35.03,34.8,0.11,2.03,3.16,0.37,17.58,2.97,0.38,3.3,1.02,6.42,18.52,0.06,10.58,41.5,0.17,0.54,0.5,0.0,0.26597926895799234,85.91000000000001,7.698,6.8,5.37,5.0,4.97,175.72,72.84,13.06,14.4,20.0,0.2,0.12,0.048,14.4,0.0,0.0,0.06,1.0,1.4328,2.541176470588235,0.35030000000000006,0.0,0.624022,0.0,0.10200000000000001,0.74,0.1689381145170619,0.0,0.26597926895799234,0.0
0.02,1.9745824920602622,0.0033617347530365957,0.10317449195918174,0.07296113522236965,35.03,34.8,0.11,2.03,3.16,0.37,17.58,2.97,0.38,3.3,1.02,6.42,18.52,0.06,10.58,41.5,0.17,0.54,0.5,0.0017883945397636034,0.2599674563474991,84.3882014738325,7.147166758628237,6.8,5.37,5.0,4.97,175.72,72.84,13.06,14.4,20.0,0.2,0.12,0.048,14.4,0.0,0.0,0.06,1.0,1.0468075515800084,2.0142571628690065,0.26369631391844023,0.004540818695463065,0.6426992813809081,0.011159010848878286,0.10523798179836538,0.7305955220622969,0.16891908696514332,0.0016808673765182978,0.2599674563474991,0.001184597201562434
0.04,1.9488512213623908,0.006689643591178222,0.10614600737458665,0.050825602527300284,35.03,34.8,0.11,2.03,3.16,0.37,17.58,2.97,0.38,3.3,1.02,6.42,18.52,0.06,10.58,41.5,0.17,0.54,0.5,0.0034640636138618744,0.2543688666031065,82.94204198198341,6.68160221987624,6.8,5.37,5.0,4.97,175.72,72.84,13.06,14.4,20.0,0.2,0.12,0.048,14.4,0.0,0.0,0.06,1.0,0.7300287422450947,1.5099537386659496,0.18898456536724234,0.0061269965887864606,0.659294058509473,0.021332984951015474,0.1082689275220784,0.7210749519040845,0.16890036230762284,0.003344821795589111,0.2543688666031065,0.002360611670617387
0.06,1.9228634970052345,0.0099840712948986,0.10893016477007463,0.033934217798634564,35.03,34.8,0.11,2.03,3.16,0.37,17.58,2.97,0.38,3.3,1.02,6.42,18.52,0.06,10.58,41.5,0.17,0.54,0.5,0.0050408231508244535,0.24947653821187754,81.58037702689303,6.307468135005542,6.8,5.37,5.0,4.97,175.72,72.84,13.06,14.4,20.0,0.2,0.12,0.048,14.4,0.0,0.0,0.06,1.0,0.487823633881262,1.0702994468391822,0.12948699156329463,0.005952762395819776,0.6739219248084314,0.03062929486779044,0.11110876806547612,0.7114594938919367,0.16888212885371998,0.0049920356474493,0.24947653821187754,0.0035252072108630547
0.08,1.8966717975735499,0.013245361117836056,0.11154651030832871,0.021861646656010963,35.03,34.8,0.11,2.03,3.16,0.37,17.58,2.97,0.38,3.3,1.02,6.42,18.52,0.06,10.58,41.5,0.17,0.54,0.5,0.006530225528215171,0.24541371900543973,80.29771409610083,6.017442987006117,6.8,5.37,5.0,4.97,175.72,72.84,13.06,14.4,20.0,0.2,0.12,0.048,14.4,0.0,0.0,0.06,1.0,0.314463601098509,0.7213145931067142,0.085423821504334,0.00496809961125021,0.6867425697026133,0.03913879490806735,0.11377744051449529,0.7017685651022134,0.16886439144121682,0.006622680558918028,0.24541371900543973,0.004676481240256071
0.1,1.8703236227274564,0.016473851477716166,0.11401489228365926,0.013698535841541166,35.03,34.8,0.11,2.03,3.16,0.37,17.58,2.97,0.38,3.3,1.02,6.42,18.52,0.06,10.58,41.5,0.17,0.54,0.5,0.00794176901950448,0.24213237445866276,79.07939321842456,5.79568141959484,6.8,5.37,5.0,4.97,175.72,72.84,13.06,14.4,20.0,0.2,0.12,0.048,14.4,0.0,0.0,0.06,1.0,0.19712380820156736,0.4665196402427795,0.05471115320725318,0.0037859131430505325,0.6979261165340974,0.04693762312282078,0.11629519012933244,0.6920197404091589,0.16884701457409806,0.008236925738858083,0.24213237445866276,0.005813181210309245
0.12,1.8438618426294218,0.01966987398696309,0.11635267274691617,0.00841119059711767,35.03,34.8,0.11,2.03,3.16,0.37,17.58,2.97,0.38,3.3,1.02,6.42,18.52,0.06,10.58,41.5,0.17,0.54,0.5,0.009283329077209954,0.239482233093186,77.90823318908122,5.624138403306711,6.8,5.37,5.0,4.97,175.72,72.84,13.06,14.4,20.0,0.2,0.12,0.048,14.4,0.0,0.0,0.06,1.0,0.1210702059468665,0.2925499716192733,0.03428261767875173,0.002717317988497374,0.7076269944246375,0.05409027697540525,0.11867972620185449,0.6822288817728861,0.16882980156125713,0.009834936993481544,0.239482233093186,0.006934499763786713
0.14,1.8173253202521416,0.022833753005935205,0.11857355002272255,0.005091499251591908,35.03,34.8,0.11,2.03,3.16,0.37,17.58,2.97,0.38,3.3,1.02,6.42,18.52,0.06,10.58,41.5,0.17,0.54,0.5,0.010561610077899191,0.23728860482119582,76.7691735410241,5.486964757991847,6.8,5.37,5.0,4.97,175.72,72.84,13.06,14.4,20.0,0.2,0.12,0.048,14.4,0.0,0.0,0.06,1.0,0.07329892440039062,0.17948624765886637,0.02114821145621104,0.0018713501572915792,0.7159723069131088,0.06065266527834061,0.120945021023177,0.6724103684932924,0.16881256006505765,0.011416876502967603,0.23728860482119582,0.008039943197728376
0.16,1.790749571063767,0.025965806176047154,0.12068767304896465,0.0030516420795299805,35.03,34.8,0.11,2.03,3.16,0.37,17.58,2.97,0.38,3.3,1.02,6.42,18.52,0.06,10.58,41.5,0.17,0.54,0.5,0.0117824936624562,0.23539958187716872,75.65105713968784,5.3721740938175255,6.8,5.37,5.0,4.97,175.72,72.84,13.06,14.4,20.0,0.2,0.12,0.048,14.4,0.0,0.0,0.06,1.0,0.043936940931277,0.10847977549771763,0.012901394221933895,0.0012512671804827036,0.7230618879060993,0.06667440569185179,0.12310142650994395,0.6625773412935938,0.1687951341870517,0.012982903088023577,0.23539958187716872,0.009129251189007197
0.18,1.7641673241313727,0.029066345301761335,0.12270235410037542,0.0018163774824278478,35.03,34.8,0.11,2.03,3.16,0.37,17.58,2.97,0.38,3.3,1.02,6.42,18.52,0.06,10.58,41.5,0.17,0.54,0.5,0.012951262762571851,0.23370137052965437,74.5465181495266,5.271508868811258,6.8,5.37,5.0,4.97,175.72,72.84,13.06,14.4,20.0,0.2,0.12,0.048,14.4,0.0,0.0,0.06,1.0,0.026153460303406765,0.0648984225616274,0.007807268969799222,0.0008186484953727742,0.7289738702949822,0.072200294847421,0.12515640118238291,0.6527419099286079,0.16877741034925617,0.014533172650880668,0.23370137052965437,0.010202345757647426
