data_generator_T_without_pico_block_of_inhibition,data_generator_V1_without_pico_block_of_inhibition
0.0,-66.720474
10.0,-64.994072
20.0,-64.700897
30.0,-64.542992
40.0,-64.389473
50.0,-64.236588
60.0,-64.08419
70.0,-63.933075
80.0,-63.782696
90.0,-63.633442
100.0,-63.485405
110.0,-63.338707
120.0,-63.193386
130.0,-63.049538
140.0,-62.907135
150.0,-62.766239
160.0,-62.626873
170.0,-62.488956
180.0,-62.352596
190.0,-62.217609
200.0,-62.084225
210.0,-61.952221
220.0,-61.821739
230.0,-61.692593
240.0,-61.56469
250.0,-61.437298
260.0,-61.314575
270.0,-61.190449
280.0,-61.068096
290.0,-60.950546
300.0,-60.831367
310.0,-60.715057
320.0,-60.596642
330.0,-60.48761
340.0,-60.375465
350.0,-60.266533
360.0,-60.159264
370.0,-60.049515
380.0,-59.951073
390.0,-59.84724
400.0,-59.75145
410.0,-59.654644
420.0,-59.561367
430.0,-59.468445
440.0,-59.380577
450.0,-59.293194
460.0,-59.208767
470.0,-59.123749
480.0,-59.043865
490.0,-58.965046
500.0,-58.885811
510.0,-58.808136
520.0,-58.729168
530.0,-58.648998
540.0,-58.564747
550.0,-58.471138
560.0,-58.356506
570.0,-58.180702
580.0,-57.823193
590.0,-57.546669
600.0,-57.483738
610.0,-57.461483
620.0,-57.447163
630.0,-57.434158
640.0,-57.42136
650.0,-57.408596
660.0,-57.395824
670.0,-57.383041
680.0,-57.370247
690.0,-57.357437
700.0,-57.344616
710.0,-57.331779
720.0,-57.318928
730.0,-57.306061
740.0,-57.293171
750.0,-57.280266
760.0,-57.26733
770.0,-57.254368
780.0,-57.241356
790.0,-57.228275
800.0,-57.215076
810.0,-57.20163
820.0,-57.189392
830.0,-57.175755
840.0,-57.161751
850.0,-57.148861
860.0,-57.136562
870.0,-57.122017
880.0,-57.110184
890.0,-57.095261
900.0,-57.082539
910.0,-57.071869
920.0,-57.058281
930.0,-57.045609
940.0,-57.032337
950.0,-57.018719
960.0,-57.004169
970.0,-56.99181
980.0,-56.976715
990.0,-56.964138
1000.0,-56.951576
1010.0,-56.934788
1020.0,-56.925583
1030.0,-56.910015
1040.0,-56.897839
1050.0,-56.884666
1060.0,-56.867149
1070.0,-56.858692
1080.0,-56.842773
1090.0,-56.83176
1100.0,-56.815853
1110.0,-56.803753
1120.0,-56.790337
1130.0,-56.773117
1140.0,-56.763496
1150.0,-56.749943
1160.0,-56.732613
1170.0,-56.723171
1180.0,-56.706463
1190.0,-56.695259
1200.0,-56.679138
1210.0,-56.668491
1220.0,-56.653591
1230.0,-56.640186
1240.0,-56.624413
1250.0,-56.613403
1260.0,-56.598106
1270.0,-56.585571
1280.0,-56.569736
1290.0,-56.557526
1300.0,-56.539391
1310.0,-56.528336
1320.0,-56.515717
1330.0,-56.49852
1340.0,-56.486935
1350.0,-56.472637
1360.0,-56.458088
1370.0,-56.444637
1380.0,-56.429337
1390.0,-56.415798
1400.0,-56.401726
1410.0,-56.387634
1420.0,-56.373325
1430.0,-56.35928
1440.0,-56.344574
1450.0,-56.330986
1460.0,-56.314678
1470.0,-56.302944
1480.0,-56.28476
1490.0,-56.27404
1500.0,-56.257717
1510.0,-56.245182
1520.0,-56.229706
1530.0,-56.215706
1540.0,-56.19907
1550.0,-56.187134
1560.0,-56.167683
1570.0,-56.155159
1580.0,-56.142643
1590.0,-56.128765
1600.0,-56.112209
1610.0,-56.098938
1620.0,-56.083469
1630.0,-56.069134
1640.0,-56.054516
1650.0,-56.039444
1660.0,-56.023819
1670.0,-56.009819
1680.0,-55.995106
1690.0,-55.979958
1700.0,-55.964005
1710.0,-55.950146
1720.0,-55.935326
1730.0,-55.919907
1740.0,-55.904316
1750.0,-55.889526
1760.0,-55.875359
1770.0,-55.856865
1780.0,-55.84433
1790.0,-55.829777
1800.0,-55.810085
1810.0,-55.799019
1820.0,-55.78355
1830.0,-55.766365
1840.0,-55.75312
1850.0,-55.737507
1860.0,-55.720165
1870.0,-55.706886
1880.0,-55.691128
1890.0,-55.674015
1900.0,-55.660282
1910.0,-55.64481
1920.0,-55.628742
1930.0,-55.612774
1940.0,-55.597809
1950.0,-55.581921
1960.0,-55.566338
1970.0,-55.549587
1980.0,-55.53511
1990.0,-55.51881
2000.0,-55.502502
2010.0,-55.487247
2020.0,-55.471493
2030.0,-55.455444
2040.0,-55.439335
2050.0,-55.423504
2060.0,-55.406189
2070.0,-55.391495
2080.0,-55.375202
2090.0,-55.358932
2100.0,-55.342972
2110.0,-55.325459
2120.0,-55.310539
2130.0,-55.294098
2140.0,-55.277798
2150.0,-55.260391
2160.0,-55.245155
2170.0,-55.228622
2180.0,-55.212154
2190.0,-55.194336
2200.0,-55.179077
2210.0,-55.161419
2220.0,-55.145905
2230.0,-55.129311
2240.0,-55.112293
2250.0,-55.09547
2260.0,-55.079243
2270.0,-55.061798
2280.0,-55.045025
2290.0,-55.02866
2300.0,-55.011177
2310.0,-54.99403
2320.0,-54.977646
2330.0,-54.960358
2340.0,-54.943375
2350.0,-54.925869
2360.0,-54.908978
2370.0,-54.891811
2380.0,-54.873894
2390.0,-54.857208
2400.0,-54.839417
