data_generator_T_baseline,data_generator_V1_baseline
0.0,-60.667419
10.0,-63.222038
20.0,-63.093807
30.0,-62.909309
40.0,-62.723949
50.0,-62.539692
60.0,-62.35598
70.0,-62.173943
80.0,-61.993217
90.0,-61.813354
100.0,-61.635582
110.0,-61.459442
120.0,-61.284943
130.0,-61.112175
140.0,-60.941189
150.0,-60.772144
160.0,-60.602985
170.0,-60.436958
180.0,-60.273197
190.0,-60.107948
200.0,-59.946804
210.0,-59.785984
220.0,-59.63031
230.0,-59.468452
240.0,-59.313984
250.0,-59.158417
260.0,-59.005409
270.0,-58.854671
280.0,-58.705643
290.0,-58.559956
300.0,-58.413952
310.0,-58.274158
320.0,-58.133373
330.0,-57.998016
340.0,-57.866108
350.0,-57.738583
360.0,-57.614616
370.0,-57.495327
380.0,-57.38192
390.0,-57.270569
400.0,-57.165512
410.0,-57.065964
420.0,-56.969257
430.0,-56.878159
440.0,-56.792488
450.0,-56.708591
460.0,-56.629654
470.0,-56.554634
480.0,-56.48299
490.0,-56.414555
500.0,-56.349209
510.0,-56.286667
520.0,-56.226734
530.0,-56.169254
540.0,-56.114037
550.0,-56.060921
560.0,-56.009769
570.0,-55.960442
580.0,-55.912811
590.0,-55.866768
600.0,-55.822208
610.0,-55.779037
620.0,-55.737179
630.0,-55.696568
640.0,-55.657173
650.0,-55.618992
660.0,-55.581177
670.0,-55.543938
680.0,-55.508453
690.0,-55.474102
700.0,-55.439537
710.0,-55.405876
720.0,-55.373936
730.0,-55.343746
740.0,-55.310844
750.0,-55.278862
760.0,-55.248829
770.0,-55.217361
780.0,-55.188423
790.0,-55.161129
800.0,-55.131996
810.0,-55.103149
820.0,-55.074986
830.0,-55.049805
840.0,-55.021397
850.0,-54.997543
860.0,-54.96899
870.0,-54.942009
880.0,-54.916153
890.0,-54.890217
900.0,-54.866791
910.0,-54.838825
920.0,-54.813999
930.0,-54.792877
940.0,-54.766544
950.0,-54.740883
960.0,-54.718884
970.0,-54.692574
980.0,-54.668457
990.0,-54.646069
1000.0,-54.621696
1010.0,-54.599754
1020.0,-54.574883
1030.0,-54.553543
1040.0,-54.529194
1050.0,-54.507324
1060.0,-54.483444
1070.0,-54.465847
1080.0,-54.438652
1090.0,-54.417683
1100.0,-54.393211
1110.0,-54.375233
1120.0,-54.34938
1130.0,-54.327297
1140.0,-54.305775
1150.0,-54.282528
1160.0,-54.263832
1170.0,-54.239502
1180.0,-54.21674
1190.0,-54.197342
1200.0,-54.1726
1210.0,-54.152878
1220.0,-54.129959
1230.0,-54.107327
1240.0,-54.089111
1250.0,-54.064106
1260.0,-54.044476
1270.0,-54.020622
1280.0,-54.000523
1290.0,-53.977455
1300.0,-53.957363
1310.0,-53.934345
1320.0,-53.913395
1330.0,-53.890797
1340.0,-53.873283
1350.0,-53.847954
1360.0,-53.82642
1370.0,-53.805817
1380.0,-53.783134
1390.0,-53.76199
1400.0,-53.740044
1410.0,-53.71917
1420.0,-53.695812
1430.0,-53.6782
1440.0,-53.653542
1450.0,-53.630486
1460.0,-53.612167
1470.0,-53.588444
1480.0,-53.564903
1490.0,-53.54528
1500.0,-53.520977
1510.0,-53.500114
1520.0,-53.476883
1530.0,-53.458416
1540.0,-53.435085
1550.0,-53.410728
1560.0,-53.38876
1570.0,-53.367264
1580.0,-53.344315
1590.0,-53.321522
1600.0,-53.300098
1610.0,-53.276867
1620.0,-53.254116
1630.0,-53.231731
1640.0,-53.209923
1650.0,-53.185863
1660.0,-53.165245
1670.0,-53.14035
1680.0,-53.117729
1690.0,-53.09573
1700.0,-53.071281
1710.0,-53.049801
1720.0,-53.024998
1730.0,-53.002666
1740.0,-52.978706
1750.0,-52.955044
1760.0,-52.93232
1770.0,-52.90839
1780.0,-52.884003
1790.0,-52.863987
1800.0,-52.837444
1810.0,-52.813049
1820.0,-52.788372
1830.0,-52.765526
1840.0,-52.740559
1850.0,-52.715679
1860.0,-52.692478
1870.0,-52.667156
1880.0,-52.642082
1890.0,-52.618347
1900.0,-52.59259
1910.0,-52.569275
1920.0,-52.542702
1930.0,-52.518253
1940.0,-52.492241
1950.0,-52.466736
1960.0,-52.441715
1970.0,-52.415569
1980.0,-52.389713
1990.0,-52.364136
2000.0,-52.337734
2010.0,-52.311516
2020.0,-52.285385
2030.0,-52.258671
2040.0,-52.232052
2050.0,-52.205379
2060.0,-52.178295
2070.0,-52.151241
2080.0,-52.124027
2090.0,-52.096523
2100.0,-52.068981
2110.0,-52.041225
2120.0,-52.013252
2130.0,-51.985176
2140.0,-51.956871
2150.0,-51.928375
2160.0,-51.899723
2170.0,-51.870842
2180.0,-51.84177
2190.0,-51.8125
2200.0,-51.783009
2210.0,-51.753307
2220.0,-51.723381
2230.0,-51.693226
2240.0,-51.662838
2250.0,-51.63221
2260.0,-51.601334
2270.0,-51.570206
2280.0,-51.538818
2290.0,-51.50716
2300.0,-51.475227
2310.0,-51.443008
2320.0,-51.4105
2330.0,-51.377686
2340.0,-51.344563
2350.0,-51.311119
2360.0,-51.277348
2370.0,-51.243229
2380.0,-51.208763
2390.0,-51.173927
2400.0,-51.138718
2410.0,-51.103115
2420.0,-51.067112
2430.0,-51.030685
2440.0,-50.993824
2450.0,-50.956512
2460.0,-50.918736
2470.0,-50.880466
2480.0,-50.841694
2490.0,-50.802391
2500.0,-50.762543
2510.0,-50.722118
2520.0,-50.681099
2530.0,-50.639458
2540.0,-50.597168
2550.0,-50.554203
2560.0,-50.51054
2570.0,-50.466148
2580.0,-50.421005
2590.0,-50.374943
2600.0,-50.32798
2610.0,-50.280254
2620.0,-50.23159
2630.0,-50.181194
2640.0,-50.129074
2650.0,-50.076984
2660.0,-50.023651
2670.0,-49.968956
2680.0,-49.910309
2690.0,-49.852306
2700.0,-49.792786
2710.0,-49.731586
2720.0,-49.666058
2730.0,-49.600372
2740.0,-49.531834
2750.0,-49.458088
2760.0,-49.383595
2770.0,-49.306114
2780.0,-49.222424
2790.0,-49.136398
2800.0,-49.041946
2810.0,-48.944473
2820.0,-48.836952
2830.0,-48.7244
2840.0,-48.596951
2850.0,-48.45742
2860.0,-48.300785
2870.0,-48.124481
2880.0,-47.910213
2890.0,-47.656933
2900.0,-47.329899
2910.0,-46.886215
2920.0,-46.213554
2930.0,-44.98101
2940.0,-41.549358
2950.0,-24.946878
2960.0,-22.217392
2970.0,-22.280994
2980.0,-22.370136
2990.0,-22.45859
3000.0,-22.546173
3010.0,-22.632883
3020.0,-22.718775
3030.0,-22.803841
3040.0,-22.888151
3050.0,-22.971682
3060.0,-23.054508
3070.0,-23.136597
3080.0,-23.218037
3090.0,-23.298777
3100.0,-23.378918
3110.0,-23.458426
3120.0,-23.537331
3130.0,-23.615667
3140.0,-23.693445
3150.0,-23.770676
3160.0,-23.847401
3170.0,-23.923626
3180.0,-23.999357
3190.0,-24.074623
3200.0,-24.149479
3210.0,-24.223877
3220.0,-24.297853
3230.0,-24.371449
3240.0,-24.444656
3250.0,-24.517527
3260.0,-24.590015
3270.0,-24.662193
3280.0,-24.734034
3290.0,-24.805607
3300.0,-24.876829
3310.0,-24.947847
3320.0,-25.01857
3330.0,-25.08909
3340.0,-25.159342
3350.0,-25.229376
3360.0,-25.299208
3370.0,-25.368858
3380.0,-25.438354
3390.0,-25.507673
3400.0,-25.576828
3410.0,-25.645868
3420.0,-25.714771
3430.0,-25.783585
3440.0,-25.852291
3450.0,-25.920918
3460.0,-25.989481
3470.0,-26.057983
3480.0,-26.126448
3490.0,-26.194891
3500.0,-26.263306
3510.0,-26.331741
3520.0,-26.400175
3530.0,-26.468647
3540.0,-26.537142
3550.0,-26.605705
3560.0,-26.674372
3570.0,-26.742985
3580.0,-26.811911
3590.0,-26.880835
3600.0,-26.949903
3610.0,-27.019072
3620.0,-27.088501
3630.0,-27.15803
3640.0,-27.227705
3650.0,-27.297771
3660.0,-27.367908
3670.0,-27.438353
3680.0,-27.509054
3690.0,-27.580065
3700.0,-27.651264
3710.0,-27.722923
3720.0,-27.794853
3730.0,-27.867224
3740.0,-27.939878
3750.0,-28.012981
3760.0,-28.086578
3770.0,-28.160547
3780.0,-28.235058
3790.0,-28.310003
3800.0,-28.385386
3810.0,-28.461502
3820.0,-28.538456
3830.0,-28.615789
3840.0,-28.693817
3850.0,-28.772512
3860.0,-28.851997
3870.0,-28.932215
3880.0,-29.01333
3890.0,-29.095295
3900.0,-29.178196
3910.0,-29.262064
3920.0,-29.346989
3930.0,-29.433031
3940.0,-29.520243
3950.0,-29.608723
3960.0,-29.698557
3970.0,-29.789829
3980.0,-29.882654
3990.0,-29.977165
4000.0,-30.073486
4010.0,-30.171778
4020.0,-30.272242
4030.0,-30.37508
4040.0,-30.480547
4050.0,-30.588974
4060.0,-30.700741
4070.0,-30.816311
4080.0,-30.936329
4090.0,-31.061611
4100.0,-31.193268
4110.0,-31.332928
4120.0,-31.483042
4130.0,-31.647598
4140.0,-31.833874
4150.0,-32.057312
4160.0,-32.360695
4170.0,-32.957161
4180.0,-43.129208
4190.0,-64.499359
4200.0,-64.901917
4210.0,-64.743301
4220.0,-64.571877
4230.0,-64.396126
4240.0,-64.216843
4250.0,-64.034729
4260.0,-63.850311
4270.0,-63.664234
4280.0,-63.476963
4290.0,-63.289055
4300.0,-63.100834
4310.0,-62.912449
4320.0,-62.725082
4330.0,-62.537941
4340.0,-62.351715
4350.0,-62.167133
4360.0,-61.983391
4370.0,-61.800995
4380.0,-61.620026
4390.0,-61.44054
4400.0,-61.262512
4410.0,-61.085899
4420.0,-60.910461
4430.0,-60.73735
4440.0,-60.566616
4450.0,-60.396107
4460.0,-60.226803
