data_set_T_baseline,data_set_EXC2_baseline,data_set_FV1_baseline,data_set_FV2_baseline,data_set_FV3_baseline,data_set_FV4_baseline,data_set_H1_baseline,data_set_H2_baseline,data_set_H3_baseline,data_set_H4_baseline,data_set_INH1_baseline,data_set_INH2_baseline,data_set_INH3_baseline,data_set_INH4_baseline,data_set_M2_baseline,data_set_M3_baseline,data_set_M4_baseline,data_set_V1_baseline,data_set_V2_baseline,data_set_V3_baseline,data_set_V4_baseline
0.0,0.016217658,0.02702943,0.0018516965,0.56912589,0.0018337113,0.25968075,0.20334278,0.49608269,0.43379402,0.071168244,0.1542141,0.0012027035,0.25666216,0.26662502,0.1272788,0.035053231,-60.667419,-55.159199,-28.886858,-55.198311
10.0,0.011872083,0.019786805,0.0018918057,0.55286169,0.0019504982,0.26186338,0.2047295,0.49424797,0.43454048,0.06913697,0.1498578,0.0012326083,0.2493553,0.26530275,0.131653,0.034886062,-63.222038,-55.073318,-29.151041,-54.950871
20.0,0.012060058,0.020100098,0.0020658467,0.53728676,0.0021848076,0.26411408,0.20608817,0.49245685,0.43525454,0.06719362,0.14572287,0.0013487483,0.2423988,0.26398748,0.1358496,0.034720406,-63.093807,-54.720589,-29.402302,-54.496162
30.0,0.012335638,0.020559397,0.0022177722,0.52185303,0.0023770523,0.26632994,0.20741247,0.49070761,0.43593389,0.065267287,0.14161344,0.001449516,0.23549919,0.2626794,0.1398728,0.034556378,-62.909309,-54.436127,-29.650129,-54.158058
40.0,0.012618707,0.021031179,0.0023807681,0.50697178,0.0026027681,0.26850924,0.20870371,0.48899826,0.43657991,0.063410513,0.13766322,0.0015585993,0.22885154,0.26137844,0.14372833,0.034394022,-62.723949,-54.151794,-29.888445,-53.794292
50.0,0.012906395,0.021510659,0.0025504625,0.49257389,0.0028173674,0.27065262,0.20996265,0.48732686,0.43719265,0.061613996,0.13384016,0.0016711459,0.22242339,0.26008466,0.14742236,0.034233429,-62.539692,-53.875706,-30.118826,-53.476524
60.0,0.013199608,0.021999346,0.0027371042,0.47878224,0.0031111378,0.27276072,0.21119019,0.4856917,0.43777353,0.05989445,0.13020454,0.0017978194,0.21627314,0.25879803,0.15096071,0.034074638,-62.35598,-53.592457,-30.339687,-53.078602
70.0,0.01349657,0.022494284,0.0029289615,0.46542671,0.003384446,0.27483428,0.21238698,0.48409107,0.4383221,0.058229107,0.12668055,0.0019265992,0.21032071,0.25751859,0.15434939,0.03391777,-62.173943,-53.320698,-30.554056,-52.7407
80.0,0.013797845,0.022996409,0.0031326024,0.45257378,0.0036898386,0.27687401,0.21355389,0.4825235,0.43883938,0.056627069,0.12330187,0.0020640534,0.20459798,0.25624636,0.15759392,0.033762891,-61.993217,-53.051014,-30.761108,-52.393902
90.0,0.014104199,0.023506999,0.0033562786,0.44029087,0.0040691714,0.27888057,0.21469179,0.48098764,0.43932623,0.055097397,0.12009928,0.0022172257,0.19913778,0.25498128,0.16069973,0.033610076,-61.813354,-52.774242,-30.959927,-52.000954
100.0,0.014413515,0.024022525,0.0035841479,0.42837933,0.0044342554,0.28085467,0.2158013,0.47948211,0.4397825,0.053613927,0.11699269,0.0023722015,0.19384594,0.25372341,0.16367216,0.033459459,-61.635582,-52.510574,-31.153866,-51.655807
110.0,0.014726507,0.024544178,0.0038233807,0.41689906,0.0048278579,0.28279701,0.21688326,0.47800577,0.44020903,0.052184802,0.1140111,0.0025354214,0.18875159,0.25247276,0.16651623,0.033311132,-61.459442,-52.25116,-31.342064,-51.314053
120.0,0.015043113,0.025071856,0.0040744743,0.40583426,0.0052531469,0.28470826,0.21793841,0.47655752,0.44060639,0.05080808,0.1111512,0.0027073422,0.18384776,0.25122932,0.1692367,0.033165202,-61.284943,-51.995724,-31.524855,-50.974644
