T,EXC2,FV1,FV2,FV3,FV4,FV5,H1,H2,H3,H4,H5,INH1,INH2,INH3,INH4,M2,M3,M4,V1,V2,V3,V4,V5
0.0,0.0077208071,0.012868011,0.00081357843,0.79894751,0.00067827565,0.89527667,0.34484804,0.20836239,0.45222694,0.41436154,0.71503824,0.099878617,0.21591932,0.00050171255,0.35977048,0.26875457,0.15293854,0.0420148,-66.720474,-58.453018,-24.481083,-59.181114,-14.833515
10.0,0.0095507931,0.015917988,0.001761962,0.56812322,0.001802868,0.88553083,0.34718156,0.20987919,0.45044938,0.4153043,0.70823443,0.071042441,0.15393412,0.0010932345,0.25618404,0.26741976,0.15769199,0.041810755,-64.994072,-55.358253,-28.903208,-55.266289,-15.632945
20.0,0.0099014137,0.016502356,0.001913733,0.55109757,0.0020292178,0.88203484,0.34935951,0.2112568,0.44882295,0.41610628,0.70168173,0.068917632,0.14940511,0.0011888241,0.24856803,0.26609334,0.16184384,0.041609783,-64.700897,-55.027134,-29.179575,-54.792294,-15.905263
30.0,0.010095466,0.016825777,0.0020411136,0.53647,0.0021576378,0.87878937,0.35149896,0.21260098,0.44723499,0.41687357,0.69529372,0.067091115,0.14549419,0.0012678209,0.24202384,0.26477408,0.16582628,0.041410517,-64.542992,-54.768867,-29.415442,-54.546326,-16.151876
40.0,0.010287721,0.017146202,0.0021797416,0.52236915,0.0023552857,0.87557769,0.35360649,0.21391408,0.44568282,0.41760987,0.6890614,0.065331474,0.14174625,0.0013549507,0.23572004,0.26346195,0.16964877,0.041212931,-64.389473,-54.505466,-29.641855,-54.194942,-16.390379
50.0,0.010482744,0.017471241,0.0023257406,0.50872749,0.002554812,0.8723259,0.3556827,0.21519668,0.44416475,0.41831475,0.68297875,0.063629262,0.13812287,0.0014465406,0.22962509,0.2621569,0.17331679,0.041017104,-64.236588,-54.245552,-29.860346,-53.868874,-16.626545
60.0,0.010680761,0.017801268,0.0024840212,0.49558106,0.0028157439,0.86909336,0.35772818,0.21644956,0.44267932,0.41898933,0.67704046,0.06198987,0.13465162,0.0015467276,0.22375669,0.26085895,0.17683564,0.040823065,-64.08419,-53.981556,-30.070705,-53.478836,-16.85627
70.0,0.010880738,0.018134562,0.0026424131,0.48281541,0.0029985136,0.86572564,0.35974342,0.21767323,0.44122499,0.41963264,0.67124099,0.060396906,0.13125972,0.0016454181,0.21805966,0.25956813,0.18021066,0.040630918,-63.933075,-53.733665,-30.275061,-53.226543,-17.090538
80.0,0.011083388,0.018472314,0.0028146135,0.47053784,0.0032557086,0.86238945,0.36172897,0.21886858,0.43980053,0.42024678,0.66557604,0.058866065,0.12802193,0.0017538824,0.2125864,0.25828442,0.18344688,0.040440675,-63.782696,-53.480446,-30.471941,-52.896336,-17.317764
90.0,0.011288183,0.018813638,0.0029957702,0.45869377,0.0035318125,0.85901767,0.3636854,0.22003622,0.43840471,0.42083174,0.66004074,0.057389699,0.12490686,0.0018680983,0.20731093,0.25700778,0.18654932,0.040252417,-63.633442,-53.230213,-30.662409,-52.569626,-17.542763
100.0,0.011494975,0.019158291,0.0031858946,0.44726866,0.0038260573,0.85561073,0.36561325,0.22117686,0.43703634,0.42138797,0.65463096,0.055965975,0.12191036,0.001988058,0.20222667,0.25573826,0.18952283,0.040066216,-63.485405,-52.983326,-30.846849,-52.248348,-17.765579
110.0,0.011703556,0.019505927,0.0033846779,0.43624508,0.0041389964,0.85215902,0.36751306,0.22229119,0.43569434,0.42191604,0.64934254,0.054592721,0.11902788,0.0021135868,0.19732569,0.25447586,0.19237211,0.039882138,-63.338707,-52.740425,-31.025661,-51.932617,-17.98691
120.0,0.011913832,0.019856386,0.0035922343,0.42560834,0.0044709919,0.84866655,0.36938542,0.22337988,0.43437776,0.42241648,0.64417177,0.053268105,0.11625554,0.0022447605,0.19260143,0.25322053,0.19510166,0.03970027,-63.193386,-52.50153,-31.199167,-51.622658,-18.206554
130.0,0.012125626,0.020209378,0.0038084274,0.41534147,0.0048246449,0.84512413,0.37123084,0.2244436,0.43308565,0.4228898,0.63911498,0.051990051,0.11358958,0.0023815492,0.18804619,0.25197235,0.19771585,0.039520677,-63.049538,-52.266891,-31.367708,-51.316727,-18.425123
140.0,0.012338921,0.020564869,0.0040339292,0.40543479,0.0052029272,0.84153879,0.37304986,0.22548303,0.43181711,0.42333654,0.6341688,0.05075739,0.11102827,0.002524416,0.18365583,0.25073123,0.20021884,0.03934345,-62.907135,-52.035889,-31.531481,-51.013268,-18.642221
150.0,0.012553569,0.020922614,0.0042682472,0.39586854,0.0056054099,0.83790255,0.37484303,0.22649878,0.43057135,0.4237572,0.6293301,0.049567647,0.10856613,0.0026730564,0.17942132,0.24949723,0.20261467,0.039168678,-62.766239,-51.809097,-31.690838,-50.713608,-18.858368
160.0,0.012769485,0.021282474,0.0045114537,0.38662881,0.0060335654,0.83421129,0.37661085,0.22749151,0.4293476,0.42415228,0.62459576,0.048419103,0.10619985,0.0028275435,0.17533641,0.24827036,0.20490716,0.038996447,-62.626873,-51.586456,-31.846022,-50.417461,-19.07382
170.0,0.01298673,0.021644549,0.0047648973,0.37771219,0.0064935964,0.83047277,0.3783538,0.22846183,0.42814514,0.42452228,0.61996299,0.047311425,0.10393037,0.0029888102,0.17139995,0.24705058,0.2071,0.038826853,-62.488956,-51.366814,-31.997082,-50.121696,-19.288147
180.0,0.013205073,0.022008454,0.00502674,0.36909041,0.0069796923,0.82666939,0.38007244,0.22941035,0.4269633,0.42486766,0.61542904,0.046240997,0.10174832,0.0031556378,0.16759871,0.24583793,0.20919676,0.038660001,-62.352596,-51.151775,-32.144485,-49.830986,-19.502369
190.0,0.013424749,0.022374583,0.0053002289,0.36077592,0.0075048874,0.82281959,0.38176724,0.23033765,0.42580146,0.42518887,0.61099148,0.045209561,0.099660963,0.0033302351,0.16393922,0.24463238,0.21120076,0.038495991,-62.217609,-50.938763,-32.287991,-49.53867,-19.715452
200.0,0.013645322,0.022742204,0.0055808234,0.35272166,0.0080545861,0.81889075,0.38343865,0.23124431,0.42465898,0.42548633,0.60664779,0.044211026,0.097651221,0.0035095857,0.16039899,0.24343395,0.21311529,0.038334936,-62.084225,-50.731289,-32.428391,-49.253704,-19.929199
210.0,0.013867099,0.023111831,0.0058724997,0.3449465,0.0086442959,0.81490517,0.3850871,0.2321309,0.42353535,0.42576054,0.60239577,0.043247975,0.095728844,0.0036963855,0.15698768,0.24224263,0.21494341,0.038176946,-61.952221,-50.52634,-32.565311,-48.968697,-20.142372
220.0,0.014089771,0.023482952,0.0061723748,0.33741924,0.0092660561,0.81084013,0.38671312,0.23299797,0.42243001,0.42601183,0.59823322,0.042316396,0.093883015,0.003888746,0.15369037,0.24105844,0.21668811,0.038022142,-61.821739,-50.32592,-32.699265,-48.688354,-20.356174
230.0,0.014313607,0.023856012,0.0064837574,0.33015454,0.0099322023,0.80671358,0.38831708,0.23384607,0.42134243,0.42624071,0.59415811,0.041418299,0.092121385,0.0040888982,0.15051466,0.23988135,0.21835223,0.037870642,-61.692593,-50.1278,-32.829945,-48.407963,-20.569635
240.0,0.014538696,0.02423116,0.0068092453,0.3231622,0.01065258,0.80253226,0.38989946,0.23467574,0.4202722,0.4264476,0.59016865,0.040555064,0.090449564,0.004298599,0.14746575,0.23871137,0.21993846,0.037722565,-61.56469,-49.930565,-32.957108,-48.124973,-20.782425
250.0,0.014766322,0.024610536,0.0071652136,0.31654662,0.011476594,0.7983849,0.39146066,0.23548757,0.41921884,0.42663294,0.58626306,0.039740477,0.088910565,0.0045286603,0.14459555,0.2375485,0.22144935,0.037578039,-61.437298,-49.725304,-33.078751,-47.823612,-20.990156
260.0,0.014988884,0.024981475,0.0074542887,0.30963078,0.012119368,0.79374439,0.39300105,0.23628168,0.41818181,0.42679653,0.58243901,0.038885638,0.087236121,0.0047149607,0.14157014,0.23639275,0.22288798,0.037437279,-61.314575,-49.565933,-33.207382,-47.603027,-21.218838
270.0,0.015217321,0.025362201,0.0078192372,0.30339161,0.013005138,0.78937113,0.39452109,0.23705915,0.4171609,0.42693964,0.57869577,0.038119029,0.085817277,0.0049516452,0.138872,0.23524407,0.22425598,0.037300285,-61.190449,-49.373272,-33.324795,-47.31728,-21.430889
280.0,0.015445807,0.025743011,0.0081870118,0.29732057,0.013922108,0.78486902,0.39602116,0.23782019,0.41615555,0.42706221,0.5750314,0.037373904,0.084453188,0.0051906491,0.13625036,0.23410249,0.22555615,0.03716727,-61.068096,-49.187943,-33.440361,-47.041031,-21.645844
290.0,0.015668467,0.026114112,0.0084756389,0.290905,0.014630761,0.77981424,0.39750162,0.23856506,0.41516536,0.4271642,0.57144397,0.036582585,0.082933575,0.0053779986,0.13344994,0.232968,0.22679114,0.037038453,-60.950546,-49.048191,-33.563972,-46.839561,-21.883326
300.0,0.015897404,0.026495673,0.0088531561,0.28521198,0.015627133,0.77507806,0.39896291,0.23929478,0.41419011,0.4272469,0.56793308,0.035885904,0.081695378,0.0056244363,0.13100134,0.23184055,0.22796236,0.036913816,-60.831367,-48.872356,-33.675014,-46.571983,-22.102316
310.0,0.016123962,0.02687327,0.0092015974,0.27949929,0.016567959,0.77004749,0.40040538,0.24000949,0.41322932,0.42731002,0.56449676,0.035185929,0.080435194,0.0058523174,0.12853515,0.23072015,0.22907251,0.036793612,-60.715057,-48.716537,-33.787788,-46.334312,-22.331364
320.0,0.016357852,0.027263086,0.009662088,0.27460381,0.017867854,0.76544279,0.40182948,0.24071006,0.41228276,0.4273546,0.56113446,0.034593496,0.079503387,0.0061546098,0.12647034,0.22960673,0.23012306,0.03667786,-60.596642,-48.519344,-33.885555,-46.02689,-22.53796
