data_set_value_component_environment_variable_time,data_set_value_component_RP_LH_variable_rel_LH_E2_P4_RP_LH,data_set_value_component_RP_LH_variable_RP_LH,data_set_value_component_RP_LH_variable_syn_LH_E2_P4,data_set_value_component_RP_LH_variable_V0_LH,data_set_value_component_RP_LH_variable_V1_LH,data_set_value_component_RP_LH_variable_h,data_set_value_component_RP_LH_variable_Km_LH,data_set_value_component_RP_LH_variable_Ki_LHP,data_set_value_component_RP_LH_variable_kLH_rel,data_set_value_component_RP_LH_variable_CLH_P,data_set_value_component_RP_LH_variable_CLH_E,data_set_value_component_LH_variable_LH,data_set_value_component_LH_variable_v_dis,data_set_value_component_LH_variable_clear_LH,data_set_value_component_LH_variable_kLH_cl,data_set_value_component_RP_FSH_variable_rel_FSH_E2_P4_RP_FSH,data_set_value_component_RP_FSH_variable_RP_FSH,data_set_value_component_RP_FSH_variable_syn_FSH_Ih,data_set_value_component_RP_FSH_variable_V_FSH,data_set_value_component_RP_FSH_variable_Ki_FSH_Ih,data_set_value_component_RP_FSH_variable_kFSH_rel,data_set_value_component_RP_FSH_variable_CFSH_P,data_set_value_component_RP_FSH_variable_CFSH_E,data_set_value_component_FSH_variable_FSH,data_set_value_component_FSH_variable_v_dis,data_set_value_component_FSH_variable_clear_FSH,data_set_value_component_FSH_variable_kFSH_cl,data_set_value_component_E2_variable_E2,data_set_value_component_E2_dE_variable_E2_dE,data_set_value_component_E2_dE_variable_dE,data_set_value_component_P4_variable_P4,data_set_value_component_P4_dP_variable_P4_dP,data_set_value_component_P4_dP_variable_dP,data_set_value_component_Ih_variable_Ih,data_set_value_component_Ih_dIh_variable_Ih_dIh,data_set_value_component_Ih_dIh_variable_dIh
0.0,518.939074166967,467.0,11493.990476350724,1400.0,95900.0,8.0,360.0,26.0,3.0,0.024,0.008,40.0,2.5,560.0,14.0,0.0,0.0,3462.0912529060147,4400.0,1176.5,45.0,3.0,0.005,150.0,2.5,1231.5000000000002,8.21,240.14954015458565,275.8764954241982,0.42,3.4178834880595863,0.22452768039692006,2.9,400.885564809089,318.7234420900542,2.0
0.1,1616.671867998038,1410.607877627305,9582.630488509625,1400.0,95900.0,8.0,360.0,26.0,3.0,0.024,0.008,35.992003584883925,2.5,503.88805018837496,14.0,637.3859103413843,314.62410311168134,3457.8136667576537,4400.0,1176.5,45.0,3.0,0.005,75.73770792182304,2.5,621.8065820381672,8.21,231.19668926998227,268.0369497636157,0.42,3.6922783944611233,0.25049612266152144,2.9,408.542819786035,320.57315051884507,2.0
0.2,2454.4021147979743,2075.1160517037333,7857.125563569672,1400.0,95900.0,8.0,360.0,26.0,3.0,0.024,0.008,55.157809616419996,2.5,772.20933462988,14.0,1320.8502224297715,562.5246883734263,3453.1804488099942,4400.0,1176.5,45.0,3.0,0.005,61.23113349342395,2.5,502.70760598101066,8.21,222.36727596262284,259.6390805192756,0.42,3.9842728733856636,0.2791576777313275,2.9,416.6584005281683,322.58181073593084,2.0
0.30000000000000004,3061.3838409739183,2507.104947367605,6377.849659821205,1400.0,95900.0,8.0,360.0,26.0,3.0,0.024,0.008,74.81509593001633,2.5,1047.4113430202285,14.0,2016.631101993301,740.6569280607596,3448.1690342728216,4400.0,1176.5,45.0,3.0,0.005,73.77461710042635,2.5,605.6896063945004,8.21,213.75762642941783,250.88203502485004,0.42,4.294584583021976,0.3107531905403093,2.9,425.24886051869134,324.76050914197236,2.0
0.4,3471.978424473802,2753.815940051341,5163.305753214295,1400.0,95900.0,8.0,360.0,26.0,3.0,0.024,0.008,90.07483491121135,2.5,1261.047688756959,14.0,2682.297796906687,849.8191995576778,3442.756207572062,4400.0,1176.5,45.0,3.0,0.005,97.91276463908595,2.5,803.8637976868957,8.21,205.44038887371218,241.94464303107404,0.42,4.623924107888092,0.345540586702553,2.9,434.3304275990647,327.1208455929843,2.0
0.5,3721.7665968412416,2859.1513759077416,4200.843120051456,1400.0,95900.0,8.0,360.0,26.0,3.0,0.024,0.008,100.49326948541372,2.5,1406.905772795792,14.0,3272.5819701982546,895.2530902543004,3436.918176438455,4400.0,1176.5,45.0,3.0,0.005,125.62727398063384,2.5,1031.3999193810039,8.21,197.46744782509856,232.98091147975313,0.42,4.97299113129201,0.38379559595906065,2.9,443.9189092412473,329.67493180018323,2.0
0.6000000000000001,3844.5268576150406,2861.2363579162593,3459.399657055771,1400.0,95900.0,8.0,360.0,26.0,3.0,0.024,0.008,106.70730220017877,2.5,1493.9022308025028,14.0,3747.610750434717,886.5292328884551,3430.6306588262664,4400.0,1176.5,45.0,3.0,0.005,152.2184957827608,2.5,1249.7138503764663,8.21,189.8731465151244,224.11830241383888,0.42,5.342470374929704,0.4258124527474519,2.9,454.02959319116826,332.4353867580394,2.0
0.7000000000000001,3870.348151028027,2791.4362142550754,2900.4974386662643,1400.0,95900.0,8.0,360.0,26.0,3.0,0.024,0.008,109.55470094251932,2.5,1533.7658131952705,14.0,4081.571859610476,836.5667055409473,3423.8689831945176,4400.0,1176.5,45.0,3.0,0.005,174.73062607711702,2.5,1434.538440093131,8.21,182.67748907289564,215.45816921049024,0.42,5.733027315833234,0.4719045664138815,2.9,464.67714379723554,335.4153289475931,2.0
0.8,3824.776592490179,2674.4433134227525,2485.824484054901,1400.0,95900.0,8.0,360.0,26.0,3.0,0.024,0.008,109.83047470512066,2.5,1537.6266458716893,14.0,4268.920122426052,759.883665414819,3416.608202556367,4400.0,1176.5,45.0,3.0,0.005,191.46381593868378,2.5,1571.917928856594,8.21,175.8891139263697,207.07767965685136,0.42,6.145303693452586,0.5224051530029348,2.9,475.87549439312943,338.6283650629813,2.0
0.9,3728.7186631696436,2528.9926310607198,2181.4185138211556,1400.0,95900.0,8.0,360.0,26.0,3.0,0.024,0.008,108.21902552952622,2.5,1515.066357413367,14.0,4325.441405394253,670.4666243657406,3408.823222549298,4400.0,1176.5,45.0,3.0,0.005,201.85406915675105,2.5,1657.2219077769264,8.21,169.50792489661882,199.03261753056597,0.42,6.579912822302136,0.5776678199886,2.9,487.637736160317,342.08857501230733,2.0
