T,H,ICA,IK,INA,M,MCA,N,V
0.0,0.72665501,-0.00077946129,9.4740882e-10,-6.6666007e-07,0.000734,0.0030159999,0.001932,-71.0
0.02,0.72646058,-0.00080338062,9.8257036e-10,-8.1575268e-07,0.00078515353,0.003061956,0.0019496614,-70.998596
0.039999999,0.72626638,-0.00082696311,1.0185059e-09,-9.782741e-07,0.00083424902,0.0031066013,0.001967228,-70.997192
0.059999999,0.72607249,-0.00085019902,1.0552184e-09,-1.1532608e-06,0.00088137039,0.0031499739,0.0019847001,-70.995789
0.079999998,0.72587878,-0.00087308016,1.0927104e-09,-1.3396921e-06,0.00092659792,0.0031921107,0.0020020786,-70.994385
0.1,0.72568536,-0.00089559954,1.1309846e-09,-1.5365157e-06,0.00097000872,0.003233047,0.0020193637,-70.992981
0.12,0.72549218,-0.0009177514,1.1700435e-09,-1.7426677e-06,0.0010116769,0.0032728175,0.0020365561,-70.991577
0.14,0.72529924,-0.00093953096,1.209889e-09,-1.9570898e-06,0.0010516732,0.0033114562,0.0020536564,-70.990173
0.16,0.72510654,-0.00096093462,1.2505231e-09,-2.1787423e-06,0.0010900658,0.0033489957,0.0020706649,-70.988762
0.18000001,0.72491407,-0.00098195951,1.2919477e-09,-2.4066137e-06,0.00112692,0.0033854677,0.0020875826,-70.987358
0.2,0.72472185,-0.0010026038,1.3341642e-09,-2.6397306e-06,0.0011622984,0.0034209029,0.0021044095,-70.985954
0.22,0.72452992,-0.0010228662,1.3771742e-09,-2.8771617e-06,0.001196261,0.0034553313,0.0021211465,-70.98455
0.23999999,0.72433817,-0.0010427465,1.4209787e-09,-3.1180234e-06,0.0012288656,0.0034887823,0.0021377939,-70.983147
0.25999999,0.72414672,-0.0010622449,1.4655787e-09,-3.361482e-06,0.0012601673,0.0035212836,0.0021543524,-70.981735
0.28,0.72395545,-0.001081362,1.5109752e-09,-3.6067559e-06,0.0012902193,0.0035528631,0.0021708226,-70.980331
0.30000001,0.72376448,-0.0011000996,1.5571688e-09,-3.8531161e-06,0.0013190723,0.003583547,0.0021872048,-70.978928
0.31999999,0.72357368,-0.0011184594,1.60416e-09,-4.0998871e-06,0.0013467752,0.0036133616,0.0022034994,-70.977524
0.34,0.72338319,-0.0011364437,1.6519492e-09,-4.3464447e-06,0.0013733747,0.0036423316,0.0022197072,-70.976112
0.36000001,0.72319293,-0.0011540555,1.7005364e-09,-4.5922161e-06,0.0013989159,0.0036704817,0.0022358287,-70.974709
0.38,0.72300291,-0.0011712976,1.7499217e-09,-4.8366778e-06,0.0014234418,0.0036978354,0.0022518642,-70.973305
0.40000001,0.72281313,-0.001188174,1.8001047e-09,-5.0793551e-06,0.0014469936,0.0037244158,0.0022678145,-70.971893
0.41999999,0.72262353,-0.0012046881,1.8510854e-09,-5.3198182e-06,0.001469611,0.0037502451,0.0022836796,-70.97049
0.44,0.72243422,-0.0012208441,1.902863e-09,-5.5576807e-06,0.0014913321,0.0037753452,0.0022994606,-70.969086
0.46000001,0.72224516,-0.0012366463,1.9554371e-09,-5.7925986e-06,0.0015121932,0.003799737,0.0023151576,-70.967674
