Time,p,mm,m,pm,S,alpha,k_t,k_tl,k_b,k_f,beta,gamma,delta,compartment_1
0.0,1.0,1.0,1.0,1.0,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.01,10.071742199174913,1.0048784304014278,0.2521516416758815,1.757837733644026,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.02,19.73053968701618,1.0675672834641123,0.13769184430006473,1.8826741221501566,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.03,29.440858453215412,1.2443797079465841,0.09493743157234136,1.9373939914559453,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.04,39.15359980649652,1.5912311555285659,0.0727714873868355,1.9750990435017375,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.05,48.855130860095635,2.163396056703112,0.059362963730751714,2.0103788235224975,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.06,58.537596654952175,3.015407255137451,0.050545711584286064,2.0509204742956517,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.07,68.19399950823542,4.200930554284474,0.04449024856735997,2.1028243372074495,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.08,77.81686895345221,5.77260612904673,0.040276182818566965,2.1720163991351815,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.09,87.39777167587077,7.781852028250649,0.0373970012801694,2.2647270326410136,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.1,96.92708176932479,10.278647111095864,0.035556735948267956,2.387676049681103,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.11,106.39386660396683,13.311200104006902,0.03457583689421045,2.548134356837735,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.12,115.78578561676218,16.925732366986534,0.034343528395450504,2.753957232065734,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.13,125.08904668683712,21.166073404543265,0.03479183970060806,3.0135699602700456,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.14,134.28836632817345,26.073288578601158,0.03588079141135384,3.335946776775486,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.15,143.36694498267815,31.68526964164797,0.037589354524326275,3.730577998088899,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.16,152.30645755759488,38.03628639317548,0.039909976133184526,4.207426629135083,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.17,161.08705708045682,45.15651536000851,0.04284508884106751,4.776877053763997,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.18,169.6873922701123,53.07154564878297,0.04640474432595675,5.449675755511945,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.19,178.0846397822172,61.80187221814659,0.05060525503208366,6.23686444577662,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.2,186.25455161409988,71.36237885049816,0.055468066484013374,7.14970555485134,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.21,194.1715162950193,81.76180903893571,0.06101946411314636,8.199599975035243,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.22,201.80862919370236,93.0023103662391,0.0672900414303777,9.398005568489959,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.23,209.13785516005632,105.0789016102668,0.07431471992935144,10.756309880537891,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.24,216.13001921056627,117.97896548624266,0.08213302056323328,12.285774151475668,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.25,222.75505358480459,131.68205062443883,0.09078909193618227,13.99739264134477,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.26,228.98211083784835,146.15956786924872,0.10033227488338806,15.901798865944876,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.27,234.7796808211133,161.3740156093946,0.11081761472661951,18.009125972815745,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.28,240.11582530742194,177.27918756204872,0.1223065069763688,20.3288935634994,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.29,244.95838229150726,193.8202119236162,0.1348676717863483,22.869892927991604,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.3,249.27514278544774,210.9333944684748,0.1485783057447162,25.640064948450647,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.31,253.0340853065921,228.54636102218774,0.16352531419342325,28.646369610166378,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.32,256.20361396493394,246.57839643080692,0.1798070126279413,31.894668292005566,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.33,258.75278742238226,264.94087224719823,0.19753491652776473,35.389616448437536,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.34,260.65157469853216,283.5378504414204,0.2168366196233684,39.134551057004266,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.35,261.87111207286097,302.26685656245485,0.23785856404468128,43.13138859938698,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.36,262.3839199242116,321.01970135937603,0.2607691746689973,47.38055119711997,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.37,262.16416790418674,339.6836111335943,0.28576441134161834,51.88088337954308,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.38,261.1879009785544,358.14240109057675,0.3130730801258903,56.62959634320346,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.39,259.4332590425414,376.27779987701297,0.3429641063640922,61.62222589293438,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.4,256.88068812966696,393.9709192519754,0.37575596021325,66.85260636553681,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.41,253.51313082499402,411.1038122572845,0.41182856553105734,72.31286392661974,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.42,249.31620289960054,427.56117728339683,0.45163933288162106,77.99342935999985,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
0.43,244.2783469785332,443.2321176565713,0.4957428699487118,83.88307010415026,1000.0,0.1,0.03,1.4,7200.0,5000.0,0.6,0.2,11.0,1.0
