value_component_environment_variable_time,value_component_x_variable_x,value_component_y_variable_y,value_component_z_variable_z,value_component_model_parameters_variable_epsilon,value_component_model_parameters_variable_delta,value_component_model_parameters_variable_a1,value_component_model_parameters_variable_a2,value_component_model_parameters_variable_a3,value_component_model_parameters_variable_a4,value_component_model_parameters_variable_a5,value_component_model_parameters_variable_b1,value_component_model_parameters_variable_b2,value_component_model_parameters_variable_b3,value_component_model_parameters_variable_k1,value_component_model_parameters_variable_k2,value_component_model_parameters_variable_k3,value_component_model_parameters_variable_kc
0.0,2.0,1.0,0.15,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,0.2
0.1,1.9846284491199044,0.9974578951658284,0.150159123710964,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,0.2
0.2,1.9694193970697704,0.9949254155853987,0.15031685877386025,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,0.2
0.30000000000000004,1.9543720231513924,0.9924025637655677,0.15047321315368328,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,0.2
0.4,1.9394848578366883,0.989889301524305,0.15062820032747806,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,0.2
0.5,1.924756348122645,0.987385587736135,0.15078183453289976,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,0.2
0.6000000000000001,1.910184910806094,0.9848913797471025,0.15093413028228456,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,0.2
0.7000000000000001,1.8957691344371699,0.9824066390086137,0.15108510051326718,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,0.2
0.8,1.8815074368242235,0.9799313217894634,0.15123475972855294,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,0.2
0.9,1.8673982425114646,0.9774653839446733,0.15138312236941173,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,0.2
1.0,1.853440010264062,0.9750087816249203,0.15153020256378708,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,0.2
