T,C1,C2,C3,C4,C5,I1,I2,I3,I4,I5,I6,INA,O,OB,V
0.0,0.89999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-80.0
0.079999998,0.84166014,0.056462388,0.0014201154,1.5861053e-05,6.4210823e-08,0.00020812679,0.00016959941,5.4454093e-05,7.9255105e-06,3.5079412e-07,7.857148e-07,-0.00011795531,2.077979e-07,2.8365847e-09,-80.0
0.16,0.84124964,0.056435097,0.0014194439,1.5855516e-05,6.5302508e-08,0.00038904362,0.00034790483,0.00012018655,1.8638366e-05,9.6787187e-07,2.9108114e-06,-0.00013275055,2.2918414e-07,7.8703986e-09,-80.0
0.23999999,0.84084857,0.056408331,0.0014187807,1.5848575e-05,6.5367594e-08,0.00056552625,0.00052205782,0.00018451495,2.9183568e-05,1.611264e-06,5.3021349e-06,-0.00013642924,2.3083598e-07,1.2787674e-08,-80.0
0.31999999,0.84045643,0.056382164,0.0014181322,1.5841701e-05,6.5369953e-08,0.00073798717,0.00069226383,0.00024740232,3.9502975e-05,2.247541e-06,7.6978613e-06,-0.00013928032,2.3127271e-07,1.744217e-08,-80.0
0.40000001,0.84007317,0.05635659,0.0014174983,1.5834976e-05,6.5368468e-08,0.00090656005,0.00085863663,0.00030887651,4.9592411e-05,2.8708707e-06,1.0050486e-05,-0.00014194087,2.3162646e-07,2.183938e-08,-80.0
0.47999999,0.83969849,0.05633159,0.0014168787,1.58284e-05,6.5366663e-08,0.0010713403,0.001021267,0.00036896844,5.9455346e-05,3.4804355e-06,1.2352202e-05,-0.00014445679,2.3196534e-07,2.5993213e-08,-80.0
0.56,0.83933228,0.056307152,0.0014162729,1.5821974e-05,6.5364745e-08,0.0012324147,0.00118024,0.00042770908,6.9096553e-05,4.0763393e-06,1.4602529e-05,-0.00014683808,2.3229354e-07,2.991731e-08,-80.0
0.63999999,0.8389743,0.056283262,0.0014156809,1.5815691e-05,6.5362734e-08,0.0013898669,0.001335638,0.00048512881,7.8520978e-05,4.6588516e-06,1.680232e-05,-0.00014909226,2.3261161e-07,3.3624559e-08,-80.0
0.72000003,0.83862436,0.056259912,0.0014151022,1.580955e-05,6.5360645e-08,0.0015437783,0.0014875416,0.00054125726,8.7733461e-05,5.2282658e-06,1.8952655e-05,-0.00015122637,2.3291994e-07,3.712713e-08,-80.0
0.80000001,0.83828229,0.056237083,0.0014145364,1.5803547e-05,6.5358478e-08,0.0016942286,0.0016360291,0.00059612357,9.6738782e-05,5.7848756e-06,2.1054635e-05,-0.00015324702,2.332189e-07,4.0436507e-08,-80.0
0.88,0.83794791,0.056214768,0.0014139833,1.5797679e-05,6.535624e-08,0.0018412957,0.0017811775,0.00064975605,0.00010554159,6.3289685e-06,2.3109347e-05,-0.00015516051,2.3350881e-07,4.3563521e-08,-80.0
0.95999998,0.83762103,0.056192957,0.0014134428,1.5791942e-05,6.5353944e-08,0.0019850556,0.0019230619,0.00070218247,0.00011414645,6.860826e-06,2.5117854e-05,-0.00015697272,2.3379003e-07,4.6518387e-08,-80.0
1.04,0.83730155,0.056171637,0.0014129143,1.5786334e-05,6.53516e-08,0.0021255827,0.0020617556,0.00075342989,0.0001225578,7.3807232e-06,2.7081194e-05,-0.00015868923,2.3406288e-07,4.9310756e-08,-80.0
1.12,0.83698922,0.056150798,0.0014123977,1.5780852e-05,6.5349212e-08,0.0022629495,0.0021973304,0.00080352492,0.00013078001,7.8889288e-06,2.9000383e-05,-0.00016031532,2.3432764e-07,5.1949726e-08,-80.0
1.2,0.83668387,0.056130424,0.0014118928,1.5775495e-05,6.5346789e-08,0.0023972273,0.0023298564,0.00085249345,0.00013881731,8.3857067e-06,3.0876414e-05,-0.00016185596,2.3458462e-07,5.4443884e-08,-80.0
