data_generator_INA,data_generator_T
-0.0,0.0
-0.00011795531,0.079999998
-0.00013275055,0.16
-0.00013642924,0.23999999
-0.00013928032,0.31999999
-0.00014194087,0.40000001
-0.00014445679,0.47999999
-0.00014683808,0.56
-0.00014909226,0.63999999
-0.00015122637,0.72000003
-0.00015324702,0.80000001
-0.00015516051,0.88
-0.00015697272,0.95999998
-0.00015868923,1.04
-0.00016031532,1.12
-0.00016185596,1.2
-0.00016331584,1.28
-0.00016469939,1.36
-0.0001660108,1.4400001
-0.00016725399,1.52
-0.00016843273,1.6
-0.00016955051,1.6799999
-0.00017061066,1.76
-0.00017161632,1.84
-0.00017257046,1.92
-0.00017347587,2.0
-0.0001743352,2.0799999
-0.00017515094,2.1600001
-0.00017592544,2.24
-0.00017666092,2.3199999
-0.0001773595,2.4000001
-0.00017802315,2.48
-0.00017865376,2.5599999
-0.00017925308,2.6400001
-0.0001798228,2.72
-0.0001803645,2.8
-0.00018087967,2.8800001
-0.0001813697,2.96
-0.00018183596,3.04
-0.00018227968,3.1199999
-0.00018270205,3.2
-0.00018310422,3.28
-0.00018348722,3.3599999
-0.00018385207,3.4400001
-0.00018419973,3.52
-0.00018453108,3.5999999
-0.00018484695,3.6800001
-0.00018514819,3.76
-0.00018543554,3.8399999
-0.00018570968,3.9200001
-0.00018597134,4.0
-0.00018622112,4.0799999
-0.00018645966,4.1599998
-0.0001866875,4.2399998
-0.00018690519,4.3200002
-0.00018711327,4.4000001
-0.00018731219,4.48
-0.00018750243,4.5599999
-0.00018768442,4.6399999
-0.00018785856,4.7199998
-0.00018802525,4.8000002
-0.00018818486,4.8800001
-0.00018833774,4.96
-140.24745,5.04
-150.90039,5.1199999
-128.26216,5.1999998
-109.54695,5.2800002
-94.14476,5.3600001
-81.467308,5.4400001
-71.030594,5.52
-62.4366,5.5999999
-55.358013,5.6799998
-49.525665,5.7600002
-44.718204,5.8400002
-40.753605,5.9200001
-37.482166,6.0
-34.780792,6.0799999
-32.548248,6.1599998
-30.701284,6.2399998
-29.171444,6.3200002
-27.902424,6.4000001
-26.847929,6.48
-25.969883,6.5599999
-25.236979,6.6399999
-24.623466,6.7199998
-24.108173,6.8000002
-23.673685,6.8800001
-23.305683,6.96
-22.992392,7.04
-22.724125,7.1199999
-22.492922,7.1999998
-22.292231,7.2800002
-22.116667,7.3600001
-21.961802,7.4400001
-21.823992,7.52
-21.700241,7.5999999
-21.588087,7.6799998
-21.485502,7.7600002
-21.390823,7.8400002
-21.302677,7.9200001
-21.219938,8.0
-21.141678,8.0799999
-21.067137,8.1599998
-20.995684,8.2399998
-20.926807,8.3199997
-20.860081,8.3999996
-20.795156,8.4799995
-20.731745,8.5600004
-20.669613,8.6400003
-20.608564,8.7200003
-20.548441,8.8000002
-20.489107,8.8800001
-20.43046,8.96
-20.372406,9.04
-20.314873,9.1199999
-20.257801,9.1999998
-20.201141,9.2799997
-20.14485,9.3599997
-20.088894,9.4399996
-20.033247,9.5200005
-19.977884,9.6000004
-19.922787,9.6800003
-19.867939,9.7600002
-19.813328,9.8400002
-19.758942,9.9200001
-19.704773,10.0
-19.650814,10.08
-19.597057,10.16
-19.543497,10.24
-19.490131,10.32
-19.436954,10.4
-19.383965,10.48
-19.331156,10.56
-19.27853,10.64
-19.226082,10.72
-19.173813,10.8
-19.121717,10.88
-19.069798,10.96
-19.018051,11.04
-18.966475,11.12
-18.915071,11.2
-18.863836,11.28
-18.812773,11.36
-18.761875,11.44
-18.711147,11.52
-18.660585,11.6
-18.610189,11.68
-18.559959,11.76
-18.509893,11.84
-18.459993,11.92
-18.410257,12.0
-18.360683,12.08
-18.311272,12.16
-18.262022,12.24
-18.212934,12.32
-18.164007,12.4
-18.115242,12.48
