Time,I,N,T,r,beta1,n,gamma,alpha1,alpha2,beta2,alpha3,sigma,delta,rho,m,m1,rho1,mu,mu1,Tissue,Normal_cell_proliferation,division_of_normal_cells_into_abnormal_cells,Normal_cells_eradication_by_immune_cells,Normal_cells_eradication_or_inhibition_by_tumor_cells,Tumor_cells_proliferation,decline_of_tumor_cells,conversion_of_abnormal_cells_into_tumor_cells,tumor_cell_eradication_or_inhibition_by_immune_cells,constant_source_of_immune_system_response,immune_cells_death,elimination_of_tumor_cells_due_to_the_detection_of_their_appearance,elimination_of_tumor_cells_due_to_the_detection_of_their_activity,death_of_immune_cells_after_interaction_with_tumor,suppression_of_immune_activity_by_tumor_cells
0.0,0.999999999999994,0.999999999999993,1.22,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,0.43119999999999703,1.289287999999982e-06,0.4311999999999944,1.1363079999999919,0.539972,0.263506336,1.45057999999999,0.1792179999999989,0.7,0.5699999999999965,0.14947600661886243,0.4587598463016303,0.8129999999999894,0.4433479999999973
0.3,0.8871256308654303,0.672707095154252,1.6663494944990798,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,0.29007129943051346,5.834477334702847e-07,0.2573296845032494,1.0440669201784345,0.7375262862652927,0.4915906217191816,1.33282753713996,0.2171565918081637,0.7,0.5056616095932952,0.10885471093277936,0.4577416258044342,0.4851786491213862,0.5372001733361926
0.6,0.8311539673927946,0.40878873836717877,2.0094687966044944,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,0.1762697039839275,2.1545063901279793e-07,0.14650726379739482,0.7650968666613258,0.8893908893771492,0.7148812960750803,0.9767019266269233,0.24534914271326297,0.7,0.47375776141389286,0.07536220179030612,0.4553705506062893,0.27623006833785246,0.6069426716269555
0.9,0.8050333697751425,0.23139246524345639,2.2115002607003027,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,0.0997764310129784,6.903166789240731e-08,0.08032335648251503,0.4766201967013842,0.9788100153859539,0.8658554416808417,0.6084404271826775,0.2615306983974221,0.7,0.45886902077183117,0.048335771719549434,0.45349647590874975,0.15144454735687551,0.6469724696911041
1.2,0.7946760285648906,0.12617588033983365,2.300291503973466,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,0.054407039602536275,2.052591979441728e-08,0.04323597015731625,0.27033075199121853,1.0181090196586562,0.9367790112158246,0.34509691230143746,0.2685312193354295,0.7,0.4529653362819876,0.028932690179100492,0.4525612652400323,0.08151865430866907,0.6642903002484349
1.5,0.7930882556102998,0.06788206397931854,2.3198406540547416,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,0.029270745987882155,5.941006369096676e-09,0.02321428487594164,0.14667274748172288,1.0267614734846287,0.9527692032827165,0.1872384547517377,0.2702722576721036,0.7,0.45206030569787087,0.01656258351216576,0.4526969205706975,0.0437690482470792,0.6685972664264292
1.8,0.7967394023205819,0.03652017850138371,2.3034747044372663,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,0.015747500969796657,1.7195536236393847e-09,0.012546654510718572,0.07835244849323934,1.019517904183934,0.9393734812034356,0.1000226124741911,0.26960102480733983,0.7,0.45414145932273164,0.009282068709535681,0.4539073221755491,0.023655914000960572,0.666936776140145
2.1,0.8036614422694623,0.019775261318883193,2.270850064230101,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,0.008527092680702434,5.041902032931682e-10,0.006852895602138693,0.041826057010432835,1.0050782384282426,0.9129527929164207,0.05339401093558584,0.26809171229235934,0.7,0.4580870220935935,0.005171741853936612,0.4560666079250397,0.012920696021657598,0.6632030513753804
2.4,0.8126295392331638,0.010805703033620441,2.232267220319548,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,0.004659419148097135,1.5054141587427213e-10,0.0037863816354123557,0.022466501210590566,0.988001471713432,0.8821933195733462,0.028680126625931054,0.2664775229276854,0.7,0.46319883736290335,0.0028886181093256613,0.45897313244139654,0.007138980217046022,0.6592098831308433
2.7,0.8228276657430686,0.005962311013663604,2.192754508020789,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,0.002570948509091746,4.583309588784602e-11,0.0021154475604815842,0.012177015886787372,0.9705131452500011,0.8512388297361498,0.015544848496231679,0.2650456578798652,0.7,0.4690117694735491,0.0016234125051934397,0.4624117665894671,0.003988540970945101,0.655667747267141
3.0,0.8336965677788978,0.0033213053432717666,2.1546058917240423,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,0.0014321468640187858,1.4222225125128337e-11,0.0011939759250877736,0.006665195322255098,0.9536285676770611,0.8218774921733423,0.008508607728324364,0.2638746391627546,0.7,0.4752070436339717,0.0009192316671952587,0.46619066695298816,0.002251165183433116,0.6527708908900274
3.3,0.8448506015381405,0.001866715299573703,2.1187560303695983,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,0.0008049276371761808,4.4926864987457974e-12,0.0006800435984629704,0.003683793457115263,0.9377614190415842,0.7947550646569232,0.004702630900268465,0.2629557458645597,0.7,0.48156484287674006,0.000524494232406891,0.47015464489279707,0.0012821786770649234,0.6504977402803335
3.6,0.8560251941806934,0.0010578248780852677,2.0854849325782086,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,0.00045613408743036744,1.4427048564254244e-12,0.0003904622707650137,0.0020547409044168563,0.9230356311591151,0.7699907604060605,0.002623026557173762,0.2622499409581251,0.7,0.4879343606829952,0.00030144935513013815,0.4741855360582423,0.0007361916190444251,0.6487517259644837
3.9,0.8670411374620107,0.0006039579172544503,2.054770002780914,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,0.00026042665392011897,4.702873511024303e-13,0.00022580062224032536,0.0011558623809801711,0.9094412032308326,0.7474770014766783,0.0014755425928552968,0.2617126506917521,0.7,0.4942134483533461,0.00017442254558693935,0.4781971996276497,0.0004257326203186097,0.6474225817657093
4.2,0.8777795971908321,0.0003471902841836663,2.0264592373488024,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,0.0001497084505399969,1.5541218526815684e-13,0.0001314110234110621,0.0006553022651485266,0.8969108584505799,0.7270213176742488,0.0008365411136585765,0.2613034537859915,0.7,0.5003343703987743,0.00010154215252745406,0.48212916570199793,0.00024776707336083827,0.6464103138586066
4.5,0.8881644320424432,0.00020083261026232748,2.0003549322218377,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,8.659902154511562e-05,5.200180355377662e-14,7.691417078604892e-05,0.0003741773784184714,0.8853570930013853,0.7084113711051638,0.0004776647014596979,0.26098901862200996,0.7,0.5062537262641926,5.9442776463918746e-05,0.48594066794496293,0.00014501674593937327,0.6456324667613235
4.8,0.8981496283133855,0.00011683496858346154,1.9762529139819163,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,5.037923845318862e-05,1.7599309658391658e-14,4.5248094291442775e-05,0.00021505601944575315,0.8746895397283961,0.6914431006870977,0.00027453468662336325,0.26074321347946255,0.7,0.5119452881386297,3.497340189575751e-05,0.4896056472792679,8.531238557268778e-05,0.645024396041094
5.1,0.9077103485935637,6.83243290605458e-05,1.9539598114853178,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,2.946145069090735e-05,6.018672216303729e-15,2.6742463676715596e-05,0.00012434468780221793,0.8648226125634016,0.6759314516050497,0.00015873505883276482,0.2605461796641472,0.7,0.5173948986983312,2.0671162983307462e-05,0.4931088016496856,5.0421203546312106e-05,0.6445369754251266
5.4,0.9168365440230154,4.0147406250996595e-05,1.9332996231612891,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,1.7311561575429734e-05,2.0780927432696814e-15,1.5871872286458624e-05,7.22924415511644e-05,0.8556784132111865,0.6617131015233747,9.228657183201039e-05,0.2603831505493426,0.7,0.5225968300931187,1.2268930537633529e-05,0.4964425626896582,2.9925399278503847e-05,0.6441336753548745
5.7,0.9255283896425927,2.3694916020454676e-05,1.914115206456455,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,1.0217247788020056e-05,7.238695166089617e-16,9.456352891825544e-06,4.2243459854227344e-05,0.847187390377627,0.6486457066559908,5.3926856094778094e-05,0.2602433340029779,0.7,0.5275511820962777,7.309892775272114e-06,0.4996048277380277,1.782934810077497e-05,0.64378779834365
6.0,0.9337930202103949,1.4041779173513846e-05,1.8962674873366512,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,6.054815179619171e-06,2.542109292890694e-16,5.65394415339233e-06,2.480035921635409e-05,0.8392879898952018,0.6366058111001612,3.1659466510892216e-05,0.26011896545223695,0.7,0.5322620215199251,4.370629640257434e-06,0.5025972813302154,1.0660149806836652e-05,0.6434801364557039
6.3,0.9416421961560679,8.352713170690191e-06,1.87963376652439,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,3.6016899192016105e-06,8.995080964632357e-17,3.3915032053901753e-06,1.4623018855886535e-05,0.831925905063695,0.6254864089616341,1.8667349602371798e-05,0.26000454853144395,0.7,0.5367360518089587,2.621728789152692e-06,0.505424165335995,6.394462212389175e-06,0.6431970928272753
6.6,0.9490906367808821,4.986014626775684e-06,1.8641057821757825,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,2.149969507065675e-06,3.205214043395998e-17,2.0405159285204407e-06,8.656858829254688e-06,0.8250532191910013,0.6151945905986755,1.1051111389289053e-05,0.25989626500894103,0.7,0.5409816629651027,1.5773835918367807e-06,0.5080913854269751,3.84726217506289e-06,0.6429292219485989
6.9,0.9561548334394145,2.9860249273517827e-06,1.849587829276478,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,1.2875739486740888e-06,1.1495736440583286e-17,1.2311200544354027e-06,5.144043369606778e-06,0.8186275732377691,0.6056494384682867,6.566746367256238e-06,0.2597915251622293,0.7,0.5450082550604662,9.516972269139863e-07,0.5106058672544339,2.3211980618181406e-06,0.6426701173856645
7.2,0.9628522087492711,1.7937087976517888e-06,1.8359950578487312,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,7.734472335474514e-07,4.148143930927169e-18,7.447153771721769e-07,3.0673241902516727e-06,0.8126114126038484,0.5967802149968567,3.9156629398853756e-06,0.2596886296255821,0.7,0.5488257589870845,5.756908890864774e-07,0.5129750967860756,1.4041131763473557e-06,0.6424155752616509
7.5,0.9692005256037746,1.0805402193797087e-06,1.823251985690485,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.271,0.813,0.862,0.7829,0.813,0.3634,1.0,4.6592894259653043e-07,1.5053303359273461e-18,4.515785760585682e-07,1.8349484395011556e-06,0.8069713288666086,0.5885248311005334,2.342445452616356e-06,0.2595865173990996,0.7,0.5524442995941514,3.4908625222350285e-07,0.5152067957336152,8.514225007783301e-07,0.6421629708838175
