I_1_task1,N_2_task1,T_3_task1,_1_task1
0.999999999999994,0.999999999999993,1.22,0.0
0.8871256308654303,0.672707095154252,1.6663494944990798,0.3
0.8311539673927946,0.40878873836717877,2.0094687966044944,0.6
0.8050333697751425,0.23139246524345639,2.2115002607003027,0.9
0.7946760285648906,0.12617588033983365,2.300291503973466,1.2
0.7930882556102998,0.06788206397931854,2.3198406540547416,1.5
0.7967394023205819,0.03652017850138371,2.3034747044372663,1.8
0.8036614422694623,0.019775261318883193,2.270850064230101,2.1
0.8126295392331638,0.010805703033620441,2.232267220319548,2.4
0.8228276657430686,0.005962311013663604,2.192754508020789,2.7
0.8336965677788978,0.0033213053432717666,2.1546058917240423,3.0
0.8448506015381405,0.001866715299573703,2.1187560303695983,3.3
0.8560251941806934,0.0010578248780852677,2.0854849325782086,3.6
0.8670411374620107,0.0006039579172544503,2.054770002780914,3.9
0.8777795971908321,0.0003471902841836663,2.0264592373488024,4.2
0.8881644320424432,0.00020083261026232748,2.0003549322218377,4.5
0.8981496283133855,0.00011683496858346154,1.9762529139819163,4.8
0.9077103485935637,6.83243290605458e-05,1.9539598114853178,5.1
0.9168365440230154,4.0147406250996595e-05,1.9332996231612891,5.4
0.9255283896425927,2.3694916020454676e-05,1.914115206456455,5.7
0.9337930202103949,1.4041779173513846e-05,1.8962674873366512,6.0
0.9416421961560679,8.352713170690191e-06,1.87963376652439,6.3
0.9490906367808821,4.986014626775684e-06,1.8641057821757825,6.6
0.9561548334394145,2.9860249273517827e-06,1.849587829276478,6.9
0.9628522087492711,1.7937087976517888e-06,1.8359950578487312,7.2
0.9692005256037746,1.0805402193797087e-06,1.823251985690485,7.5
0.9752174769059273,6.526510515008277e-07,1.8112912221094597,7.8
0.9809204058049761,3.951838302722744e-07,1.8000523824333956,8.1
0.9863261202176884,2.3984359805771416e-07,1.7894811682221792,8.4
0.9914507752264321,1.4588338253868455e-07,1.7795285882386689,8.7
0.9963098041395438,8.891516720989333e-08,1.7701502976181467,9.0
1.0009178841905826,5.429818907672884e-08,1.7613060357343882,9.3
1.0052889266568112,3.321889467947965e-08,1.752959146347025,9.6
1.009436083928332,2.0357780526586505e-08,1.7450761663710779,9.9
1.013371768089453,1.2496221062399244e-08,1.737626471994859,10.2
1.0171076770634788,7.682289549782006e-09,1.730581972875768,10.5
1.0206548254589867,4.729648102378479e-09,1.7239168467903527,10.8
1.0240235780636924,2.9159077059580515e-09,1.7176073084621972,11.1
1.027223684515324,1.7999821875667352e-09,1.7116314072758367,11.4
1.030264314134124,1.1124847643615048e-09,1.7059688498424088,11.7
1.0331540901656464,6.883818779069831e-10,1.700600843612197,12.0
1.0359011230165922,4.263966351117443e-10,1.6955099584512607,12.3
1.038513042106321,2.6439798142659274e-10,1.6906800041786638,12.6
1.0409970261892483,1.6410646417228623e-10,1.6860959213864668,12.9
1.0433598321699546,1.0196727640993403e-10,1.6817436837767408,13.2
1.0456078221203102,6.334399641773094e-11,1.6776102109924211,13.5
1.0477469880001764,3.942143292921106e-11,1.6736832927351963,13.8
1.0497829816669064,2.4555243741174403e-11,1.6699515030828127,14.1
1.05172110863691,1.5333343501820823e-11,1.666404201846821,14.4
1.053566393476308,9.593088003315081e-12,1.663031375376744,14.7
1.0553235733123005,6.024677909805502e-12,1.6598236446347054,15.0
1.0569971277930186,3.744049834851132e-12,1.6567721917402554,15.3
1.0585912776237156,2.311227003902987e-12,1.653868758961615,15.6
1.0601100098590275,1.4340485831484372e-12,1.6511055844769462,15.9
1.0615570929179692,8.939790094290523e-13,1.6484753666652179,16.2
1.0629360902220077,5.555266508208025e-13,1.6459712320942932,16.5
1.0642503724054473,3.4359730503897005e-13,1.6435867065280105,16.8
1.065503129621854,2.1327999208156133e-13,1.6413156863617797,17.1
1.0666973228904717,1.3419924029850356e-13,1.6391525310783945,17.4
1.0678357642163052,8.212529542963641e-14,1.637091897596777,17.7
1.0689213619795532,2.8028745698274626e-14,1.6351282500068993,18.0
1.0699565737432266,-2.7687442560055283e-14,1.6332569644049832,18.3
1.0709438002876397,-8.091519750975034e-14,1.6314735317560924,18.6
1.0718855038786794,-1.331618428962457e-13,1.6297733163868449,18.9
1.0727837045800328,-1.672809972719768e-13,1.6281525628280569,19.2
1.07364055316491,-1.716400846729241e-13,1.6266072554330249,19.5
1.0744580291266312,-1.4629758169306993e-13,1.625133704068048,19.8
1.0752380232568817,-9.531289253763339e-14,1.6237283888485987,20.1
1.0759822800706844,-2.930071361959297e-14,1.6223880706472051,20.4
1.076692566206283,4.549923971203807e-14,1.6211094679899276,20.7
1.0773704570113178,1.1582151786505142e-13,1.6198896666106564,21.0
1.0780174362985906,1.6395602862114236e-13,1.6187259279195358,21.3
1.0786348564389416,1.6812544786527705e-13,1.6176157663726374,21.6
1.0792241918138332,1.2541121988486763e-13,1.61655647152275,21.9
1.0797867769298124,2.8064755897122675e-14,1.6155456018710677,22.2
1.080323806954264,-1.364441045047765e-13,1.6145809838568912,22.5
1.0808364165058961,-3.708283259357009e-13,1.6136605535194677,22.8
1.0813258050602745,-6.30030443492653e-13,1.612782085259848,23.1
1.081793050976008,-8.775064236986996e-13,1.611943594081445,23.4
1.082239159785294,-1.0706108202402292e-12,1.6111432311429876,23.7
1.0826650976303258,-1.167413553826901e-12,1.610379224079372,24.0
1.0830718108962107,-1.1349133544492833e-12,1.6096498451024375,24.3
1.083460172075983,-9.26390360129804e-13,1.608953498958551,24.6
1.0838310012799945,-4.918780552314756e-13,1.6082886880993623,24.9
1.0841851130697264,-1.561868638363392e-13,1.6076539655085589,25.2
1.0845233052030903,-1.700214265140231e-13,1.6070479184698354,25.5
1.0848462867084878,-9.371634804066349e-14,1.606469233515628,25.8
1.0851547551021465,-4.223061554852723e-14,1.6059166516992467,26.1
1.0854493702661903,-4.33551020267704e-14,1.6053889769217655,26.4
1.0857307614766374,-2.679980355229175e-14,1.6048850685562244,26.7
1.085999529666185,-4.660920641990395e-16,1.6044038390224447,27.0
1.0862562486569773,4.435331711462939e-15,1.6039442507232582,27.3
1.0865014694871458,-9.184997683052198e-16,1.6035053076851606,27.6
1.0867357389392465,-1.931793203504021e-15,1.6030860223805294,27.9
1.0869595414263655,-2.885282548352233e-16,1.60268552057675,28.2
1.087173228013913,3.708361846694533e-16,1.6023031688085538,28.5
1.0873775719497196,5.187951851718515e-16,1.6019375726113394,28.8
1.0875725546820725,-1.568112707041898e-17,1.6015887658418206,29.1
1.0877587065716148,-5.994110146210361e-16,1.6012557930533653,29.4
1.0879365160910843,-5.20255290574485e-16,1.6009377738831074,29.7
1.0881064710112276,9.352484642014791e-16,1.6006338292264948,30.0
