Time,tCa,tCe,tP21,aRc,C1,tE1,Rb,pRb,E2f,RbE2f,E1,pC1,E1C1,P21,Ce,Ca,CeP21,CaP21,aPcna,iPcna,Rc,pRc,iRc,Dna,P53,Dam,Pr,tRb,tE2f,tC1,Cd,Skp2,Cdt2,kSyE2f,kSyE2fE2f,jSyE2f,kAsRbE2f,kDsRbE2f,kDeE2f,kPhRbCd,kPhRbCe,kPhRbCa,kDpRb,kSyE1,kDeE1C1,kDeE1,kPhC1,kPhC1Ce,kPhC1Ca,kDpC1,kAsE1C1,kDsE1C1,kSyP21,kSyP21P53,kDeP21,kDeP21Cy,kDeP21aRc,kSyCe,kSyCa,kAsCyP21,kDsCyP21,kDeCe,kDeCa,kDeCeCa,kDeCaC1,kImPc,kExPc,kPhRc,kDpRc,jCy,n,kAsRcPc,kDsRcPc,kAsPcP21,kDsPcP21,kSyDna,kSyP53,kDeP53,jP53,kGeDam,kGeDamArc,kReDam,kReDamP53,jDam,kSyPr,kDePr,Cell,Phosphorylation_of_Rb,Phosphorylation_Rb_in_Rb_E2F_complexes,Dephosphorylation_of_Rb,Synthesis_of_E2F,Degradation_of_E2F,Degradation_of_E2F_in_Rb_E2F_complexes,Association_dissociation_of_Rb_and_E2F,Synthesis_of_p21,Synthesis_of_CycE,Synthesis_of_CycA,Association_dissociation_of_CycE_Cdk2_and_p21,Association_dissociation_of_CycA_Cdk2_and_p21,Degradation_of_p21_in_CycE_Cdk2_p21_complexes,Degradation_of_p21_in_CycA_Cdk2_p21_complexes,Degradation_of_CycE_in_CycE_Cdk2_complexes,Degradation_of_CycE_in_CycE_Cdk2_p21_complexes,Degradation_of_CycA_in_CycA_Cdk2_complexes,Degradation_of_CycA_in_CycA_Cdk2_p21_complexes,Degradation_of_free_p21,Synthesis_of_Emi1,Degradation_of_Emi1,Association_dissociation_of_Emi1_APC_C_Cdh1_complexes,Degradation_of_Emi1_in_Emi1_APC_C_Cdh1_complexes,Phosphorylation_of_free_APC_C_Cdh1,Phosphorylation_of_APC_C_Cdh1_in_Emi1_APC_C_Cdh1_complexes,Dephosphorylation_of_APC_C_Cdh1,Nuclear_import_of_active_PCNA,Nuclear_export_of_active_PCNA,Nuclear_export_of_inactive_PCNA,Association_dissociation_of_PCNA_and_p21,Degradation_of_p21_in_PCNA_p21_complexes,Association_dissociation_of_active_PCNA_and_replication_complexes,Association_dissociation_of_inactive_PCNA_and_replication_complexes,Phosphorylation_priming_of_replication_complexes,Dephosphorylation_of_replication_complexes,Association_dissociation_of_p21_and_replication_complexes,Degradation_of_p21_in_inactive_replication_complexes,Dissassembly_of_RC,Dissassembly_of_pRC,Dissassembly_of_aRC,Dissassembly_of_iRC,Synthesis_of_DNA,Synthesis_of_p53,Degradation_of_p53,Induction_of_DNA_damage,Induction_of_DNA_damage_by_replication,Synthesis_of_APC_C_Cdh1_activity_probe,Degradation_of_APC_C_Cdh1_activity_probe,Repair_of_DNA_damage
0.0,1.2,0.5,0.6,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.6,0.5,1.2,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,0.0,1.0,0.65,1.0,1.0,0.03,0.04,0.2,5.0,0.005,0.05,0.2,0.3,0.3,0.05,0.005,0.005,0.0005,0.0,0.01,1.0,0.05,10.0,0.01,0.002,0.008,0.0025,0.007,1.0,0.01,0.02,1.0,0.05,0.004,0.01,0.015,2.0,0.003,0.006,0.1,0.05,1.8,6.0,0.01,0.001,100.0,0.01,0.0093,0.05,0.05,0.01,0.001,0.012,0.001,0.005,0.5,0.01,0.0001,1.0,0.0,0.0,0.25,0.03,0.0,0.0,0.0,0.002,0.0,0.0,0.3,0.72,0.0,0.0,0.011,0.0,0.012,0.0,0.00864,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.003,0.003,0.0,30.0,0.0,0.0,0.0,0.04150929479662979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0,0.01,5e-05,0.0
12.0,0.2193687170276421,0.43002497193259015,0.5559813947677933,7.087319076429993e-05,0.12757844291052997,0.0031055352941429895,0.3420496960959545,4.382119268681902,0.07177467317985403,0.2758310352221392,0.0007544232040676641,0.870070444999396,0.0023511120900753255,0.009876555474092743,0.3914432226272934,0.19988183554553207,0.0385817493052967,0.019486881482110044,0.012016441595264923,0.48429973388331643,0.9355095548648573,0.06068309732140108,0.003736474622977308,4.699895953602204e-06,0.021497610012687948,0.011921960832567031,0.14972894268592662,4.999999999999996,0.34760570840199323,1.0000000000000013,0.65,1.0,1.0,0.03,0.04,0.2,5.0,0.005,0.05,0.2,0.3,0.3,0.05,0.005,0.005,0.0005,0.0,0.01,1.0,0.05,10.0,0.01,0.002,0.008,0.0025,0.007,1.0,0.01,0.02,1.0,0.05,0.004,0.01,0.015,2.0,0.003,0.006,0.1,0.05,1.8,6.0,0.01,0.001,100.0,0.01,0.0093,0.05,0.05,0.01,0.001,0.012,0.001,0.005,0.5,0.01,0.0001,1.0,0.10514522742505535,0.08478977546345873,0.2191059634340951,0.040563850168975124,0.0035887336589927018,0.013791551761106961,0.12137337056666693,0.002171980880101504,0.0007177467317985403,0.0014354934635970806,0.0019370232379712637,0.0009997999629234276,0.00025888927100832407,0.00013075987045606775,0.0027394087382682,0.0002700038602666907,0.05300004504545053,0.005167080808160381,6.627315486729663e-05,0.00035887336589927014,3.7721160203383205e-07,0.0009389702558045026,1.1755560450376627e-05,0.026000010513304306,0.0004791478690705192,0.043503522249969805,0.003,7.209864957158954e-05,0.0029057984032998985,0.007025107862849786,0.0032497231803163555,7.221075757059634e-06,0.00029015160421672206,0.00011744251595955704,0.003034154866070054,3.263355379118349e-05,2.5072299952736907e-05,0.0,0.0,0.0,0.0,6.591206741079893e-07,0.05,0.04903213306710987,0.001,8.504782891715992e-07,0.01,0.0382193436272896,1.4425210196476347e-05
24.0,0.002238612262142882,0.41504850790059433,0.545967381925961,0.00011469362509106529,0.4373004700002009,0.007270247348364612,0.3654888640309394,4.1578940731668865,0.08309980410929968,0.47661706280217314,0.00012164937479493006,0.5555509320262305,0.007148597973569682,0.008109393309580524,0.36543114554696876,0.0021857735082957143,0.04961736235362559,5.283875384716777e-05,0.012178120266907334,0.4819072029398938,0.962005622917717,0.03159909888817876,0.00628058456901381,1.4076803455078997e-05,0.03302150049968797,0.02366288095318081,0.01267809711652516,4.999999999999999,0.5597168669114728,1.000000000000001,0.65,1.0,1.0,0.03,0.04,0.2,5.0,0.005,0.05,0.2,0.3,0.3,0.05,0.005,0.005,0.0005,0.0,0.01,1.0,0.05,10.0,0.01,0.002,0.008,0.0025,0.007,1.0,0.01,0.02,1.0,0.05,0.004,0.01,0.015,2.0,0.003,0.006,0.1,0.05,1.8,6.0,0.01,0.001,100.0,0.01,0.0093,0.05,0.05,0.01,0.001,0.012,0.001,0.005,0.5,0.01,0.0001,1.0,0.08782151936724085,0.11452396702323384,0.20789470365834434,0.041741414568724516,0.004154990205464984,0.02383085314010866,0.1494771797114968,0.0022641720039975038,0.0008309980410929968,0.0016619960821859937,0.00048255676912965523,1.5083359372073225e-05,0.0002574154742004778,2.741280921140528e-07,0.001473705827943516,0.00020009623415726333,0.001933537300066365,4.6741211321654455e-05,4.20716302770439e-05,0.0004154990205464984,6.082468739746503e-08,0.0004604873079948383,3.574298986784841e-05,0.0025538718994957163,4.174841953744812e-05,0.02777754660131153,0.003,7.3068721601444e-05,0.0028914432176393627,0.005056644672173593,0.0025001403799195334,3.733482640770322e-06,0.00014599774903721954,6.980459496602261e-06,0.001579954944408938,3.020372590636408e-05,3.2583748478333975e-05,0.0,0.0,0.0,0.0,1.0666507133469071e-06,0.05,0.04904734764920315,0.001,1.3763235010927834e-06,0.01,0.011089543465240942,3.112363350640005e-05
36.0,0.0018509715937024363,0.4074348587431644,0.5398644636701346,0.00016603153206646445,0.6540304001683624,0.012805093081197276,0.28658651498084176,4.135357670368032,0.12298002045498015,0.578055814651119,0.00012368215990362792,0.33328818891034523,0.012681410921293648,0.006842250435285688,0.360493039605415,0.0018416740675589467,0.04694181913774938,9.297526143489514e-06,0.014704929335586354,0.47855259565846153,0.9758496005740631,0.016465866981377766,0.007518500912494561,3.009754170339304e-05,0.04435400300677188,0.035199908245455,0.007767481919055472,4.999999999999993,0.7010358351060991,1.0000000000000013,0.65,1.0,1.0,0.03,0.04,0.2,5.0,0.005,0.05,0.2,0.3,0.3,0.05,0.005,0.005,0.0005,0.0,0.01,1.0,0.05,10.0,0.01,0.002,0.008,0.0025,0.007,1.0,0.01,0.02,1.0,0.05,0.004,0.01,0.015,2.0,0.003,0.006,0.1,0.05,1.8,6.0,0.01,0.001,100.0,0.01,0.0093,0.05,0.05,0.01,0.001,0.012,0.001,0.005,0.5,0.01,0.0001,1.0,0.06840831980194506,0.13798216233122873,0.2067678835184016,0.045230666006118754,0.006149001022749008,0.02890279073255595,0.17333179829907136,0.002354832024054175,0.0012298002045498014,0.002459600409099603,0.00011949270027014278,1.213631888323509e-05,0.0002442089241697555,4.83692131802332e-08,0.001451930818660312,0.00018906404951584804,0.002427438395446137,1.2254704749839412e-05,3.559594937720329e-05,0.0006149001022749007,6.184107995181397e-08,0.0006821048161416351,6.340705460646824e-05,0.0035622448968956628,6.907062932882985e-05,0.016664409445517264,0.003,8.822957601351813e-05,0.0028713155739507694,0.0052759549581414865,0.002489609833855282,2.255262572036782e-06,7.127933292455829e-05,6.492001747035112e-06,0.0008232933490688884,3.841792313034599e-05,3.911405763423196e-05,0.0,0.0,0.0,0.0,1.5440932482181193e-06,0.05,0.049064262216983394,0.001,1.9923783847975735e-06,0.01,0.010161115363832646,4.9785643520291564e-05
48.0,0.0021994729717065473,0.40534200418874694,0.5349940949149362,0.00019404948022133008,0.7592818844039386,0.020590973097240634,0.22597756108848788,4.1349738670375915,0.1698820521842623,0.6390485718739122,0.00015400479932840575,0.22028114729815065,0.02043696829791223,0.006335476867410741,0.36201152218595994,0.0021907258559708334,0.043330482002786996,8.747115735714096e-06,0.01592155548730697,0.47720754993712206,0.9830479447430819,0.008646166784818108,0.008111838991880758,5.030544513861715e-05,0.05547180428369966,0.046508120004718496,0.006619687935564233,4.999999999999991,0.8089306240581745,1.0000000000000016,0.65,1.0,1.0,0.03,0.04,0.2,5.0,0.005,0.05,0.2,0.3,0.3,0.05,0.005,0.005,0.0005,0.0,0.01,1.0,0.05,10.0,0.01,0.002,0.008,0.0025,0.007,1.0,0.01,0.02,1.0,0.05,0.004,0.01,0.015,2.0,0.003,0.006,0.1,0.05,1.8,6.0,0.01,0.001,100.0,0.01,0.0093,0.05,0.05,0.01,0.001,0.012,0.001,0.005,0.5,0.01,0.0001,1.0,0.054067543668141434,0.15289919228894785,0.2067486933518796,0.04837148368579214,0.008494102609213116,0.03195242859369561,0.18875241626716455,0.0024437744342695974,0.0016988205218426231,0.0033976410436852462,0.00012699152440594956,1.3441937196556105e-05,0.0002272018751964361,4.586519710504652e-08,0.0014599421087710218,0.00017474580612027575,0.00334866417082764,1.3370524195181827e-05,3.321985258430265e-05,0.0008494102609213116,7.700239966420288e-08,0.0009649608594341011,0.00010218484148956115,0.0044120663635469045,0.00011875597489182669,0.011014057364907534,0.003,9.552933292384181e-05,0.0028632452996227324,0.005314989148931765,0.0025022211891535706,1.18255476194859e-06,3.314832168542697e-05,6.744746068409857e-06,0.00043230833924090545,4.1821209388723894e-05,4.25341455958956e-05,0.0,0.0,0.0,0.0,1.8046601660583697e-06,0.05,0.04908303822447792,0.001,2.328593762655961e-06,0.01,0.010053080228556013,7.01115143191734e-05
60.0,0.00267390349872573,0.4089420413689244,0.5311040238260558,0.00021400618640219596,0.8038288133213648,0.030721380414667217,0.1851642285782318,4.139896757080876,0.21840901713525612,0.6749390143408835,0.00019741985402324842,0.16564722611799285,0.030523960560643968,0.005945241564715004,0.36851089211603566,0.002664481489413984,0.04043114925288875,9.422009311746273e-06,0.016991239778739228,0.4763487230744478,0.9868066594045917,0.004609846484315675,0.008369487924692543,7.311930073071145e-05,0.06635538173969005,0.05756720760592411,0.006230460441596425,4.999999999999991,0.8933480314761397,1.0000000000000016,0.65,1.0,1.0,0.03,0.04,0.2,5.0,0.005,0.05,0.2,0.3,0.3,0.05,0.005,0.005,0.0005,0.0,0.01,1.0,0.05,10.0,0.01,0.002,0.008,0.0025,0.007,1.0,0.01,0.02,1.0,0.05,0.004,0.01,0.015,2.0,0.003,0.006,0.1,0.05,1.8,6.0,0.01,0.001,100.0,0.01,0.0093,0.05,0.05,0.01,0.001,0.012,0.001,0.005,0.5,0.01,0.0001,1.0,0.044689870231437154,0.16289829410697626,0.2069948378540438,0.05087995317411169,0.010920450856762806,0.03374695071704418,0.19883299079019315,0.0025308430539175203,0.002184090171352561,0.004368180342705122,0.00016932881021402418,1.5369885633690446e-05,0.00021477971770036137,5.005191634522863e-08,0.001488771925224502,0.00016334051774325584,0.0043102188023989105,1.5241585221445175e-05,3.1582513198996175e-05,0.0010920450856762806,9.87099270116242e-08,0.0012816780642494086,0.00015261980280321984,0.00510398372480869,0.0001938146472686143,0.008282361305899643,0.003,0.00010194743867243536,0.002858092338446687,0.005338215266115464,0.0025304757880842974,5.692638831796608e-07,1.3589456939037502e-05,7.586449613655409e-06,0.00023049232421578378,4.353696820352282e-05,4.446067665597242e-05,0.0,0.0,0.0,0.0,1.990257533540422e-06,0.05,0.04910324408158034,0.001,2.5680742368263515e-06,0.01,0.010017070292472481,9.182221744393898e-05
72.0,0.0032127087047158333,0.41797090023405026,0.5279366029090546,0.0002309285956052584,0.8149400187359699,0.04306625208443462,0.15729585595920187,4.149037194341825,0.2657604548139721,0.6936669496989644,0.0002517384097771309,0.14224546758937415,0.04281451367465749,0.00559257237574494,0.3796935503035973,0.0032022035938336943,0.03827734993045297,1.0505110882139195e-05,0.018103281880620145,0.4756026095839266,0.9887813163419984,0.0025341891543504197,0.008453565908048018,9.796142354260273e-05,0.07698939675973392,0.06836136502361355,0.006135409421301267,4.999999999999991,0.9594274045129365,1.0000000000000016,0.65,1.0,1.0,0.03,0.04,0.2,5.0,0.005,0.05,0.2,0.3,0.3,0.05,0.005,0.005,0.0005,0.0,0.01,1.0,0.05,10.0,0.01,0.002,0.008,0.0025,0.007,1.0,0.01,0.02,1.0,0.05,0.004,0.01,0.015,2.0,0.003,0.006,0.1,0.05,1.8,6.0,0.01,0.001,100.0,0.01,0.0093,0.05,0.05,0.01,0.001,0.012,0.001,0.005,0.5,0.01,0.0001,1.0,0.038516835880428334,0.16985734235848024,0.20745185971709126,0.052823788672236555,0.013288022740698605,0.03468334748494822,0.20554675635185785,0.0026159151740778714,0.002657604548139721,0.005315209096279442,0.00020959616415377178,1.738329981627853e-05,0.00020712635280077893,5.684524416498746e-08,0.001537012041984454,0.00015494797773445777,0.005251229749448779,1.7227121627049306e-05,3.026252133617153e-05,0.0013288022740698606,1.2586920488856546e-07,0.0016233719070568079,0.00021407256837328745,0.0057038785467386265,0.00029966473657375625,0.007112273379468708,0.003,0.00010861969128372087,0.0028536156575035597,0.005368365319748747,0.0025735803049227904,2.27842810394902e-07,3.5991038418354183e-06,9.160270256053366e-06,0.000126709457717521,4.4612829374674054e-05,4.5743926313507736e-05,0.0,0.0,0.0,0.0,2.1476359391289028e-06,0.05,0.04912458884332464,0.001,2.7711431472631007e-06,0.01,0.01000059487843833,0.00011466201614740445
84.0,0.0037909342693215322,0.4319267897774975,0.5252440860094099,0.00024721012208239285,0.807317767457801,0.0573781259732872,0.13764468817111244,4.161823845363419,0.31041966677282096,0.7005314664654615,0.0003168293372396907,0.13562093590615307,0.05706129663604751,0.005256765827494918,0.3952129087391914,0.003779174903304774,0.0367138810383061,1.17593660167584e-05,0.019319489060131943,0.47481336277931,0.9898251090246529,0.0014793638549848724,0.008448316998282048,0.00012463977651938442,0.08736165635081637,0.07887821581386004,0.006187674932464202,4.999999999999993,1.0109511332382826,1.0000000000000016,0.65,1.0,1.0,0.03,0.04,0.2,5.0,0.005,0.05,0.2,0.3,0.3,0.05,0.005,0.005,0.0005,0.0,0.01,1.0,0.05,10.0,0.01,0.002,0.008,0.0025,0.007,1.0,0.01,0.02,1.0,0.05,0.004,0.01,0.015,2.0,0.003,0.006,0.1,0.05,1.8,6.0,0.01,0.001,100.0,0.01,0.0093,0.05,0.05,0.01,0.001,0.012,0.001,0.005,0.5,0.01,0.0001,1.0,0.034369551742958755,0.17492104347916637,0.20809119226817097,0.05432662273657911,0.015520983338641048,0.03502657332327307,0.21013543384330058,0.002698893250806531,0.0031041966677282096,0.006208393335456419,0.0002418476613297439,1.9278269186981025e-05,0.0002034005808678987,6.514870699589875e-08,0.0016032553155493042,0.00014893674682056767,0.00613978184057017,1.9104683898904635e-05,2.9123295945840942e-05,0.0015520983338641048,1.5841466861984534e-07,0.0019872065656943434,0.00028530648318023756,0.006241619077306838,0.0004411582303966016,0.006781046795307654,0.003,0.00011591693436079167,0.0028488801766758604,0.005407669361803251,0.0026305394870236214,3.859541604095577e-08,-1.4240997306867397e-06,1.1739716182647697e-05,7.396819274924363e-05,4.5469402214536465e-05,4.680498318915929e-05,0.0,0.0,0.0,0.0,2.299054135366253e-06,0.05,0.0491468328604729,0.001,2.9665214649887143e-06,0.01,0.009991458591956446,0.0001383979161173844
96.0,0.004399914022266046,0.4502200977944441,0.5228005938864231,0.00026430227849444295,0.7889559537804796,0.07336879554087336,0.12323843056547833,4.177591926773796,0.35193421496685207,0.6991696426607197,0.00039356159220919765,0.13806881227085807,0.07297523394866416,0.004928739453000362,0.41464917724383593,0.004386827379710251,0.035570920550608176,1.3086642555794657e-05,0.020682805508635462,0.4738902651678285,0.9903752225473316,0.0009628931017460084,0.008397582072430288,0.00015316935565802396,0.09746265209774711,0.08910831263505904,0.006327907941867304,4.999999999999994,1.0511038576275717,1.0000000000000018,0.65,1.0,1.0,0.03,0.04,0.2,5.0,0.005,0.05,0.2,0.3,0.3,0.05,0.005,0.005,0.0005,0.0,0.01,1.0,0.05,10.0,0.01,0.002,0.008,0.0025,0.007,1.0,0.01,0.02,1.0,0.05,0.004,0.01,0.015,2.0,0.003,0.006,0.1,0.05,1.8,6.0,0.01,0.001,100.0,0.01,0.0093,0.05,0.05,0.01,0.001,0.012,0.001,0.005,0.5,0.01,0.0001,1.0,0.03151339784158248,0.17878522963027968,0.2088795963386898,0.05550551898566306,0.017596710748342605,0.034958482133035984,0.21336325336073902,0.002779701216781977,0.0035193421496685206,0.007038684299337041,0.00026515173150542496,2.096719705209038e-05,0.00020266725172435007,7.456185670844217e-08,0.0016858816244309576,0.0001446243345253263,0.006965895432656349,2.078043554434032e-05,2.808176071754435e-05,0.0017596710748342603,1.9678079610459882e-07,0.002375275274041075,0.00036487616974332083,0.006732412950596641,0.0006227209614866613,0.006903440613542904,0.003,0.00012409683305181278,0.002843341591006971,0.005455113299236197,0.002700015523181202,-6.514897100424866e-08,-3.834525399283401e-06,1.5761721674031824e-05,4.814465508730042e-05,4.6291886029042135e-05,4.7845679937569674e-05,0.0,0.0,0.0,0.0,2.4580111899983192e-06,0.05,0.04916976664542174,0.001,3.1716273419333153e-06,0.01,0.009985514082216167,0.00016281914209629654
108.0,0.005040605286807025,0.47227615559750424,0.5204062654587086,0.00028324568079145154,0.7642194582420835,0.09076112106282486,0.112251500407422,4.195659152848063,0.39047662375649966,0.692089346744511,0.00048357681743664565,0.14550299751253032,0.09027754424538821,0.004603993949769429,0.43758090003213845,0.005026162275379616,0.034695255565365776,1.4443011427409409e-05,0.022234308767363004,0.47276807967125006,0.9906518983048272,0.0007403627534875623,0.00832449326089591,0.0001837010960323584,0.1072852453594806,0.09904478336099576,0.006529758799495509,4.9999999999999964,1.0825659705010107,1.000000000000002,0.65,1.0,1.0,0.03,0.04,0.2,5.0,0.005,0.05,0.2,0.3,0.3,0.05,0.005,0.005,0.0005,0.0,0.01,1.0,0.05,10.0,0.01,0.002,0.008,0.0025,0.007,1.0,0.01,0.02,1.0,0.05,0.004,0.01,0.015,2.0,0.003,0.006,0.1,0.05,1.8,6.0,0.01,0.001,100.0,0.01,0.0093,0.05,0.05,0.01,0.001,0.012,0.001,0.005,0.5,0.01,0.0001,1.0,0.029497687103446926,0.1818687048618616,0.20978295764240318,0.05645162284476983,0.019523831187824983,0.034604467337225546,0.2156974877197349,0.002858281962875845,0.003904766237564997,0.007809532475129994,0.00027985703801433766,2.2418270135036625e-05,0.00020405997618882566,8.494650118427596e-08,0.001783313889311077,0.00014139678203132255,0.007732443645008611,2.2219690851152173e-05,2.7078367934008975e-05,0.0019523831187824984,2.4178840871832284e-07,0.0027928126919447606,0.00045138772122694105,0.007185169394723849,0.0008487868778359662,0.0072751498756265165,0.003,0.00013340585260417803,0.0028366084780275004,0.005508981507511962,0.002780583152033486,-1.1863114018247631e-07,-4.82429448863157e-06,2.1892738751158415e-05,3.701813767437812e-05,4.7161207457257486e-05,4.896046646499318e-05,0.0,0.0,0.0,0.0,2.634184831360499e-06,0.05,0.04919320395378743,0.001,3.3989481694974183e-06,0.01,0.00998099044028382,0.00018773634849609833
