Time,Active_TGF_beta,Macrophages,VEGF,LECs,Capillaries,f,sigma,a_p,p_0,a_M,T_L,r1,d1,s_M,alpha,b1,b2,beta,r2,k1,d2,rho,S_V,r3,d3,gamma,c1,c2,c3,c4,S_L,b3,b4,C,k2,L,delta1,delta2,Body,Activation_of_TGF_beta_by_enzymes_and_Macrophages,Decay_of_TGF_beta,Flux_of_macrophages_from_source,Chemotaxis_by_TGF_beta,Logistic_growth_of_Macrophages,Removal_of_Macrophages,Differentiation_of_Macrophages,Flux_of_VEGF_from_source,Production_of_VEGF_by_macrophages,Decay_of_VEGF,VEGF_used_by_LECs,Growth_of_LECs_upregulated_by_VEGF_and_downregulated_by_TGF_beta,Inflow_and_chemotaxis_of_LECs_by_VEGF,Crowding_effect_and_apoptosis_of_LECs,Transdifferentiation_of_LECs_into_the_capillaries
0.0,30.0,1875.0,0.5,0.0,0.0,1.0,0.0,0.029,250000.0,0.45,18.0,3e-05,500.0,542.0,0.5,800000000.0,8100000000.0,0.005,1.22,600000.0,0.2,1e-05,1.9,0.0019,11.0,0.0014,0.42,42.0,4.1,0.24,500.0,10000000.0,8100000000.0,10000.0,471000.0,10000.0,0.05,0.001,1.0,146142.7734375,15000.0,542.0,44.440000444400006,11.4017578125,375.0,0.0,1.9,3.5625,5.5,0.0,0.0,500.0003086419753,0.0,0.0
0.25,270.0588941473038,2452.2547576354527,0.5572195897350375,125.02229131290552,0.0,1.0,0.0,0.029,250000.0,0.45,18.0,3e-05,500.0,542.0,0.5,800000000.0,8100000000.0,0.005,1.22,600000.0,0.2,1e-05,1.9,0.0019,11.0,0.0014,0.42,42.0,4.1,0.24,500.0,10000000.0,8100000000.0,10000.0,471000.0,10000.0,0.05,0.001,1.0,134946.7304525209,135029.4470736519,542.0,2173.9784905683027,14.897616228713416,490.4509515270906,0.0,1.9,4.6592840395073605,6.129415487085413,0.09753081782235618,0.8217456624039365,500.00038332552,0.6841127006532635,0.0
0.5,250.85030045597605,2988.9860775913667,0.6398214707582328,250.0506624866041,0.0,1.0,0.0,0.029,250000.0,0.45,18.0,3e-05,500.0,542.0,0.5,800000000.0,8100000000.0,0.005,1.22,600000.0,0.2,1e-05,1.9,0.0019,11.0,0.0014,0.42,42.0,4.1,0.24,500.0,10000000.0,8100000000.0,10000.0,471000.0,10000.0,0.05,0.001,1.0,125353.81981862299,125425.15022798802,542.0,2087.151525703887,18.14198568929165,597.7972155182733,0.0,1.9,5.679073547423597,7.038036178340561,0.2239828956907493,1.7744992130063626,500.0005053969314,1.7195823411357687,0.0
0.75,234.2260860370282,3475.733025531792,0.7139669506387593,375.0349033170117,0.0,1.0,0.0,0.029,250000.0,0.45,18.0,3e-05,500.0,542.0,0.5,800000000.0,8100000000.0,0.005,1.22,600000.0,0.2,1e-05,1.9,0.0019,11.0,0.0014,0.42,42.0,4.1,0.24,500.0,10000000.0,8100000000.0,10000.0,471000.0,10000.0,0.05,0.001,1.0,117051.08363297794,117113.0430185141,542.0,1975.2558198261167,21.079150801752082,695.1466051063585,0.0,1.9,6.603892748510405,7.853636457026352,0.3748675368260882,2.85723470288376,500.0006293195143,3.0661833925521456,0.0
1.0,219.73956775297384,3910.4473705902983,0.7775018338546298,499.93475426375727,0.0,1.0,0.0,0.029,250000.0,0.45,18.0,3e-05,500.0,542.0,0.5,800000000.0,8100000000.0,0.005,1.22,600000.0,0.2,1e-05,1.9,0.0019,11.0,0.0014,0.42,42.0,4.1,0.24,500.0,10000000.0,8100000000.0,10000.0,471000.0,10000.0,0.05,0.001,1.0,109815.61968731742,109869.78387648692,542.0,1851.5280137366713,23.698264374446232,782.0894741180597,0.0,1.9,7.429850004121567,8.552520172400929,0.5441802635468289,4.067448309299707,500.00074630753284,4.681323362628832,0.0
1.25,207.0413048852962,4293.9418471780255,0.8307646877398767,624.7197306448946,0.0,1.0,0.0,0.029,250000.0,0.45,18.0,3e-05,500.0,542.0,0.5,800000000.0,8100000000.0,0.005,1.22,600000.0,0.2,1e-05,1.9,0.0019,11.0,0.0014,0.42,42.0,4.1,0.24,500.0,10000000.0,8100000000.0,10000.0,471000.0,10000.0,0.05,0.001,1.0,103473.04833195951,103520.6524426481,542.0,1725.427534307965,26.005592912485337,858.7883694356051,0.0,1.9,8.158489509638247,9.138411565138643,0.7265931287358041,5.401712787895924,500.0008520616869,6.523959524481798,0.0
1.5,195.85617977619583,4628.875412516105,0.874543439258764,749.3681922134897,0.0,1.0,0.0,0.029,250000.0,0.45,18.0,3e-05,500.0,542.0,0.5,800000000.0,8100000000.0,0.005,1.22,600000.0,0.2,1e-05,1.9,0.0019,11.0,0.0014,0.42,42.0,4.1,0.24,500.0,10000000.0,8100000000.0,10000.0,471000.0,10000.0,0.05,0.001,1.0,97886.06759622741,97928.08988809792,542.0,1603.0839285543464,28.01830405923818,925.775082503221,0.0,1.9,8.794863283780598,9.619977831846404,0.9174970505253109,6.855695874049662,500.00094422991,8.556867701401227,0.0
1.75,185.96477374639994,4918.94915555172,0.909789352690903,873.8660192267603,0.0,1.0,0.0,0.029,250000.0,0.45,18.0,3e-05,500.0,542.0,0.5,800000000.0,8100000000.0,0.005,1.22,600000.0,0.2,1e-05,1.9,0.0019,11.0,0.0014,0.42,42.0,4.1,0.24,500.0,10000000.0,8100000000.0,10000.0,471000.0,10000.0,0.05,0.001,1.0,92945.15917965643,92982.38687319997,542.0,1488.080184791314,29.759596564117313,983.789831110344,0.0,1.9,9.346003395548268,10.007682879599933,1.1130475999592466,8.42419564954676,500.00102187242743,10.74765251995762,0.0
2.0,177.18915681009514,5168.3281290128725,0.937504317129906,998.2051656489865,0.0,1.0,0.0,0.029,250000.0,0.45,18.0,3e-05,500.0,542.0,0.5,800000000.0,8100000000.0,0.005,1.22,600000.0,0.2,1e-05,1.9,0.0019,11.0,0.0014,0.42,42.0,4.1,0.24,500.0,10000000.0,8100000000.0,10000.0,471000.0,10000.0,0.05,0.001,1.0,88561.50213380194,88594.57840504758,542.0,1382.2145752048355,31.255233494545546,1033.6656258025746,0.0,1.9,9.819823445124458,10.312547488428965,1.310150313048217,10.101216144120148,500.0010850794377,13.068928638806648,0.0
2.25,169.38253453920044,5381.260849100864,0.9586615474071289,1122.3822364375694,0.0,1.0,0.0,0.029,250000.0,0.45,18.0,3e-05,500.0,542.0,0.5,800000000.0,8100000000.0,0.005,1.22,600000.0,0.2,1e-05,1.9,0.0019,11.0,0.0014,0.42,42.0,4.1,0.24,500.0,10000000.0,8100000000.0,10000.0,471000.0,10000.0,0.05,0.001,1.0,84661.80776403293,84691.26726960021,542.0,1286.1139966381336,32.53128516820027,1076.2521698201729,0.0,1.9,10.224395613291641,10.545277021478418,1.50637856819172,11.88008201968722,500.00113460736094,15.498032847852148,0.0
