Active_TGF_beta_1_task1,Capillaries_5_task1,LECs_4_task1,Macrophages_2_task1,VEGF_3_task1,_1_task1,f_6_task1,sigma_7_task1
30.0,0.0,0.0,1875.0,0.5,0.0,1.0,0.0
270.0588941473038,0.0,125.02229131290552,2452.2547576354527,0.5572195897350375,0.25,1.0,0.0
250.85030045597605,0.0,250.0506624866041,2988.9860775913667,0.6398214707582328,0.5,1.0,0.0
234.2260860370282,0.0,375.0349033170117,3475.733025531792,0.7139669506387593,0.75,1.0,0.0
219.73956775297384,0.0,499.93475426375727,3910.4473705902983,0.7775018338546298,1.0,1.0,0.0
207.0413048852962,0.0,624.7197306448946,4293.9418471780255,0.8307646877398767,1.25,1.0,0.0
195.85617977619583,0.0,749.3681922134897,4628.875412516105,0.874543439258764,1.5,1.0,0.0
185.96477374639994,0.0,873.8660192267603,4918.94915555172,0.909789352690903,1.75,1.0,0.0
177.18915681009514,0.0,998.2051656489865,5168.3281290128725,0.937504317129906,2.0,1.0,0.0
169.38253453920044,0.0,1122.3822364375694,5381.260849100864,0.9586615474071289,2.25,1.0,0.0
162.42199590359127,0.0,1246.3972187899737,5561.856366184497,0.9741652723624608,2.5,1.0,0.0
156.20314512163185,0.0,1370.2524022092916,5713.949620477318,0.9848373160982666,2.75,1.0,0.0
150.6363082773437,0.0,1493.9514603614352,5841.038940308206,0.9914063564034941,3.0,1.0,0.0
145.64382520653677,0.0,1617.4987377120347,5946.269283621858,0.9945093232151286,3.25,1.0,0.0
141.15800144535746,0.0,1740.8987179319479,6032.43808937808,0.994699478917255,3.5,1.0,0.0
137.11954084265906,0.0,1864.1556080494486,6102.014950727803,0.9924537810764985,3.75,1.0,0.0
133.47629997296713,0.0,1987.2730622348943,6157.166716175716,0.9881801677420016,4.0,1.0,0.0
130.18235153993297,0.0,2110.253990840215,6199.789773323794,0.982227823750033,4.25,1.0,0.0
127.19722827465803,0.0,2233.100465210239,6231.542151876593,0.9748932908930785,4.5,1.0,0.0
124.48523238278749,0.0,2355.8137128612343,6253.870498443556,0.9664309457382565,4.75,1.0,0.0
122.01482953959723,0.0,2478.394131527588,6268.034370587883,0.9570559009889885,5.0,1.0,0.0
119.75815672839434,0.0,2600.8413072269273,6275.129551958733,0.9469490058839493,5.25,1.0,0.0
117.69061115516836,0.0,2723.1540543336655,6276.109894550869,0.9362631391496673,5.5,1.0,0.0
115.79048239820331,0.0,2845.33048647067,6271.806295823081,0.9251302409692029,5.75,1.0,0.0
114.03861035087134,0.0,2967.36810420796,6262.9424335440035,0.9136668048204215,6.0,1.0,0.0
112.41808788493552,0.0,3089.263887381924,6250.148429184668,0.901960772127094,6.25,1.0,0.0
110.91400228141372,0.0,3211.0143595984036,6233.9732057629235,0.8900866645003388,6.5,1.0,0.0
109.51320591211854,0.0,3332.615648324058,6214.89532672171,0.8781150581352205,6.75,1.0,0.0
108.20411249681624,0.0,3454.0635522935554,6193.332221504866,0.8661037100059523,7.0,1.0,0.0
106.976517546546,0.0,3575.3536006505155,6169.6481655586695,0.8540977970910694,7.25,1.0,0.0
105.8214311450598,0.0,3696.481105744454,6144.161124606874,0.8421359153319307,7.5,1.0,0.0
104.73093952750614,0.0,3817.441212932361,6117.148754887028,0.8302477710810728,7.75,1.0,0.0
103.69807836719362,0.0,3938.228927902306,6088.853687158216,0.8184638093050551,8.0,1.0,0.0
102.71671848338738,0.0,4058.8391565505203,6059.488019000164,0.8068037082853121,8.25,1.0,0.0
101.78147065894144,0.0,4179.266731164594,6029.2372429876905,0.7952820317686057,8.5,1.0,0.0
100.88759478480313,0.0,4299.506419851887,5998.263652803816,0.7839209746670043,8.75,1.0,0.0
100.03092290742977,0.0,4419.552956001011,5966.709271340963,0.7727314042174108,9.0,1.0,0.0
99.20779224611489,0.0,4539.401059205993,5934.698438767726,0.7617138398619242,9.25,1.0,0.0
98.41498303622042,0.0,4659.0454364333245,5902.340051019639,0.7508782273969488,9.5,1.0,0.0
97.64966648795954,0.0,4778.48078672835,5869.729504814145,0.7402351902939316,9.75,1.0,0.0
96.90935733281263,0.0,4897.701807198023,5836.9503931579,0.7297881076782751,10.0,1.0,0.0
96.1918717627579,0.0,5016.70321077525,5804.075984025437,0.7195307473491207,10.25,1.0,0.0
95.49529205881238,0.0,5135.47971584537,5771.170462027337,0.70947152341809,10.5,1.0,0.0
94.81793228352987,0.0,5254.026048629846,5738.290071420984,0.6996114922659138,10.75,1.0,0.0
94.15831208687293,0.0,5372.3369468337905,5705.484125950628,0.6899464805403638,11.0,1.0,0.0
93.51513074355783,0.0,5490.407158745206,5672.795834611251,0.6804775850286301,11.25,1.0,0.0
92.88724501893445,0.0,5608.231440323212,5640.263038321671,0.6712037170865225,11.5,1.0,0.0
92.27364991813317,0.0,5725.804552777332,5607.918866182564,0.6621218556327472,11.75,1.0,0.0
91.67346172902573,0.0,5843.121262551687,5575.792304264593,0.6532300250089988,12.0,1.0,0.0
91.08590285156664,0.0,5960.176337896802,5543.90868959704,0.6445260568004842,12.25,1.0,0.0
90.51028867782608,0.0,6076.964545831527,5512.2901340976005,0.6360070269782643,12.5,1.0,0.0
89.9460156046398,0.0,6193.48065005142,5480.955912342458,0.627669712167115,12.75,1.0,0.0
89.39255135555221,0.0,6309.719407612829,5449.922801364706,0.6195114036879372,13.0,1.0,0.0
