Time,T,Th,Tc,B,A,alpha,alpha_0,alpha_1,delta_2,mu_1,mu_10,mu_11,mu_2,mu_20,beta_1,beta_2,mu_3,mu_30,gamma_1,gamma_2,mu_4,mu_40,delta_1,compartment,Formation_of_tumor_cell,Removal_of_tumor_cell_from_the_system,Formation_of_T_helper_cell,Removal_of_T_helper_cell_from_the_system,formation_of_cytotoxic_T_cell,Removal_of_cytotoxic_T_cell,Formation_of_B_cell,Removal_of_B_cell_from_the_system,introduction_of_antibody_against_cancer,Removal_of_antibody_from_the_system
0.0,9.0,7.0,1.0,1.0,1.0,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,1.6199999999999999,373.58099999999996,32.4,1.4000000000000001,15.649999999999999,0.0412,9.75,0.03,0.35,4.8
0.03,4.018757827042806,7.6041218749847275,1.3183503735210877,1.2300681806317346,0.9190445799279313,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.723376408867705,74.85656513303347,15.195874031428895,1.5208243749969457,7.7169450682810306,0.05431603538906882,6.591855981672628,0.036902045418952034,0.4305238632211071,2.1224221734717
0.06,2.5869336028600913,7.9249291348818,1.5081393080926844,1.4153500622353166,0.8816920448208218,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.46564804851481645,31.19653125365957,10.03078004808334,1.58498582697636,5.389738777282076,0.062135339493418595,5.993651458889334,0.0424605018670595,0.49537252178236074,1.4049470025069513
0.09,1.9070109337289596,8.136207530825487,1.6496072397589627,1.5924960996614397,0.8607513855427799,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.34326196807121273,17.05963664799235,7.51526741670507,1.6272415061650976,4.284638362345737,0.06796381827806927,5.959981537430753,0.04777488298984319,0.5573736348815038,1.0789565673890502
0.12,1.5097188825690357,8.288235542401416,1.7656753333768593,1.7723253234454903,0.8490234330393845,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.27174939886242644,10.764042386361943,6.018450034316523,1.6576471084802833,3.645025105704054,0.0727458237351266,6.156493621444138,0.05316975970336471,0.6203138632059215,0.8956003842133885
0.15,1.2490574779153163,8.402851311754954,1.8661771741843314,1.9599668649910307,0.843597391344316,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.22483034602475693,7.420521913473965,5.022279496900389,1.680570262350991,3.232029701243485,0.07688649957639446,6.482113415481045,0.05879900594973092,0.6859884027468607,0.7799300324075304
0.18,1.0648216711608387,8.491594015858348,1.9562451929639333,2.1586129796888067,0.8430551328398915,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.19166790080895096,5.433257787155545,4.309842505976957,1.6983188031716698,2.9462480210030475,0.08059730195011405,6.897604422454952,0.0647583893906642,0.7555145428910823,0.7017682275676156
0.21,0.9276514756208992,8.561332219265166,2.0388968844431807,2.370658681426988,0.8466403793516434,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.16697726561176185,4.155784450650062,3.7740569533759727,1.7122664438530333,2.7389114563441685,0.08400255163905905,7.385900138691564,0.07111976044280964,0.8297305384994457,0.646685712418388
0.24,0.8215200517211837,8.616498916393146,2.1160557095637658,2.5981470482269238,0.8539394842048486,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.14787360930981305,3.2857067278142753,3.3558680682170214,1.7232997832786294,2.5832923176235623,0.08718149523402716,7.939535349953184,0.07794441144680771,0.9093514668794233,0.6069460498768187
0.27,0.736936635060835,8.66012831861795,2.1890218576749656,2.842974526196498,0.8647375192197575,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.13264859431095027,2.666176043485844,3.01999469928646,1.73202566372359,2.4635229186322833,0.09018770053620859,8.555815579164065,0.08528923578589494,0.9950410841687741,0.5780496345782583
