Time,RuBP,PGA,NADPH,CO2,O2,NADP,E,Rp,Nt,f,I,jp,j,phi,kc,Kc,Ko,chloroplast,PGA_prod_Vc,PGA_prod_Vo,PGA_cons,NADPH_prod
0.0,2.0,2.4,0.21,230.0,210.0,0.29000000000000004,1.33846153846154,3.2,0.5,0.23,1000.0,385.0,5.923076923076923,0.2672727272727273,2.5,460.0,330.0,1.0,0.7831423895253691,0.20931260229132592,1.0540384615384626,1.717692307692308
0.01,2.0,2.4083098936329757,0.20740557555301828,230.0,210.0,0.2925944244469817,1.33846153846154,3.2,0.5,0.23,1000.0,385.0,5.923076923076923,0.2672727272727273,2.5,460.0,330.0,1.0,0.7831423895253691,0.20931260229132592,1.044620919834397,1.7330592832628917
0.02,2.0,2.4167098733976777,0.2049595825685825,230.0,210.0,0.2950404174314175,1.33846153846154,3.2,0.5,0.23,1000.0,385.0,5.923076923076923,0.2672727272727273,2.5,460.0,330.0,1.0,0.7831423895253691,0.20931260229132592,1.0359019873837394,1.7475470878630115
0.03,2.0,2.425193811297081,0.20265440512096847,230.0,210.0,0.29734559487903156,1.33846153846154,3.2,0.5,0.23,1000.0,385.0,5.923076923076923,0.2672727272727273,2.5,460.0,330.0,1.0,0.7831423895253691,0.20931260229132592,1.0278468796739766,1.7612008312065717
0.04,2.0,2.43375550372992,0.20048225539863124,230.0,210.0,0.29951774460136876,1.33846153846154,3.2,0.5,0.23,1000.0,385.0,5.923076923076923,0.2672727272727273,2.5,460.0,330.0,1.0,0.7831423895253691,0.20931260229132592,1.0204196381121344,1.7740666411004151
0.05,2.0,2.4423886465632347,0.19843522515767636,230.0,210.0,0.30156477484232364,1.33846153846154,3.2,0.5,0.23,1000.0,385.0,5.923076923076923,0.2672727272727273,2.5,460.0,330.0,1.0,0.7831423895253691,0.20931260229132592,1.0135833381559995,1.7861913586814555
0.06,2.0,2.4510873810605855,0.19650596988516703,230.0,210.0,0.303494030114833,1.33846153846154,3.2,0.5,0.23,1000.0,385.0,5.923076923076923,0.2672727272727273,2.5,460.0,330.0,1.0,0.7831423895253691,0.20931260229132592,1.0073037829016493,1.7976184860647801
0.07,2.0,2.4598462314721505,0.19468763098903455,230.0,210.0,0.3053123690109655,1.33846153846154,3.2,0.5,0.23,1000.0,385.0,5.923076923076923,0.2672727272727273,2.5,460.0,330.0,1.0,0.7831423895253691,0.20931260229132592,1.0015490932698978,1.8083886472187956
0.08,2.0,2.4686600972896575,0.19297382755456732,230.0,210.0,0.3070261724454327,1.33846153846154,3.2,0.5,0.23,1000.0,385.0,5.923076923076923,0.2672727272727273,2.5,460.0,330.0,1.0,0.7831423895253691,0.20931260229132592,0.9962896766286975,1.8185396367921782
0.09,2.0,2.4775241773428243,0.19135856161231743,230.0,210.0,0.30864143838768254,1.33846153846154,3.2,0.5,0.23,1000.0,385.0,5.923076923076923,0.2672727272727273,2.5,460.0,330.0,1.0,0.7831423895253691,0.20931260229132592,0.991497722967248,1.8281069812193504
