data_set_value_component_environment_variable_time,data_set_value_component_parameters_variable_j_1,data_set_value_component_parameters_variable_j_2,data_set_value_component_parameters_variable_j_3,data_set_value_component_parameters_variable_v_d1,data_set_value_component_parameters_variable_v_d2,data_set_value_component_parameters_variable_v_d3,data_set_value_component_parameters_variable_k_d1,data_set_value_component_parameters_variable_k_d2,data_set_value_component_parameters_variable_k_d3,data_set_value_component_parameters_variable_k_c1,data_set_value_component_parameters_variable_k_c2,data_set_value_component_parameters_variable_k_c3,data_set_value_component_parameters_variable_k_m1,data_set_value_component_parameters_variable_k_m2,data_set_value_component_parameters_variable_k_m3,data_set_value_component_parameters_variable_v_12,data_set_value_component_parameters_variable_v_11,data_set_value_component_parameters_variable_v_10,data_set_value_component_parameters_variable_k_120,data_set_value_component_parameters_variable_k_110,data_set_value_component_parameters_variable_k_100,data_set_value_component_parameters_variable_k_d4,data_set_value_component_parameters_variable_k_d5,data_set_value_component_parameters_variable_k_d6,data_set_value_component_parameters_variable_n,data_set_value_component_C_1_variable_C_1,data_set_value_component_C_2_variable_C_2,data_set_value_component_C_3_variable_C_3,data_set_value_component_T_1_variable_T_1,data_set_value_component_T_2_variable_T_2,data_set_value_component_T_3_variable_T_3
0.0,0.9,0.5,0.6,6.0,1.052,3.0,0.8,0.9,0.8,0.2,0.22,0.6,5.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,10.0,0.16,0.16,0.16,2.0,0.0,0.0,0.0,6.0,5.0,1.0
0.1,0.9,0.5,0.6,6.0,1.052,3.0,0.8,0.9,0.8,0.2,0.22,0.6,5.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,10.0,0.16,0.16,0.16,2.0,0.3767296845019766,0.2820803649479969,0.016603380468240662,5.65386422100944,4.67842686688612,1.120526291418828
0.2,0.9,0.5,0.6,6.0,1.052,3.0,0.8,0.9,0.8,0.2,0.22,0.6,5.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,10.0,0.16,0.16,0.16,2.0,0.7155761268511523,0.530999432950213,0.03650318937053622,5.346413848120526,4.38725110884301,1.2234679561271975
0.30000000000000004,0.9,0.5,0.6,6.0,1.052,3.0,0.8,0.9,0.8,0.2,0.22,0.6,5.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,10.0,0.16,0.16,0.16,2.0,1.02057986053144,0.7505044778205571,0.05931854952345783,5.07353325080439,4.1233438924044075,1.3107877138188304
0.4,0.9,0.5,0.6,6.0,1.052,3.0,0.8,0.9,0.8,0.2,0.22,0.6,5.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,10.0,0.16,0.16,0.16,2.0,1.2955309892931715,0.9439794220894184,0.08461826455091427,4.83143399552637,3.8839412164592875,1.3843260277119227
0.5,0.9,0.5,0.6,6.0,1.052,3.0,0.8,0.9,0.8,0.2,0.22,0.6,5.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,10.0,0.16,0.16,0.16,2.0,1.5439067238384665,1.1144590046606664,0.11196115277722292,4.6166700873368125,3.6665955034918767,1.4457918240553285
0.6000000000000001,0.9,0.5,0.6,6.0,1.052,3.0,0.8,0.9,0.8,0.2,0.22,0.6,5.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,10.0,0.16,0.16,0.16,2.0,1.7688438496494265,1.2646485124117366,0.14092280479146768,4.426137102373554,3.4691345839636,1.4967565430742995
0.7000000000000001,0.9,0.5,0.6,6.0,1.052,3.0,0.8,0.9,0.8,0.2,0.22,0.6,5.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,10.0,0.16,0.16,0.16,2.0,1.9731382023893402,1.3969484487762924,0.1711115523691471,4.257058578840653,3.2896259342860272,1.5386522529792788
0.8,0.9,0.5,0.6,6.0,1.052,3.0,0.8,0.9,0.8,0.2,0.22,0.6,5.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,10.0,0.16,0.16,0.16,2.0,2.1592596347292967,1.5134804238900428,0.20217682921307017,4.106966042448116,3.126346720872182,1.5727729326364597
0.9,0.9,0.5,0.6,6.0,1.052,3.0,0.8,0.9,0.8,0.2,0.22,0.6,5.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,10.0,0.16,0.16,0.16,2.0,2.3293775772622176,1.6161156801355494,0.23381312064393267,3.973673457653383,2.9777556111712484,1.6002784622440844
1.0,0.9,0.5,0.6,6.0,1.052,3.0,0.8,0.9,0.8,0.2,0.22,0.6,5.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,10.0,0.16,0.16,0.16,2.0,2.4853900378565505,1.7065006153010323,0.2657595558536041,3.8552516817590057,2.842471190571027,1.622200678162299
