T,H,KO,N,NAI,V
0.0,0.96859002,7.8000002,0.085529998,15.5,-50.0
10.0,0.9782964,7.898736,0.071915001,15.522493,-65.912636
20.0,0.94749606,7.8317351,0.11197049,15.522127,-60.196327
30.0,0.91999876,7.7670517,0.13974057,15.521886,-57.390789
40.0,0.87526011,7.7050004,0.17647728,15.522001,-52.919575
50.0,0.98165274,7.8035913,0.068886891,15.544278,-67.261353
60.0,0.95237219,7.7381415,0.1062198,15.543906,-60.844707
70.0,0.92624724,7.6749544,0.13395901,15.543633,-58.024879
80.0,0.89903021,7.6139779,0.15751393,15.543561,-55.563118
90.0,0.96451044,7.7167358,0.13446966,15.566045,-72.970856
100.0,0.96600336,7.6522484,0.088275164,15.565675,-62.975365
110.0,0.9385913,7.5901465,0.12174448,15.565348,-59.288486
120.0,0.91717643,7.5300794,0.14213721,15.565147,-57.274658
130.0,0.88942659,7.4721522,0.16506201,15.565178,-54.755699
140.0,0.98372817,7.5773687,0.081266247,15.58773,-70.81662
150.0,0.96242899,7.5156012,0.093254551,15.587366,-62.390724
160.0,0.93748879,7.4560556,0.12288361,15.587057,-59.23344
170.0,0.91953099,7.398386,0.13997795,15.586859,-57.567184
180.0,0.90220314,7.3425112,0.15464261,15.586807,-56.077164
190.0,0.1654271,7.392066,0.73592985,15.604532,5.3004279
200.0,0.97893208,7.3906779,0.069011196,15.608833,-66.078018
210.0,0.95192909,7.332798,0.10682834,15.608497,-60.92865
220.0,0.93259805,7.2768278,0.12776993,15.608235,-58.834373
230.0,0.91998976,7.2224755,0.13946356,15.608067,-57.71859
240.0,0.91045237,7.1695786,0.14763586,15.607985,-56.934032
250.0,0.90079266,7.118094,0.15552254,15.608003,-56.143578
260.0,0.88138586,7.0682721,0.17074934,15.608208,-54.372528
270.0,0.98684609,7.1799583,0.07587935,15.630655,-71.850723
280.0,0.96645516,7.1252108,0.087575361,15.630346,-63.202065
290.0,0.94480407,7.0724912,0.1150938,15.63007,-60.181854
300.0,0.93226635,7.0213366,0.12802514,15.629863,-58.937801
310.0,0.92575663,6.9714627,0.13412146,15.629712,-58.380272
320.0,0.92284787,6.9226751,0.13671672,15.629597,-58.160599
330.0,0.92224008,6.8748379,0.13722162,15.629502,-58.14106
340.0,0.92310816,6.8278546,0.13641368,15.629416,-58.245987
350.0,0.924806,6.781661,0.13485919,15.629332,-58.420265
360.0,0.92683858,6.7362204,0.13298588,15.629247,-58.622932
370.0,0.92889166,6.6915126,0.13107032,15.629161,-58.82811
380.0,0.93081284,6.6475277,0.12925248,15.629077,-59.023022
390.0,0.93255544,6.60426,0.12758018,15.628996,-59.203518
400.0,0.93412477,6.5617042,0.12605378,15.628919,-59.36977
410.0,0.93554425,6.5198531,0.12465564,15.628847,-59.52356
420.0,0.93683952,6.4786992,0.1233649,15.628781,-59.66692
430.0,0.93803245,6.4382353,0.12216313,15.628723,-59.801624
440.0,0.93914026,6.3984513,0.12103559,15.628673,-59.929085
450.0,0.94017619,6.3593378,0.11997094,15.628631,-60.050396
460.0,0.94115043,6.3208857,0.11896048,15.628596,-60.166389
470.0,0.94207078,6.2830844,0.11799745,15.628572,-60.277714
480.0,0.94294351,6.245924,0.11707649,15.628556,-60.384888
490.0,0.94377369,6.2093949,0.11619328,15.628551,-60.488327
500.0,0.94456553,6.1734862,0.11534426,15.628554,-60.588367
510.0,0.94532245,6.1381888,0.11452646,15.628568,-60.685303
520.0,0.94604748,6.1034918,0.11373734,15.628592,-60.779369
530.0,0.94674319,6.069386,0.11297476,15.628625,-60.870777
540.0,0.94741172,6.0358615,0.11223679,15.628669,-60.959705
550.0,0.94805509,6.0029082,0.11152182,15.628722,-61.046318
560.0,0.94867504,5.9705167,0.11082837,15.628786,-61.130749
570.0,0.94927299,5.9386778,0.11015515,15.62886,-61.213123
580.0,0.94985038,5.9073815,0.109501,15.628944,-61.293552
590.0,0.95040846,5.8766189,0.10886489,15.629039,-61.372131
600.0,0.9509483,5.8463807,0.10824586,15.629144,-61.448956
610.0,0.95147091,5.816658,0.10764307,15.629258,-61.524105
620.0,0.95197725,5.7874422,0.10705573,15.629383,-61.597652
630.0,0.9524681,5.7587242,0.10648313,15.629518,-61.669662
640.0,0.95294428,5.7304955,0.10592462,15.629662,-61.740204
650.0,0.95340651,5.7027473,0.10537958,15.629815,-61.80933
660.0,0.95385534,5.6754718,0.10484747,15.629979,-61.87709
670.0,0.95429152,5.6486602,0.10432776,15.630153,-61.943542
680.0,0.95471555,5.6223049,0.10381997,15.630335,-62.008724
690.0,0.95512789,5.5963979,0.10332365,15.630527,-62.072681
700.0,0.95552915,5.570931,0.10283838,15.630728,-62.135452
710.0,0.95591968,5.545897,0.10236377,15.630939,-62.197075
720.0,0.95629996,5.5212879,0.10189945,15.631158,-62.257584
730.0,0.95667046,5.4970961,0.10144507,15.631386,-62.317013
740.0,0.95703143,5.4733148,0.10100031,15.631622,-62.375389
750.0,0.95738328,5.4499364,0.10056485,15.631868,-62.432747
760.0,0.95772636,5.4269538,0.1001384,15.632122,-62.489109
770.0,0.95806092,5.4043608,0.099720702,15.632384,-62.544506
780.0,0.95838737,5.3821497,0.099311471,15.632655,-62.598961
790.0,0.9587059,5.3603139,0.098910466,15.632934,-62.652493
800.0,0.95901686,5.3388467,0.098517455,15.63322,-62.705128
810.0,0.95932043,5.3177423,0.098132201,15.633514,-62.756889
820.0,0.9596169,5.2969942,0.097754501,15.633817,-62.807796
830.0,0.95990646,5.2765951,0.097384147,15.634126,-62.857868
840.0,0.96018934,5.2565403,0.097020939,15.634443,-62.90712
850.0,0.96046579,5.2368226,0.096664689,15.634768,-62.955578
860.0,0.96073598,5.2174368,0.09631522,15.635098,-63.00325
870.0,0.96100008,5.1983771,0.095972352,15.635437,-63.050156
880.0,0.96125829,5.179637,0.095635936,15.635782,-63.096313
890.0,0.96151084,5.1612115,0.095305793,15.636134,-63.141739
900.0,0.96175778,5.1430955,0.094981782,15.636493,-63.186443
910.0,0.96199942,5.1252828,0.094663754,15.636858,-63.230442
920.0,0.96223575,5.1077681,0.094351567,15.63723,-63.27375
930.0,0.96246701,5.0905466,0.09404508,15.637608,-63.316383
940.0,0.96269339,5.0736132,0.093744166,15.637992,-63.358345
950.0,0.96291494,5.056963,0.093448691,15.638382,-63.399658
960.0,0.96313179,5.0405903,0.093158543,15.638778,-63.440331
970.0,0.96334416,5.0244908,0.092873596,15.63918,-63.480373
980.0,0.96355206,5.0086598,0.092593737,15.639587,-63.519798
990.0,0.96375561,4.9930925,0.092318848,15.64,-63.558617
1000.0,0.96395504,4.9777842,0.092048831,15.640419,-63.59684
1010.0,0.96415037,4.9627309,0.091783576,15.640843,-63.634476
1020.0,0.9643417,4.9479275,0.091522984,15.641273,-63.671539
1030.0,0.96452916,4.9333701,0.091266952,15.641706,-63.708035
1040.0,0.9647128,4.9190545,0.091015399,15.642146,-63.743977
1050.0,0.9648928,4.9049759,0.090768211,15.642591,-63.779369
1060.0,0.96506917,4.8911309,0.090525314,15.64304,-63.814228
1070.0,0.96524209,4.8775153,0.09028662,15.643494,-63.848557
1080.0,0.96541154,4.8641248,0.090052031,15.643952,-63.882366
1090.0,0.96557766,4.850956,0.08982148,15.644416,-63.915665
1100.0,0.9657405,4.8380046,0.089594878,15.644883,-63.948463
1110.0,0.96590024,4.8252673,0.089372151,15.645355,-63.980762
1120.0,0.96605676,4.8127398,0.089153223,15.645832,-64.012581
1130.0,0.96621031,4.8004193,0.088938013,15.646313,-64.043915
1140.0,0.96636093,4.7883019,0.088726453,15.646797,-64.074783
1150.0,0.96650863,4.7763844,0.088518471,15.647285,-64.105186
1160.0,0.96665347,4.7646627,0.088314004,15.647779,-64.135132
1170.0,0.96679556,4.7531338,0.08811298,15.648275,-64.164627
1180.0,0.96693498,4.7417946,0.087915339,15.648775,-64.19368
1190.0,0.96707171,4.7306414,0.087721013,15.64928,-64.222298
1200.0,0.96720588,4.7196717,0.087529935,15.649788,-64.250488
1210.0,0.96733755,4.7088819,0.087342046,15.650299,-64.278259
1220.0,0.96746671,4.6982689,0.087157302,15.650814,-64.305618
