Akt,EGF,EGFR,EGF_EGFR,S6,pAkt,pAkt_S6,pEGFR,pEGFR_Akt,pS6,pro_EGFR,Time
0.0433090165709309,0.0,68190.1837333797,0.0,3.54316740542218,0.0,0.0,0.0,0.0,0.0,68190.1837333797,0.0
0.04330901657093088,8.333333333333333e-05,68190.18354195729,0.00019141020549392495,3.54316740542218,1.324878299387966e-21,1.76124883714196e-29,1.2275919760118767e-08,2.0910063123367352e-17,3.4049383912706045e-35,68190.1837333797,0.01
0.043309016570930545,0.00016666666666666666,68190.18296779427,0.0007654877725532628,3.54316740542218,4.9445446546365846e-20,1.599869803005238e-27,9.814354222590987e-08,3.485175216529516e-16,8.176913400003701e-33,68190.1837333797,0.02
0.04330901657092915,0.00024999999999999995,68190.18201104699,0.0017220032079157117,3.54316740542218,3.4907459580652963e-19,1.5364179566115402e-26,3.3109249697296407e-07,1.731395010476987e-15,1.022402643635694e-31,68190.1837333797,0.03
0.04330901657092552,0.0003333333333333333,68190.18067187163,0.003060727138609923,3.54316740542218,1.3658897485198625e-18,7.36419808650329e-26,7.845057032074432e-07,5.354006383662543e-15,5.8223377610205215e-31,68190.1837333797,0.04
0.043309016570917895,0.0004166666666666667,68190.1789504243,0.004781430334889793,3.54316740542218,4.062211442753912e-18,2.648160839149107e-25,1.5316319731999181e-06,1.2979092636500056e-14,2.493371659827858e-30,68190.1837333797,0.05
0.04330901657090404,0.0004999999999999999,68190.17684686108,0.0068838836940178175,3.54316740542218,9.989222991086422e-18,7.685332234022976e-25,2.64560933433729e-06,2.682858344389031e-14,8.46318213911925e-30,68190.1837333797,0.06
0.043309016570881265,0.0005833333333333334,68190.17436133792,0.00936785823904529,3.54316740542218,2.141845115281818e-17,1.9005229810553092e-24,4.199463837822572e-06,4.959378856296771e-14,2.3974404935936704e-29,68190.1837333797,0.07
0.043309016570846355,0.0006666666666666666,68190.17149401069,0.012233125131615665,3.54316740542218,4.155599342497388e-17,4.1837815744458225e-24,6.26609781713915e-06,8.448526776289523e-14,5.958894583230829e-29,68190.1837333797,0.08
0.04330901657079561,0.0007499999999999999,68190.16824503517,0.015479455662594427,3.54316740542218,7.471465833362306e-17,8.45030084296961e-24,8.918298366748976e-06,1.351967074826317e-13,1.3533622559026018e-28,68190.1837333797,0.09
0.04330901657072484,0.0008333333333333334,68190.16461456702,0.019106621254639803,3.54316740542218,1.263493379013166e-16,1.5861855888833443e-23,1.2228735058905733e-05,2.0591444122756747e-13,2.8188832440679104e-28,68190.1837333797,0.1
0.043309016570629376,0.0009166666666666666,68190.16060276188,0.02311439345958235,3.54316740542218,2.03259114969005e-16,2.803539892850916e-23,1.6269962442288978e-05,3.0130629592552e-13,5.467645088515483e-28,68190.1837333797,0.11
0.04330901657050407,0.0009999999999999998,68190.15620977528,0.027502543952920205,3.54316740542218,3.1442765496347775e-16,4.764124554452863e-23,2.1114425492302085e-05,4.2649631457011994e-13,1.0293295325505439e-27,68190.1837333797,0.12
0.043309016570343285,0.0010833333333333335,68190.15143576263,0.032270844549214986,3.54316740542218,4.696107454520277e-16,7.743879252049946e-23,2.683444485468333e-05,5.871310608637559e-13,1.8271984694029613e-27,68190.1837333797,0.13
