Time,x,y,z,h1,h2,h3,f1,f2,f3,f4,f5,v1,v2,v3,t1,t2,t3,I,E,compartment1
0.0,90.0,180.0,13000.0,70.0,70.0,70.0,19.629592668027673,72.0,13.0,14.167262873355579,121.5965381381018,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
0.01,90.01766381371066,180.01064099791836,13000.814102134276,70.01666708143892,70.00000694263125,70.00000000192786,19.634419727072686,72.0,13.000814102134276,14.168207632063787,121.5965381307492,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
0.02,90.03533611421076,180.02129126656624,13001.6279660603,70.03333499667832,70.00002776327545,70.00000001541856,19.639246437147975,72.0,13.001627966060301,14.169153234652002,121.59653807929762,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
0.03,90.05301687971404,180.0319508091796,13002.441591686045,70.0500037520843,70.00006245106945,70.0000000520184,19.64407279694769,72.0,13.002441591686045,14.170099681458964,121.59653793971127,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
0.04,90.0707060884738,180.04261962897797,13003.254978919002,70.06667335399925,70.00011099516453,70.00000012325476,19.64889880516254,72.0,13.003254978919003,14.171046972822008,121.5965376680261,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
0.05,90.08840371878928,180.05329772916184,13004.068127666078,70.08334380873785,70.000173384729,70.00000024063299,19.653724460479314,72.0,13.004068127666079,14.171995109076867,121.59653722036275,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
0.06,90.10610974902163,180.0639851129056,13004.881037833404,70.10001512257716,70.00024960895409,70.00000041562807,19.658549761579664,72.0,13.004881037833405,14.172944090556994,121.5965365529571,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
0.07,90.12382415752995,180.0746817833847,13005.69370932714,70.11668730179571,70.00033965703024,70.00000065971645,19.663374707144882,72.0,13.005693709327142,14.173893917595983,121.5965356220397,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
0.08,90.14154692270839,180.08538774376015,13006.50614205302,70.13336035265107,70.00044351816065,70.00000098435787,19.668199295853178,72.0,13.006506142053022,14.174844590526236,121.59653438390474,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
0.09,90.15927802299197,180.09610299717593,13007.31833591626,70.15003428137624,70.00056118156361,70.0000014009924,19.673023526379218,72.0,13.007318335916258,14.175796109678656,121.59653279492144,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
0.1,90.17701743685663,180.10682754675906,13008.130290821571,70.16670909417958,70.0006926364724,70.00000192104058,19.677847397394114,72.0,13.008130290821573,14.176748475382736,121.59653081153368,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
0.11,90.19476514281924,180.11756139561962,13008.942006673155,70.18338479724487,70.00083787213543,70.0000025559033,19.68267090756542,72.0,13.008942006673156,14.177701687966518,121.5965283902599,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
0.12,90.21252111943758,180.12830454685067,13009.753483374703,70.20006139673133,70.00099687781614,70.0000033169618,19.68749405555713,72.0,13.009753483374704,14.178655747756551,121.59652548769378,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
0.13,90.23028534531035,180.13905700352822,13010.564720829405,70.21673889877356,70.00116964279297,70.00000421557777,19.69231684002969,72.0,13.010564720829404,14.179610655077967,121.59652206050335,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
0.14,90.24805779907715,180.14981876871144,13011.375718939928,70.23341730948152,70.0013561563595,70.0000052630933,19.697139259639975,72.0,13.011375718939927,14.180566410254443,121.59651806543167,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
0.15,90.26583845941275,180.16058984544404,13012.186477608495,70.2500966349433,70.00155640782272,70.00000647083246,19.701961313041608,72.0,13.012186477608495,14.181523013608354,121.59651345929018,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
0.16,90.28362730500764,180.17137023676014,13012.99699673703,70.26677688123365,70.0017703864977,70.00000785010681,19.70678299888594,72.0,13.01299699673703,14.182480465461245,121.59650819893818,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
0.17,90.30142431460989,180.18215994567203,13013.807276226811,70.28345805439531,70.00199808171925,70.00000941220362,19.71160431581991,72.0,13.01380727622681,14.183438766132822,121.59650224132761,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
0.18,90.3192294670106,180.1929589751744,13014.617315978581,70.30014016044542,70.00223948283772,70.00001116838996,19.716425262486723,72.0,13.01461731597858,14.184397915941245,121.59649554348731,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
0.19,90.33704274104065,180.20376732824528,13015.42711589259,70.31682320537698,70.00249457921825,70.00001312991355,19.721245837526137,72.0,13.015427115892589,14.18535791520329,121.59648806252007,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
0.2,90.3548641155709,180.21458500784595,13016.23667586858,70.3335071951589,70.0027633602408,70.00001530800286,19.726066039574327,72.0,13.01623667586858,14.186318764234262,121.59647975560195,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
0.21,90.37269356951215,180.2254120169211,13017.0459958058,70.35019213573594,70.00304581530004,70.00001771386697,19.73088586726394,72.0,13.017045995805798,14.187280463348074,121.59647057998285,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
0.22,90.39053108181501,180.23624835839865,13017.855075602998,70.36687803302871,70.00334193380544,70.00002035869568,19.735705319224145,72.0,13.017855075602998,14.188243012857189,121.59646049298632,3.0,11.0,10.0,6.0,100.0,36.0,216.0,0.21,1.0
