value_component_environment_variable_time,value_component_x1_variable_x1,value_component_x2_variable_x2,value_component_x3_variable_x3,value_component_x4_variable_x4,value_component_x5_variable_x5,value_component_model_parameters_variable_a1,value_component_model_parameters_variable_a2,value_component_model_parameters_variable_a3,value_component_model_parameters_variable_a4,value_component_model_parameters_variable_a5,value_component_model_parameters_variable_a6,value_component_model_parameters_variable_a7,value_component_model_parameters_variable_a8,value_component_model_parameters_variable_a9,value_component_model_parameters_variable_a10,value_component_model_parameters_variable_a11,value_component_model_parameters_variable_a12,value_component_model_parameters_variable_a13,value_component_model_parameters_variable_a14,value_component_model_parameters_variable_a15,value_component_model_parameters_variable_a16,value_component_model_parameters_variable_a17,value_component_model_parameters_variable_a18,value_component_model_parameters_variable_a19,value_component_model_parameters_variable_a20,value_component_model_parameters_variable_a21,value_component_model_parameters_variable_a22,value_component_model_parameters_variable_a23,value_component_model_parameters_variable_a24,value_component_model_parameters_variable_a25,value_component_model_parameters_variable_a26,value_component_model_parameters_variable_a27,value_component_model_parameters_variable_a28,value_component_model_parameters_variable_lambda_1,value_component_model_parameters_variable_lambda_2,value_component_model_parameters_variable_lambda_3_,value_component_model_parameters_variable_lambda_4_,value_component_model_parameters_variable_lambda_5_,value_component_model_parameters_variable_lambda_3,value_component_model_parameters_variable_lambda_4,value_component_model_parameters_variable_lambda_5
0.0,0.01067,0.04665,6.51,60.61,12.61,1.7e-05,0.0023,0.6,45.0,36.0,216.0,0.28,0.36,0.0003,0.18,150.0,18.0,460.0,0.46,0.1,0.04,150.0,3800.0,57.0,2600.0,200.0,9400.0,10.0,320.0,0.04,0.00097,0.57,0.0017,0.059,0.028,0.6703,0.064,0.001,0.0986,0.024,3e-05
0.1,0.010683498814688294,0.04674706136406237,6.514107706186933,60.59334200300332,12.609846068593539,1.7e-05,0.0023,0.6,45.0,36.0,216.0,0.28,0.36,0.0003,0.18,150.0,18.0,460.0,0.46,0.1,0.04,150.0,3800.0,57.0,2600.0,200.0,9400.0,10.0,320.0,0.04,0.00097,0.57,0.0017,0.059,0.028,0.6703,0.064,0.001,0.0986,0.024,3e-05
0.2,0.010696948655751225,0.046844184779472164,6.518145016823254,60.57701616775738,12.609692833412229,1.7e-05,0.0023,0.6,45.0,36.0,216.0,0.28,0.36,0.0003,0.18,150.0,18.0,460.0,0.46,0.1,0.04,150.0,3800.0,57.0,2600.0,200.0,9400.0,10.0,320.0,0.04,0.00097,0.57,0.0017,0.059,0.028,0.6703,0.064,0.001,0.0986,0.024,3e-05
0.30000000000000004,0.010710350007488188,0.046941372018242535,6.522116811836298,60.561021269661985,12.60954029280399,1.7e-05,0.0023,0.6,45.0,36.0,216.0,0.28,0.36,0.0003,0.18,150.0,18.0,460.0,0.46,0.1,0.04,150.0,3800.0,57.0,2600.0,200.0,9400.0,10.0,320.0,0.04,0.00097,0.57,0.0017,0.059,0.028,0.6703,0.064,0.001,0.0986,0.024,3e-05
0.4,0.010723703868534539,0.047038623924197095,6.526028557526859,60.54535228493012,12.609388437349821,1.7e-05,0.0023,0.6,45.0,36.0,216.0,0.28,0.36,0.0003,0.18,150.0,18.0,460.0,0.46,0.1,0.04,150.0,3800.0,57.0,2600.0,200.0,9400.0,10.0,320.0,0.04,0.00097,0.57,0.0017,0.059,0.028,0.6703,0.064,0.001,0.0986,0.024,3e-05
0.5,0.010737011220065333,0.04713594116222073,6.529885693366219,60.53000406113265,12.609237257601503,1.7e-05,0.0023,0.6,45.0,36.0,216.0,0.28,0.36,0.0003,0.18,150.0,18.0,460.0,0.46,0.1,0.04,150.0,3800.0,57.0,2600.0,200.0,9400.0,10.0,320.0,0.04,0.00097,0.57,0.0017,0.059,0.028,0.6703,0.064,0.001,0.0986,0.024,3e-05
0.6000000000000001,0.010750273060924518,0.04723332420548102,6.533693962879878,60.5149710609206,12.609086743758033,1.7e-05,0.0023,0.6,45.0,36.0,216.0,0.28,0.36,0.0003,0.18,150.0,18.0,460.0,0.46,0.1,0.04,150.0,3800.0,57.0,2600.0,200.0,9400.0,10.0,320.0,0.04,0.00097,0.57,0.0017,0.059,0.028,0.6703,0.064,0.001,0.0986,0.024,3e-05
0.7000000000000001,0.010763490020266558,0.04733077324595092,6.53745711547143,60.500249640169514,12.608936889563152,1.7e-05,0.0023,0.6,45.0,36.0,216.0,0.28,0.36,0.0003,0.18,150.0,18.0,460.0,0.46,0.1,0.04,150.0,3800.0,57.0,2600.0,200.0,9400.0,10.0,320.0,0.04,0.00097,0.57,0.0017,0.059,0.028,0.6703,0.064,0.001,0.0986,0.024,3e-05
0.8,0.010776662870820278,0.047428288395683485,6.541179916213436,60.485835139608945,12.6087876872393,1.7e-05,0.0023,0.6,45.0,36.0,216.0,0.28,0.36,0.0003,0.18,150.0,18.0,460.0,0.46,0.1,0.04,150.0,3800.0,57.0,2600.0,200.0,9400.0,10.0,320.0,0.04,0.00097,0.57,0.0017,0.059,0.028,0.6703,0.064,0.001,0.0986,0.024,3e-05
0.9,0.010789792237016814,0.047525869524218396,6.544866501321804,60.4717234704834,12.608639130338656,1.7e-05,0.0023,0.6,45.0,36.0,216.0,0.28,0.36,0.0003,0.18,150.0,18.0,460.0,0.46,0.1,0.04,150.0,3800.0,57.0,2600.0,200.0,9400.0,10.0,320.0,0.04,0.00097,0.57,0.0017,0.059,0.028,0.6703,0.064,0.001,0.0986,0.024,3e-05
1.0,0.010802878725835933,0.04762351646043739,6.548520947018971,60.45791059550997,12.608491212561956,1.7e-05,0.0023,0.6,45.0,36.0,216.0,0.28,0.36,0.0003,0.18,150.0,18.0,460.0,0.46,0.1,0.04,150.0,3800.0,57.0,2600.0,200.0,9400.0,10.0,320.0,0.04,0.00097,0.57,0.0017,0.059,0.028,0.6703,0.064,0.001,0.0986,0.024,3e-05
