Time,tumor_volume_x_1,endothelial_volume_x_2,concentration_of_administrated_inhibitor_x_3,lambda_1,lambda_2,lambda_3,b,d,e,u,a,compartment,tumor_growth,endothelial_loss,stimulatory_effect,inhibition_effect,drug_kill,inhibitor_clearance,administrated_inhibitor
0.0,1.0,1.0,0.0,0.192,0.0,1.3,5.85,0.00873,0.66,0.0,1.0,1.0,0.0,0.0,5.85,0.00873,0.0,0.0,0.0
0.12,1.0066311724646537,1.7022046919397877,0.0,0.192,0.0,1.3,5.85,0.00873,0.66,0.0,1.0,1.0,-0.10152930430044592,0.0,5.888792358918224,0.014925868476160717,0.0,0.0,0.0
0.24,1.023039458029046,2.4119764060121,0.0,0.192,0.0,1.3,5.85,0.00873,0.66,0.0,1.0,1.0,-0.16846630191271328,0.0,5.984780829469919,0.021378745727118755,0.0,0.0,0.0
0.36,1.0464772700196374,3.1350417726899744,0.0,0.192,0.0,1.3,5.85,0.00873,0.66,0.0,1.0,1.0,-0.2204560164044501,0.0,6.121892029614878,0.028210499469077763,0.0,0.0,0.0
0.48,1.0756439117978787,3.875777645180532,0.0,0.192,0.0,1.3,5.85,0.00873,0.66,0.0,1.0,1.0,-0.26472753655786047,0.0,6.29251688401759,0.035521021463707704,0.0,0.0,0.0
0.6,1.109842234042398,4.637873793072322,0.0,0.192,0.0,1.3,5.85,0.00873,0.66,0.0,1.0,1.0,-0.30472641384060106,0.0,6.492577069148028,0.04340175939338665,0.0,0.0,0.0
0.72,1.1486842769420553,5.424639138705343,0.0,0.192,0.0,1.3,5.85,0.00873,0.66,0.0,1.0,1.0,-0.342363242211814,0.0,6.719803020111023,0.05194202550240501,0.0,0.0,0.0
0.84,1.191961971579592,6.239168265637905,0.0,0.192,0.0,1.3,5.85,0.00873,0.66,0.0,1.0,1.0,-0.37881418464470085,0.0,6.972977533740613,0.06123257766339225,0.0,0.0,0.0
0.96,1.239583339611219,7.084441004938045,0.0,0.192,0.0,1.3,5.85,0.00873,0.66,0.0,1.0,1.0,-0.41486391035589903,0.0,7.251562536725631,0.0713680206745921,0.0,0.0,0.0
1.08,1.2915354978253535,7.963390807140129,0.0,0.192,0.0,1.3,5.85,0.00873,0.66,0.0,1.0,1.0,-0.4510719105810957,0.0,7.555482662278317,0.08244857830502493,0.0,0.0,0.0
1.2,1.3478636790224185,8.878951500749606,0.0,0.192,0.0,1.3,5.85,0.00873,0.66,0.0,1.0,1.0,-0.48786090109344216,0.0,7.885002522281148,0.09458158212840614,0.0,0.0,0.0
1.32,1.4086584436653846,9.834091385925884,0.0,0.192,0.0,1.3,5.85,0.00873,0.66,0.0,1.0,1.0,-0.5255672473861622,0.0,8.2406518954425,0.10788281880771738,0.0,0.0,0.0
1.44,1.4740473478463736,10.831840671456387,0.0,0.192,0.0,1.3,5.85,0.00873,0.66,0.0,1.0,1.0,-0.5644713871609662,0.0,8.623176984901285,0.12247782424530199,0.0,0.0,0.0
1.56,1.5441889930896695,11.875315185838847,0.0,0.192,0.0,1.3,5.85,0.00873,0.66,0.0,1.0,1.0,-0.6048169875164779,0.0,9.033505609574567,0.13850316269279675,0.0,0.0,0.0
1.68,1.6192697038819988,12.967734778447989,0.0,0.192,0.0,1.3,5.85,0.00873,0.66,0.0,1.0,1.0,-0.6468236052671353,0.0,9.472727767709692,0.15610775933693025,0.0,0.0,0.0
1.8,1.6995011463327954,14.112440567155422,0.0,0.192,0.0,1.3,5.85,0.00873,0.66,0.0,1.0,1.0,-0.6906953061769157,0.0,9.942081706046853,0.17545429782397298,0.0,0.0,0.0
1.92,1.7851186840279452,15.312912822278099,0.0,0.192,0.0,1.3,5.85,0.00873,0.66,0.0,1.0,1.0,-0.7366267555335406,0.0,10.442944301563479,0.19672072553536046,0.0,0.0,0.0
2.04,1.8763812407037064,16.572775696506138,0.0,0.192,0.0,1.3,5.85,0.00873,0.66,0.0,1.0,1.0,-0.7848075732149521,0.0,10.976830258116681,0.2201017781325695,0.0,0.0,0.0
2.16,1.9735698801659822,17.895825821271398,0.0,0.192,0.0,1.3,5.85,0.00873,0.66,0.0,1.0,1.0,-0.8354257589183095,0.0,11.545383798970995,0.24581081884558306,0.0,0.0,0.0
2.28,2.076988460608527,19.286033646822524,0.0,0.192,0.0,1.3,5.85,0.00873,0.66,0.0,1.0,1.0,-0.8886701325184394,0.0,12.150382494559882,0.2740816033838146,0.0,0.0,0.0
