Time,x1,x2,y2,x0,y0,a1,a2,b1,b2,d1,d2x,d2y,compartment_0000001,reaction_0000001,reaction_0000002,reaction_0000003,reaction_0000004,reaction_0000005,reaction_0000006,reaction_0000007
0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.01990033251057623,0.00019867161598163984,9.933580799080067e-05,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.03980066502115246,0.01990033251057623,0.01990033251057623,0.00019867161598163984,9.933580799080067e-05
0.02,0.039602653875931364,0.0007894108751249734,0.0003947054375631225,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.07920530775186273,0.039602653875931364,0.039602653875931364,0.0007894108751249734,0.0003947054375631225
0.03,0.059108933389353836,0.0017643997836818536,0.0008821998918392868,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.11821786677870767,0.059108933389353836,0.059108933389353836,0.0017643997836818536,0.0008821998918392868
0.04,0.07842112232149959,0.003115930538977997,0.0015579652694907083,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.15684224464299917,0.07842112232149959,0.07842112232149959,0.003115930538977997,0.0015579652694907083
0.05,0.09754115217106263,0.0048364122260142195,0.002418206113013745,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.19508230434212526,0.09754115217106263,0.09754115217106263,0.0048364122260142195,0.002418206113013745
0.06,0.11647093438617387,0.006918371196175499,0.0034591855980897457,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.23294186877234774,0.11647093438617387,0.11647093438617387,0.006918371196175499,0.0034591855980897457
0.07,0.13521236162685882,0.009354444951751834,0.004677222475862264,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.27042472325371764,0.13521236162685882,0.13521236162685882,0.009354444951751834,0.004677222475862264
0.08,0.15376730808560576,0.012137379939063686,0.006068689969481634,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.30753461617121153,0.15376730808560576,0.15376730808560576,0.012137379939063686,0.006068689969481634
0.09,0.1721376293057955,0.015260032084412543,0.007630016042089714,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.344275258611591,0.1721376293057955,0.1721376293057955,0.015260032084412543,0.007630016042089714
0.1,0.1903251627961114,0.01871536323034687,0.009357681614988452,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.3806503255922228,0.1903251627961114,0.1903251627961114,0.01871536323034687,0.009357681614988452
0.11,0.20833172717229936,0.022496444194211724,0.011248222096855881,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.4166634543445987,0.20833172717229936,0.20833172717229936,0.022496444194211724,0.011248222096855881
0.12,0.22615912381709868,0.026596448094446702,0.013298224046955263,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.45231824763419737,0.22615912381709868,0.22615912381709868,0.026596448094446702,0.013298224046955263
0.13,0.24380913517302244,0.03100865474008581,0.01550432736974627,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.4876182703460449,0.24380913517302244,0.24380913517302244,0.03100865474008581,0.01550432736974627
0.14,0.26128352687867434,0.035726441251720115,0.01786322062554943,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.5225670537573487,0.26128352687867434,0.26128352687867434,0.035726441251720115,0.01786322062554943
0.15,0.2785840468405044,0.04074328386359345,0.02037164193146959,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.5571680936810088,0.2785840468405044,0.2785840468405044,0.04074328386359345,0.02037164193146959
