data_set_value_component_environment_variable_t,data_set_value_component_Model_variable_kM2T2_on,data_set_value_component_Model_variable_kM2T2_off,data_set_value_component_Model_variable_kM2T2_iso,data_set_value_component_Model_variable_kM2T2_negativeiso,data_set_value_component_Model_variable_kM2C1_on,data_set_value_component_Model_variable_kM2C1_off,data_set_value_component_Model_variable_kM2C1_cat,data_set_value_component_Model_variable_kMT1T2_on,data_set_value_component_Model_variable_kMT1T2_off,data_set_value_component_Model_variable_kMT1T2M2pro_on,data_set_value_component_Model_variable_kMT1T2M2pro_off,data_set_value_component_Model_variable_kM2_act,data_set_value_component_Model_variable_kMT1_shedeff,data_set_value_component_Model_variable_kMT1C1_cat,data_set_value_component_Model_variable_kMT1C1_on,data_set_value_component_Model_variable_kMT1C1_off,data_set_value_component_Model_variable_kMT1T2M2proMT1_on,data_set_value_component_Model_variable_kMT1T2M2proMT1_off,data_set_value_component_Model_variable_M2T2,data_set_value_component_Model_variable_M2C1,data_set_value_component_Model_variable_MT1T2,data_set_value_component_Model_variable_MT1T2M2proMT1,data_set_value_component_Model_variable_MT1C1,data_set_value_component_Model_variable_M2,data_set_value_component_Model_variable_MT1,data_set_value_component_Model_variable_M2_p,data_set_value_component_Model_variable_T2,data_set_value_component_Model_variable_C1_D,data_set_value_component_Model_variable_C1,data_set_value_component_Model_variable_MT1_cat,data_set_value_component_Model_variable_MT1_t,data_set_value_component_Model_variable_MT1T2M2pro,data_set_value_component_Model_variable_qMT1,data_set_value_component_Model_variable_qT2,data_set_value_component_Model_variable_qpro,data_set_value_component_Model_variable_MT1T2_star,data_set_value_component_Model_variable_M2T2_star
0.0,5900000.0,6.3,33.0,2e-08,2600.0,0.0021,0.0045,2980000.0,0.202,140000.0,0.0047,0.02,2800.0,0.00197,1000.0,1.0,3000.0,0.0009,7.2e-09,8.5e-06,1.39e-09,5.6e-10,2.9e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,5900000.0,6.3,33.0,2e-08,2600.0,0.0021,0.0045,2980000.0,0.202,140000.0,0.0047,0.02,2800.0,0.00197,1000.0,1.0,3000.0,0.0009,1.768577744423014e-09,8.494395421224603e-06,1.6528212518019485e-09,5.58832519998518e-10,2.6402915413698244e-06,6.4628840333867705e-09,2.594069024819117e-07,2.8180758917720637e-17,5.943614041251478e-10,4.332637365982766e-09,2.609804000571048e-07,3.98967301906779e-11,3.98967301906779e-11,5.023875013491395e-14,0.0,0.0,0.0,1.117213070561183e-12,4.574234339928535e-09
0.2,5900000.0,6.3,33.0,2e-08,2600.0,0.0021,0.0045,2980000.0,0.202,140000.0,0.0047,0.02,2800.0,0.00197,1000.0,1.0,3000.0,0.0009,3.898513237811497e-10,8.488795408364745e-06,1.9207508486545927e-09,5.576672739163085e-10,2.4020042027516467e-06,1.227148573132906e-08,4.973342824736245e-07,7.784987917530975e-17,5.339006856005638e-10,8.620895504275567e-09,5.005794934213974e-07,1.330858368718329e-10,1.330858368718329e-10,1.0034888269876154e-13,0.0,0.0,0.0,2.2322993510457745e-12,5.745487120975706e-09
0.30000000000000004,5900000.0,6.3,33.0,2e-08,2600.0,0.0021,0.0045,2980000.0,0.202,140000.0,0.0047,0.02,2800.0,0.00197,1000.0,1.0,3000.0,0.0009,7.240908380928718e-11,8.483200111710575e-06,1.9715634749122668e-09,5.565042091101428e-10,2.1831620982539782e-06,1.7915133172968808e-08,7.159676374506003e-07,1.4844745334941933e-16,5.303249495900865e-10,1.286872471973205e-08,7.207690653799379e-07,2.9218474097837076e-10,2.9218474097837076e-10,1.5032957062497377e-13,0.0,0.0,0.0,3.345312871669533e-12,6.0156916127172336e-09
0.4,5900000.0,6.3,33.0,2e-08,2600.0,0.0021,0.0045,2980000.0,0.202,140000.0,0.0047,0.02,2800.0,0.00197,1000.0,1.0,3000.0,0.0009,-5.3102515960336206e-11,8.47761268656104e-06,2.0097284967449196e-09,5.553442275800445e-10,1.987703814027234e-06,2.3520468036326277e-08,9.11110940110543e-07,2.484698258169406e-16,5.089594092812252e-10,1.7067496861046534e-08,9.176160026269907e-07,5.701610481365682e-10,5.701610481365682e-10,2.0011692832478684e-13,0.0,0.0,0.0,4.455407021674493e-12,6.124403606849375e-09
0.5,5900000.0,6.3,33.0,2e-08,2600.0,0.0021,0.0045,2980000.0,0.202,140000.0,0.0047,0.02,2800.0,0.00197,1000.0,1.0,3000.0,0.0009,-7.705397263583401e-11,8.472029426620023e-06,2.0412010357418484e-09,5.541858775661975e-10,1.8046190837588358e-06,2.9105529789936625e-08,1.0938244761001274e-06,3.640623371744578e-16,4.78180389872536e-10,2.1240310440120043e-08,1.1021111792640932e-06,9.110413608869051e-10,9.110413608869051e-10,2.4980198529014276e-13,0.0,0.0,0.0,5.563956386034611e-12,6.147661808150134e-09
0.6000000000000001,5900000.0,6.3,33.0,2e-08,2600.0,0.0021,0.0045,2980000.0,0.202,140000.0,0.0047,0.02,2800.0,0.00197,1000.0,1.0,3000.0,0.0009,-2.9099344832353113e-11,8.466451077412447e-06,2.0734856190883493e-09,5.530293476907621e-10,1.6344286709126278e-06,3.467395206085324e-08,1.2635666777885735e-06,4.969835246820192e-16,4.348625058233423e-10,2.5385958902403322e-08,1.273734292858865e-06,1.3281249239589786e-09,1.3281249239589786e-09,2.993703911042928e-13,0.0,0.0,0.0,6.67078493446122e-12,6.110740947965584e-09
0.7000000000000001,5900000.0,6.3,33.0,2e-08,2600.0,0.0021,0.0045,2980000.0,0.202,140000.0,0.0047,0.02,2800.0,0.00197,1000.0,1.0,3000.0,0.0009,-3.316144276418119e-11,8.46088075444925e-06,2.1379432861011923e-09,5.518754261962006e-10,1.4793088196491136e-06,4.024091959264087e-08,1.4180743614546135e-06,6.545822265529686e-16,3.659449291292812e-10,2.9499400117496582e-08,1.4303110258779555e-06,1.876988608026985e-09,1.876988608026985e-09,3.4876217610189234e-13,0.0,0.0,0.0,7.775157045286548e-12,6.119262849482418e-09
0.8,5900000.0,6.3,33.0,2e-08,2600.0,0.0021,0.0045,2980000.0,0.202,140000.0,0.0047,0.02,2800.0,0.00197,1000.0,1.0,3000.0,0.0009,-2.1021108022901505e-11,8.455316742650428e-06,2.2173098728600805e-09,5.507236791572551e-10,1.3380615136800563e-06,4.579807322668421e-08,1.55859340337011e-06,8.328129280243093e-16,2.7861760886457086e-10,3.3583409764000595e-08,1.5730383340067739e-06,2.5270375021313438e-09,2.5270375021313438e-09,3.980103534150094e-13,0.0,0.0,0.0,8.877477676169281e-12,6.115082996167327e-09
0.9,5900000.0,6.3,33.0,2e-08,2600.0,0.0021,0.0045,2980000.0,0.202,140000.0,0.0047,0.02,2800.0,0.00197,1000.0,1.0,3000.0,0.0009,-8.984755270332488e-12,8.449760860530614e-06,2.542120690788511e-09,5.495743449382413e-10,1.2068436036934569e-06,5.132983173800035e-08,1.6887332064866477e-06,1.0336889297013379e-15,-7.142082450048548e-11,3.764530506852846e-08,1.7057502308151067e-06,3.2814787160499353e-09,3.2814787160499353e-09,4.4708930750582377e-13,0.0,0.0,0.0,9.977532065046208e-12,6.128270303290743e-09
