Time,S,P,alpha,beta,gamma,delta,C,compartment
0.0,0.1,0.1,6.0,2.8,0.0,1.0,10.0,1.0
0.02,0.11197704520181428,0.10021197850189799,6.0,2.8,0.0,1.0,10.0,1.0
0.04,0.1253679381908163,0.10044985937448572,6.0,2.8,0.0,1.0,10.0,1.0
0.06,0.1403343606278364,0.10071683295216946,6.0,2.8,0.0,1.0,10.0,1.0
0.08,0.1570551476754714,0.10101648867066522,6.0,2.8,0.0,1.0,10.0,1.0
0.1,0.17572780043850905,0.10135286689134927,6.0,2.8,0.0,1.0,10.0,1.0
0.12,0.1965699951435467,0.10173051721500631,6.0,2.8,0.0,1.0,10.0,1.0
0.14,0.21982114082637358,0.10215456551087605,6.0,2.8,0.0,1.0,10.0,1.0
0.16,0.24574389469789726,0.10263078963810239,6.0,2.8,0.0,1.0,10.0,1.0
0.18,0.274625623831618,0.10316570616530318,6.0,2.8,0.0,1.0,10.0,1.0
0.2,0.3067797382185614,0.10376666957739868,6.0,2.8,0.0,1.0,10.0,1.0
0.22,0.3425468327590078,0.10444198642347932,6.0,2.8,0.0,1.0,10.0,1.0
0.24,0.3822955168693503,0.10520104440141138,6.0,2.8,0.0,1.0,10.0,1.0
0.26,0.4264228718908242,0.10605446333249327,6.0,2.8,0.0,1.0,10.0,1.0
0.28,0.4753543265051466,0.10701426711620626,6.0,2.8,0.0,1.0,10.0,1.0
0.3,0.5295428777520123,0.10809408275293707,6.0,2.8,0.0,1.0,10.0,1.0
0.32,0.5894673969205264,0.10930937078045995,6.0,2.8,0.0,1.0,10.0,1.0
0.34,0.6556298893823864,0.1106776891560185,6.0,2.8,0.0,1.0,10.0,1.0
0.36,0.7285513410143504,0.11221900791898243,6.0,2.8,0.0,1.0,10.0,1.0
0.38,0.8087661395360597,0.11395606366288953,6.0,2.8,0.0,1.0,10.0,1.0
0.4,0.8968145832440058,0.1159147804964614,6.0,2.8,0.0,1.0,10.0,1.0
0.42,0.9932333232614099,0.11812476115931557,6.0,2.8,0.0,1.0,10.0,1.0
0.44,1.0985436729752267,0.12061985379417066,6.0,2.8,0.0,1.0,10.0,1.0
0.46,1.2132373061261452,0.123438824797206,6.0,2.8,0.0,1.0,10.0,1.0
0.48,1.3377596169130768,0.12662613770173356,6.0,2.8,0.0,1.0,10.0,1.0
0.5,1.4724904842931315,0.13023287202279632,6.0,2.8,0.0,1.0,10.0,1.0
0.52,1.6177227715651283,0.13431779779444777,6.0,2.8,0.0,1.0,10.0,1.0
0.54,1.7736388469933744,0.13894863706745733,6.0,2.8,0.0,1.0,10.0,1.0
0.56,1.9402858160780958,0.14420353683803494,6.0,2.8,0.0,1.0,10.0,1.0
0.58,2.117550086868488,0.15017279696527217,6.0,2.8,0.0,1.0,10.0,1.0
0.6,2.305132495615505,0.15696087913757115,6.0,2.8,0.0,1.0,10.0,1.0
0.62,2.5025249543372676,0.16468875537145355,6.0,2.8,0.0,1.0,10.0,1.0
0.64,2.708990212947128,0.17349662257470358,6.0,2.8,0.0,1.0,10.0,1.0
0.66,2.923545946787316,0.18354703617767068,6.0,2.8,0.0,1.0,10.0,1.0
0.68,3.144954554219998,0.19502850217654297,6.0,2.8,0.0,1.0,10.0,1.0
0.7000000000000001,3.3717197448685527,0.20815956512915376,6.0,2.8,0.0,1.0,10.0,1.0
0.72,3.6020905234598106,0.2231933933430816,6.0,2.8,0.0,1.0,10.0,1.0
0.74,3.8340729665521907,0.24042287700780718,6.0,2.8,0.0,1.0,10.0,1.0
0.76,4.065449796127666,0.26018620549633065,6.0,2.8,0.0,1.0,10.0,1.0
0.78,4.293806152190279,0.2828727789849944,6.0,2.8,0.0,1.0,10.0,1.0
0.8,4.516560802223451,0.3089293109145647,6.0,2.8,0.0,1.0,10.0,1.0
0.8200000000000001,4.731001323258676,0.3388658373091624,6.0,2.8,0.0,1.0,10.0,1.0
0.84,4.934321159760338,0.37326117032057754,6.0,2.8,0.0,1.0,10.0,1.0
0.86,5.123657287474308,0.4127672277126103,6.0,2.8,0.0,1.0,10.0,1.0
0.88,5.2961277326018115,0.45811130543963247,6.0,2.8,0.0,1.0,10.0,1.0
0.9,5.448868609291043,0.5100952046674551,6.0,2.8,0.0,1.0,10.0,1.0
0.92,5.579071849233452,0.5695898994655567,6.0,2.8,0.0,1.0,10.0,1.0
0.9400000000000001,5.684025558988808,0.6375239675538984,6.0,2.8,0.0,1.0,10.0,1.0
0.96,5.761160114738224,0.7148638740180991,6.0,2.8,0.0,1.0,10.0,1.0
0.98,5.808103631059709,0.8025843371216502,6.0,2.8,0.0,1.0,10.0,1.0
1.0,5.8227506459140095,0.9016269623004267,6.0,2.8,0.0,1.0,10.0,1.0
1.02,5.803346702380389,1.012846338582129,6.0,2.8,0.0,1.0,10.0,1.0
1.04,5.748590101788355,1.1369435980374267,6.0,2.8,0.0,1.0,10.0,1.0
1.06,5.65774829686447,1.2743897016487966,6.0,2.8,0.0,1.0,10.0,1.0
1.08,5.530782178863897,1.4253430488891938,6.0,2.8,0.0,1.0,10.0,1.0
1.1,5.3684663629704925,1.5895688396901368,6.0,2.8,0.0,1.0,10.0,1.0
1.12,5.172489314110247,1.7663699202870398,6.0,2.8,0.0,1.0,10.0,1.0
1.1400000000000001,4.945512748498714,1.9545412511748836,6.0,2.8,0.0,1.0,10.0,1.0
1.16,4.691171469720582,2.1523589935674416,6.0,2.8,0.0,1.0,10.0,1.0
1.18,4.4139970754597515,2.3576138193960015,6.0,2.8,0.0,1.0,10.0,1.0
1.2,4.119260804008204,2.56769130983886,6.0,2.8,0.0,1.0,10.0,1.0
1.22,3.81273979362832,2.7796967899166996,6.0,2.8,0.0,1.0,10.0,1.0
1.24,3.500428672331701,2.990612449454309,6.0,2.8,0.0,1.0,10.0,1.0
1.26,3.188225614837305,3.197469860084752,6.0,2.8,0.0,1.0,10.0,1.0
1.28,2.8816302932727966,3.397516669316593,6.0,2.8,0.0,1.0,10.0,1.0
1.3,2.5854865936690574,3.588358684778006,6.0,2.8,0.0,1.0,10.0,1.0
1.32,2.3037971207585963,3.7680619668941318,6.0,2.8,0.0,1.0,10.0,1.0
1.34,2.0396214738258447,3.93520805880402,6.0,2.8,0.0,1.0,10.0,1.0
1.36,1.7950579749118611,4.088902541551417,6.0,2.8,0.0,1.0,10.0,1.0
1.3800000000000001,1.571296891076641,4.228743613053355,6.0,2.8,0.0,1.0,10.0,1.0
1.4000000000000001,1.3687259192160972,4.354761712697483,6.0,2.8,0.0,1.0,10.0,1.0
1.42,1.1870673789434625,4.467341555093281,6.0,2.8,0.0,1.0,10.0,1.0
1.44,1.0255270323944186,4.5671381848592665,6.0,2.8,0.0,1.0,10.0,1.0
1.46,0.8829390021824755,4.654995683869669,6.0,2.8,0.0,1.0,10.0,1.0
1.48,0.7578963591721377,4.73187415737315,6.0,2.8,0.0,1.0,10.0,1.0
1.5,0.6488610709229632,4.798788860339653,6.0,2.8,0.0,1.0,10.0,1.0
1.52,0.5542516490380678,4.8567620031059775,6.0,2.8,0.0,1.0,10.0,1.0
1.54,0.47250868513614064,4.906787204499861,6.0,2.8,0.0,1.0,10.0,1.0
1.56,0.402141368621862,4.949804723817028,6.0,2.8,0.0,1.0,10.0,1.0
1.58,0.34175739505536673,4.986686083923978,6.0,2.8,0.0,1.0,10.0,1.0
1.6,0.2900801925604249,5.018225793744744,6.0,2.8,0.0,1.0,10.0,1.0
1.62,0.24595632169396608,5.045138546341825,6.0,2.8,0.0,1.0,10.0,1.0
1.6400000000000001,0.20835582787900386,5.0680602909652785,6.0,2.8,0.0,1.0,10.0,1.0
1.6600000000000001,0.1763679124247372,5.087551842364515,6.0,2.8,0.0,1.0,10.0,1.0
1.68,0.14919352324267499,5.104104105831657,6.0,2.8,0.0,1.0,10.0,1.0
1.7,0.12613620743873077,5.11814417794196,6.0,2.8,0.0,1.0,10.0,1.0
1.72,0.10659224696263296,5.130041737041731,6.0,2.8,0.0,1.0,10.0,1.0
1.74,0.09004067405035748,5.140115402353128,6.0,2.8,0.0,1.0,10.0,1.0
1.76,0.07603362088907425,5.148638811165435,6.0,2.8,0.0,1.0,10.0,1.0
1.78,0.06418728140669798,5.155846265743872,6.0,2.8,0.0,1.0,10.0,1.0
1.8,0.05417361066197576,5.161937889906399,6.0,2.8,0.0,1.0,10.0,1.0
1.82,0.045712845949751724,5.167084255162918,6.0,2.8,0.0,1.0,10.0,1.0
1.84,0.038566848644846476,5.171430485329988,6.0,2.8,0.0,1.0,10.0,1.0
1.86,0.03253322028795689,5.175099874665438,6.0,2.8,0.0,1.0,10.0,1.0
1.8800000000000001,0.027440169815297493,5.178197037466383,6.0,2.8,0.0,1.0,10.0,1.0
1.9000000000000001,0.02314204119950657,5.1808106480021205,6.0,2.8,0.0,1.0,10.0,1.0
1.92,0.019515454628436544,5.183015801339055,6.0,2.8,0.0,1.0,10.0,1.0
1.94,0.016455979223123703,5.1848760467821995,6.0,2.8,0.0,1.0,10.0,1.0
1.96,0.01387528321265816,5.18644512798603,6.0,2.8,0.0,1.0,10.0,1.0
1.98,0.011698690893229658,5.187768473536067,6.0,2.8,0.0,1.0,10.0,1.0
2.0,0.009863101682264315,5.1888844658788225,6.0,2.8,0.0,1.0,10.0,1.0
