P_2_task1,S_1_task1,_1_task1
0.1,0.1,0.0
0.10021197850189799,0.11197704520181428,0.02
0.10044985937448572,0.1253679381908163,0.04
0.10071683295216946,0.1403343606278364,0.06
0.10101648867066522,0.1570551476754714,0.08
0.10135286689134927,0.17572780043850905,0.1
0.10173051721500631,0.1965699951435467,0.12
0.10215456551087605,0.21982114082637358,0.14
0.10263078963810239,0.24574389469789726,0.16
0.10316570616530318,0.274625623831618,0.18
0.10376666957739868,0.3067797382185614,0.2
0.10444198642347932,0.3425468327590078,0.22
0.10520104440141138,0.3822955168693503,0.24
0.10605446333249327,0.4264228718908242,0.26
0.10701426711620626,0.4753543265051466,0.28
0.10809408275293707,0.5295428777520123,0.3
0.10930937078045995,0.5894673969205264,0.32
0.1106776891560185,0.6556298893823864,0.34
0.11221900791898243,0.7285513410143504,0.36
0.11395606366288953,0.8087661395360597,0.38
0.1159147804964614,0.8968145832440058,0.4
0.11812476115931557,0.9932333232614099,0.42
0.12061985379417066,1.0985436729752267,0.44
0.123438824797206,1.2132373061261452,0.46
0.12662613770173356,1.3377596169130768,0.48
0.13023287202279632,1.4724904842931315,0.5
0.13431779779444777,1.6177227715651283,0.52
0.13894863706745733,1.7736388469933744,0.54
0.14420353683803494,1.9402858160780958,0.56
0.15017279696527217,2.117550086868488,0.58
0.15696087913757115,2.305132495615505,0.6
0.16468875537145355,2.5025249543372676,0.62
0.17349662257470358,2.708990212947128,0.64
0.18354703617767068,2.923545946787316,0.66
0.19502850217654297,3.144954554219998,0.68
0.20815956512915376,3.3717197448685527,0.7000000000000001
0.2231933933430816,3.6020905234598106,0.72
0.24042287700780718,3.8340729665521907,0.74
0.26018620549633065,4.065449796127666,0.76
0.2828727789849944,4.293806152190279,0.78
0.3089293109145647,4.516560802223451,0.8
0.3388658373091624,4.731001323258676,0.8200000000000001
0.37326117032057754,4.934321159760338,0.84
0.4127672277126103,5.123657287474308,0.86
0.45811130543963247,5.2961277326018115,0.88
0.5100952046674551,5.448868609291043,0.9
0.5695898994655567,5.579071849233452,0.92
0.6375239675538984,5.684025558988808,0.9400000000000001
0.7148638740180991,5.761160114738224,0.96
0.8025843371216502,5.808103631059709,0.98
0.9016269623004267,5.8227506459140095,1.0
1.012846338582129,5.803346702380389,1.02
1.1369435980374267,5.748590101788355,1.04
1.2743897016487966,5.65774829686447,1.06
1.4253430488891938,5.530782178863897,1.08
1.5895688396901368,5.3684663629704925,1.1
1.7663699202870398,5.172489314110247,1.12
1.9545412511748836,4.945512748498714,1.1400000000000001
2.1523589935674416,4.691171469720582,1.16
2.3576138193960015,4.4139970754597515,1.18
2.56769130983886,4.119260804008204,1.2
2.7796967899166996,3.81273979362832,1.22
2.990612449454309,3.500428672331701,1.24
3.197469860084752,3.188225614837305,1.26
3.397516669316593,2.8816302932727966,1.28
3.588358684778006,2.5854865936690574,1.3
3.7680619668941318,2.3037971207585963,1.32
3.93520805880402,2.0396214738258447,1.34
4.088902541551417,1.7950579749118611,1.36
4.228743613053355,1.571296891076641,1.3800000000000001
4.354761712697483,1.3687259192160972,1.4000000000000001
4.467341555093281,1.1870673789434625,1.42
4.5671381848592665,1.0255270323944186,1.44
4.654995683869669,0.8829390021824755,1.46
4.73187415737315,0.7578963591721377,1.48
4.798788860339653,0.6488610709229632,1.5
4.8567620031059775,0.5542516490380678,1.52
4.906787204499861,0.47250868513614064,1.54
4.949804723817028,0.402141368621862,1.56
4.986686083923978,0.34175739505536673,1.58
5.018225793744744,0.2900801925604249,1.6
5.045138546341825,0.24595632169396608,1.62
5.0680602909652785,0.20835582787900386,1.6400000000000001
5.087551842364515,0.1763679124247372,1.6600000000000001
5.104104105831657,0.14919352324267499,1.68
5.11814417794196,0.12613620743873077,1.7
5.130041737041731,0.10659224696263296,1.72
5.140115402353128,0.09004067405035748,1.74
5.148638811165435,0.07603362088907425,1.76
5.155846265743872,0.06418728140669798,1.78
5.161937889906399,0.05417361066197576,1.8
5.167084255162918,0.045712845949751724,1.82
5.171430485329988,0.038566848644846476,1.84
5.175099874665438,0.03253322028795689,1.86
5.178197037466383,0.027440169815297493,1.8800000000000001
5.1808106480021205,0.02314204119950657,1.9000000000000001
5.183015801339055,0.019515454628436544,1.92
5.1848760467821995,0.016455979223123703,1.94
5.18644512798603,0.01387528321265816,1.96
5.187768473536067,0.011698690893229658,1.98
5.1888844658788225,0.009863101682264315,2.0
