Time,IkBa_mRNA,IkBa_cytoplasm,IkBa_nucleus,IkBaIKK,IkBaNFkB_cytoplasm,IkBaNFkB_nucleus,IkBaIKKNFkB,NFkB_cytoplasm,IKK,NFkB_nucleus,IkBbIKK,IkBbIKKNFkB,IkBbNFkB_nucleus,IkBbNFkB_cytoplasm,IkBb_nucleus,IkBb_cytoplasm,IkBb_mRNA,IkBe_mRNA,IkBe_cytoplasm,IkBe_nucleus,IkBeNFkB_cytoplasm,IkBeNFkB_nucleus,IkBeIKKNFkB,IkBeIKK,Total_IkBalpha,Total_IkBbeta,Total_IkBeps,cytoplasm,nucleus,txn_a,mdeg_a,tsl_a,int_ai,int_an,int_an_n,int_2ani,int_2ain,deg_a,deg_a_n,deg_an_n,deg_an,deg_ai,deg_ain,loc_a,loc_an,loc_bn,loc_b,deg_bin,deg_bi,deg_bn,deg_bn_n,deg_b_n,deg_b,int_2bin,int_2bni,int_bn_n,int_bn,int_bi,tsl_b,mdeg_b,txn_b,loc_n,txn_e,mdeg_e,tsl_e,int_ei,int_en,int_en_n,int_2eni,int_2ein,deg_e,deg_e_n,deg_en_n,deg_en,deg_ei,deg_ein,loc_e,loc_en,IKK_deg,itxn_a
0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.06,0.03,0.01,1.0,1.0,0.0001848,0.0,0.0,0.0,-3.6e-06,0.0,0.0006659999999999999,0.0,0.0,0.0,0.0,3.6e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8e-06,0.0,0.0,0.0,0.0,8.639999999999999e-05,0.0,-1.8e-06,0.0,0.0,0.0,4.272e-05,0.0,3.048e-05,0.0,0.0,0.0,-6.000000000000001e-07,0.0,4.2000000000000004e-05,0.0,0.0,0.0,0.0,6.000000000000001e-07,0.0,0.0,0.0,0.0,0.0,0.0
0.01,1.847844773769991e-06,3.823371190902948e-08,3.37553836572711e-12,2.2404079535611076e-12,0.05999329720707359,7.4984903736710775e-22,6.618857227916284e-06,1.2941434357938366e-07,0.000992103806506274,3.414078043017787e-09,2.910182815686985e-13,8.596004508776202e-07,3.6787765960040074e-22,0.029999103883219174,1.649890966306424e-12,1.850441061902721e-08,4.2716411653383047e-07,3.0477439775166557e-07,6.366727817086604e-09,5.621361481301799e-13,0.009999569890375395,1.2498817022048813e-22,4.1773314125300544e-07,1.4225412102183977e-13,0.05999995430362936,0.02999998199002158,0.009999993990948855,1.0,1.0,0.0001848,3.1043792199335847e-08,4.523524006188938e-07,5.1039914417929665e-11,-3.5995976839846936e-06,3.457304975428499e-19,0.0006601709073243054,-3.971314249767493e-10,4.588045429083537e-09,4.050646038872532e-13,4.4990942242026467e-26,3.5995978324244156e-06,1.6130937265639973e-13,2.382788602049862e-06,6.881663079021419e-10,6.2087500293996515e-22,1.523013510745659e-22,3.3305959245089404e-10,1.0315205410531442e-07,6.984438757648764e-15,1.7999462329931505e-06,2.2072659576024045e-26,2.969803739351563e-13,3.3307939114248973e-09,-5.157602592279902e-11,8.562495039709623e-05,1.6898567357054528e-19,-1.799946161151066e-06,6.57842971686041e-12,1.0456977572748169e-07,7.1763571577683515e-09,4.272e-05,6.988210677540653e-07,3.048e-05,5.120209882227981e-09,7.460877256960772e-08,3.395948964546047e-12,-5.999741687041467e-07,5.757529291624503e-20,4.1622705697169635e-05,-2.5063987922888614e-11,1.1460110070755888e-09,1.0118450666343238e-13,7.499290213229288e-27,5.999741934225237e-07,5.1211483567862315e-15,7.519196542554098e-08,1.1459435507378131e-10,5.1745102471282085e-23,0.0,2.3078739189956003e-17
0.02,3.6953791386328324e-06,8.093016612307744e-08,1.4022528211222249e-11,8.958786956095932e-12,0.05998665235921978,2.476449608430797e-20,1.3156091830926507e-05,2.7680521858209715e-07,0.000984302460619566,1.4302618372642002e-08,1.161791131137192e-12,1.7104692577863324e-06,1.1934277709152663e-20,0.02999821547233803,6.7141282689159e-12,3.801618984534439e-08,8.54256476203048e-07,6.094975981898151e-07,1.3465855174449003e-08,2.3334791840717804e-12,0.009999143531808337,4.127953019108555e-21,8.309676019599749e-07,5.691847100261197e-13,0.05999988940419815,0.029999963965661583,0.009999987968168136,1.0,1.0,0.0001848,6.208236952903158e-08,9.046288131373174e-07,1.0686876921024156e-10,-3.5991984694964173e-06,6.016764602871779e-18,0.0006544128988014473,-7.89365435460421e-10,9.711619934769292e-09,1.6827033853466698e-12,1.4858697650584783e-24,3.599199141553187e-06,6.450326608389071e-13,4.736193059133542e-06,1.4565747198768593e-09,2.0505002757806997e-20,4.9407909715892026e-21,6.842108476769719e-10,2.0525631093435988e-07,2.7882987147292608e-14,1.799892928340282e-06,7.160566625491598e-25,1.208543088404862e-12,6.8429141721619905e-09,-1.026281458194845e-10,8.485907456235302e-05,2.880887714001485e-18,-1.7998926126478898e-06,1.334900644616569e-11,2.0912198537450615e-07,1.4351508800211205e-08,4.272e-05,1.4946795277751362e-06,3.048e-05,1.0239559649588893e-08,1.4920501203686675e-07,7.097651772027967e-12,-5.999485000859307e-07,1.0012456198313001e-18,4.1249911048072294e-05,-4.9858051390999554e-11,2.4238539314008204e-09,4.2002625313292045e-13,2.476771811465133e-25,5.999486119085002e-07,2.0490649560940306e-14,1.4957416835279548e-07,2.423573913898732e-10,1.7089725499109416e-21,0.0,4.050384867806044e-16
0.03,5.5426031437807435e-06,1.2808245049938322e-07,3.2736804829278754e-11,2.0150492122558688e-11,0.05998006474765972,1.9504654103891183e-19,1.961270556739345e-05,4.4092052898901517e-07,0.0009765948057170574,3.360629133086302e-08,2.6088501221716956e-12,2.5527083486573212e-06,9.253752417320531e-20,0.02999733467587566,1.5367863243996963e-11,5.853317231442386e-08,1.2812770903774237e-06,9.141696094265889e-07,2.129580792488206e-08,5.44381058064541e-12,0.00999872087942872,3.251324279292469e-20,1.2397563265285307e-06,1.2810223248974557e-12,0.05999980558856491,0.02999994593537335,0.009999981938288006,1.0,1.0,0.0001848,9.311573281551648e-08,1.356829249597526e-06,1.673529985034413e-10,-3.5988021906341285e-06,3.300486630723789e-17,0.0006487250855208691,-1.1767620675006375e-09,1.5369894059925987e-08,3.9284165795134504e-12,1.1702792462334711e-23,3.5988038848595833e-06,1.4508354328242254e-12,7.060574004261642e-06,2.3050912673309463e-09,1.6149853598021899e-19,3.8310535007707e-20,1.0534126873007014e-09,3.0632500183887855e-07,6.261240293212069e-14,1.7998400805525397e-06,5.552251450392319e-24,2.766215383919453e-12,1.0535971016596294e-08,-1.53162466410572e-10,8.410226036526205e-05,1.549370112706726e-17,-1.7998393062982208e-06,2.030481987315878e-11,3.136566317243933e-07,2.152545511834072e-08,4.272e-05,2.380809546342294e-06,3.048e-05,1.5358049438366692e-08,2.2378872038762897e-07,1.1096075373499271e-11,-5.999229710729564e-07,5.488386578901559e-18,4.0881560859306565e-05,-7.438536264684061e-11,3.833245426478771e-09,9.798859045161737e-13,1.9507945675754816e-24,5.999232527657232e-07,4.6116803696308404e-14,2.231561387751355e-07,3.832592169209093e-10,1.3460482516270822e-20,0.0,2.2361779776893814e-15
0.04,7.3895168414044436e-06,1.7968364415463506e-07,6.030862627356807e-11,3.581012277619387e-11,0.05997353367479231,8.699230491079047e-19,2.5989684474114995e-05,6.205831069215306e-07,0.0009689797032825097,6.219538255447356e-08,4.628727982654122e-12,3.3864180832981822e-06,4.0632884095562037e-19,0.029996461403765818,2.7784777902328877e-11,8.005319492479839e-08,1.7082259711161338e-06,1.2187904400660054e-06,2.98550137214141e-08,1.0021842215788015e-11,0.00999830188906254,1.4501859603564842e-19,1.6441514432922842e-06,2.277935191435827e-12,0.059999703139029324,0.029999927907457546,0.009999975907819331,1.0,1.0,0.0001848,1.2414388293559463e-07,1.8089537227758077e-06,2.3236247645865125e-10,-3.598408675228514e-06,1.1252749027719728e-16,0.0006431065928659842,-1.5593804017521823e-09,2.1562037298556208e-08,7.2370351528281685e-12,5.219538294647428e-23,3.5984120204875387e-06,2.578328839885958e-12,9.356286410681397e-06,3.233581891268148e-09,7.20296284661345e-19,1.6822014015562683e-19,1.440624091311543e-09,4.0637016999578187e-07,1.1108947158369893e-13,1.7997876842259491e-06,2.4379730457337224e-23,5.001260022419197e-12,1.440957508646371e-08,-2.0318499882257918e-10,8.335439744042691e-05,5.184252234506238e-17,-1.7997861938361364e-06,2.743915514523862e-11,4.1817371772922954e-07,2.8698196314751047e-08,4.272e-05,3.350850239540004e-06,3.048e-05,2.047567939310889e-08,2.983598997281581e-07,1.538242406702563e-11,-5.998975575182373e-07,1.8699360614229493e-17,4.051760080918397e-05,-9.86490441880941e-11,5.3739024698545385e-09,1.8039315988418426e-12,8.701115762138905e-24,5.998981133437524e-07,8.200566689168976e-14,2.9594725979261114e-07,5.372699848788643e-10,6.003769875875845e-20,0.0,7.659165909972681e-15
0.05,9.236120283674655e-06,2.3572683698487993e-07,9.752588857047227e-11,5.593161144458386e-11,0.05996705845154127,2.792645102819443e-18,3.228800259408113e-05,8.146796853410209e-07,0.0009614560286098039,1.0088035470018086e-07,7.217952762624579e-12,4.2116976274218e-06,1.2856945536246129e-18,0.02999559556701893,4.413782395213121e-11,1.0257409888079887e-07,2.135103130467549e-06,1.5233600987043748e-06,3.9141903484934826e-08,1.619575002192773e-11,0.009997886517065695,4.655655405160237e-19,2.044204459091827e-06,3.560037714857862e-12,0.05999958233442984,0.029999909890101012,0.00999996988318406,1.0,1.0,0.0001848,1.551668207657342e-07,2.2610022454435556e-06,3.0177046364937116e-10,-3.598017745836515e-06,2.9515321938448057e-16,0.0006375565573206064,-1.9372787886544397e-09,2.828722043818559e-08,1.1703106628456673e-11,1.6755870616916658e-22,3.5980235070924765e-06,4.027076024010038e-12,1.1623680933869207e-05,4.241912755064993e-09,2.3123101451344985e-18,5.322775452005897e-19,1.845804125966954e-09,5.05403715290616e-07,1.7323086630298988e-13,1.799735734021136e-06,7.714167321747678e-23,7.944808311383618e-12,1.8463337798543795e-08,-2.527016812357234e-10,8.261537677531807e-05,1.3357910293788084e-16,-1.799733227070098e-06,3.474548982926281e-11,5.22673246338456e-07,3.586973259185482e-08,4.272e-05,4.398786075138952e-06,3.048e-05,2.5592449658233495e-08,3.7291855216283094e-07,1.9948134341440914e-11,-5.998722343805333e-07,4.901496227149351e-17,4.0157977245591214e-05,-1.2265218053679747e-10,7.045542627288269e-09,2.915235003946991e-12,2.7933932430961425e-23,5.998731910239417e-07,1.28161357734883e-13,3.679568026365288e-07,7.043599137285637e-10,1.927441337736338e-19,0.0,2.015015500957992e-14
0.06,1.1082413522805186e-05,2.962051270514405e-07,1.4517428938395694e-10,8.050820237346757e-11,0.05996063839754085,7.339175920734715e-18,3.850862173100302e-05,1.0221603535899055e-06,0.000954022671086131,1.5041157595731143e-07,1.0373047254348855e-11,5.028644927770096e-06,3.3308834063334426e-18,0.02999473707774517,6.45992448569659e-11,1.2609372899404987e-07,2.5619085804798266e-06,1.8278785939378536e-06,4.91549108953725e-08,2.4093190851966505e-11,0.00999747472033536,1.2235997499511352e-18,2.439966246457817e-06,5.127388774068206e-12,0.0599994434500814,0.02999989189137423,0.009999963870713295,1.0,1.0,0.0001848,1.8618454718312711e-07,2.7129748303827095e-06,3.7545353359566974e-10,-3.597629220778329e-06,6.5507636929115725e-16,0.000632074126655147,-2.3105148350914033e-09,3.554461524617286e-08,1.742091472607483e-11,4.403505552440829e-22,3.597638303852451e-06,5.796590570889664e-12,1.3863103823161088e-05,5.329950195453321e-09,6.0768376623683436e-18,1.3789857302220453e-18,2.268911930954614e-09,6.034373913324114e-07,2.4895313410437255e-13,1.7996842246647102e-06,1.9985300438000655e-22,1.1627864074253862e-11,2.2696871218928976e-08,-3.0171837757867623e-10,8.18850907366417e-05,2.914940268846503e-16,-1.7996803580243918e-06,4.2217489449454475e-11,6.271552205014615e-07,4.304006415206108e-08,4.272e-05,5.518943933820895e-06,3.048e-05,3.0708360378155935e-08,4.4746467979598655e-07,2.478486984900102e-11,-5.998469758940886e-07,1.0871677076055181e-16,3.980263719872565e-05,-1.4639781755706337e-10,8.84788396116705e-09,4.336774353353971e-12,7.341598499706811e-23,5.998484832201216e-07,1.845859958664554e-13,4.3919392436240707e-07,8.844992778264813e-10,5.0657029647977e-19,0.0,4.479481152028489e-14
0.07,1.2928396611062294e-05,3.6111162167240846e-07,2.0403721869692291e-10,1.0953249270738475e-10,0.059954272840988046,1.6759555349550923e-17,4.465249164640428e-05,1.2420348447882623e-06,0.0009466785339655038,2.1148371261912185e-07,1.409053092775228e-11,5.837356731435982e-06,7.502135324266402e-18,0.02999388584913663,8.934055734746265e-11,1.5060993402733346e-07,2.9886423331992135e-06,2.1323459343612366e-06,5.989247262904522e-08,3.38412887077987e-11,0.009997066456301173,2.7944007899871247e-18,2.831487053637894e-06,6.979994714533693e-12,0.05999928675782585,0.02999987391923319,0.009999957876648726,1.0,1.0,0.0001848,2.1719706306584654e-07,3.1648714903880496e-06,4.532915008606469e-10,-3.5972429150627736e-06,1.2945154501018278e-15,0.0006266584597371454,-2.6791454174890793e-09,4.3333394600689013e-08,2.448446624363075e-11,1.0055733209730553e-21,3.597256370459283e-06,7.886339474931702e-12,1.6074896992705538e-05,6.497560743478989e-09,1.3876911829428163e-17,3.1058840242462904e-18,2.709906725803832e-09,7.004828077723179e-07,3.381727422660547e-13,1.799633150948198e-06,4.501281194559841e-22,1.6081300322543275e-11,2.710978812492002e-08,-3.502408788582471e-10,8.116343304793651e-05,5.668217325309696e-16,-1.799627539064617e-06,4.984900320901542e-11,7.316196431671675e-07,5.0209191197746784e-08,4.272e-05,6.705973040036046e-06,3.048e-05,3.582341169726877e-08,5.219982847316307e-07,2.9884516374352096e-11,-5.99821755721932e-07,2.147062736081776e-16,3.945152836995704e-05,-1.6988896313637408e-10,1.0780645073228139e-08,6.091431967403766e-12,1.6766404739922748e-22,5.998239873780703e-07,2.5127980972321295e-13,5.09667669654821e-07,1.0776584118583201e-09,1.1568819270546695e-18,0.0,8.855621419227128e-14
0.08,1.4774069600781743e-05,4.3043943720519485e-07,2.7489579912471424e-10,1.4299646448347037e-10,0.0599479611184192,3.4435488132078434e-17,5.072055037314955e-05,1.4733687302120833e-06,0.0009394225340082405,2.8473934969175e-07,1.8366920953680202e-11,6.637928616725762e-06,1.5214557500532707e-17,0.02999304179543952,1.185325642956694e-10,1.7612056662645737e-07,3.4153044006699345e-06,2.4367621285678746e-06,7.135302829922476e-08,4.55666442273678e-11,0.009996661682911514,5.742111356862427e-18,3.218816520687237e-06,9.117811755111018e-12,0.059999112526121855,0.029999855981522373,0.009999951907144962,1.0,1.0,0.0001848,2.4820436929313325e-07,3.6166922382713708e-06,5.351673493928596e-10,-3.5968586412249415e-06,2.348207466143664e-15,0.0006213087262436843,-3.043226701793394e-09,5.165273246462338e-08,3.298749589496571e-11,2.066129287924706e-21,3.596877667105152e-06,1.0295745442809866e-11,1.8259398134333836e-05,7.74461112010401e-09,2.8512584173360943e-17,6.29882680522054e-18,3.1687478085046843e-09,7.965514340070914e-07,4.4080610288832485e-13,1.7995825077263713e-06,9.128734500319625e-22,2.1335861573220493e-11,3.170170199276233e-08,-3.982749051661356e-10,8.045029875437396e-05,1.0125256453718837e-15,-1.7995747230103029e-06,5.7634059736693325e-11,8.360665172839999e-07,5.7377113931254893e-08,4.272e-05,7.95482439426673e-06,3.048e-05,4.093760375994029e-08,5.965193690734157e-07,3.523917679888383e-11,-5.997965470950698e-07,3.892381548213998e-16,3.9104599114419876e-05,-1.931285882242724e-10,1.2843545093860457e-08,8.201995960926203e-12,3.4452668141174563e-22,5.997997009746909e-07,3.2824122318399663e-13,5.793869737237026e-07,1.2838077096553172e-09,2.3772341017410445e-18,0.0,1.605314645805038e-13
0.09,1.6619432544392066e-05,5.04181698976017e-07,3.5852889386925955e-10,1.808915131086207e-10,0.059941702574573534,6.523252374143883e-17,5.671372440846993e-05,1.715279555190675e-06,0.0009322536012594861,3.7077232484709456e-07,2.3198733384600973e-11,7.43045501181772e-06,2.846547427529965e-17,0.02999220483193736,1.5234535811146522e-10,2.0262348331262563e-07,3.841894794934125e-06,2.7411271851496285e-06,8.353502044112501e-08,5.939533722220577e-11,0.009996260358625211,1.0878583364760123e-17,3.602003689232127e-06,1.1540748070678032e-11,0.05999892102010145,0.02999983808597661,0.00999994596827098,1.0,1.0,0.0001848,2.792064667457867e-07,4.068437086867178e-06,6.209671626722027e-10,-3.5964762100976016e-06,3.987973831191453e-15,0.0006160241064769249,-3.4028141561227713e-09,6.050180387712204e-08,4.302346726431114e-11,3.91395142448633e-21,3.5965021544744123e-06,1.302418894382069e-11,2.0416940787049174e-05,9.070968234841874e-09,5.4012529657911346e-17,1.1784706349974056e-17,3.6453945553299236e-09,8.916546014181264e-07,5.567696012304234e-13,1.7995322899162417e-06,1.7079284565179793e-21,2.742216446006374e-11,3.647222699627261e-08,-4.458261069396708e-10,7.974558420090213e-05,1.6945615702710774e-15,-1.7995218632386919e-06,6.556686292107408e-11,9.404958457998738e-07,6.45438325548933e-08,4.272e-05,9.260729890870379e-06,3.048e-05,4.6050936710513755e-08,6.71027934924629e-07,4.084116621684154e-11,-5.997713229401315e-07,6.606637652936304e-16,3.876179843014497e-05,-2.161196274856511e-10,1.50363036794025e-08,1.0691160699997039e-11,6.527150018856074e-22,5.997756215175127e-07,4.154669305444091e-13,6.483606640617828e-07,1.5029176238935836e-09,4.5037335130106906e-18,0.0,2.721947914075884e-13
