I2_3_task1,L_1_task1,T_2_task1,_1_task1
36000000.0,240000.0,200000.0,0.0
39356497.59576488,332127.2108118096,299877.0318754735,1.0
39982892.97793635,436074.4966459543,400625.1292904572,2.0
38354674.41061586,543949.9249428285,486435.24190353387,3.0
35588081.02565244,644429.0217940932,547391.8351102129,4.0
32725476.44306256,728673.0431479319,582116.8599231709,5.0
30362625.922007445,793625.3294861848,595480.6937851455,6.0
28679784.843757167,841202.4377747986,594432.1965113619,7.0
27624893.68913482,875694.0362408047,585042.8752143086,8.0
27064089.84464187,901651.615955636,571485.3170704405,9.0
26860457.42426147,922869.6461492936,556174.7950773779,10.0
26902968.44342043,942151.4585963165,540287.0696115695,11.0
27111152.17740363,961442.1251163594,524247.84337619395,12.0
27430971.843863767,982062.1728362953,508079.71119300945,13.0
27828594.2315065,1004930.0307362253,491616.8685317273,14.0
28284596.76552864,1030738.4281831078,474625.39080533903,15.0
28789294.038451977,1060084.976622856,456866.09404940077,16.0
29339246.993847907,1093565.0994896528,438122.5549725173,17.0
29934746.720032267,1131838.9808085416,418211.65895327507,18.0
30577891.6879704,1175684.4403526185,396988.7060703839,19.0
31271096.4409735,1226038.9858493663,374349.3702462095,20.0
32015714.092162553,1284035.389677716,350234.32346302003,21.0
32810527.553545956,1351030.4313607016,324638.055183143,22.0
33649863.11133061,1428619.325320148,297624.4738682238,23.0
34521033.64676099,1518619.2355538618,269347.58973631426,24.0
35400957.43750023,1622993.8188347623,240076.96639257672,25.0
36251952.68035233,1743663.0596523483,210223.4971427329,26.0
37017177.42858643,1882127.1245841503,180368.86094562404,27.0
37617139.36233339,2038804.5249956064,151256.55644680816,28.0
37950155.53304724,2212003.613270456,123752.31811419381,29.0
37901587.0695733,2396570.0741927386,98758.60817999864,30.0
37365688.44767175,2582584.6254169634,77069.49489305435,31.0
36281300.12992778,2754939.129255822,59199.18133825083,32.0
34669850.85242311,2894874.6877303817,45274.83732107621,33.0
32654055.42266498,2984065.9320655526,35034.04585696599,34.0
30437350.91280349,3010088.832006465,27939.142128968993,35.0
28251079.980116513,2970508.4103108966,23368.407546993927,36.0
26299191.74158685,2873392.0490190247,20765.841125712504,37.0
24728134.806316573,2734296.3815984535,19722.721878079657,38.0
23625742.011535544,2571758.3769148,19990.861700525766,39.0
