Time,L,T,I2,alpha_T,beta_T,gama_prime_L,VL,alpha_L,beta_L,alpha_I2,alpha_bar_L,gama_T,K_T,compartment,Activation_and_transfer_of_cytotoxic_T_lymphocyte_at_the_site_of_tumor,Deactivation_and_removal_of_cytotoxic_T_lymphocyte_from_the_site_of_action,Formation_and_removal_of_tumor,Secretion_of_interleukin_2,Removal_of_interleukin_2_from_site_of_tumor
0.0,240000.0,200000.0,36000000.0,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,164536.0,79200.0,-93978.94103749852,9920634.92063492,5322240.0
1.0,332127.2108118096,299877.0318754735,39356497.59576488,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,208406.50136065047,109601.97956789717,-103137.21502187454,10652763.775073476,8652102.400532244
2.0,436074.4966459543,400625.1292904572,39982892.97793635,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,251611.64730504627,143904.58389316493,-95600.76359420628,11063933.025506226,11722724.41670387
3.0,543949.9249428285,486435.24190353387,38354674.41061586,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,285543.92044192506,179503.4752311334,-74318.41471634207,11292798.187388236,13690622.584151909
4.0,644429.0217940932,547391.8351102129,35588081.02565244,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,306046.52320461225,212661.57719205075,-47413.243354311766,11415567.477023637,14370855.975281421
5.0,728673.0431479319,582116.8599231709,32725476.44306256,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,315077.1078315003,240462.10423881756,-22928.209693853103,11474952.345410349,14146881.432650018
6.0,793625.3294861848,595480.6937851455,30362625.922007445,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,317555.8351140474,261896.358730441,-5009.910709587944,11496109.063576667,13523408.216549704
7.0,841202.4377747986,594432.1965113619,28679784.843757167,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,317842.49876170995,277596.8044656835,6080.990318748169,11494480.776935473,12844087.07517564
8.0,875694.0362408047,585042.8752143086,27624893.68913482,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,318490.4510880799,288979.0319594656,12007.313774293056,11479660.513774158,12263356.179965356
9.0,901651.615955636,571485.3170704405,27064089.84464187,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,320583.5653936196,297545.0332653599,14714.97802216059,11457473.444516474,11818598.880242245
