Time,Normal_T_cells,CAR_T_cells,Antigen_presenting_tumour_cells,Total_lymphocyte_count,K_N,K_C,r_N,rho_C,a,b,r_B,gamma_B,k_B,r_C,compartment,Normal_T_cell_population_growth,CAR_T_cell_population_growth,Tumour_growth,Tumour_killing
0.0,6.0,0.36,94.86,6.36,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.5500631393727206,1.0,4.451871315491564,0.6107903300289046,0.9486,8.905224489795916
0.2,6.94118271497272,0.5010741005451348,92.98801848575235,7.442256815517855,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.550049306446288,1.0,4.964776539364922,0.8068090838605414,0.9298801848575236,11.773697746744638
0.4,7.987764280816313,0.6856220054900639,90.49366054584969,8.673386286306377,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.5500308042810714,1.0,5.505481041422565,1.046193025805249,0.904936605458497,15.06689336670066
0.6000000000000001,9.145051331534738,0.9226654032843474,87.30488875200996,10.067716734819085,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.5500062412163608,1.0,6.0713685466132645,1.3321843339015698,0.8730488875200996,18.629079766003205
0.8,10.417786841093323,1.22171464780673,83.3886715067438,11.639501488900052,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.5499738802700458,1.0,6.659409724623385,1.6663862169990677,0.8338867150674381,22.22402832554979
1.0,11.810068252997539,1.5924034212509801,78.76542260859577,13.402471674248519,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.5499315812938284,1.0,7.266247504552128,2.048323012741907,0.7876542260859577,25.56362367864131
1.2000000000000002,13.325299968724023,2.044025005835371,73.51436466934986,15.369324974559394,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.5498767442073447,1.0,7.888309186438463,2.4750766449234707,0.7351436466934986,28.35646054251807
1.4000000000000001,14.966161187854164,2.5850435434385677,67.76899344862369,17.55120473129273,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.549806256664465,1.0,8.521919794446662,2.9411134227046056,0.6776899344862369,30.36357900060477
1.6,16.73459424280667,3.222544307615972,61.70180558083782,19.95713855042264,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.5497164528260597,1.0,9.163422072513777,3.43825347810788,0.6170180558083782,31.441860375648652
1.8,18.631821273604668,3.9617171813339183,55.502950437967385,22.593538454938585,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.5496030870261673,1.0,9.809290657481816,3.9558711597105423,0.5550295043796739,31.562527170665994
2.0,20.658381638275547,4.8054210680342875,49.357822502325504,25.463802706309835,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.5494613265673534,1.0,10.456230086351141,4.48131728144871,0.49357822502325505,30.80179768394289
2.2,22.814185312832024,5.753832084637398,43.428713348758734,28.568017397469422,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.5492857688519063,1.0,11.101255896428292,5.000496175758539,0.43428713348758735,29.31137033140323
2.4000000000000004,25.09858158738772,6.8042181656134515,37.84340496025424,31.902799753001172,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.5490704849491282,1.0,11.741754859249182,5.4985638627056455,0.3784340496025424,27.281467580891988
2.6,27.510437603954287,7.950866429743274,32.69087345059508,35.46130403369756,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.5488090896279161,1.0,12.375521498270098,5.960690624096976,0.32690873450595076,24.90727525956763
2.8000000000000003,30.048221498167074,9.185164032215571,28.022827287897158,39.23338553038265,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.548494836171526,1.0,13.000771903576268,6.372816354992184,0.28022827287897156,22.364921534644417
3.0,32.71008638622647,10.49582072084069,23.85891202663285,43.20590710706716,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.5481207321578342,1.0,13.61613766042202,6.722334617051131,0.2385891202663285,19.79824296178189
3.2,35.49395148322377,11.869218028647547,20.193664382445395,47.36316951187131,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.5476796698312507,1.0,14.22064249246096,6.9986586157039765,0.20193664382445395,17.314635408563642
3.4000000000000004,38.39757693498688,13.289858763130907,17.00363492266985,51.68743569811779,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.5471645631980132,1.0,14.813665106431428,7.193635494607521,0.1700363492266985,14.986990154844731
3.6,41.41863031731414,14.74088000961053,14.253766635203384,56.15951032692467,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.5465684836531455,1.0,15.394892767723055,7.301790747540587,0.14253766635203385,12.85889873593577
3.8000000000000003,44.55474315755473,16.204600178263604,11.902590391331799,60.759343335818336,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.5458847849737856,1.0,15.964268728976249,7.320405862711468,0.11902590391331799,10.951004916492273
4.0,47.803556664314854,17.663064174460583,9.906201174258367,65.46662083877544,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.5451072100389525,1.0,16.52193731828307,7.249442485373298,0.09906201174258367,9.267229420462373
4.2,51.162756434491754,19.09856099000286,8.221040249342987,70.26131742449462,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.5442299722758005,1.0,17.06818917878909,7.091339214029956,0.08221040249342988,7.800119604489714
4.4,54.63009646064135,20.494091114764565,6.805722634560269,75.12418757540591,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.5432478069123959,1.0,17.60340891256546,6.850711676248756,0.06805722634560268,6.535123423013186
4.6000000000000005,58.203412967251346,21.833765756975225,5.622123244734479,80.03717872422658,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.5421559897700159,1.0,18.12802699402851,6.5339882875781905,0.05622123244734479,5.453802263748788
4.800000000000001,61.88062923711083,23.103129955474216,4.635925000707304,84.98375919258504,500.0,139.0,0.17,0.0251,0.423,0.525,0.01,1.15,4.05,0.5409503229497813,1.0,18.642476915967986,6.149013648228549,0.04635925000707304,4.536126576215089
