data_set_value_component_environment_variable_time,data_set_value_component_V1_variable_V1,data_set_value_component_V2_variable_V2,data_set_value_component_V3_variable_V3,data_set_value_component_V4_variable_V4,data_set_value_component_i_NaP_variable_i_NaP,data_set_value_component_i_NaP_m_gate_variable_m,data_set_value_component_i_NaP_h_gate_variable_h,data_set_value_component_i_NaP_h_gate_variable_h_infinity,data_set_value_component_i_NaP_h_gate_variable_tau_h,data_set_value_component_i_NaP_h_gate_variable_tau_h_max,data_set_value_component_i_K_variable_i_K,data_set_value_component_i_K_m_gate_variable_m,data_set_value_component_i_AD2_variable_i_AD2,data_set_value_component_i_AD2_m_gate_variable_m,data_set_value_component_i_AD2_m_gate_variable_k_AD2,data_set_value_component_i_AD2_m_gate_variable_tau_AD2,data_set_value_component_i_AD3_variable_i_AD3,data_set_value_component_i_AD3_m_gate_variable_m,data_set_value_component_i_AD3_m_gate_variable_k_AD3,data_set_value_component_i_AD3_m_gate_variable_tau_AD3,data_set_value_component_i_AD4_variable_i_AD4,data_set_value_component_i_AD4_m_gate_variable_m,data_set_value_component_i_AD4_m_gate_variable_k_AD4,data_set_value_component_i_AD4_m_gate_variable_tau_AD4,data_set_value_component_i_L1_variable_i_L1,data_set_value_component_i_L2_variable_i_L2,data_set_value_component_i_L3_variable_i_L3,data_set_value_component_i_L4_variable_i_L4,data_set_value_component_i_synE1_variable_i_synE1,data_set_value_component_i_synE1_variable_c11,data_set_value_component_i_synE1_variable_c21,data_set_value_component_i_synE1_variable_c31,data_set_value_component_i_synE2_variable_i_synE2,data_set_value_component_i_synE2_variable_c12,data_set_value_component_i_synE2_variable_c22,data_set_value_component_i_synE2_variable_c32,data_set_value_component_i_synE2_variable_a12,data_set_value_component_i_synE3_variable_i_synE3,data_set_value_component_i_synE3_variable_c13,data_set_value_component_i_synE3_variable_c23,data_set_value_component_i_synE3_variable_c33,data_set_value_component_i_synE4_variable_i_synE4,data_set_value_component_i_synE4_variable_c14,data_set_value_component_i_synE4_variable_c24,data_set_value_component_i_synE4_variable_c34,data_set_value_component_i_synI1_variable_i_synI1,data_set_value_component_i_synI1_variable_b21,data_set_value_component_i_synI1_variable_b31,data_set_value_component_i_synI1_variable_b41,data_set_value_component_i_synI2_variable_i_synI2,data_set_value_component_i_synI2_variable_b32,data_set_value_component_i_synI2_variable_b42,data_set_value_component_i_synI3_variable_i_synI3,data_set_value_component_i_synI3_variable_b23,data_set_value_component_i_synI3_variable_b43,data_set_value_component_i_synI4_variable_i_synI4,data_set_value_component_i_synI4_variable_b24,data_set_value_component_i_synI4_variable_b34,data_set_value_component_model_parameters_variable_C,data_set_value_component_model_parameters_variable_E_Na,data_set_value_component_model_parameters_variable_E_K,data_set_value_component_model_parameters_variable_E_L,data_set_value_component_model_parameters_variable_E_synE,data_set_value_component_model_parameters_variable_E_synI,data_set_value_component_model_parameters_variable_g_NaP,data_set_value_component_model_parameters_variable_g_K,data_set_value_component_model_parameters_variable_g_AD,data_set_value_component_model_parameters_variable_g_L,data_set_value_component_model_parameters_variable_g_synE,data_set_value_component_model_parameters_variable_g_synI,data_set_value_component_model_parameters_variable_d1,data_set_value_component_model_parameters_variable_d2,data_set_value_component_model_parameters_variable_d3,data_set_value_component_model_parameters_variable_f1_V1,data_set_value_component_model_parameters_variable_f2_V2,data_set_value_component_model_parameters_variable_f3_V3,data_set_value_component_model_parameters_variable_f4_V4,data_set_value_component_model_parameters_variable_V_half,data_set_value_component_model_parameters_variable_k_V1,data_set_value_component_model_parameters_variable_k_V2,data_set_value_component_model_parameters_variable_k_V3,data_set_value_component_model_parameters_variable_k_V4
0.0,-50.0,-50.0,-50.0,-50.0,-0.073079788245221,0.15886910488091524,0.92,0.5825702064623144,5917.620398833216,6000.0,1.2994569316132102e-10,0.005220125693558397,0.322,0.92,0.9,2000.0,0.322,0.92,1.3,2000.0,0.322,0.92,0.9,1000.0,0.028,0.028,0.028,0.028,-0.105,0.115,0.07,0.025,-0.30000907957374046,0.3,0.3,0.0,0.4,-0.315,0.63,0.0,0.0,-0.365,0.33,0.4,0.0,1.545865213642653e-09,0.0,0.3,0.2,1.2366921709141222e-09,0.05,0.35,1.082105649549857e-09,0.25,0.1,2.164211299099714e-09,0.35,0.35,0.02,50.0,-85.0,-60.0,0.0,-75.0,5.0,5.0,10.0,2.8,10.0,60.0,1.0,1.0,1.0,4.5397868702434395e-05,2.0611536181902037e-09,2.0611536181902037e-09,2.0611536181902037e-09,30.0,8.0,4.0,4.0,4.0
0.1,-49.24040037935263,-50.238986362124606,-50.16718708494855,-49.92842980706867,-0.08058443602709237,0.17652557442594616,0.9199940643699273,0.5515000592061622,5968.088062508268,6000.0,2.825406979065632e-10,0.006304920145355599,0.3197853358024241,0.919954001151416,0.9,2000.0,0.3204458561256174,0.9199540011514573,1.3,2000.0,0.3226261815455816,0.9199080046054134,0.9,1000.0,0.03012687893781264,0.0273308381860511,0.027531876162144055,0.028200396540207732,-0.10340484079664052,0.115,0.07,0.025,-0.3014439497818498,0.3,0.3,0.0,0.4,-0.31605327863517585,0.63,0.0,0.0,-0.3644775375916013,0.33,0.4,0.0,1.5652153764480724e-09,0.0,0.3,0.2,1.2379516381765504e-09,0.05,0.35,1.0358856169010544e-09,0.25,0.1,2.0630455429430997e-09,0.35,0.35,0.02,50.0,-85.0,-60.0,0.0,-75.0,5.0,5.0,10.0,2.8,10.0,60.0,1.0,1.0,1.0,4.9919444183521976e-05,1.941613336980455e-09,1.97677961542303e-09,2.0983648174930684e-09,30.0,8.0,4.0,4.0,4.0
0.2,-48.46022233188511,-50.457327788124644,-50.31968290145563,-49.86328787845721,-0.08887390326941655,0.19622821183576236,0.9199876380062642,0.519166534286851,5995.590106964791,6000.0,6.265042819595272e-10,0.007652388928457214,0.317760806680255,0.9199080046013715,0.9,2000.0,0.3190270130106763,0.9199080046014537,1.3,2000.0,0.32319310643464355,0.9198160184045493,0.9,1000.0,0.032311377470721686,0.026719482193250998,0.02710488787592424,0.02838279394031982,-0.10176646689695874,0.115,0.07,0.025,-0.30275507394265944,0.3,0.3,0.0,0.4,-0.3170140022791705,0.63,0.0,0.0,-0.3640020015127376,0.33,0.4,0.0,1.5882689505001484e-09,0.0,0.3,0.2,1.239347844483032e-09,0.05,0.35,9.964421339432878e-10,0.25,0.1,1.974926651639435e-09,0.35,0.35,0.02,50.0,-85.0,-60.0,0.0,-75.0,5.0,5.0,10.0,2.8,10.0,60.0,1.0,1.0,1.0,5.503270980900617e-05,1.8384703384641649e-09,1.9028354382744863e-09,2.1328174778493064e-09,30.0,8.0,4.0,4.0,4.0
0.30000000000000004,-47.655853816158285,-50.656796951582976,-50.45876957671695,-49.80398358150619,-0.09803326356947363,0.21823603798582852,0.9199806785512582,0.4856645056595138,5997.533416221206,6000.0,1.4215267365318456e-09,0.009340940880899842,0.3159100779801253,0.9198620103510889,0.9,2000.0,0.31773165657165586,0.9198620103512121,1.3,2000.0,0.3237062246166241,0.9197240414018334,0.9,1000.0,0.034563609314756806,0.026160968535567666,0.02671544518519253,0.028548845971782675,-0.1000772930139324,0.115,0.07,0.025,-0.3039531122662941,0.3,0.3,0.0,0.4,-0.3178902483333168,0.63,0.0,0.0,-0.36356908014499517,0.33,0.4,0.0,1.614853191819384e-09,0.0,0.3,0.2,1.2408116417805473e-09,0.05,0.35,9.62596236800633e-10,0.25,0.1,1.897859356357426e-09,0.35,0.35,0.02,50.0,-85.0,-60.0,0.0,-75.0,5.0,5.0,10.0,2.8,10.0,60.0,1.0,1.0,1.0,6.085341720327982e-05,1.749039180251612e-09,1.83780778648972e-09,2.16467436075562e-09,30.0,8.0,4.0,4.0,4.0
0.4,-46.823373832987336,-50.8390181655682,-50.585620150181875,-49.74997942729589,-0.10815006546554982,0.24282948825235764,0.9199731366253288,0.45113042386803015,5971.272401434233,6000.0,3.3122361453737444e-09,0.011477265697795853,0.31421818295597387,0.9198160184004567,0.9,2000.0,0.3165489784918625,0.9198160184006202,1.3,2000.0,0.32417049513590074,0.9196320735963557,0.9,1000.0,0.03689455326763546,0.025650749136409044,0.026360263579490752,0.028700057603571506,-0.0983290850492734,0.115,0.07,0.025,-0.3050478409335435,0.3,0.3,0.0,0.4,-0.31868940694614584,0.63,0.0,0.0,-0.36317484981926,0.33,0.4,0.0,1.644869819850882e-09,0.0,0.3,0.2,1.2422943151575874e-09,0.05,0.35,9.334061595483046e-10,0.25,0.1,1.8302067097604868e-09,0.35,0.35,0.02,50.0,-85.0,-60.0,0.0,-75.0,5.0,5.0,10.0,2.8,10.0,60.0,1.0,1.0,1.0,6.752658012388238e-05,1.671148799599871e-09,1.780440485796565e-09,2.194097889852923e-09,30.0,8.0,4.0,4.0,4.0
0.5,-45.95850856490995,-51.0054701115852,-50.70130093555277,-49.700789417043005,-0.11930976226885126,0.27030321038854244,0.9199649531637552,0.4157490970927117,5914.208069703007,6000.0,7.955189853012803e-09,0.014208182802546257,0.31267149732788296,0.919770028749361,0.9,2000.0,0.315469154245793,0.9197700287495649,1.3,2000.0,0.3245904015840972,0.9195401149872017,0.9,1000.0,0.039316176018252144,0.025184683687561448,0.026036357380452235,0.028837789632279585,-0.0965128679863109,0.115,0.07,0.025,-0.3060481703355187,0.3,0.3,0.0,0.4,-0.31941819589398246,0.63,0.0,0.0,-0.36281576274441396,0.33,0.4,0.0,1.6782882448688079e-09,0.0,0.3,0.2,1.2437621225380292e-09,0.05,0.35,9.08115129262222e-10,0.25,0.1,1.770619732052128e-09,0.35,0.35,0.02,50.0,-85.0,-60.0,0.0,-75.0,5.0,5.0,10.0,2.8,10.0,60.0,1.0,1.0,1.0,7.523539129208877e-05,1.6030343587811361e-09,1.729687231852811e-09,2.2212464015283535e-09,30.0,8.0,4.0,4.0,4.0
0.6000000000000001,-45.056715567245185,-51.157514635386924,-50.80679279144425,-49.65596855563797,-0.13158666305965144,0.3009483600061449,0.9199560588019462,0.379764621400772,5823.938301318657,6000.0,1.976883640315046e-08,0.017737476478160392,0.31125747410484034,0.9197240413976876,0.9,2000.0,0.3144831472220978,0.9197240413979317,1.3,2000.0,0.3249700487548905,0.9194481655734513,0.9,1000.0,0.04184119641171348,0.024758959020916613,0.025740980183956094,0.028963288044213685,-0.09461910269121489,0.115,0.07,0.025,-0.3069623201096378,0.3,0.3,0.0,0.4,-0.3200827945860988,0.63,0.0,0.0,-0.3624885704561572,0.33,0.4,0.0,1.7151306253021443e-09,0.0,0.3,0.2,1.2451927239397765e-09,0.05,0.35,8.86108309884534e-10,0.25,0.1,1.7179739798525265e-09,0.35,0.35,0.02,50.0,-85.0,-60.0,0.0,-75.0,5.0,5.0,10.0,2.8,10.0,60.0,1.0,1.0,1.0,8.421195516967969e-05,1.543244744107746e-09,1.684666527012504e-09,2.2462759144057265e-09,30.0,8.0,4.0,4.0,4.0
0.7000000000000001,-44.113248930454084,-51.29639637593113,-50.90299100182253,-49.61511272351964,-0.14503115511607273,0.3350256241607371,0.9199463708988346,0.34348731240438896,5698.468576864332,6000.0,5.101349740587185e-08,0.022350287971422987,0.3099646467281681,0.919678056345322,0.9,2000.0,0.3135827096264249,0.919678056345606,1.3,2000.0,0.32531316401088306,0.9193562253541847,0.9,1000.0,0.04448290299472856,0.02437009014739283,0.025471625194896923,0.029077684374145017,-0.09263782275395357,0.115,0.07,0.025,-0.3077978199366792,0.3,0.3,0.0,0.4,-0.32068884331148195,0.63,0.0,0.0,-0.36219032288169334,0.33,0.4,0.0,1.755462726234511e-09,0.0,0.3,0.2,1.2465719693665724e-09,0.05,0.35,8.66883951984814e-10,0.25,0.1,1.6713294651314672e-09,0.35,0.35,0.02,50.0,-85.0,-60.0,0.0,-75.0,5.0,5.0,10.0,2.8,10.0,60.0,1.0,1.0,1.0,9.475169049865073e-05,1.490582139749117e-09,1.644634358176871e-09,2.269336853512768e-09,30.0,8.0,4.0,4.0,4.0
0.8,-43.12329986819893,-51.42324402764348,-50.99070636490083,-49.57785796923058,-0.1596514306700844,0.37272363942399317,0.919935789787168,0.3072976969130041,5536.4861079420525,6000.0,1.3713106692133416e-07,0.028447777964698377,0.30878261719355804,0.9196320735921492,0.9,2000.0,0.31276037227061537,0.9196320735924728,1.3,2000.0,0.3256231039751853,0.9192642943284823,0.9,1000.0,0.047254760369043004,0.024014916722598263,0.025226022178277675,0.02918199768615438,-0.09055892972321775,0.115,0.07,0.025,-0.3085615209496171,0.3,0.3,0.0,0.4,-0.3212414500988752,0.63,0.0,0.0,-0.36191836317538323,0.33,0.4,0.0,1.7993815031320695e-09,0.0,0.3,0.2,1.2478914553466332e-09,0.05,0.35,8.500309718630789e-10,0.25,0.1,1.6298986310475112e-09,0.35,0.35,0.02,50.0,-85.0,-60.0,0.0,-75.0,5.0,5.0,10.0,2.8,10.0,60.0,1.0,1.0,1.0,0.00010723158453580979,1.4440545670774986e-09,1.6089619895970892e-09,2.290571483047513e-09,30.0,8.0,4.0,4.0,4.0
0.9,-42.08229282924995,-51.53908852975061,-51.070678658114176,-49.54387388998081,-0.1753886871207585,0.4140982606799006,0.9199241959831791,0.271646577186796,5337.703519088255,6000.0,3.8483557256399655e-07,0.03659461422479108,0.30770188851764957,0.9195860931380545,0.9,2000.0,0.31200932055622727,0.9195860931384178,1.3,2000.0,0.32590291556043316,0.9191723724954248,0.9,1000.0,0.050169580078100136,0.0236905521166983,0.025002099757280308,0.029277153108053736,-0.08837281494142489,0.115,0.07,0.025,-0.30925970945093284,0.3,0.3,0.0,0.4,-0.3217452755461193,0.63,0.0,0.0,-0.3616702793968599,0.33,0.4,0.0,1.846993506632995e-09,0.0,0.3,0.2,1.2491470852266466e-09,0.05,0.35,8.35209517707462e-10,0.25,0.1,1.5930156368860556e-09,0.35,0.35,0.02,50.0,-85.0,-60.0,0.0,-75.0,5.0,5.0,10.0,2.8,10.0,60.0,1.0,1.0,1.0,0.00012213192524087273,1.4028329154357154e-09,1.5771133318021123e-09,2.3101151277419006e-09,30.0,8.0,4.0,4.0,4.0
