data_set_T,data_set_GNA_,data_set_NAI,data_set_V,data_set_VK_,data_set_VNA_,data_set_W,data_set_Z
0.0,15.998521,18.67,0.0,-100.0,50.008392,2.4999999e-05,0.0
0.15000001,29.646563,19.112452,38.664532,-100.0,49.42284,0.055309955,0.10012534
0.30000001,29.206434,19.341545,31.250473,-100.0,49.124958,0.16271447,0.28775254
0.44999999,28.386385,19.70487,24.606899,-100.0,48.659695,0.22812904,0.38999683
0.60000002,27.380276,20.151693,19.920784,-100.0,48.099133,0.27401501,0.45611235
0.75,26.097919,20.646463,15.90311,-100.0,47.492741,0.30932578,0.50374931
0.89999998,24.371147,21.169117,11.98945,-100.0,46.867756,0.33752745,0.539648
1.05,21.794729,21.702202,7.5920238,-100.0,46.245998,0.36024383,0.56705284
1.2,17.055449,22.219425,1.2821522,-100.0,45.657169,0.37793949,0.58743525
1.35,6.204896,22.639071,-13.297271,-100.0,45.189411,0.38832423,0.60064948
1.5,0.17641696,22.771996,-47.371841,-100.0,45.043056,0.37952441,0.60550499
1.65,0.0152554,22.799801,-69.451591,-100.0,45.012547,0.33533266,0.60122418
1.8,0.0062878798,22.827696,-77.431068,-100.0,44.981979,0.25474179,0.59165227
1.95,0.0051607997,22.856171,-79.209206,-100.0,44.950813,0.17700417,0.57960504
2.0999999,0.0056237425,22.884029,-78.435913,-100.0,44.920361,0.12118132,0.56738168
2.25,0.0068803611,22.910822,-76.620468,-100.0,44.891109,0.084901966,0.55606109
2.4000001,0.0087870518,22.936459,-74.418427,-100.0,44.863148,0.061614446,0.54593647
2.55,0.011322825,22.961004,-72.135788,-100.0,44.836411,0.046334535,0.53696817
2.7,0.014482128,22.984581,-69.919991,-100.0,44.810753,0.035969269,0.52900928
2.8499999,0.018245434,23.007324,-67.839867,-100.0,44.786026,0.028687123,0.52189779
3.0,0.022572361,23.029369,-65.923264,-100.0,44.762085,0.023399565,0.51548988
3.1500001,0.027403584,23.05084,-64.176285,-100.0,44.738789,0.019445067,0.50966793
3.3,0.032666374,23.071846,-62.593655,-100.0,44.716015,0.016409881,0.50433952
3.45,0.038281001,23.092482,-61.164497,-100.0,44.693665,0.014027363,0.49943319
3.5999999,0.044166557,23.112829,-59.875603,-100.0,44.671646,0.01212058,0.49489421
3.75,0.050245482,23.132957,-58.713203,-100.0,44.649883,0.010568894,0.49068028
3.9000001,0.056446627,23.152922,-57.663963,-100.0,44.628319,0.0092879385,0.48675853
4.0500002,0.062707037,23.172771,-56.715481,-100.0,44.606892,0.0082173459,0.4831028
4.1999998,0.068972625,23.192545,-55.856472,-100.0,44.585571,0.0073129958,0.4796918
4.3499999,0.075198181,23.212273,-55.076843,-100.0,44.564316,0.0065420195,0.47650781
4.5,0.081346795,23.231981,-54.367645,-100.0,44.543098,0.0058794972,0.47353551
4.6500001,0.087389104,23.25169,-53.720985,-100.0,44.521896,0.0053062323,0.47076154
4.8000002,0.093302324,23.271418,-53.129936,-100.0,44.500694,0.0048072189,0.46817386
4.9499998,0.099069342,23.291178,-52.588425,-100.0,44.479477,0.004370572,0.46576142
5.0999999,0.1046778,23.310978,-52.091133,-100.0,44.458233,0.0039867605,0.46351409
5.25,0.11011929,23.330826,-51.6334,-100.0,44.436954,0.0036480571,0.46142235
5.4000001,0.11538862,23.350731,-51.21114,-100.0,44.415634,0.0033481317,0.45947737
5.5500002,0.12048321,23.370697,-50.820763,-100.0,44.394268,0.0030817499,0.45767075
5.6999998,0.12540255,23.390724,-50.459114,-100.0,44.372852,0.0028445474,0.45599464
5.8499999,0.1301478,23.410818,-50.123409,-100.0,44.351387,0.0026328547,0.4544417
6.0,0.13472134,23.430981,-49.811192,-100.0,44.329865,0.0024435658,0.45300487
6.1500001,0.13912657,23.45121,-49.520283,-100.0,44.308292,0.0022740327,0.45167765
6.3000002,0.14336763,23.471506,-49.248753,-100.0,44.286663,0.0021219852,0.45045385
6.4499998,0.14744921,23.491871,-48.994877,-100.0,44.26498,0.0019854654,0.44932765
6.5999999,0.15137635,23.512304,-48.757122,-100.0,44.243244,0.0018627765,0.44829357
6.75,0.15515442,23.532803,-48.534119,-100.0,44.221458,0.0017524401,0.44734651
6.9000001,0.15878889,23.553368,-48.324631,-100.0,44.199623,0.0016531636,0.44648165
7.0500002,0.16228536,23.573997,-48.127548,-100.0,44.177734,0.0015638116,0.44569442
7.1999998,0.16564946,23.594688,-47.941875,-100.0,44.155804,0.001483383,0.44498062
7.3499999,0.16888678,23.615442,-47.766708,-100.0,44.133823,0.0014109927,0.44433624
7.5,0.17200288,23.636255,-47.601223,-100.0,44.111797,0.0013458553,0.44375756
