Time,cLm,cLc,cLn,cTm,cTc,cTn,cXm,cXc,cXn,cYm,cYc,cYn,cPn,cAm,cAc,cAn,q1,n0,g0,alpha,n1,a,g1,m1,k1,p1,r1,r2,m2,k2,m3,k3,n2,b,g2,g3,c,m4,k4,p2,r3,r4,m5,m6,k5,m7,m8,k6,n3,d,g4,m9,k7,p3,r5,r6,m10,k8,m11,k9,q2,n4,n5,g5,g6,e,f,m12,k10,p4,r7,r8,m13,k11,m14,k12,p5,k13,m15,q3,q4,g,n6,g7,m16,k14,p6,r9,r10,m17,k15,m18,k16,lightAmplitude,lightOffset,cyclePeriod,photoPeriod,phase,twilightPeriod,compartment,reaction_1,reaction_0,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14,reaction_15,reaction_16,reaction_17,reaction_18,reaction_19,reaction_20,reaction_21,reaction_22,reaction_23,reaction_25,reaction_26,reaction_27,reaction_28,reaction_29,reaction_30,reaction_31,reaction_32,reaction_33,reaction_34,reaction_38,reaction_39,reaction_40
0.0,0.4625,0.0132,0.0699,0.4303,10.2965,0.5402,0.0957,1.5413,0.4585,0.0303,0.0041,0.0122,0.8476,14.6921,0.7027,0.8648,4.1954,0.05,1.0,4.0,7.8142,1.2479,3.1383,1.999,2.392,0.8295,16.8363,0.1687,20.44,1.5644,3.6888,1.2765,3.0087,1.0258,0.0368,0.2658,1.0258,3.8231,2.5734,4.324,0.3166,2.1509,0.0013,3.1741,2.7454,0.0492,4.0424,0.4033,0.2431,1.4422,0.5388,10.1132,6.5585,2.147,1.0352,3.3017,0.2179,0.6632,3.3442,17.1111,2.4017,0.0857,0.1649,1.178,0.0645,3.6064,1.0237,4.297,1.7303,0.2485,2.2123,0.2002,0.1347,1.8258,0.6114,1.8066,0.5,1.2,1.2,1.0,2.4514,1.0258,8.0706,0.0004,12.2398,10.3617,0.2907,0.2528,0.2212,4.4505,0.0703,0.0156,0.6104,1.0,0.0,24.0,12.0,0.0,0.0416666667,1.0,1.572962240675294,0.32388772114205644,0.38364375,0.21044703,0.17102434077079107,0.19150855614973264,0.5846511197466809,0.5476844991177549,0.00662799,0.004101099626127118,0.00752955,0.0003018033772337286,0.0817243099999998,0.15234713994102972,0.20546789999999995,0.08727095096075038,4.2709934700000005,-0.013651200000000002,4.045752069857697,0.009145119305856833,0.25,0.4238,0.49673764407110765,1.03890332,8.03037792820336,7.177688238111583,0.12177745044047217,0.14544697183733582,1.8606172,2.09795572,0.0005131710103589201,2.5059324676619203,0.014084705882352942,2.314472156862745,0.5819439785860636,0.07395155060774736
0.01,0.47627208462169224,0.013269279548754181,0.07009134846563277,0.4306706924745786,10.269096560387808,0.537913126571441,0.09546321529107811,1.5410120308527562,0.45844401924972955,0.035889225452942666,0.0041126553567424244,0.012225317721648235,0.8401273814793276,14.712179596974508,0.7051080359526587,0.8645753285252072,4.1954,0.05,1.0,4.0,7.8142,1.2479,3.1383,1.999,2.392,0.8295,16.8363,0.1687,20.44,1.5644,3.6888,1.2765,3.0087,1.0258,0.0368,0.2658,1.0258,3.8231,2.5734,4.324,0.3166,2.1509,0.0013,3.1741,2.7454,0.0492,4.0424,0.4033,0.2431,1.4422,0.5388,10.1132,6.5585,2.147,1.0352,3.3017,0.2179,0.6632,3.3442,17.1111,2.4017,0.0857,0.1649,1.178,0.0645,3.6064,1.0237,4.297,1.7303,0.2485,2.2123,0.2002,0.1347,1.8258,0.6114,1.8066,0.5,1.2,1.2,1.0,2.4514,1.0258,8.0706,0.0004,12.2398,10.3617,0.2907,0.2528,0.2212,4.4505,0.0703,0.0156,0.6104,1.0,0.0,24.0,12.0,0.0,0.0416666667,1.0,1.8334656891722678,0.33193081725520296,0.3950676941936937,0.2115811607805378,0.17191440404677916,0.19200551564112836,0.5852589744975248,0.5480886746520846,0.0066509188378472885,0.004109553117711567,0.008918472525056252,0.0003027328517192024,0.08161103598194108,0.1523385757915984,0.20495952322994468,0.08726057360937786,4.2768306088404895,-0.012992751180943701,4.0470090178416696,0.009144136084282127,0.19112606266071352,0.5189869043681293,0.49416172094321187,1.2722444973680322,8.030490003169103,7.181742064868848,0.12140560838169048,0.145092264210766,1.8622200742600779,2.094198627076268,0.0003921011586781575,2.504525568168091,0.010748285121847273,2.3102737960883553,0.6951822271873054,0.08731567351269831
0.02,0.4924049635155261,0.013429013846033594,0.07029656933845457,0.4310433495293903,10.241762268200025,0.5356619599110477,0.09522628225203501,1.5407201988923735,0.45838700769134766,0.04239573619840824,0.00413996381577673,0.012250937137585214,0.8312272391144311,14.734408638611015,0.7075583482192046,0.8643572946837706,4.1954,0.05,1.0,4.0,7.8142,1.2479,3.1383,1.999,2.392,0.8295,16.8363,0.1687,20.44,1.5644,3.6888,1.2765,3.0087,1.0258,0.0368,0.2658,1.0258,3.8231,2.5734,4.324,0.3166,2.1509,0.0013,3.1741,2.7454,0.0492,4.0424,0.4033,0.2431,1.4422,0.5388,10.1132,6.5585,2.147,1.0352,3.3017,0.2179,0.6632,3.3442,17.1111,2.4017,0.0857,0.1649,1.178,0.0645,3.6064,1.0237,4.297,1.7303,0.2485,2.2123,0.2002,0.1347,1.8258,0.6114,1.8066,0.5,1.2,1.2,1.0,2.4514,1.0258,8.0706,0.0004,12.2398,10.3617,0.2907,0.2528,0.2212,4.4505,0.0703,0.0156,0.6104,1.0,0.0,24.0,12.0,0.0,0.0416666667,1.0,2.058482583321208,0.34125496749521816,0.4084499172361289,0.21423587456857812,0.1739662793649906,0.1925383468292202,0.5858522334449502,0.5484948916889844,0.006706204334698301,0.004118107104316823,0.010535340445304447,0.00030473848159603636,0.08149716659886241,0.1523298944795609,0.20445082799511916,0.08725000510546123,4.283292591244222,-0.012325083154235139,4.048280044764871,0.009143181624307994,0.13843909751468825,0.6010785414891755,0.4910689792502944,1.4734839366065646,8.03060951999121,7.186222272619739,0.12103802758255906,0.1447373091135524,1.8638314433650836,2.0903866245394553,0.00028385237435490067,2.5031163039436826,0.007771353525024465,2.3061210136239745,0.792499228325945,0.10276691861133376
0.03,0.510435581029189,0.013671313317776053,0.07052969771132209,0.43141774388532994,10.214497559041348,0.5334408101284978,0.09498924164769186,1.5404245077505567,0.4583289611864258,0.04959959772810977,0.004183598521400112,0.01227719978718514,0.8211540240277023,14.758375681999077,0.7100563896457063,0.864145998642328,4.1954,0.05,1.0,4.0,7.8142,1.2479,3.1383,1.999,2.392,0.8295,16.8363,0.1687,20.44,1.5644,3.6888,1.2765,3.0087,1.0258,0.0368,0.2658,1.0258,3.8231,2.5734,4.324,0.3166,2.1509,0.0013,3.1741,2.7454,0.0492,4.0424,0.4033,0.2431,1.4422,0.5388,10.1132,6.5585,2.147,1.0352,3.3017,0.2179,0.6632,3.3442,17.1111,2.4017,0.0857,0.1649,1.178,0.0645,3.6064,1.0237,4.297,1.7303,0.2485,2.2123,0.2002,0.1347,1.8258,0.6114,1.8066,0.5,1.2,1.2,1.0,2.4514,1.0258,8.0706,0.0004,12.2398,10.3617,0.2907,0.2528,0.2212,4.4505,0.0703,0.0156,0.6104,1.0,0.0,24.0,12.0,0.0,0.0416666667,1.0,2.230996421709137,0.35155327241252127,0.42340631446371224,0.21827597240817292,0.1770779570334103,0.19314343949474022,0.5864190181288842,0.5489029010176625,0.006797479611499003,0.004126875608074726,0.012325500035435278,0.00030794304456494557,0.08138271927415408,0.15232109602079347,0.20394190181759442,0.08723924467811173,4.2902598107571315,-0.011646839597248382,4.049567613014551,0.009142256390260122,0.09577267436993064,0.6638657901261756,0.4875357430056686,1.627400597915307,8.030744439224938,7.1910438869409035,0.12067384012492678,0.14438216757280575,1.8654503245601666,2.086532088687105,0.00019625937124165757,2.5017047051837507,0.00536665293242722,2.3020040416170584,0.8664324234586006,0.11974241227411325
0.04,0.5298088477047567,0.013986569137758299,0.07080293929267836,0.43179355229571664,10.187302659611689,0.5312429563238258,0.09475212391648463,1.5401249623331894,0.4582698759582371,0.05724520562183504,0.0042445962254592075,0.0123044756680729,0.8102192463791913,14.783585367019189,0.712606226448061,0.8639415513347654,4.1954,0.05,1.0,4.0,7.8142,1.2479,3.1383,1.999,2.392,0.8295,16.8363,0.1687,20.44,1.5644,3.6888,1.2765,3.0087,1.0258,0.0368,0.2658,1.0258,3.8231,2.5734,4.324,0.3166,2.1509,0.0013,3.1741,2.7454,0.0492,4.0424,0.4033,0.2431,1.4422,0.5388,10.1132,6.5585,2.147,1.0352,3.3017,0.2179,0.6632,3.3442,17.1111,2.4017,0.0857,0.1649,1.178,0.0645,3.6064,1.0237,4.297,1.7303,0.2485,2.2123,0.2002,0.1347,1.8258,0.6114,1.8066,0.5,1.2,1.2,1.0,2.4514,1.0258,8.0706,0.0004,12.2398,10.3617,0.2907,0.2528,0.2212,4.4505,0.0703,0.0156,0.6104,1.0,0.0,24.0,12.0,0.0,0.0416666667,1.0,2.348939846805663,0.3624767881012412,0.4394764391710957,0.2235376181153652,0.1811251304120975,0.19385238081640938,0.5869515723336789,0.5493123491232998,0.00692696420083521,0.004135982138752303,0.014225433597026008,0.0003124225020245991,0.0812677115560061,0.15231218046793643,0.2034328100486925,0.0872282916234041,4.297588266192478,-0.010957017109180262,4.050873404335473,0.009141360893356609,0.06393078324518264,0.7066233443365046,0.483660226319229,1.7322164663065074,8.030901433547054,7.1961055734358395,0.12031199221282654,0.1440268851600521,1.8670753201266788,2.0826495472761435,0.00013093425742853062,2.5002907917195056,0.00357601259658183,2.297910986447273,0.9160806067676664,0.13760919040447703
0.05,0.5500082679094941,0.014363770510444627,0.07112641476517935,0.4321703980504025,10.160177645773793,0.52906218021783,0.09451494863323148,1.539821567901252,0.45820974841931894,0.0650985688476578,0.0043233553440385816,0.012333148009695127,0.79871649327368,14.809575767859592,0.7152104753399867,0.8637440717242973,4.1954,0.05,1.0,4.0,7.8142,1.2479,3.1383,1.999,2.392,0.8295,16.8363,0.1687,20.44,1.5644,3.6888,1.2765,3.0087,1.0258,0.0368,0.2658,1.0258,3.8231,2.5734,4.324,0.3166,2.1509,0.0013,3.1741,2.7454,0.0492,4.0424,0.4033,0.2431,1.4422,0.5388,10.1132,6.5585,2.147,1.0352,3.3017,0.2179,0.6632,3.3442,17.1111,2.4017,0.0857,0.1649,1.178,0.0645,3.6064,1.0237,4.297,1.7303,0.2485,2.2123,0.2002,0.1347,1.8258,0.6114,1.8066,0.5,1.2,1.2,1.0,2.4514,1.0258,8.0706,0.0004,12.2398,10.3617,0.2907,0.2528,0.2212,4.4505,0.0703,0.0156,0.6104,1.0,0.0,24.0,12.0,0.0,0.0416666667,1.0,2.420245626798306,0.37371292920679916,0.4562318582309254,0.22983372327411314,0.18596542099427776,0.19469128529326962,0.587446154223367,0.5497228246120045,0.007095462796075589,0.004145554607863692,0.016176994358642963,0.00031820585379750086,0.08115216073531051,0.15230314788308166,0.20292359471554797,0.08721714527241167,4.305143675716783,-0.01025498049946591,4.0521983097971,0.009140495679732378,0.041586348320165945,0.7322850886769985,0.4795376408579904,1.7951236663827943,8.031085718925,7.201313400050267,0.11995149506563128,0.1436714911806958,1.8687048011699405,2.078752399221452,8.512320914567671e-05,2.498874575832052,0.00232203068111943,2.2938306622571183,0.9449243738875407,0.1558030373823479
0.06,0.5706220740609709,0.014791427013486784,0.07150808501847442,0.4325478902971886,10.13312249401017,0.5268935491712948,0.09427772618790507,1.539514329860743,0.45814857515978463,0.07297540860814365,0.0044197496565884275,0.01236360065526913,0.7868823898778697,14.835977981161076,0.7178705274578814,0.8635536834889086,4.1954,0.05,1.0,4.0,7.8142,1.2479,3.1383,1.999,2.392,0.8295,16.8363,0.1687,20.44,1.5644,3.6888,1.2765,3.0087,1.0258,0.0368,0.2658,1.0258,3.8231,2.5734,4.324,0.3166,2.1509,0.0013,3.1741,2.7454,0.0492,4.0424,0.4033,0.2431,1.4422,0.5388,10.1132,6.5585,2.147,1.0352,3.3017,0.2179,0.6632,3.3442,17.1111,2.4017,0.0857,0.1649,1.178,0.0645,3.6064,1.0237,4.297,1.7303,0.2485,2.2123,0.2002,0.1347,1.8258,0.6114,1.8066,0.5,1.2,1.2,1.0,2.4514,1.0258,8.0706,0.0004,12.2398,10.3617,0.2907,0.2528,0.2212,4.4505,0.0703,0.0156,0.6104,1.0,0.0,24.0,12.0,0.0,0.0416666667,1.0,2.4563483280669143,0.3850216117792977,0.47333101043357534,0.23696948868455092,0.19145036059842277,0.19568059490721332,0.5879027079718759,0.5501339011008898,0.007302619314085697,0.004155721113885089,0.018134389039123698,0.00032528349606880116,0.08103608366678006,0.15229399833153306,0.20241427812543217,0.08720580498903992,4.312818799123525,-0.009540405446394173,4.053542566170149,0.009139661315910232,0.02657556825700752,0.7450586965529967,0.47524648296444244,1.826436888730016,8.031300997132652,7.206592743568664,0.11959155704699492,0.1433160011840431,1.8703370776450434,2.0748512466910816,5.4366723388939205e-05,2.497456064792915,0.0014812460874160005,2.2897540894231883,0.9579769798856888,0.1738920906325818
0.07,0.5913534173409462,0.015258486007442722,0.0719538176341573,0.43292565783592324,10.106137118390773,0.524733540950273,0.09404046005797834,1.5392032535981726,0.4580863529413489,0.0807445853511746,0.004533269205624608,0.012396208269836546,0.7748895224528688,14.862525510299994,0.7205868481942443,0.8633705123369773,4.1954,0.05,1.0,4.0,7.8142,1.2479,3.1383,1.999,2.392,0.8295,16.8363,0.1687,20.44,1.5644,3.6888,1.2765,3.0087,1.0258,0.0368,0.2658,1.0258,3.8231,2.5734,4.324,0.3166,2.1509,0.0013,3.1741,2.7454,0.0492,4.0424,0.4033,0.2431,1.4422,0.5388,10.1132,6.5585,2.147,1.0352,3.3017,0.2179,0.6632,3.3442,17.1111,2.4017,0.0857,0.1649,1.178,0.0645,3.6064,1.0237,4.297,1.7303,0.2485,2.2123,0.2002,0.1347,1.8258,0.6114,1.8066,0.5,1.2,1.2,1.0,2.4514,1.0258,8.0706,0.0004,12.2398,10.3617,0.2907,0.2528,0.2212,4.4505,0.0703,0.0156,0.6104,1.0,0.0,24.0,12.0,0.0,0.0416666667,1.0,2.4679554802613572,0.3962371586260696,0.49052765968431483,0.24475783893222558,0.19743726682367202,0.19683524865134847,0.588324386950336,0.5505451740261368,0.007547230567982044,0.004166606671152423,0.020065029459766886,0.0003336175833500815,0.08091949661837639,0.1522847318769145,0.20190486774447947,0.08719427016891934,4.320536165844208,-0.008813202105434376,4.054905926442769,0.00913885837700711,0.016784611684343753,0.7488770829875928,0.470845288494174,1.8357972812357852,8.031549495499663,7.211890001010633,0.11923160889606708,0.14296042036399098,1.871970544482532,2.0709536384525764,3.4317430090698865e-05,2.496035262706446,0.0009338595169917234,2.285674786889026,0.9599346276033123,0.19157975792557272
0.08,0.6120029169897659,0.015755002030509817,0.07246757092280673,0.43330337854164996,10.07922139546901,0.5225798370571452,0.09380314901574936,1.5388883443598547,0.45802307869102077,0.08831953459761316,0.004663151621791225,0.012431329211867305,0.7628554543336994,14.889038821952562,0.72335926436006,0.8631946839957517,4.1954,0.05,1.0,4.0,7.8142,1.2479,3.1383,1.999,2.392,0.8295,16.8363,0.1687,20.44,1.5644,3.6888,1.2765,3.0087,1.0258,0.0368,0.2658,1.0258,3.8231,2.5734,4.324,0.3166,2.1509,0.0013,3.1741,2.7454,0.0492,4.0424,0.4033,0.2431,1.4422,0.5388,10.1132,6.5585,2.147,1.0352,3.3017,0.2179,0.6632,3.3442,17.1111,2.4017,0.0857,0.1649,1.178,0.0645,3.6064,1.0237,4.297,1.7303,0.2485,2.2123,0.2002,0.1347,1.8258,0.6114,1.8066,0.5,1.2,1.2,1.0,2.4514,1.0258,8.0706,0.0004,12.2398,10.3617,0.2907,0.2528,0.2212,4.4505,0.0703,0.0156,0.6104,1.0,0.0,24.0,12.0,0.0,0.0416666667,1.0,2.463417680971452,0.40725454164620917,0.5076564196430109,0.253030661471595,0.20379788127734755,0.1981651608104866,0.5887169619871871,0.5509562926377092,0.007827538224672893,0.0041783308281055,0.02194740434750687,0.0003431516897233127,0.08080241516717801,0.15227534857757521,0.20139536093681387,0.08718254023823661,4.32824358554161,-0.008073442069637088,4.056287818463542,0.00913808743787009,0.010520673541873582,0.7468039479443344,0.46637491475967346,1.8307151979907412,8.031832093601782,7.217169313655869,0.11887127381663118,0.14260474686371372,1.8736038088140943,2.067064522279275,2.149806266625536e-05,2.494612171760583,0.000584301048459479,2.2815884402820426,0.954465797203158,0.2086797336914748
0.09,0.6324429593341575,0.01627245294743249,0.073051664550154,0.43368080176074536,10.052375180152378,0.5204310119586208,0.09356578888826841,1.5385696071776183,0.4579587494934334,0.095646340929237,0.004808483598639873,0.012469301217890394,0.7508568544299706,14.915402458040795,0.7261871901284899,0.8630263228907142,4.1954,0.05,1.0,4.0,7.8142,1.2479,3.1383,1.999,2.392,0.8295,16.8363,0.1687,20.44,1.5644,3.6888,1.2765,3.0087,1.0258,0.0368,0.2658,1.0258,3.8231,2.5734,4.324,0.3166,2.1509,0.0013,3.1741,2.7454,0.0492,4.0424,0.4033,0.2431,1.4422,0.5388,10.1132,6.5585,2.147,1.0352,3.3017,0.2179,0.6632,3.3442,17.1111,2.4017,0.0857,0.1649,1.178,0.0645,3.6064,1.0237,4.297,1.7303,0.2485,2.2123,0.2002,0.1347,1.8258,0.6114,1.8066,0.5,1.2,1.2,1.0,2.4514,1.0258,8.0706,0.0004,12.2398,10.3617,0.2907,0.2528,0.2212,4.4505,0.0703,0.0156,0.6104,1.0,0.0,24.0,12.0,0.0,0.0416666667,1.0,2.4486340082311324,0.41801200839552655,0.5246114347676837,0.26164408374924664,0.21042242978633188,0.1996759273995127,0.5890881748887166,0.5513669842994205,0.008141454161449332,0.0041910062247293165,0.023768115720915396,0.00035381827766007407,0.08068485414780113,0.15226584848437227,0.20088574874311227,0.08717061465231299,4.335907494552459,-0.007321300958943733,4.05768746782415,0.009137349067228333,0.006562659190934239,0.741001619156369,0.46186280826803155,1.8164913691999227,8.032148516852606,7.2224078416018695,0.11851031918531409,0.14224897441114737,1.8752357868134628,2.0631869184144453,1.3402549250868926e-05,2.4931867930298925,0.00036382504631185417,2.2774923603363546,0.9441714963467681,0.22508455903680855
