T,APTRACK,APTRACK2,APTRACK3,B,CAFLUXTR,CAI,CA_JSR,CA_NSR,D,F,G,H,IKR,IKS,J,KI,M,NA_I,O_TRACK,O_TRACK2,O_TRACK3,V,XR,XS1,XS2,YDV,ZDV
0.0,0.0,0.0,0.00013,0.001367,0.0,0.000117,1.127914,1.76731,6.0000002e-06,0.997765,0.988814,0.98559701,1.0082368e-05,-0.0010922424,0.99089801,141.05687,0.001492,13.364924,0.0,0.0,0.0,-85.211922,0.000205,0.0066069998,0.030377001,0.999946,0.014462
3.0,0.0,0.0,0.00012615773,0.0013667631,0.0,0.00011693788,1.1312869,1.7662556,5.8149876e-06,0.99776542,0.98882204,0.98561412,1.001352e-05,-0.0010849864,0.99090195,141.05693,0.0014886671,13.364902,0.0,0.0,0.0,-85.22467,0.00020493924,0.0065832562,0.030239429,0.99994665,0.014451476
6.0,0.0,0.0,0.00012242902,0.0013663435,0.0,0.00011687582,1.1346443,1.7652081,5.8104988e-06,0.9977659,0.98883039,0.98563433,9.988853e-06,-0.0010767347,0.99090773,141.05699,0.0014876486,13.364879,0.0,0.0,0.0,-85.228767,0.00020486674,0.0065599764,0.030102588,0.99994725,0.014447571
9.0,0.0,0.0,0.00011881052,0.0013659506,0.0,0.00011681398,1.1379863,1.7641674,5.8088622e-06,0.99776644,0.98883855,0.98564714,9.9772951e-06,-0.0010682957,0.99091333,141.05704,0.0014872598,13.364856,0.0,0.0,0.0,-85.230331,0.00020479446,0.0065371883,0.029966496,0.99994785,0.014446107
12.0,0.0,0.0,0.00011529896,0.0013656245,0.0,0.00011675242,1.1413128,1.7631335,5.8080409e-06,0.99776697,0.98884648,0.98565447,9.9697299e-06,-0.0010599017,0.99091834,141.0571,0.0014870549,13.364833,0.0,0.0,0.0,-85.231163,0.00020472558,0.0065148924,0.029831151,0.99994838,0.014445355
15.0,0.0,0.0,0.0001118912,0.0013653615,0.0,0.00011669115,1.1446239,1.7621063,5.8074588e-06,0.99776745,0.98885423,0.98565876,9.9634881e-06,-0.0010516176,0.99092269,141.05716,0.0014869039,13.36481,0.0,0.0,0.0,-85.231766,0.00020466078,0.0064930809,0.029696554,0.99994892,0.014444813
18.0,0.0,0.0,0.00010858415,0.0013651489,0.0,0.00011663019,1.1479194,1.7610857,5.8069481e-06,0.99776793,0.9888618,0.98566157,9.9577801e-06,-0.0010434597,0.99092644,141.05722,0.0014867692,13.364786,0.0,0.0,0.0,-85.232315,0.0002046,0.0064717438,0.029562699,0.99994946,0.014444334
21.0,0.0,0.0,0.00010537484,0.0013649748,0.0,0.00011656953,1.1511993,1.7600719,5.8064602e-06,0.9977684,0.98886907,0.98566371,9.952365e-06,-0.0010354309,0.99092972,141.05728,0.0014866397,13.364763,0.0,0.0,0.0,-85.232834,0.00020454299,0.0064508719,0.029429583,0.99994993,0.014443875
24.0,0.0,0.0,0.0001022604,0.0013648294,0.0,0.00011650916,1.1544638,1.7590646,5.8059804e-06,0.99776882,0.98887616,0.98566556,9.9471627e-06,-0.0010275297,0.99093258,141.05733,0.0014865121,13.364739,0.0,0.0,0.0,-85.233353,0.00020448946,0.0064304541,0.029297203,0.99995041,0.014443423
27.0,0.0,0.0,9.9237994e-05,0.0013647053,0.0,0.0001164491,1.1577125,1.7580639,5.8055052e-06,0.9977693,0.98888302,0.98566729,9.9421413e-06,-0.0010197536,0.99093509,141.05739,0.0014863857,13.364716,0.0,0.0,0.0,-85.233864,0.00020443917,0.0064104814,0.029165553,0.99995083,0.014442975
30.0,0.0,0.0,9.6304924e-05,0.0013645969,0.0,0.00011638935,1.1609457,1.7570697,5.8050332e-06,0.99776965,0.98888969,0.98566896,9.9372801e-06,-0.0010120999,0.99093735,141.05745,0.00148626,13.364692,0.0,0.0,0.0,-85.234367,0.00020439185,0.0063909432,0.029034629,0.9999513,0.01444253
33.0,0.0,0.0,9.3458541e-05,0.0013645004,0.0,0.00011632989,1.1641631,1.7560821,5.8045634e-06,0.99777007,0.98889619,0.98567063,9.9325689e-06,-0.001004566,0.99093938,141.05751,0.0014861351,13.364667,0.0,0.0,0.0,-85.234871,0.00020434726,0.0063718301,0.028904431,0.99995166,0.014442087
36.0,0.0,0.0,9.0696289e-05,0.0013644125,0.0,0.00011627075,1.167365,1.755101,5.8040964e-06,0.99777049,0.98890251,0.98567224,9.9279941e-06,-0.0009971488,0.99094123,141.05757,0.0014860107,13.364643,0.0,0.0,0.0,-85.235374,0.00020430519,0.0063531334,0.028774949,0.99995208,0.014441647
39.0,0.0,0.0,8.801568e-05,0.0013643312,0.0,0.0001162119,1.1705511,1.7541262,5.8036317e-06,0.99777085,0.98890859,0.98567384,9.9235476e-06,-0.00098984607,0.9909429,141.05762,0.0014858871,13.364618,0.0,0.0,0.0,-85.23587,0.00020426545,0.0063348436,0.028646184,0.99995244,0.014441209
42.0,0.0,0.0,8.5414293e-05,0.0013642549,0.0,0.00011615337,1.1737216,1.7531579,5.8031696e-06,0.9977712,0.98891455,0.98567545,9.9192184e-06,-0.00098265498,0.99094445,141.05768,0.0014857642,13.364594,0.0,0.0,0.0,-85.236366,0.00020422784,0.0063169519,0.028518129,0.99995279,0.014440773
