Time,I,E,A,T,M,P,J,W2,W3,U,W,n,k,cell,U1,U2,U3,U6_plus_3U7,U6_plus_U7_minus_U8
0.0,10.0,2.1,1.11,1.0000000000000002,0.009999999999999934,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.0000000000000004,2.040280562892004,0.04,-1.3322676295501878e-16
0.01,10.060811738487498,2.0999426568930795,1.110000071708031,0.9999511479510516,0.010008562766002852,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.012064049443998,2.0409448221052644,0.04,1.828232072929481e-05
0.02,10.121272389788013,2.099782331647734,1.1100005292885031,0.9998143959664727,0.010032593607241957,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.0238787681616084,2.042807262568047,0.04,6.941537884774807e-05
0.03,10.181382988062294,2.099529968285667,1.1100016613691337,0.9995988930718003,0.010070586155266681,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.0354598329614255,2.04574612863748,0.04,0.0001497415228027621
0.04,10.241149780289295,2.0991974210402344,1.110003729675303,0.9993145966840941,0.010120905319162246,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.046826092454239,2.0496277425709573,0.04,0.0002551740008323544
0.05,10.300578891597132,2.0987955612626714,1.1100069661428997,0.9989706556866585,0.010182060566886827,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.057995209858188,2.054328728897992,0.04,0.00038187049774649265
0.06,10.359674977933679,2.0983321773871384,1.1100115286627306,0.9985736517718502,0.010253003047442477,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.068979694776939,2.0597593882338248,0.04,0.0005269027671952942
0.07,10.418443416106683,2.097816120676891,1.1100175938676529,0.9981310548732575,0.010332528064019112,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.0797943834111816,2.0658183505316834,0.04,0.0006870558873935929
0.08,10.476889384393804,2.097255245819172,1.110025304816807,0.9976495058177579,0.01041956481539256,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.0904527033695586,2.072415233456975,0.04,0.0008594679711969744
0.09,10.535017482458152,2.0966563436327563,1.1100347811241333,0.9971347508242766,0.010513188315653732,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.1009664064600613,2.07947171349468,0.04,0.0010416658204946683
0.1,10.592832185536102,2.096025614633312,1.1100461227664344,0.9965920401777476,0.010612548310870515,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.1113464478087867,2.0869162293454377,0.04,0.0012314287952023095
0.11,10.650337287775502,2.095367683267472,1.1100593885498877,0.9960253079530235,0.010717013235439388,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.1216010953720326,2.0946946858828177,0.04,0.001427059098018868
0.12,10.707536602879077,2.0946872350291237,1.110074639378944,0.9954385301860812,0.010825934535901712,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.131738899576723,2.102752786549285,0.04,0.0016269213007083462
0.13,10.764433533356147,2.093987961881674,1.1100919099163244,0.9948348515881641,0.010938799622814596,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.141766727317404,2.111047333777009,0.04,0.001829724246819473
0.14,10.821031183963278,2.0932728597769614,1.11011121752422,0.994216832872846,0.011055190620104738,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.151690270427655,2.1195429762577653,0.04,0.0020344261228814565
0.15,10.877332683917386,2.092544985097787,1.1101325815142513,0.9935870776660455,0.011174674082509606,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.161515438842968,2.1282040876580446,0.04,0.00224002902625843
0.16,10.93334088815643,2.0918067508691105,1.110156005255241,0.9929476505341563,0.011296904920286935,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.171247029476791,2.1370022512599296,0.04,0.002445755414012616
0.17,10.989058471452383,2.0910601618196316,1.1101814830729493,0.9923002720939881,0.011421593347305784,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.180889142255789,2.1459137077883192,0.04,0.0026509765259325247
0.18,11.044488119203637,2.0903072542854932,1.1102090103756264,0.9916466836766266,0.01154843976675953,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.1904460032628377,2.154914641383705,0.04,0.002855096749411854
0.19,11.099632318938406,2.089549618646405,1.1102385726642425,0.9909882527082328,0.011677206726070347,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.19992104748972,2.1639862288523912,0.04,0.003057666180610683
0.2,11.154493375535907,2.0887884594073243,1.1102701480998143,0.9903260228211762,0.011807711513666256,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.2093170122359265,2.173113964051986,0.04,0.003258356445455384
0.21,11.209073728004528,2.088025269268198,1.1103037205677535,0.9896612725101374,0.011939723809692845,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.218637233863382,2.1822804734677597,0.04,0.003456796740082002
0.22,11.263375596397275,2.087261100250786,1.1103392665741267,0.9889949111513521,0.012073077474692587,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.2278842294446464,2.191473264475247,0.04,0.0036527435237370853
0.23,11.317401106729152,2.086496817614471,1.1103767596219056,0.9883276904687377,0.012207632476172106,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.237060179584392,2.2006819733010174,0.04,0.0038460138641644706
0.24,11.37115244626142,2.0857334059325865,1.1104161749971906,0.987660458442054,0.012343227506657914,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.2461675276178075,2.2098951046427007,0.04,0.004036413786047201
0.25,11.424631590905113,2.084971428166754,1.1104574809697705,0.986993711856638,0.012479764659654466,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.255207908100409,2.219105730928121,0.04,0.004223855953704452
0.26,11.477840543237853,2.0842115009592477,1.1105006468040985,0.9863279900132028,0.012617135858053649,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.264183078540768,2.2283064520800426,0.04,0.004408250616753644
0.27,11.530781240248135,2.083454152327335,1.1105456421629276,0.9856637559668826,0.012755245802475335,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.2730946292990892,2.2374909263272027,0.04,0.004589536248406407
0.28,11.583455553769028,2.0826997846034367,1.110592434829196,0.9850013674288164,0.01289401765457554,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.2819439120026823,2.246654202361728,0.04,0.004767684192692883
0.29,11.635865301293373,2.0819486957431597,1.11064099101582,0.984341094772974,0.013033390045634455,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.290732077861196,2.2557924758550016,0.04,0.0049426916835973046
0.3,11.688012331869595,2.0812013175440933,1.1106912821745385,0.9836833154902666,0.013173280120711839,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.299460544420921,2.2649006737417032,0.04,0.005114533999926052
0.31,11.7398983727474,2.080457811134743,1.110743274150382,0.9830281839608728,0.013313646976511792,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.3081301954494164,2.2739765485939136,0.04,0.0052832428976411425
0.32,11.791525191586546,2.0797184714697927,1.110796937008619,0.9823759625773937,0.013454428116220182,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.3167421820680842,2.2830165506982962,0.04,0.0054488262746462705
0.33,11.842894498062218,2.078983492922856,1.1108522398643843,0.9817268297546078,0.013595576696136202,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.325297454140182,2.292018218866799,0.04,0.005611313392744284
0.34,11.89400796884579,2.0782530234253604,1.110909151776038,0.9810809246842206,0.013737053034898064,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.333796867255343,2.300979611154423,0.04,0.005770743150404482
0.35000000000000003,11.9448672843629,2.077527243013242,1.1109676429695565,0.9804384119322817,0.013878811888596262,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.3422413422045256,2.309898496335469,0.04,0.005927149059903117
0.36,11.995474069289164,2.0768062435821855,1.1110276834142925,0.9797993824811663,0.014020822313273248,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.3506316171316732,2.3187735895628663,0.04,0.006080581136044137
0.37,12.045829967230322,2.076090173683696,1.111089243836491,0.9791639734546412,0.014163043607435958,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.358968546854447,2.3276030445476907,0.04,0.006231078796591996
0.38,12.095936563363239,2.0753790910521617,1.1111522950909904,0.9785322461311906,0.014305450170019237,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.367252794881645,2.3363859869328762,0.04,0.006378697528456323
0.39,12.145795418751216,2.0746730276925183,1.111216808384803,0.9779042400024213,0.014448020694706076,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.37548496763976,2.345121827379081,0.04,0.0065234962772018545
0.4,12.195408068972037,2.0739719872780236,1.1112827552681754,0.9772799707144074,0.014590738704559328,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.383665608099048,2.3538102840307813,0.04,0.0066655375343549796
