Time,c,cer,cAMP,vh,sh,tauh,kserca,sigmav,kc,vn,vk,taun,gk,sn,vca,gca,vm,sm,lambda,cm,f,fer,alpha,perl,dact,dip3,dinh,ninf,minf,hinf,ica,igirk,ik,girk,IP3,ainf,hinfer,jerp,binf,o,jerleak,jerip3,jertot,jmemtot,ki,perl_inf,taudir,cAMPlow,ETswitch,h,inh,V,n,cell,reaction_0000001,reaction_0000002,reaction_000003
0.0,0.3,260.0,1.0,-20.0,70.0,20.0,0.4,10.0,0.15,-16.0,-75.0,20.0,3500.0,5.0,25.0,2000.0,-20.0,12.0,1.25,5300.0,0.01,0.01,4.5e-06,0.0005,0.35,0.5,0.4,0.0001507103580597574,0.03444519566621117,0.36090725483714875,-5855.683263255899,0.0,0.0,1000.0,0.0,0.46153846153846145,0.5714285714285714,0.12,0.0,0.0,0.12985,0.0,0.009849999999999998,-0.018649425315348453,0.5,0.11473087818696884,20000.0,0.2,0.0,0.0,1.0,-60.0,0.0,1.0,-8.799425315348456e-05,-0.0009849999999999998,-0.0
0.01,0.2999991210817723,259.9999901498265,1.0,-20.0,70.0,20.0,0.4,10.0,0.15,-16.0,-75.0,20.0,3500.0,5.0,25.0,2000.0,-20.0,12.0,1.25,5300.0,0.01,0.01,4.5e-06,0.0005,0.35,0.5,0.4,0.00015104374874444452,0.034475834801871635,0.36094366620321844,-5860.129993877481,2.7082579667927074,0.004952750715938665,1000.0,0.0,0.46153773343953686,0.5714292889137398,0.11999964843270892,0.0,0.0,0.12984999551437235,0.0,0.009850347081663421,-0.01862928318981718,0.5,0.11473087818696884,20000.0,0.2,0.0,0.00018041762233867538,1.0,-59.98894990585324,9.426866370108976e-08,1.0,-8.778936108153758e-05,-0.0009850347081663423,-0.0
0.02,0.2999982442134054,259.9999802993062,1.0,-20.0,70.0,20.0,0.4,10.0,0.15,-16.0,-75.0,20.0,3500.0,5.0,25.0,2000.0,-20.0,12.0,1.25,5300.0,0.01,0.01,4.5e-06,0.0005,0.35,0.5,0.4,0.00015137797587372006,0.03450650930189024,0.3609800899509132,-5864.581154790127,5.419423056150558,0.00992066436624391,1000.0,0.0,0.461537007036762,0.5714300047273458,0.11999929768536216,0.0,0.0,0.1298499910275464,0.0,0.009850693342184247,-0.018609121435455234,0.5,0.11473087818696884,20000.0,0.2,0.0,0.00036076326264147964,1.0,-59.97789653949247,1.8868699318069942e-07,1.0,-8.758428093270987e-05,-0.0009850693342184247,-0.0
0.03,0.2999973693967814,259.9999704484401,1.0,-20.0,70.0,20.0,0.4,10.0,0.15,-16.0,-75.0,20.0,3500.0,5.0,25.0,2000.0,-20.0,12.0,1.25,5300.0,0.01,0.01,4.5e-06,0.0005,0.35,0.5,0.4,0.00015171304182197981,0.034537219218376096,0.3610165260906988,-5869.0367517044115,8.13349528707974,0.014903784184825127,1000.0,0.0,0.46153628233170957,0.5714307188678404,0.11999894775871256,0.0,0.0,0.12984998653952165,0.0,0.00985103878080909,-0.018588940026847356,0.5,0.11473087818696884,20000.0,0.2,0.0,0.0005410369630822955,1.0,-59.96683989806704,2.8325541828425405e-07,1.0,-8.737901246038265e-05,-0.0009851038780809092,-0.0
0.04,0.2999964966337848,259.99996059722895,1.0,-20.0,70.0,20.0,0.4,10.0,0.15,-16.0,-75.0,20.0,3500.0,5.0,25.0,2000.0,-20.0,12.0,1.25,5300.0,0.01,0.01,4.5e-06,0.0005,0.35,0.5,0.4,0.00015204894897141534,0.03456796460355242,0.3610529746330778,-5873.496790342862,10.850474680863023,0.019902153550345334,1000.0,0.0,0.4615355593259546,0.5714314313336727,0.11999859865351392,0.0,0.0,0.12984998205029757,0.0,0.009851383396783653,-0.01856873893852484,0.5,0.11473087818696884,20000.0,0.2,0.0,0.0007212387658191614,1.0,-59.955779978715675,3.7797437007488747e-07,1.0,-8.717355541741187e-05,-0.0009851383396783653,-0.0
0.05,0.2999956259263024,259.9999507456736,1.0,-20.0,70.0,20.0,0.4,10.0,0.15,-16.0,-75.0,20.0,3500.0,5.0,25.0,2000.0,-20.0,12.0,1.25,5300.0,0.01,0.01,4.5e-06,0.0005,0.35,0.5,0.4,0.00015238569971204492,0.03459874550975693,0.361089435588589,-5877.961276439997,13.570361261068847,0.02491581598659372,1000.0,0.0,0.46153483802107376,0.5714321421232897,0.11999825037052098,0.0,0.0,0.12984997755987362,0.0,0.00985172718935265,-0.01854851814496537,0.5,0.11473087818696884,20000.0,0.2,0.0,0.0009013687129943372,1.0,-59.944716778566395,4.7284428083448135e-07,1.0,-8.69679095561272e-05,-0.000985172718935265,-0.0
0.06,0.2999947572762239,259.9999408937748,1.0,-20.0,70.0,20.0,0.4,10.0,0.15,-16.0,-75.0,20.0,3500.0,5.0,25.0,2000.0,-20.0,12.0,1.25,5300.0,0.01,0.01,4.5e-06,0.0005,0.35,0.5,0.4,0.0001527232964417431,0.03462956198944227,0.36112590896780816,-5882.430215742379,16.293155053559502,0.029944815163486165,1000.0,0.0,0.46153411841864617,0.5714328512351367,0.11999790291048956,0.0,0.0,0.12984997306824927,0.0,0.009852070157759713,-0.01852827762059287,0.5,0.11473087818696884,20000.0,0.2,0.0,0.0010814268467343108,1.0,-59.933650294736516,5.678655840766002e-07,1.0,-8.67620746283316e-05,-0.0009852070157759713,-0.0
0.07,0.299993890685441,259.9999310415335,1.0,-20.0,70.0,20.0,0.4,10.0,0.15,-16.0,-75.0,20.0,3500.0,5.0,25.0,2000.0,-20.0,12.0,1.25,5300.0,0.01,0.01,4.5e-06,0.0005,0.35,0.5,0.4,0.0001530617415662743,0.03466041409517655,0.3611623947813479,-5886.90361400868,19.018856086501494,0.03498919489840604,1000.0,0.0,0.46153340052025277,0.5714335586676563,0.11999755627417641,0.0,0.0,0.12984996857542405,0.0,0.009852412301247643,-0.018508017339777093,0.5,0.11473087818696884,20000.0,0.2,0.0,0.001261413209149938,1.0,-59.92258052433252,6.630387145658056e-07,1.0,-8.65560503852945e-05,-0.0009852412301247643,-0.0
0.08,0.2999930261558482,259.9999211889505,1.0,-20.0,70.0,20.0,0.4,10.0,0.15,-16.0,-75.0,20.0,3500.0,5.0,25.0,2000.0,-20.0,12.0,1.25,5300.0,0.01,0.01,4.5e-06,0.0005,0.35,0.5,0.4,0.00015340103749931613,0.03469130187964304,0.3611988930398575,-5891.381477009614,21.747464390369984,0.040048999154581,1000.0,0.0,0.46153268432747635,0.57143426441929,0.1199972104623393,0.0,0.0,0.12984996408139735,0.0,0.009852753619058047,-0.018487737276833966,0.5,0.11473087818696884,20000.0,0.2,0.0,0.0014413278423362136,1.0,-59.91150746445025,7.583641082807636e-07,1.0,-8.63498365777592e-05,-0.0009852753619058047,-0.0
0.09,0.2999921636893424,259.9999113360265,1.0,-20.0,70.0,20.0,0.4,10.0,0.15,-16.0,-75.0,20.0,3500.0,5.0,25.0,2000.0,-20.0,12.0,1.25,5300.0,0.01,0.01,4.5e-06,0.0005,0.35,0.5,0.4,0.0001537411866624928,0.034722225395640814,0.361235403754023,-5895.863810528021,24.478979997958582,0.045124272042295265,1000.0,0.0,0.46153196984190226,0.5714349684884767,0.11999686547573696,0.0,0.0,0.12984995958616857,0.0,0.009853094110431615,-0.018467437406025265,0.5,0.11473087818696884,20000.0,0.2,0.0,0.00162117078837238,1.0,-59.900431112174836,8.538422024311497e-07,1.0,-8.61434329559365e-05,-0.0009853094110431615,-0.0
