Time,d,ad,e,r,rs,x,ip3,kg,gstar,ro,ip3con,rscon,atp,y,delta,ca,addash,vatp_s,smoothness,vdeg,alpha,gamma,ae,ax,k,qd,qe,qx,f,g,ps,pd,pe,px,ddd,dee,dxx,af,rt,yo,gf,kdeg,kkdeg,ka,kd,rhstar,dip,krel,ip3min,datpp,kr,scale,rscrit,ymax,cabasil,p1,p2,p3,p4,p5,m,n,dist,ip30,cell
0.1,0.009624693564807135,0.41,1.0216313064951805,0.00023454243917931124,1.0959187676636,0.015322954324898639,0.013000005536450095,8.823529411764705,0.0013541673499830324,6.0456245335554975e-09,0.5498342713850932,4.662315922221438e-09,1.5114061425262685e-07,499.9999962964671,0.011964731652544192,0.0159835,0.41,50.0,0.01,2.0,0.083,1.0,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.0625,50.0,0.017,0.15,0.6,280.0,10.0,0.012,300.0,25.0,3600.0,1.0,500.0,0.02055236,0.0159835,0.514987,1.31319,0.332195,0.787902,24.1946,9.79183,50.0,0.013,1.0
0.11,0.010565523507003549,0.41,1.0237806512259364,0.0002826515354679506,1.0954925360155772,0.01678413268791152,0.013000008038341731,8.823529411764705,0.0013541674104864537,6.580927049541959e-09,0.5498343952370052,5.077193387936774e-09,1.64523177321264e-07,500.00000663972634,0.011964731652544192,0.0159835,0.41,50.0,0.01,2.0,0.083,1.0,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.0625,50.0,0.017,0.15,0.6,280.0,10.0,0.012,300.0,25.0,3600.0,1.0,500.0,0.02055236,0.0159835,0.514987,1.31319,0.332195,0.787902,24.1946,9.79183,50.0,0.013,1.0
0.12,0.011502417919903751,0.41,1.0259275606825846,0.00033502530280508366,1.0950631301122677,0.01823302016517373,0.01300000793632735,8.823529411764705,0.0013541674768547376,7.16811878715048e-09,0.5498343901869559,5.532500069183044e-09,1.7920297096331018e-07,499.99999888624654,0.011964731652544192,0.0159835,0.41,50.0,0.01,2.0,0.083,1.0,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.0625,50.0,0.017,0.15,0.6,280.0,10.0,0.012,300.0,25.0,3600.0,1.0,500.0,0.02055236,0.0159835,0.514987,1.31319,0.332195,0.787902,24.1946,9.79183,50.0,0.013,1.0
0.13,0.012435376952261244,0.41,1.0280720520928455,0.00039161157607410155,1.0946305790248518,0.01966976971474878,0.013000008182141207,8.823529411764705,0.0013541675496979654,7.812597432360294e-09,0.5498344023555547,6.032430666103039e-09,1.9531493733492433e-07,499.99999941230317,0.011964731652544192,0.0159835,0.41,50.0,0.01,2.0,0.083,1.0,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.0625,50.0,0.017,0.15,0.6,280.0,10.0,0.012,300.0,25.0,3600.0,1.0,500.0,0.02055236,0.0159835,0.514987,1.31319,0.332195,0.787902,24.1946,9.79183,50.0,0.013,1.0
0.14,0.013364400879667874,0.41,1.0302141425074611,0.00045235887749411755,1.0941949116824494,0.021094532254342067,0.013000008966200956,8.823529411764705,0.0013541676296956052,8.520374560610946e-09,0.5498344411691044,6.5816369576587874e-09,2.1300936583019322e-07,500.00000131617634,0.011964731652544192,0.0159835,0.41,50.0,0.01,2.0,0.083,1.0,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.0625,50.0,0.017,0.15,0.6,280.0,10.0,0.012,300.0,25.0,3600.0,1.0,500.0,0.02055236,0.0159835,0.514987,1.31319,0.332195,0.787902,24.1946,9.79183,50.0,0.013,1.0
0.15,0.014289490103375295,0.41,1.0323538488016462,0.0005172164031493603,1.0937561568737268,0.02250745669684693,0.013000009876850564,8.823529411764705,0.0013541677175967159,9.298077449547232e-09,0.5498344862492699,7.185279760069108e-09,2.3245193840003691e-07,500.00000048730925,0.011964731652544192,0.0159835,0.41,50.0,0.01,2.0,0.083,1.0,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.0625,50.0,0.017,0.15,0.6,280.0,10.0,0.012,300.0,25.0,3600.0,1.0,500.0,0.02055236,0.0159835,0.514987,1.31319,0.332195,0.787902,24.1946,9.79183,50.0,0.013,1.0
0.16,0.015210645149438934,0.41,1.034491187676132,0.0005861340133892293,1.0933143432480408,0.023908689975781938,0.013000010777767803,8.823529411764705,0.001354167814227603,1.0153016817350431e-08,0.5498345308476502,7.849086713918041e-09,2.538254230108546e-07,499.9999998531496,0.011964731652544192,0.0159835,0.41,50.0,0.01,2.0,0.083,1.0,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.0625,50.0,0.017,0.15,0.6,280.0,10.0,0.012,300.0,25.0,3600.0,1.0,500.0,0.02055236,0.0159835,0.514987,1.31319,0.332195,0.787902,24.1946,9.79183,50.0,0.013,1.0
0.17,0.016127866667537093,0.41,1.0366261756586186,0.00065906221980012,1.0928694993169819,0.025298377079964504,0.013000011771689895,8.823529411764705,0.0013541679205110516,1.1093356986032147e-08,0.5498345800500771,8.579417010157186e-09,2.7733392772736796e-07,499.9999996754104,0.011964731652544192,0.0159835,0.41,50.0,0.01,2.0,0.083,1.0,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.0625,50.0,0.017,0.15,0.6,280.0,10.0,0.012,300.0,25.0,3600.0,1.0,500.0,0.02055236,0.0159835,0.514987,1.31319,0.332195,0.787902,24.1946,9.79183,50.0,0.013,1.0
0.18,0.017041155430887703,0.41,1.0387588291038863,0.0007359521844636752,1.092421653454462,0.026676661055582744,0.013000012734492902,8.823529411764705,0.0013541680374636934,1.2128092575516194e-08,0.5498346277120055,9.383333998691512e-09,3.032023180651706e-07,499.999999959541,0.011964731652544192,0.0159835,0.41,50.0,0.01,2.0,0.083,1.0,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.0625,50.0,0.017,0.15,0.6,280.0,10.0,0.012,300.0,25.0,3600.0,1.0,500.0,0.02055236,0.0159835,0.514987,1.31319,0.332195,0.787902,24.1946,9.79183,50.0,0.013,1.0
0.19,0.01795051233420024,0.41,1.0408891641963143,0.0008167556974599721,1.0919708338993814,0.02804368306609982,0.013000013849022286,8.823529411764705,0.0013541681662199048,1.3267259952259932e-08,0.5498346828848896,1.026868573505979e-08,3.31681503207003e-07,499.99999999951746,0.011964731652544192,0.0159835,0.41,50.0,0.01,2.0,0.083,1.0,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.0625,50.0,0.017,0.15,0.6,280.0,10.0,0.012,300.0,25.0,3600.0,1.0,500.0,0.02055236,0.0159835,0.514987,1.31319,0.332195,0.787902,24.1946,9.79183,50.0,0.013,1.0
