data_set_value_component_environment_variable_time,data_set_value_component_G_variable_G,data_set_value_component_G_variable_Gin,data_set_value_component_I_variable_I,data_set_value_component_I_variable_Iin,data_set_value_component_f2_G_variable_f2_G,data_set_value_component_f3_G_variable_f3_G,data_set_value_component_f4_I_variable_f4_I,data_set_value_component_f5_I_variable_f5_I,data_set_value_component_model_parameters_variable_Vg,data_set_value_component_model_parameters_variable_Vp,data_set_value_component_model_parameters_variable_Vi,data_set_value_component_model_parameters_variable_ti,data_set_value_component_model_parameters_variable_U0,data_set_value_component_model_parameters_variable_Um,data_set_value_component_model_parameters_variable_alpha,data_set_value_component_model_parameters_variable_beta,data_set_value_component_model_parameters_variable_C2,data_set_value_component_model_parameters_variable_C3,data_set_value_component_model_parameters_variable_C4,data_set_value_component_model_parameters_variable_C5,data_set_value_component_model_parameters_variable_Ub,data_set_value_component_model_parameters_variable_Rg,data_set_value_component_model_parameters_variable_di
0.0,150.0,0.05,5.0,0.25,7.122592388067079,0.015,212.54157422765954,92.83601727608989,10.0,3.0,11.0,100.0,40.0,940.0,0.29,1.77,144.0,1000.0,80.0,26.0,72.0,180.0,0.0107
0.1,158.23169694842605,0.08333333333333334,5.019639478194956,0.25,7.492403237155267,0.015823169694842605,213.5113455871595,92.84714943690484,10.0,3.0,11.0,100.0,40.0,940.0,0.29,1.77,144.0,1000.0,80.0,26.0,72.0,180.0,0.0107
0.2,166.41208025031082,0.11666666666666667,5.039257968076752,0.25,7.85782047725378,0.016641208025031082,214.48041219236066,92.8582696139387,10.0,3.0,11.0,100.0,40.0,940.0,0.29,1.77,144.0,1000.0,80.0,26.0,72.0,180.0,0.0107
0.30000000000000004,174.5414889269318,0.15000000000000002,5.058855478131902,0.25,8.218909982591423,0.01745414889269318,215.4487578611222,92.86937781194237,10.0,3.0,11.0,100.0,40.0,940.0,0.29,1.77,144.0,1000.0,80.0,26.0,72.0,180.0,0.0107
0.4,182.6202660452183,0.18333333333333335,5.0784320283610205,0.25,8.575736719423464,0.01826202660452183,216.4163671829916,92.88047404219478,10.0,3.0,11.0,100.0,40.0,940.0,0.29,1.77,144.0,1000.0,80.0,26.0,72.0,180.0,0.0107
0.5,190.64880101930143,0.21666666666666667,5.097987641926639,0.25,8.92836661515863,0.019064880101930144,217.38322510536025,92.89155831776866,10.0,3.0,11.0,100.0,40.0,940.0,0.29,1.77,144.0,1000.0,80.0,26.0,72.0,180.0,0.0107
0.6000000000000001,198.62746577510654,0.25,5.117522341503526,0.25,9.276863742693418,0.019862746577510654,218.3493167514185,92.90263065146164,10.0,3.0,11.0,100.0,40.0,940.0,0.29,1.77,144.0,1000.0,80.0,26.0,72.0,180.0,0.0107
0.7000000000000001,206.55664148075473,0.2833333333333333,5.137036150280922,0.25,9.621291521052001,0.020655664148075473,219.31462746795853,92.91369105636446,10.0,3.0,11.0,100.0,40.0,940.0,0.29,1.77,144.0,1000.0,80.0,26.0,72.0,180.0,0.0107
0.8,214.43668135526946,0.31666666666666665,5.156529090369546,0.25,9.961711123018436,0.021443668135526946,220.2791427448359,92.92473954495797,10.0,3.0,11.0,100.0,40.0,940.0,0.29,1.77,144.0,1000.0,80.0,26.0,72.0,180.0,0.0107
0.9,222.26794856077012,0.35,5.176001184463873,0.25,10.298183152050605,0.022226794856077012,221.242848295456,92.93577613005536,10.0,3.0,11.0,100.0,40.0,940.0,0.29,1.77,144.0,1000.0,80.0,26.0,72.0,180.0,0.0107
1.0,230.05078936324566,0.3833333333333333,5.19545245468936,0.25,10.630766506409774,0.023005078936324565,222.20572999801965,92.94680082414871,10.0,3.0,11.0,100.0,40.0,940.0,0.29,1.77,144.0,1000.0,80.0,26.0,72.0,180.0,0.0107
