value_component_environment_variable_time,value_component_M_variable_M,value_component_M_variable_vs,value_component_M_variable_vm,value_component_M_variable_Km,value_component_M_variable_KI,value_component_M_variable_n,value_component_FC_variable_FC,value_component_FC_variable_Ft,value_component_FC_variable_ks,value_component_FC_variable_vd,value_component_FC_variable_Kd,value_component_FN_variable_FN,value_component_parameters_variable_k1,value_component_parameters_variable_k2
0.0,0.1,1.6,0.505,0.5,1.0,4.0,0.1,0.2,0.5,1.4,0.13,0.1,0.5,0.6
0.1,0.2470847405788636,1.6,0.505,0.5,1.0,4.0,0.058904850478003104,0.1568197219091515,0.5,1.4,0.13,0.0979148714311484,0.5,0.6
0.2,0.3875247818792877,1.6,0.505,0.5,1.0,4.0,0.04041758456539215,0.13496236495773814,0.5,1.4,0.13,0.094544780392346,0.5,0.6
0.30000000000000004,0.5234749411124154,1.6,0.505,0.5,1.0,4.0,0.035727797717079214,0.12657377651302865,0.5,1.4,0.13,0.09084597879594943,0.5,0.6
0.4,0.6561575674545864,1.6,0.505,0.5,1.0,4.0,0.03806053102485773,0.12538792948580607,0.5,1.4,0.13,0.08732739846094834,0.5,0.6
0.5,0.7863409181853651,1.6,0.505,0.5,1.0,4.0,0.04383906013502415,0.1280597758572181,0.5,1.4,0.13,0.08422071572219393,0.5,0.6
0.6000000000000001,0.9145429247440477,1.6,0.505,0.5,1.0,4.0,0.051490532295375493,0.13311573082433847,0.5,1.4,0.13,0.08162519852896297,0.5,0.6
0.7000000000000001,1.0411309966365976,1.6,0.505,0.5,1.0,4.0,0.060379550438967124,0.13996356000600302,0.5,1.4,0.13,0.0795840095670359,0.5,0.6
0.8,1.166376135101057,1.6,0.505,0.5,1.0,4.0,0.07027352814212945,0.14839172819842306,0.5,1.4,0.13,0.07811820005629361,0.5,0.6
0.9,1.2904844915540277,1.6,0.505,0.5,1.0,4.0,0.08111233090925303,0.15835343345432212,0.5,1.4,0.13,0.07724110254506908,0.5,0.6
1.0,1.413616852824473,1.6,0.505,0.5,1.0,4.0,0.09291364447247677,0.16987815368712783,0.5,1.4,0.13,0.07696450921465108,0.5,0.6
