Time,Effector_cells,Tumor_cells,IL_2,c,mu2,p1,g1,s1,r2,b,a,g2,p2,g3,mu3,s2,Tumor_microenvironment,Effector_cell_stimulation,Effector_cell_decay,Tumor_growth,Tumor_killing,IL_2_production,IL_2_decay
0.0,1e-05,1e-05,1e-05,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,1.0090219890054973e-05,3.78e-07,1.2299877000000001e-06,1.6363636363636366e-08,4.5e-06,1.8e-05
0.5,1.4965391463961056e-05,1.0623491301837786e-05,6.004260904180165e-06,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,1.0719300347677727e-05,5.65691797337728e-07,1.3066755485222525e-06,2.586905073371371e-08,6.938021955023606e-06,1.0807669627524296e-05
1.0,2.015795469559007e-05,1.1281274779668341e-05,5.228774912267729e-06,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,1.1383038075175123e-05,7.619706874933046e-07,1.3875811440384454e-06,3.678366980079656e-08,9.617219148962147e-06,9.411794842081911e-06
1.5,2.559095851731363e-05,1.1974760195374016e-05,5.844583393253181e-06,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,1.2082861991682835e-05,9.673382319544553e-07,1.4728778664605503e-06,4.926128563113984e-08,1.2550809648024977e-05,1.0520250107855725e-05
2.0,3.1278129893049795e-05,1.2705364114434597e-05,7.1124205154267e-06,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,1.2820201636546689e-05,1.1823133099572823e-06,1.5627399306433498e-06,6.346814617193436e-08,1.5752225967229653e-05,1.2802356927768061e-05
2.5,3.723364778140433e-05,1.3474503932164464e-05,8.736225597311903e-06,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,1.3596489774502823e-05,1.4074318861370837e-06,1.6573416514987141e-06,7.958341732260008e-08,1.9235100405113854e-05,1.5725206075161424e-05
3.0,4.347213502409138e-05,1.4283591158357431e-05,1.0600165648971889e-05,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,1.4413156727783498e-05,1.6432467039106541e-06,1.7568566178978693e-06,9.779958390424821e-08,2.301325118983471e-05,1.90802981681494e-05
3.5,5.00086469024724e-05,1.5134024087796144e-05,1.2661726766386011e-05,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,1.5271622454046185e-05,1.8903268529134568e-06,1.8614567910406596e-06,1.1832277478961114e-07,2.7100668709426084e-05,2.279110817949482e-05
4.0,5.685865579087695e-05,1.6027179860868672e-05,1.4908262160101848e-05,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,1.617328795080316e-05,2.1492571888951487e-06,1.9713115278160486e-06,1.4137299789416874e-07,3.151150132634743e-05,2.6834871888183326e-05
4.5,6.403803173677964e-05,1.6964405923807112e-05,1.7339333071457928e-05,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,1.7119526289980068e-05,2.4206375996502705e-06,2.086586530326868e-06,1.6718427127084246e-07,3.6260040410780504e-05,3.121079952862427e-05
5.0,7.156301887032648e-05,1.794701090926301e-05,1.9959499538673765e-05,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,1.8111673271032553e-05,2.7050821132983406e-06,2.2074427241296793e-06,1.9600463689889232e-07,4.1360704229942e-05,3.592709916961278e-05
5.5,7.945020759001178e-05,1.8976254972533178e-05,2.2775366632858558e-05,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,1.9151017655835842e-05,3.0032178469024455e-06,2.3340350695364887e-06,2.2809604445477501e-07,4.682802033769015e-05,4.099565993914541e-05
6.0,8.771650206563928e-05,2.005333958098764e-05,2.5794458271019166e-05,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,2.023879094484204e-05,3.315683778081165e-06,2.466511305680793e-06,2.6373409153401204e-07,5.267660581396112e-05,4.64300248878345e-05
6.5,9.637908320388589e-05,2.1179396837325592e-05,2.9024676276928163e-05,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,2.137615670831285e-05,3.6431293451068866e-06,2.6050106372684493e-06,3.032076100295588e-07,5.8921145093935294e-05,5.22444172984707e-05
7.0,0.00010545536780083315,2.2355478464247292e-05,3.247404269682377e-05,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,2.2564199593881176e-05,3.986212902871493e-06,2.7496623797100806e-06,3.46818092669174e-07,6.557636555349523e-05,5.845327685428279e-05
