DHF_1_task1,H2_HMPt_2_task1,H2_HMPterinPP_3_task1,H2_Pteroate_4_task1,_1_task1,p_ABA_5_task1
1e-05,3.315e-06,1e-05,1e-05,0.0,1e-05
1.028633838232646e-05,6.684037780309984e-06,1.2349124371934807e-05,1.2664754304163198e-05,10.0,1.5718162152244785e-05
1.1492027079709443e-05,7.2479090885424946e-06,1.3990280677386348e-05,1.73621753104335e-05,20.0,1.792318976592883e-05
1.3613265572419436e-05,7.2146506822575e-06,1.4529814663804868e-05,2.2039548319770034e-05,30.0,1.842946534606235e-05
1.6263860171405664e-05,7.069334094519904e-06,1.4614164208781974e-05,2.57721028858469e-05,40.0,1.836849830330185e-05
1.9048636560718858e-05,6.920718485318065e-06,1.455848330434502e-05,2.8477270053318597e-05,50.0,1.816420178966306e-05
2.1695408353193763e-05,6.792608101180841e-06,1.447200081615198e-05,3.0339511017759174e-05,60.0,1.7949608917332796e-05
2.4054496914501995e-05,6.688578385972725e-06,1.4388648887703932e-05,3.157450815008333e-05,70.0,1.7762227273676628e-05
2.6065040620387877e-05,6.606928084089421e-06,1.4317761339659014e-05,3.236429562640536e-05,80.0,1.7609689423748407e-05
2.7722025136119328e-05,6.544532396651255e-06,1.42607908139859e-05,3.2847968014065396e-05,90.0,1.749032321063712e-05
2.9051839107000013e-05,6.49802860493012e-06,1.4216625967236965e-05,3.3127131656089584e-05,100.0,1.7399654572167056e-05
3.009585274224917e-05,6.4642610650800435e-06,1.4183390962741034e-05,3.32740247723379e-05,110.0,1.7332652027821044e-05
3.09001618384656e-05,6.440462161896224e-06,1.4159097000777786e-05,3.3338691389398754e-05,120.0,1.7284559162673973e-05
3.150959920101451e-05,6.424307138869895e-06,1.4141899723568439e-05,3.335504599903805e-05,130.0,1.72512068624383e-05
3.196456510390185e-05,6.413903012969403e-06,1.4130199623215881e-05,3.334541978662605e-05,140.0,1.7229102636185243e-05
3.2299709062145794e-05,6.407751292530275e-06,1.412266740097396e-05,3.3324016076442865e-05,150.0,1.721541869350419e-05
3.254378581573572e-05,6.404681762579489e-06,1.4118229507520394e-05,3.3299554544912534e-05,160.0,1.7207911270099842e-05
3.2719890620888606e-05,6.403807930877294e-06,1.4116045249283858e-05,3.327695145659929e-05,170.0,1.720485318016111e-05
3.2846048688092644e-05,6.40447188011891e-06,1.4115474773763387e-05,3.3258642675479084e-05,180.0,1.7204946653882253e-05
3.293622265075043e-05,6.406185582525878e-06,1.4116033160838098e-05,3.3245650981507656e-05,190.0,1.720721874336393e-05
3.300092533932745e-05,6.408598506947839e-06,1.411736415358874e-05,3.32380591089066e-05,200.0,1.7210962660536534e-05
3.304794264184268e-05,6.41146276772562e-06,1.4119210437633009e-05,3.323545380082819e-05,210.0,1.721567320535858e-05
3.308293353034455e-05,6.414606713622074e-06,1.4121389905236083e-05,3.323719000986353e-05,220.0,1.7220996618858106e-05
3.310997157432198e-05,6.417912671092255e-06,1.412377493201872e-05,3.324256537545195e-05,230.0,1.7226687603110928e-05
3.3131923076727046e-05,6.421302571406808e-06,1.4126278532881169e-05,3.32508938192779e-05,240.0,1.7232581104287926e-05
3.31507331147796e-05,6.4247275577469945e-06,1.4128844138008513e-05,3.3261543325043775e-05,250.0,1.7238571695755453e-05
3.316770626077844e-05,6.428157668223071e-06,1.4131435518207494e-05,3.327397671499299e-05,260.0,1.7244593186430517e-05
3.318370288431354e-05,6.431575209776169e-06,1.4134030040933197e-05,3.3287756238385554e-05,270.0,1.7250605250709315e-05
3.3199271547257545e-05,6.434970671434345e-06,1.4136614342309317e-05,3.330253157579049e-05,280.0,1.7256585013743613e-05
3.321473931530576e-05,6.438340105780582e-06,1.413918149147759e-05,3.331802462449477e-05,290.0,1.7262521597258124e-05
3.323028219512378e-05,6.441683052616027e-06,1.4141728762063044e-05,3.333401892536691e-05,300.0,1.7268411814679025e-05
3.324598190762988e-05,6.445000852024042e-06,1.4144255830746679e-05,3.335035175271739e-05,310.0,1.727425668277067e-05
3.3261861643244404e-05,6.448295703937936e-06,1.4146763706313546e-05,3.336690423538885e-05,320.0,1.7280059410251435e-05
3.327792263862949e-05,6.451569683768206e-06,1.4149253630617371e-05,3.338359203143303e-05,330.0,1.728582331438553e-05
3.329414806151506e-05,6.4548248887664565e-06,1.4151727106272832e-05,3.340035418922203e-05,340.0,1.7291551995039237e-05
3.331051048642467e-05,6.4580633348928306e-06,1.415418572746267e-05,3.341714754958703e-05,350.0,1.729724906235545e-05
3.332697990176456e-05,6.461286783704673e-06,1.4156630983764737e-05,3.3433942210376685e-05,360.0,1.730291776746936e-05
3.334352618038368e-05,6.464496802193173e-06,1.4159064240632409e-05,3.3450716863484135e-05,370.0,1.7308561042825534e-05
3.336012086426401e-05,6.467694708277111e-06,1.416148668610154e-05,3.3467458494937976e-05,380.0,1.7314181394378604e-05
3.337674098764591e-05,6.470881423902578e-06,1.41638992541815e-05,3.348415947567834e-05,390.0,1.7319780678084032e-05
3.3393366053008594e-05,6.474057845813198e-06,1.4166302714758867e-05,3.3500816032076704e-05,400.0,1.7325360560572018e-05
3.340998738198372e-05,6.477224337953745e-06,1.416869744017396e-05,3.351742542941514e-05,410.0,1.7330921778127655e-05
3.3426589844523994e-05,6.480381420388224e-06,1.417108397158299e-05,3.353398801317023e-05,420.0,1.7336465391971168e-05
3.3443172192529236e-05,6.483529201666201e-06,1.4173462422199664e-05,3.3550501363697285e-05,430.0,1.7341991623865813e-05
3.345972485990218e-05,6.486668016129334e-06,1.4175833117096566e-05,3.356696757645567e-05,440.0,1.734750113322585e-05
3.347624498437446e-05,6.4897980572865234e-06,1.417819622030659e-05,3.358338436789887e-05,450.0,1.735299427759306e-05
3.349272865646125e-05,6.4929194258236775e-06,1.4180551868134344e-05,3.359975388584036e-05,460.0,1.7358471293957974e-05
3.3509170923244844e-05,6.496032340222209e-06,1.4182900269612252e-05,3.36160756771744e-05,470.0,1.736393260983441e-05
3.3525570809578805e-05,6.499136835414185e-06,1.4185241474187917e-05,3.363235098265606e-05,480.0,1.7369378309602055e-05
3.354192591234303e-05,6.502232995258944e-06,1.4187575583477503e-05,3.3648580835830205e-05,490.0,1.73748085787364e-05
