Time,glc,g1p,g6p,trh,t6p,udg,adp,atp,ppi,f6p,h,pho,udp,utp,h2o,glx,heat,glc_0,glc_change,g1p_0,g1p_change,g6p_0,g6p_change,trh_0,trh_change,t6p_0,t6p_change,udg_0,udg_change,cell,medium,pgi,hxt,hxk,pgm,tpp,tps,nth,ugp
0.0,0.09765,0.1,2.675,0.05,0.02,0.7,1.282,2.525,0.0,0.625,0.0,0.0,0.2815,0.6491,0.0,100.0,0.0,0.09765,0.0,0.1,0.0,2.675,0.0,0.05,0.0,0.02,0.0,0.7,0.0,1.0,1.0,89.34763583323199,89.3324532468517,89.8453835234637,0.25001094531740115,0.25,0.24998636719948195,0.25,0.25002936554316
0.01,0.0976278958226018,0.09999980644731932,2.674931979162684,0.04999999151848859,0.019999852979727034,0.7000004467202164,1.282,2.525,0.0,0.625,0.0,0.0,0.2815,0.6491,0.0,100.0,0.0,0.09765,0.0,0.1,0.0,2.675,0.0,0.05,0.0,0.02,0.0,0.7,0.0,1.0,1.0,89.33822083272531,89.33387766215967,89.83394345399107,0.2500087053754279,0.24999823292891188,0.24998272568383534,0.24999995828993551,0.25002884258853114
0.02,0.09762756575636572,0.09999960368835886,2.6749087348299203,0.04999996556296164,0.019999699859806406,0.7000009124749702,1.282,2.525,0.0,0.625,0.0,0.0,0.2815,0.6491,0.0,100.0,0.0,0.09765,0.0,0.1,0.0,2.675,0.0,0.05,0.0,0.02,0.0,0.7,0.0,1.0,1.0,89.33500346243713,89.3338989322976,89.83392217620525,0.25000806388749197,0.24999639254366784,0.2499815437359793,0.24999983064679954,0.25002829552432115
0.03,0.09762735714420924,0.09999940374516889,2.6749029602063605,0.049999923534998096,0.01999955852442292,0.700001378747924,1.282,2.525,0.0,0.625,0.0,0.0,0.2815,0.6491,0.0,100.0,0.0,0.09765,0.0,0.1,0.0,2.675,0.0,0.05,0.0,0.02,0.0,0.7,0.0,1.0,1.0,89.3342041631638,89.33391237569337,89.83393274623558,0.25000804025314005,0.24999469379865516,0.24998132003841161,0.24999962396322128,0.25002775364553115
0.04,0.09762717606874297,0.09999920986679643,2.6749014043948485,0.0499998680712528,0.01999943238006101,0.7000018403899371,1.282,2.525,0.0,0.625,0.0,0.0,0.2815,0.6491,0.0,100.0,0.0,0.09765,0.0,0.1,0.0,2.675,0.0,0.05,0.0,0.02,0.0,0.7,0.0,1.0,1.0,89.33398881401016,89.33392404457153,89.83394019381318,0.2500081609411058,0.249993177637517,0.24998132680404916,0.24999935120563938,0.2500272249193943
0.05,0.09762701870228344,0.0999990226205855,2.6749011197120742,0.049999801389700664,0.019999320912987888,0.7000022963795306,1.282,2.525,0.0,0.625,0.0,0.0,0.2815,0.6491,0.0,100.0,0.0,0.09765,0.0,0.1,0.0,2.675,0.0,0.05,0.0,0.02,0.0,0.7,0.0,1.0,1.0,89.33394940935867,89.3339341855946,89.83394674781714,0.2500083207532061,0.24999183788582982,0.24998140215910172,0.24999902328152326,0.2500267107793737
0.06,0.09762688026186948,0.09999884196894322,2.6749010189492504,0.049999726594444356,0.019999222104399635,0.700002746531211,1.282,2.525,0.0,0.625,0.0,0.0,0.2815,0.6491,0.0,100.0,0.0,0.09765,0.0,0.1,0.0,2.675,0.0,0.05,0.0,0.02,0.0,0.7,0.0,1.0,1.0,89.33393546217067,89.3339431069857,89.83395291628848,0.2500084811126104,0.24999065027927808,0.24998148643684379,0.24999865545611033,0.2500262112178941
0.07,0.09762675960219085,0.0999986678334917,2.6749011060370003,0.049999644300542045,0.019999135443116427,0.7000031909063967,1.282,2.525,0.0,0.625,0.0,0.0,0.2815,0.6491,0.0,100.0,0.0,0.09765,0.0,0.1,0.0,2.675,0.0,0.05,0.0,0.02,0.0,0.7,0.0,1.0,1.0,89.33394751650951,89.33395088255027,89.83395849923693,0.2500086422300038,0.2499896086740265,0.24998157986512393,0.24999825075410573,0.25002572606443385
0.08,0.09762665335693883,0.09999850003476214,2.6749011894625294,0.049999556435053445,0.019999059431143936,0.7000036296061557,1.282,2.525,0.0,0.625,0.0,0.0,0.2815,0.6491,0.0,100.0,0.0,0.09765,0.0,0.1,0.0,2.675,0.0,0.05,0.0,0.02,0.0,0.7,0.0,1.0,1.0,89.33395906393811,89.33395772921986,89.83396316948914,0.25000879746691473,0.24998869506541643,0.24998167196026339,0.2499978186523294,0.25002525494220457
0.09,0.09762655974835979,0.09999833834415008,2.674901257809165,0.04999946462421718,0.019998992683618565,0.7000040628052605,1.282,2.525,0.0,0.625,0.0,0.0,0.2815,0.6491,0.0,100.0,0.0,0.09765,0.0,0.1,0.0,2.675,0.0,0.05,0.0,0.02,0.0,0.7,0.0,1.0,1.0,89.33396852420624,89.33396376155625,89.83396711217773,0.25000894662534784,0.24998789280850048,0.24998176213096282,0.24999736714823595,0.2500247973553667
