A,Ap,B,Bp,M,MYp,MYpYp,MYpYpYp,MYpYpYpYp,T,TA,TW,TWA,Tasp,Tasp_A,Tasp_W,Tasp_WA,Tni,Tni_A,Tni_W,Tni_WA,W,WA,Y,Yp,Z,asp,ni,species_1,Time
3e-06,3.48e-08,1.93e-06,6.87e-08,6.24e-09,7.77e-10,2.99e-10,3.78e-10,2.31e-09,3.12e-06,4.44e-07,5.91e-07,8.47e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89e-06,6.78e-07,9.9e-06,7e-09,2e-05,0.0,0.0,0.1,0.0
3.002392415600993e-06,3.535390008709344e-08,1.9300099063293902e-06,6.869009367060943e-08,6.42784782014401e-09,9.68237526947782e-10,3.90663975377446e-10,5.003999281882187e-10,1.7168507493425382e-09,3.1203931400457515e-06,4.4381394670948774e-07,5.954079295736074e-07,8.423849836711563e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.888352332823967e-06,6.798547539312681e-07,9.900157806195378e-06,8.473025544988534e-09,2e-05,0.0,0.0,0.1,0.01
3.004725086814003e-06,3.587809901226972e-08,1.9300093606637636e-06,6.869063933623643e-08,6.456309146749851e-09,9.682638619950851e-10,3.889628175238097e-10,4.960376239784483e-10,1.6944265497528004e-09,3.120761966659505e-06,4.4359096421361617e-07,5.996657658596009e-07,8.379813032672807e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8867283841802874e-06,6.816245466928294e-07,9.900301087448967e-06,8.43590398304499e-09,2e-05,0.0,0.0,0.1,0.02
3.006999321411581e-06,3.6374155307396064e-08,1.9299990314275853e-06,6.870096857241591e-08,6.482079200856429e-09,9.682487487762833e-10,3.874042250045379e-10,4.920777025761735e-10,1.6741901227865698e-09,3.1211078427816402e-06,4.4333383609972757e-07,6.037789274167025e-07,8.337793937019327e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8851283854020036e-06,6.833132934793605e-07,9.900430713451743e-06,8.402235750599535e-09,2e-05,0.0,0.0,0.1,0.03
3.0092163968796946e-06,3.684352924790384e-08,1.9299795423509167e-06,6.872045764908427e-08,6.505325543983553e-09,9.68203046630342e-10,3.859832867051415e-10,4.884973918049893e-10,1.6559907308759689e-09,3.121432044405244e-06,4.430451572258725e-07,6.077525638919709e-07,8.297702344769159e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.883552519461501e-06,6.849246821696114e-07,9.900547559001779e-06,8.371816279264941e-09,2e-05,0.0,0.0,0.1,0.04
3.011377580796423e-06,3.7287616946449005e-08,1.929951487502574e-06,6.874851249742733e-08,6.526208450326112e-09,9.681358270107737e-10,3.8469464817312325e-10,4.852745010840161e-10,1.6396865734059685e-09,3.121735790478254e-06,4.4272739647332024e-07,6.115916630669479e-07,8.259451499814809e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.882000931149245e-06,6.86462255802325e-07,9.9006524562471e-06,8.34444883266937e-09,2e-05,0.0,0.0,0.1,0.05
3.0134841235533918e-06,3.7707744009496444e-08,1.929915428676932e-06,6.87845713230696e-08,6.5448799604281426e-09,9.680545947512402e-10,3.835326860222231e-10,4.823876483746582e-10,1.6251451104237293e-09,3.1220202373455127e-06,4.4238288576329607e-07,6.15301026101126e-07,8.222958507900685e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88047372722506e-06,6.879293958837445e-07,9.900746190920099e-06,8.319945726288444e-09,2e-05,0.0,0.0,0.1,0.06
3.0155372566639394e-06,3.810516715159075e-08,1.929871896243841e-06,6.88281037561602e-08,6.561483968943668e-09,9.679654744420689e-10,3.824916004324984e-10,4.798163111887344e-10,1.6122426449930228e-09,3.1222864801726734e-06,4.42013823554219e-07,6.188852688998167e-07,8.188144273732938e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.878970978469934e-06,6.893293252569541e-07,9.900829503485123e-06,8.298128326033925e-09,2e-05,0.0,0.0,0.1,0.07
3.017538194005169e-06,3.848107981625732e-08,1.929821391735761e-06,6.887860826424042e-08,6.5761567792566255e-09,9.678734178331818e-10,3.8156548865965285e-10,4.775408119984934e-10,1.6008635022520388e-09,3.1225355578864842e-06,4.4162228560780753e-07,6.223488368037006e-07,8.154933197020107e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.877492722625535e-06,6.906651208687524e-07,9.900903092757198e-06,8.278826402647714e-09,2e-05,0.0,0.0,0.1,0.08
3.0194881321056824e-06,3.883661668907395e-08,1.929764389961676e-06,6.893561003832531e-08,6.589027593937825e-09,9.67782329929156e-10,3.807483766665133e-10,4.755422819666564e-10,1.5908994174998415e-09,3.1227684571476516e-06,4.4121023377881224e-07,6.25696015394848e-07,8.123252936786917e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8760389671787223e-06,6.919397237477363e-07,9.900967618855699e-06,8.261877545141625e-09,2e-05,0.0,0.0,0.1,0.09
3.021388247788302e-06,3.917285320669508e-08,1.9297013388969997e-06,6.899866110300116e-08,6.600218376402876e-09,9.676952466292268e-10,3.8003431828146025e-10,4.738027362114269e-10,1.5822493224750039e-09,3.122986111935043e-06,4.407795155296566e-07,6.289309260770365e-07,8.093034464582671e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8746096904476186e-06,6.931559370170755e-07,9.901023703043242e-06,8.247127575039465e-09,2e-05,0.0,0.0,0.1,0.1
3.0232396995037464e-06,3.9490810912565416e-08,1.9296326621391673e-06,6.906733786083402e-08,6.609844448931516e-09,9.676144515922256e-10,3.7941741213085863e-10,4.723050160563602e-10,1.5748186712890344e-09,3.1231894082568963e-06,4.403318741550043e-07,6.320575402703134e-07,8.064211773177892e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8732048443010034e-06,6.943164381108918e-07,9.901071931195635e-06,8.234429795194234e-09,2e-05,0.0,0.0,0.1,0.11
