D,DR,DRG,DRG_GDP,DRG_GTP,GDP,GTP,G_GDP,G_GTP,R,Time
3.1e-05,0.0,0.0,0.0,0.0,0.0,1e-05,1e-06,0.0,1e-10,0.0
3.099992317291945e-05,4.26369213664657e-11,6.122647214733681e-13,3.349898586444532e-11,7.890859229096333e-14,6.913512697449624e-13,9.999999920913451e-06,9.999658096635098e-07,1.773124504517452e-16,2.3172919455324658e-11,0.01
3.099990654347495e-05,2.507067331739447e-11,2.5754215470354344e-12,6.514895089866467e-11,6.61479299711702e-13,3.2402264091593893e-12,9.999999335195133e-06,9.999316108485198e-07,3.2997351189109112e-15,6.543474937193715e-12,0.02
3.099990220762737e-05,1.1756239875760245e-11,5.01940368897531e-12,7.914572914917257e-11,1.870999940201855e-12,6.905936360253758e-12,9.999998113467323e-06,9.999139485268913e-07,1.5340330360440246e-14,2.207627345890063e-12,0.03
3.099990083723766e-05,5.188385913877403e-12,7.444375015954244e-12,8.302830457355671e-11,3.501696857637032e-12,1.0988219718880642e-11,9.999996456155287e-06,9.9990598420928e-07,4.141427297258521e-14,8.3723763897463e-13,0.04
3.09999003394701e-05,2.2807097045197263e-12,9.716892721767722e-12,8.233198900796855e-11,5.330938496941781e-12,1.513405014677681e-11,9.999994582842564e-06,9.99902535922038e-07,8.42577354986266e-14,3.3947006880222956e-13,0.05
3.0999900144531245e-05,1.0451461417205744e-12,1.1830130496352034e-11,7.9768163687196e-11,7.212028460488469e-12,1.919109079356893e-11,9.99999263903969e-06,9.999010449670352e-07,1.4471032099470606e-13,1.4453121424293428e-13,0.06
3.0999900065727434e-05,5.324622183053095e-13,1.3803923971609937e-11,7.653215578461292e-11,9.065730622496925e-12,2.310001828340192e-11,9.999990703905675e-06,9.999003756912237e-07,2.2249839784676884e-13,6.572740297491934e-14,0.07
3.099990003369659e-05,3.2574678230210796e-13,1.5657135786979048e-11,7.312891372172541e-11,1.0854507139117354e-11,2.6841670600488844e-11,9.999988815465174e-06,9.999000426472413e-07,3.1679611087665487e-13,3.36965698760958e-14,0.08
3.099990002090169e-05,2.472628326507735e-13,1.740340744755932e-11,6.976538594784371e-11,1.2563042117141922e-11,3.041363478590268e-11,9.999986989772652e-06,9.998998416194237e-07,4.265450636604395e-13,2.0901654804311068e-14,0.09
3.099990001607442e-05,2.221097401681125e-13,1.905233336015094e-11,6.652257482210013e-11,1.4186907685613499e-11,3.382024681178652e-11,9.999985232086538e-06,9.998996875672154e-07,5.506169165108564e-13,1.6074391967354922e-14,0.1
3.099990001454449e-05,2.1887735841968378e-13,2.0611052332846153e-11,6.342883453564682e-11,1.5726691314503022e-11,3.706838652733926e-11,9.999983542665797e-06,9.998995455317703e-07,6.87890046734161e-13,1.4544458584342975e-14,0.11
3.0999900014366554e-05,2.2442916401850525e-13,2.208531313323641e-11,6.049074534362743e-11,1.7185145838913798e-11,4.016572738297278e-11,9.999981919585741e-06,9.998994015125125e-07,8.372831716027601e-13,1.4366520203882633e-14,0.12
3.099990001472929e-05,2.3328660078992857e-13,2.348006643579305e-11,5.770605317614059e-11,1.8565864531853195e-11,4.3120017621882856e-11,9.999980360048806e-06,9.998992502472978e-07,9.97768558568472e-13,1.4729255423270733e-14,0.13
3.099990001529477e-05,2.4317656503513906e-13,2.4799768498711117e-11,5.506907494001851e-11,1.987268527473001e-11,4.59387931518537e-11,9.99997886097534e-06,9.99899090095357e-07,1.1683759297235107e-12,1.5294721505253062e-14,0.14
3.099990001592284e-05,2.531665907386195e-13,2.604853234086365e-11,5.2572946947960285e-11,2.1109431317314774e-11,4.862927044995111e-11,9.999977419261883e-06,9.99898920897116e-07,1.3481922780595537e-12,1.592280312270277e-14,0.15
3.099990001655611e-05,2.62884259534976e-13,2.723020372428104e-11,5.021055233129046e-11,2.2279803620895425e-11,5.1198314122577695e-11,9.999976031889595e-06,9.9989874308035e-07,1.5363599736972793e-12,1.6556063998131144e-14,0.16
3.099990001717165e-05,2.7219059018861236e-13,2.8348401466341283e-11,4.7974896193246335e-11,2.3387340151677313e-11,5.3652435049207424e-11,9.999974695966411e-06,9.998985572879695e-07,1.7320742193460855e-12,1.7171598546507065e-14,0.17
3.099990001776095e-05,2.810434030424385e-13,2.940654114545521e-11,4.5859250368158274e-11,2.443540419148158e-11,5.5997800695054844e-11,9.999973408740445e-06,9.99898364223978e-07,1.9345803171072585e-12,1.776089186253456e-14,0.18
3.099990001832143e-05,2.8944013351561524e-13,3.040785107784268e-11,4.385720246624473e-11,2.5427184934463243e-11,5.824024993276655e-11,9.99997216760114e-06,9.998981645905804e-07,2.1431709411461166e-12,1.8321387933769937e-14,0.19
3.099990001885302e-05,2.973940490604426e-13,3.13553846067692e-11,4.1962665223812155e-11,2.636570314037232e-11,6.038530926081545e-11,9.999970970075339e-06,9.998979590635398e-07,2.3571834894110092e-12,1.885297998592327e-14,0.2
3.099990001935656e-05,3.049241843811962e-13,3.225202955849889e-11,4.016987206081385e-11,2.7253817674885158e-11,6.243820731272636e-11,9.999969813822237e-06,9.998977482829097e-07,2.5759977961118544e-12,1.9356521420947744e-14,0.21
3.0999900019833264e-05,3.120513212005459e-13,3.3100519070697766e-11,3.847336131543729e-11,2.8094235064872423e-11,6.44038933851027e-11,9.999968696625676e-06,9.998975328512172e-07,2.799033331902997e-12,1.9833227792016976e-14,0.22
3.099990002028446e-05,3.1879621602205917e-13,3.390342937505022e-11,3.686798319241822e-11,2.888950680037301e-11,6.62870329575673e-11,9.999967616396407e-06,9.998973133309625e-07,3.025749669754783e-12,2.0284416136541675e-14,0.23
