Time,D,DR,DRG_GDP,G_GDP,DRG,GDP,DRG_GTP,GTP,G_GTP,R,cell,Reaction_1,Reaction_2,Reaction_3,Reaction_4,Reaction_5,Reaction_6
0.0,3.1e-05,0.0,0.0,1e-06,0.0,0.0,0.0,1e-05,0.0,1e-10,1.0,1.55e-08,0.0,0.0,0.0,0.0,0.0
0.01,3.099992317291945e-05,4.26369213664657e-11,3.349898586444532e-11,9.999658096635098e-07,6.122647214733681e-13,6.913512697449624e-13,7.890859229096333e-14,9.999999920913451e-06,1.773124504517452e-16,2.3172919455324658e-11,1.0,3.165424400371917e-09,4.260196460991283e-09,1.674949292798976e-10,2.62732632555559e-11,7.890859229096333e-14,3.546249009034904e-16
0.02,3.099990654347495e-05,2.507067331739447e-11,6.514895089866467e-11,9.999316108485198e-07,2.5754215470354344e-12,3.2402264091593893e-12,6.61479299711702e-13,9.999999335195133e-06,3.2997351189109112e-15,6.543474937193715e-12,1.0,7.635288244389341e-10,2.500380980442059e-09,3.2574475365882847e-10,9.238970730686423e-11,6.61479299711702e-13,6.5994702378218224e-15
0.03,3.099990220762737e-05,1.1756239875760245e-11,7.914572914917257e-11,9.999139485268913e-07,5.01940368897531e-12,6.905936360253758e-12,1.870999940201855e-12,9.999998113467323e-06,1.5340330360440246e-14,2.207627345890063e-12,1.0,2.246187604097772e-10,1.1676082504851546e-09,3.957286422794946e-10,1.4806514039131805e-10,1.870999940201855e-12,3.068066072088049e-14
0.04,3.099990083723766e-05,5.188385913877403e-12,8.302830457355671e-11,9.9990598420928e-07,7.444375015954244e-12,1.0988219718880642e-11,3.501696857637032e-12,9.999996456155287e-06,4.141427297258521e-14,8.3723763897463e-13,1.0,7.788755978830856e-11,5.104869819099594e-10,4.151415146877407e-10,1.7962529171913023e-10,3.501696857637032e-12,8.282854594517041e-14
0.05,3.09999003394701e-05,2.2807097045197263e-12,8.233198900796855e-11,9.99902535922038e-07,9.716892721767722e-12,1.513405014677681e-11,5.330938496941781e-12,9.999994582842564e-06,8.42577354986266e-14,3.3947006880222956e-13,1.0,2.981059446031361e-11,2.1981554282433082e-10,4.1165993033424854e-10,1.9264275556689985e-10,5.330938496941781e-12,1.685154709972532e-13
0.06,3.0999900144531245e-05,1.0451461417205744e-12,7.9768163687196e-11,9.999010449670352e-07,1.1830130496352034e-11,1.919109079356893e-11,7.212028460488469e-12,9.99999263903969e-06,1.4471032099470606e-13,1.4453121424293428e-13,1.0,1.195080462928833e-11,9.652745555624714e-11,3.9884079573266914e-10,1.948445240851306e-10,7.212028460488469e-12,2.894206419894121e-13
0.07,3.0999900065727434e-05,5.324622183053095e-13,7.653215578461292e-11,9.999003756912237e-07,1.3803923971609937e-11,2.310001828340192e-11,9.065730622496925e-12,9.999990703905675e-06,2.2249839784676884e-13,6.572740297491934e-14,1.0,4.863092435958384e-12,4.5587701634024846e-11,3.8266074703597496e-10,1.9158037273026964e-10,9.065730622496925e-12,4.449967956935377e-13
0.08,3.099990003369659e-05,3.2574678230210796e-13,7.312891372172541e-11,9.999000426472413e-07,1.5657135786979048e-11,2.6841670600488844e-11,1.0854507139117354e-11,9.999988815465174e-06,3.1679611087665487e-13,3.36965698760958e-14,1.0,1.9654836651661286e-12,2.5258530779435402e-11,3.656445265822589e-10,1.858580211085955e-10,1.0854507139117354e-11,6.335922217533097e-13
0.09,3.099990002090169e-05,2.472628326507735e-13,6.976538594784371e-11,9.998998416194237e-07,1.740340744755932e-11,3.041363478590268e-11,1.2563042117141922e-11,9.999986989772652e-06,4.265450636604395e-13,2.0901654804311068e-14,1.0,7.67117719517478e-13,1.7747268125803473e-11,3.488268768091307e-10,1.7920192382372265e-10,1.2563042117141922e-11,8.53090127320879e-13
