Time,y1,y2,y3,y4,y5,y6,emax,k1,k1_prime,k1_double_prime,phi1,k2,k3,phi2,phi3,k4,k4_double_prime,k4i,k4a,phi4i,phi4a,k6,F6,phi6,compartment,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15
0.0,0.014,0.006,0.0,0.0,0.0001,0.0,2.0,1.0,1.0,10.0,0.1,1.0,0.4,0.01,0.1,0.09,0.1,1.0,2.0,0.01,0.01,0.0,0.044,0.1,1.0,1.3435700575815739,0.0014000000000000002,0.014,2.4000000000000003e-07,6e-05,0.0,0.00126,0.0,0.0,0.0002,0.0,1.0000000000000002e-06,0.0,0.044,0.0
0.01,0.028706609189070333,0.006211132575343757,2.4116381171227524e-09,2.1255990945309637e-05,9.801007513426222e-05,0.0004397800733150019,2.0,1.0,1.0,10.0,0.1,1.0,0.4,0.01,0.1,0.09,0.1,1.0,2.0,0.01,0.01,0.0,0.044,0.1,1.0,1.5643610163863362,0.0028706609189070335,0.028706609189070333,2.435014281513221e-07,6.211132575343757e-05,2.4116381171227523e-10,0.00258359482701633,4.397800733150019e-05,2.0833012696029948e-09,0.00019602015026852444,2.1255990945309638e-07,9.801007513426223e-07,0.0,0.044,4.397800733150019e-05
0.02,0.04479949598056219,0.0065773373912798964,4.884324725691296e-09,5.6868375895377235e-05,9.605977549406975e-05,0.000879120586373449,2.0,1.0,1.0,10.0,0.1,1.0,0.4,0.01,0.1,0.09,0.1,1.0,2.0,0.01,0.01,0.0,0.044,0.1,1.0,1.6493613033693488,0.004479949598056219,0.04479949598056219,2.527270212620389e-07,6.577337391279897e-05,4.884324725691296e-10,0.004031954638250597,8.79120586373449e-05,5.462763421222305e-09,0.0001921195509881395,5.686837589537723e-07,9.605977549406975e-07,0.0,0.044,8.79120586373449e-05
0.03,0.061445674093638734,0.007107595389753452,7.475439835975708e-09,0.00010764573716999383,9.414832543856727e-05,0.001318021978515889,2.0,1.0,1.0,10.0,0.1,1.0,0.4,0.01,0.1,0.09,0.1,1.0,2.0,0.01,0.01,0.0,0.044,0.1,1.0,1.6852766287374374,0.006144567409363874,0.061445674093638734,2.676672815360674e-07,7.107595389753452e-05,7.475439835975709e-10,0.005530110668427486,0.0001318021978515889,1.0134665895155056e-08,0.00018829665087713454,1.0764573716999383e-06,9.414832543856727e-07,0.0,0.044,0.0001318021978515889
0.04,0.07830685777007276,0.007805518732231076,1.0240983349504103e-08,0.00017391345208981766,9.227496445079407e-05,0.001756484688643751,2.0,1.0,1.0,10.0,0.1,1.0,0.4,0.01,0.1,0.09,0.1,1.0,2.0,0.01,0.01,0.0,0.044,0.1,1.0,1.698176620751374,0.007830685777007277,0.07830685777007276,2.881015854146519e-07,7.805518732231076e-05,1.0240983349504102e-09,0.007047617199306549,0.0001756484688643751,1.6047857609102802e-08,0.00018454992890158813,1.7391345208981767e-06,9.227496445079407e-07,0.0,0.044,0.0001756484688643751
0.05,0.09520976489026246,0.0086722918294114,1.3234215125566631e-08,0.0002557783861304431,9.043894653449247e-05,0.0021945091552197813,2.0,1.0,1.0,10.0,0.1,1.0,0.4,0.01,0.1,0.09,0.1,1.0,2.0,0.01,0.01,0.0,0.044,0.1,1.0,1.6980680805836998,0.009520976489026247,0.09520976489026246,3.137251748366614e-07,8.6722918294114e-05,1.3234215125566631e-09,0.008568878840123622,0.00021945091552197816,2.3132327787929916e-08,0.00018087789306898494,2.5577838613044314e-06,9.043894653449247e-07,0.0,0.044,0.00021945091552197816
0.06,0.11205018851814615,0.00970775547686508,1.6505086251258314e-08,0.00035322646549354355,8.863953979864719e-05,0.002632095816268482,2.0,1.0,1.0,10.0,0.1,1.0,0.4,0.01,0.1,0.09,0.1,1.0,2.0,0.01,0.01,0.0,0.044,0.1,1.0,1.689595720129074,0.011205018851814616,0.11205018851814615,3.4419639117884705e-07,9.707755476865081e-05,1.6505086251258314e-09,0.010084516966633152,0.0002632095816268482,3.130983134605043e-08,0.00017727907959729438,3.5322646549354356e-06,8.86395397986472e-07,0.0,0.044,0.0002632095816268482
0.07,0.12875819134258415,0.010910897748716843,2.009999369987035e-08,0.0004661668578507758,8.687602612211973e-05,0.0030692451093765533,2.0,1.0,1.0,10.0,0.1,1.0,0.4,0.01,0.1,0.09,0.1,1.0,2.0,0.01,0.01,0.0,0.044,0.1,1.0,1.675254547688468,0.012875819134258415,0.12875819134258415,3.791581751333207e-07,0.00010910897748716844,2.009999369987035e-09,0.011588237220832572,0.00030692451093765533,4.0498724119910466e-08,0.00017375205224423945,4.661668578507758e-06,8.687602612211973e-07,0.0,0.044,0.00030692451093765533
0.08,0.1452833544955826,0.012280113018353392,2.4061691812666837e-08,0.000594455284492584,8.51477008598085e-05,0.0035059574716933225,2.0,1.0,1.0,10.0,0.1,1.0,0.4,0.01,0.1,0.09,0.1,1.0,2.0,0.01,0.01,0.0,0.044,0.1,1.0,1.656552875522649,0.014528335449558262,0.1452833544955826,4.182493559245579e-07,0.00012280113018353392,2.406169181266684e-09,0.013075501904602434,0.00035059574716933225,5.0616500738506906e-08,0.000170295401719617,5.94455284492584e-06,8.51477008598085e-07,0.0,0.044,0.00035059574716933225
0.09,0.16158762835278354,0.013813357289097062,2.8429290803386804e-08,0.0007379080003565325,8.345387257402932e-05,0.003942233339931189,2.0,1.0,1.0,10.0,0.1,1.0,0.4,0.01,0.1,0.09,0.1,1.0,2.0,0.01,0.01,0.0,0.044,0.1,1.0,1.6344959540791175,0.016158762835278354,0.16158762835278354,4.6111126360953815e-07,0.00013813357289097064,2.8429290803386807e-09,0.014542886551750518,0.00039422333399311894,6.158128023311085e-08,0.00016690774514805865,7.379080003565326e-06,8.345387257402932e-07,0.0,0.044,0.00039422333399311894
