Time,miR,TF1,TF1target_mRNA,Sink,kdegMiR,kdegTF1targetmRNA,kdegTF1targetmRNAbyMiR,ksynTF1targetmRNA,ksynMiR,cell,miR_synthesis,miR_degradation,TF1target_transcription,TF1target_mRNA_degradation,TF1target_mRNA_degradation_via_MiR
0.0,0.0,0.0,0.0,0.0,0.0004,0.001,5e-05,0.004,0.0002,1.0,0.0,0.0,0.0,0.0,0.0
14.4,0.0,0.0,0.0,0.0,0.0004,0.001,5e-05,0.004,0.0002,1.0,0.0,0.0,0.0,0.0,0.0
28.8,0.0,0.0,0.0,0.0,0.0004,0.001,5e-05,0.004,0.0002,1.0,0.0,0.0,0.0,0.0,0.0
43.2,0.0,0.0,0.0,0.0,0.0004,0.001,5e-05,0.004,0.0002,1.0,0.0,0.0,0.0,0.0,0.0
57.6,0.0,0.0,0.0,0.0,0.0004,0.001,5e-05,0.004,0.0002,1.0,0.0,0.0,0.0,0.0,0.0
72.0,0.0,0.0,0.0,0.0,0.0004,0.001,5e-05,0.004,0.0002,1.0,0.0,0.0,0.0,0.0,0.0
86.4,0.0,0.0,0.0,0.0,0.0004,0.001,5e-05,0.004,0.0002,1.0,0.0,0.0,0.0,0.0,0.0
100.8,0.0,0.0,0.0,0.0,0.0004,0.001,5e-05,0.004,0.0002,1.0,0.0,0.0,0.0,0.0,0.0
115.2,0.0,0.0,0.0,0.0,0.0004,0.001,5e-05,0.004,0.0002,1.0,0.0,0.0,0.0,0.0,0.0
129.6,0.0,0.0,0.0,0.0,0.0004,0.001,5e-05,0.004,0.0002,1.0,0.0,0.0,0.0,0.0,0.0
144.0,0.0,0.0,0.0,0.0,0.0004,0.001,5e-05,0.004,0.0002,1.0,0.0,0.0,0.0,0.0,0.0
158.4,0.0,0.0,0.0,0.0,0.0004,0.001,5e-05,0.004,0.0002,1.0,0.0,0.0,0.0,0.0,0.0
172.8,0.0,0.0,0.0,0.0,0.0004,0.001,5e-05,0.004,0.0002,1.0,0.0,0.0,0.0,0.0,0.0
187.20000000000002,0.0,0.0,0.0,0.0,0.0004,0.001,5e-05,0.004,0.0002,1.0,0.0,0.0,0.0,0.0,0.0
