T,CA,H,HB,M,MB,MCA,N,V
0.0,5.9999998e-05,0.0,0.76999998,0.14,0.94999999,0.00019999999,0.048,-42.0
0.15000001,5.9106722e-05,0.31152242,0.75806111,0.013071185,0.95848149,0.00023268731,0.046065155,-41.809498
0.30000001,5.8226742e-05,0.29053187,0.75073951,0.015392958,0.95332241,0.0002520266,0.049260568,-41.394047
0.44999999,5.7359866e-05,0.2589446,0.74982721,0.019867213,0.94193798,0.00028613672,0.054825895,-40.743992
0.60000002,5.6505902e-05,0.21760002,0.7559548,0.028661506,0.92068791,0.00034347654,0.06386923,-39.803791
0.75,5.5664656e-05,0.10722978,0.77018613,0.2271402,0.82141709,0.00070923759,0.1087003,-33.467842
0.89999998,6.2536186e-05,0.23883568,0.7752012,0.023762869,0.8763417,0.00031597435,0.059124459,-40.285599
1.05,6.1605155e-05,0.20755604,0.78178138,0.031114032,0.90811527,0.00036032186,0.066648781,-39.593758
1.2,6.0687991e-05,0.15235853,0.79289353,0.060326912,0.86536855,0.00048780907,0.08464618,-37.845806
1.35,6.7485533e-05,0.26327151,0.79734844,0.01931965,0.84546703,0.00033330865,0.055828933,-40.815311
1.5,6.6480818e-05,0.2636191,0.79491359,0.018585267,0.93412453,0.00028063226,0.054263555,-40.917957
1.65,6.5491055e-05,0.28548506,0.78922451,0.0156254,0.94685292,0.00025703467,0.050364438,-41.359203
1.8,6.4516025e-05,0.3055487,0.77958882,0.013458795,0.95461059,0.0002379588,0.047118563,-41.737476
1.95,6.3555512e-05,0.31824756,0.76733851,0.012314097,0.95925075,0.00022695604,0.045195516,-41.961971
2.0999999,6.2609302e-05,0.31967348,0.75481892,0.012258323,0.9605695,0.00022576707,0.044932719,-41.972675
2.25,6.1677172e-05,0.30785897,0.74484986,0.01345278,0.95816636,0.00023589982,0.046592738,-41.736359
2.4000001,6.0758928e-05,0.28368148,0.7399829,0.016249714,0.95119935,0.00025886673,0.050384931,-41.256268
2.55,5.9854352e-05,0.25008586,0.74170142,0.021404048,0.93801367,0.00029702787,0.056578428,-40.553612
2.7,5.8963247e-05,0.20578621,0.75033367,0.03215161,0.9129833,0.00036351249,0.06692785,-39.506741
2.8499999,6.500465e-05,0.0047878628,0.76799291,0.96773958,0.43132865,0.5063954,0.83660513,-23.653908
3.0,6.4895263e-05,0.23230553,0.76950753,0.024868401,0.89954233,0.00032119421,0.06043826,-40.170273
3.1500001,6.392911e-05,0.20839331,0.77681673,0.030804211,0.90929759,0.00035885419,0.066452175,-39.619873
3.3,6.2977349e-05,0.16268414,0.7878778,0.051878173,0.874327,0.0004579332,0.080707729,-38.252308
3.45,6.9749884e-05,0.27059931,0.79422301,0.018366305,0.81578434,0.00048207471,0.057492994,-40.943176
3.5999999,6.8711452e-05,0.26784262,0.79133153,0.017934402,0.9343586,0.00027581767,0.053486913,-41.008972
3.75,6.7688481e-05,0.29409945,0.78460914,0.014597619,0.94959944,0.0002485748,0.048966561,-41.532188
3.9000001,6.6680739e-05,0.31870216,0.77296221,0.012196088,0.9583289,0.00022658026,0.045195945,-41.987198
4.0500002,6.5687993e-05,0.33491501,0.75793195,0.010910837,0.96352482,0.00021360585,0.042909879,-42.268135
4.1999998,6.4710031e-05,0.33784857,0.74232507,0.01075933,0.9651984,0.00021137144,0.042457514,-42.302555
4.3499999,6.3746629e-05,0.32462111,0.72960991,0.011915519,0.96297044,0.00022171628,0.044164777,-42.043449
4.5,6.2797575e-05,0.29602376,0.72306269,0.014819046,0.95579439,0.00024674731,0.048335262,-41.489994
4.6500001,6.1862644e-05,0.25653204,0.72458863,0.020346805,0.9416697,0.00028904816,0.055250332,-40.682587
4.8000002,6.0941642e-05,0.20681348,0.73428512,0.031936638,0.91459441,0.00036171064,0.066606462,-39.523647
4.9499998,6.7432076e-05,0.0086491285,0.75370634,0.54588103,0.40548414,0.33598134,0.72479111,-31.374352
5.0999999,6.6816094e-05,0.22812752,0.75639504,0.025870183,0.89999259,0.00032726003,0.061370697,-40.068558
5.25,6.5821347e-05,0.19534709,0.76624531,0.035287272,0.90085453,0.00038290431,0.070025735,-39.26701
5.4000001,7.1661671e-05,0.0048109973,0.78278226,0.98172545,0.43316177,0.53059512,0.84435606,-22.300285
5.5500002,7.153421e-05,0.25764143,0.78057045,0.019698799,0.90875614,0.00028783988,0.055292659,-40.768642
5.6999998,7.0469214e-05,0.27447569,0.77831405,0.017014686,0.94132745,0.00026851241,0.052284446,-41.142857
5.8499999,6.9420072e-05,0.29800728,0.77170861,0.014201683,0.95156896,0.00024487203,0.048318662,-41.601654
6.0,6.8386544e-05,0.31795746,0.76100743,0.012290285,0.95852327,0.00022720112,0.04527859,-41.967422
6.1500001,6.7368404e-05,0.3292405,0.74792218,0.011385542,0.96241158,0.00021802113,0.043651167,-42.160187
6.3000002,6.6365428e-05,0.32799342,0.73511195,0.011560317,0.96300679,0.00021900915,0.04375916,-42.120811
6.4499998,6.5377382e-05,0.31249458,0.7256273,0.013023707,0.95980304,0.00023184883,0.045886546,-41.818245
6.5999999,6.4404041e-05,0.28432742,0.72208714,0.016198836,0.95177341,0.00025821303,0.050255034,-41.263988
6.75,6.3445201e-05,0.24722837,0.72578007,0.021964461,0.93699884,0.00030068905,0.057146121,-40.487309
6.9000001,6.2500636e-05,0.19871505,0.73673117,0.034594823,0.90837443,0.00037651218,0.068861619,-39.316467
7.0500002,6.9328038e-05,0.20196615,0.75518048,0.013527936,0.52640694,0.07223729,0.3028512,-41.731476
7.1999998,6.8314301e-05,0.23009947,0.75752419,0.025270369,0.90723437,0.00032425096,0.060979154,-40.129498
7.3499999,6.7297246e-05,0.20795485,0.76610392,0.030923717,0.90925086,0.00035961767,0.066575117,-39.609917
7.5,6.6295339e-05,0.16306765,0.77819705,0.051570021,0.87450945,0.00045688479,0.080575883,-38.268326
7.6500001,7.3018557e-05,0.27281943,0.78544331,0.018023375,0.81401473,0.0004985382,0.05741271,-40.991302
7.8000002,7.1931463e-05,0.27275074,0.78267384,0.017219473,0.93607634,0.00027038465,0.052606169,-41.112705
7.9499998,7.0860551e-05,0.30265862,0.77531016,0.013664377,0.95228589,0.00024057964,0.047631562,-41.699932
8.1000004,6.9805581e-05,0.33096117,0.76218134,0.011148574,0.96150547,0.00021667394,0.043505128,-42.214542
8.25,6.8766312e-05,0.35032058,0.74498957,0.0097803446,0.96701103,0.00020223288,0.040942561,-42.544579
8.3999996,6.774252e-05,0.35503504,0.72686505,0.0095368149,0.96897364,0.00019891858,0.040294312,-42.60722
8.5500002,6.673397e-05,0.34112865,0.71177417,0.010601299,0.9670338,0.00020891681,0.041953474,-42.338825
8.6999998,6.5740438e-05,0.30876541,0.70369297,0.013499021,0.95994753,0.00023511224,0.046354298,-41.726307
8.8500004,6.4761698e-05,0.26367751,0.70508933,0.019243632,0.94531816,0.0002805978,0.053842731,-40.824429
9.0,6.3797532e-05,0.20910701,0.71590602,0.031319082,0.9169296,0.00035771792,0.065957412,-39.573792
9.1499996,7.026457e-05,0.0091666291,0.73700458,0.51047647,0.4053348,0.32910424,0.71806127,-31.7624
9.3000002,6.9591151e-05,0.22589707,0.74138063,0.02645986,0.89925355,0.00033061046,0.061866611,-40.010311
9.4499998,6.8555091e-05,0.18523428,0.75352454,0.039488025,0.89374644,0.00040360377,0.073026128,-38.973103
9.6000004,7.5282631e-05,0.2801258,0.7683273,0.014533651,0.63780224,0.016061831,0.14039291,-41.531223
