data_set_value_component_environment_variable_time,data_set_value_component_c_variable_c,data_set_value_component_c_variable_delta,data_set_value_component_ce_variable_ce,data_set_value_component_ce_variable_gamma,data_set_value_component_p_variable_p,data_set_value_component_J_IPR_variable_J_IPR,data_set_value_component_J_IPR_variable_kf,data_set_value_component_J_IPR_variable_g1,data_set_value_component_R_variable_R,data_set_value_component_O_variable_O,data_set_value_component_I_1_variable_I_1,data_set_value_component_I_2_variable_I_2,data_set_value_component_S_variable_S,data_set_value_component_A_variable_A,data_set_value_component_IPR_parameters_variable_phi_1,data_set_value_component_IPR_parameters_variable_phi_2,data_set_value_component_IPR_parameters_variable_phi_2_,data_set_value_component_IPR_parameters_variable_phi_3,data_set_value_component_IPR_parameters_variable_phi_4,data_set_value_component_IPR_parameters_variable_phi_4_,data_set_value_component_IPR_parameters_variable_phi_5,data_set_value_component_IPR_parameters_variable_k_1,data_set_value_component_IPR_parameters_variable_k_1_,data_set_value_component_IPR_parameters_variable_k_2,data_set_value_component_IPR_parameters_variable_k_2_,data_set_value_component_IPR_parameters_variable_k_3,data_set_value_component_IPR_parameters_variable_k_3_,data_set_value_component_IPR_parameters_variable_k_4,data_set_value_component_IPR_parameters_variable_k_4_,data_set_value_component_IPR_parameters_variable_l_2,data_set_value_component_IPR_parameters_variable_l_2_,data_set_value_component_IPR_parameters_variable_l_4,data_set_value_component_IPR_parameters_variable_l_4_,data_set_value_component_IPR_parameters_variable_l_6,data_set_value_component_IPR_parameters_variable_l_6_,data_set_value_component_IPR_parameters_variable_L_1,data_set_value_component_IPR_parameters_variable_L_3,data_set_value_component_IPR_parameters_variable_L_5,data_set_value_component_J_serca_variable_J_serca,data_set_value_component_J_serca_variable_Vs,data_set_value_component_J_serca_variable_Ks,data_set_value_component_J_pm_variable_J_pm,data_set_value_component_J_pm_variable_Vp,data_set_value_component_J_pm_variable_Kp,data_set_value_component_J_in_variable_J_in,data_set_value_component_J_in_variable_alpha1,data_set_value_component_J_in_variable_alpha2
0.0,0.01,0.1,0.01,5.4,10.0,0.0,0.96,0.002,0.16,0.01,0.16,0.16,0.16,0.16,0.09982022471910112,25.67191011235955,1.4247395357338692,0.10997989398647415,0.900347285688174,11.021538461538462,0.13667692307692306,0.64,0.04,37.4,1.4,0.11,29.8,4.0,0.54,1.7,0.8,1.7,2.5,4707.0,11.4,0.12,0.025,54.7,631.578947368421,120.0,0.18,0.015864022662889523,28.0,0.42,2.03,0.03,0.2
0.1,5.2804516753055797e-05,0.1,0.17333465726166444,5.4,10.0,0.00036026134757889645,0.96,0.002,0.0020032078774659436,0.44819050764620816,0.14711022735947446,0.14711481360906475,0.009537012304329429,0.056044231202756,0.0007798684834343096,37.30837159804044,1.400130659679033,0.1099998938118604,0.004755104890880921,11.934748261545664,0.000781514982048893,0.64,0.04,37.4,1.4,0.11,29.8,4.0,0.54,1.7,0.8,1.7,2.5,4707.0,11.4,0.12,0.025,54.7,0.20303318247700122,120.0,0.18,4.425899913411781e-07,28.0,0.42,2.03,0.03,0.2
0.2,8.631869884830268e-05,0.1,0.2827736384469232,5.4,10.0,0.0005729715510700805,0.96,0.002,0.002222170048326703,0.5109832969342958,0.13525795254536302,0.13526547587549498,0.0022263710482809088,0.024044733545915006,0.0012727820645137649,37.25045813609416,1.4002135871563537,0.1099998264160532,0.007773089137550804,11.931417463076428,0.0012771735013235536,0.64,0.04,37.4,1.4,0.11,29.8,4.0,0.54,1.7,0.8,1.7,2.5,4707.0,11.4,0.12,0.025,54.7,0.20340727934765604,120.0,0.18,1.1826853104994345e-06,28.0,0.42,2.03,0.03,0.2
0.30000000000000004,0.00011978290419045442,0.1,0.39221283999335615,5.4,10.0,0.0007916887312936221,0.96,0.002,0.0023232991282466655,0.5430570775428519,0.12436072192488315,0.1243699008228011,0.001987372076637876,0.01390162850235434,0.0017633764543241279,37.19281716084832,1.4002963908698283,0.10999975912082983,0.01078656923975778,11.928093486006592,0.0017718169232403323,0.64,0.04,37.4,1.4,0.11,29.8,4.0,0.54,1.7,0.8,1.7,2.5,4707.0,11.4,0.12,0.025,54.7,0.2034664756697665,120.0,0.18,2.277451264963973e-06,28.0,0.42,2.03,0.03,0.2
0.4,0.00015357843889220939,0.1,0.5016501833775814,5.4,10.0,0.0010121452620444951,0.96,0.002,0.002392960947652211,0.5664179518688801,0.11434159058454765,0.11435186192139987,0.002063701872278725,0.010431932802769448,0.0022572294328588463,37.13479332710288,1.4003800143206955,0.10999969115939952,0.013829882090009937,11.924738477337106,0.0022710781798517816,0.64,0.04,37.4,1.4,0.11,29.8,4.0,0.54,1.7,0.8,1.7,2.5,4707.0,11.4,0.12,0.025,54.7,0.20392366430833136,120.0,0.18,3.7438624982307517e-06,28.0,0.42,2.03,0.03,0.2
0.5,0.00018712798627090627,0.1,0.6110887666162955,5.4,10.0,0.0012334380814710583,0.96,0.002,0.0024505178139292254,0.586107804233099,0.10512981422151942,0.10514099913041357,0.0021396044356862087,0.009031260162878424,0.00274590631396521,37.07737764402106,1.4004630289999285,0.10999962369272262,0.016851039880659426,11.921409754991984,0.0027664277496016612,0.64,0.04,37.4,1.4,0.11,29.8,4.0,0.54,1.7,0.8,1.7,2.5,4707.0,11.4,0.12,0.025,54.7,0.20393507487479354,120.0,0.18,5.558234332485731e-06,28.0,0.42,2.03,0.03,0.2
0.6000000000000001,0.00022087733324408244,0.1,0.7205261626647871,5.4,10.0,0.0014552534470468933,0.96,0.002,0.002501768409800257,0.6036587715968853,0.09666024637059352,0.09667231436950155,0.0022068653533926057,0.008300033897363467,0.0032359113069957077,37.0198059182528,1.4005465379586242,0.10999955582434098,0.019890186011013847,11.918063083405857,0.0032644483588339453,0.64,0.04,37.4,1.4,0.11,29.8,4.0,0.54,1.7,0.8,1.7,2.5,4707.0,11.4,0.12,0.025,54.7,0.20411623162768722,120.0,0.18,7.743933785412517e-06,28.0,0.42,2.03,0.03,0.2
0.7000000000000001,0.0002547485434812424,0.1,0.8299627725786287,5.4,10.0,0.0016774623008092833,0.96,0.002,0.002548661702005876,0.6196123525479166,0.08887329256585551,0.08888625461171046,0.00226767310054484,0.007811765469503522,0.0037260978965647073,36.962212856322125,1.4006303483506373,0.10999948771098211,0.022940302220682374,11.914706216211776,0.003763986183828813,0.64,0.04,37.4,1.4,0.11,29.8,4.0,0.54,1.7,0.8,1.7,2.5,4707.0,11.4,0.12,0.025,54.7,0.20433728960071257,120.0,0.18,1.0301078814373825e-05,28.0,0.42,2.03,0.03,0.2
0.8,0.0002887057674929328,0.1,0.9393987699016589,5.4,10.0,0.0019000030135179454,0.96,0.002,0.0025919762349709916,0.6342107262205061,0.08171386518795647,0.08172773481287648,0.002323205903090167,0.007432491638137012,0.004215940359645622,36.90466022654231,1.4007143714695978,0.10999941942473841,0.0259981602138554,11.911342722146097,0.004264510158359935,0.64,0.04,37.4,1.4,0.11,29.8,4.0,0.54,1.7,0.8,1.7,2.5,4707.0,11.4,0.12,0.025,54.7,0.20455881430354064,120.0,0.18,1.3230314412601652e-05,28.0,0.42,2.03,0.03,0.2
0.9,0.00032275388966133056,0.1,1.0488341080826717,5.4,10.0,0.0021228428858087057,0.96,0.002,0.002632128733491585,0.6475969569144809,0.07513139995526648,0.07514618255989843,0.0023740949842597624,0.0071192368501425355,0.004705504465907892,36.84714030149542,1.4007986194005144,0.10999935095578828,0.029064199800918584,11.907972130640477,0.004766090308040458,0.64,0.04,37.4,1.4,0.11,29.8,4.0,0.54,1.7,0.8,1.7,2.5,4707.0,11.4,0.12,0.025,54.7,0.20478370563157058,120.0,0.18,1.6534922504072705e-05,28.0,0.42,2.03,0.03,0.2
