Time,sul_ex,eth_ex,oxy_ex,oxy,H2O,A3c,aps,PPi,pap,sul,eth,A2c,hyd,cys,N2,N1,aco,oah,S1,S2,C1,C2,A2m,A3m,Ho,Hm,k_v0,k2,k3,k4,k5,k6,k7,k8,k9,k_v10,k11,k12,k_v13,k14,k15,k16,k17,k18,n,m,Ka,Kc,a,Ac,Am,S,N,Kh,c0,c1,c2,v1,v13,v2,v10,v14,v3,v4,v5,v6,v7,v15,v17,v18,v8,v9,v11a,v11a2,v16,v11b,vLEAK,v12
0.0,0.0,0.0,0.0,7.0,0.0,1.5,0.5,0.0,0.4,0.4,4.0,0.5,0.5,0.3,2.0,0.0,0.3,1.5,1.5,0.5,0.0,0.0,0.5,1.5,0.0,0.0,1.6,0.2,0.2,0.2,0.1,0.12,10.0,10.0,10.0,80.0,10.0,5.0,4.0,10.0,5.0,10.0,0.02,1.0,4.0,4.0,1.0,0.1,0.1,2.0,2.0,2.0,2.0,0.5,1.0,1.0,1.0,0.01951219512195123,4.0,0.12000000000000002,80.0,70.0,0.15000000000000002,0.16000000000000003,0.07500000000000001,0.036,0.0,1.5,0.01,1.5,1.5,0.0,9.722222222222221,9.722222222222221,7.5,9.722222222222221,0.0,7.5
0.01,0.0,0.0,0.0,7.004288100809899,0.0,1.4980171768120523,0.4996991668806757,0.0,0.3999251229947573,0.39899700781578207,4.026680274068271,0.5019828231879477,0.5007229800505507,0.300390037020659,1.9463782813622437,0.05362171863775633,0.28444272861844677,1.4987718579575988,1.5093665509393077,0.4906334490606923,0.0,0.0,0.4813981131119225,1.5186018868880775,0.0,0.0,1.6,0.2,0.2,0.2,0.1,0.12,10.0,10.0,10.0,80.0,10.0,5.0,4.0,10.0,5.0,10.0,0.02,1.0,4.0,4.0,1.0,0.1,0.1,2.0,2.0,2.0,2.0,0.5,1.0,1.0,1.0,0.019412278187140274,4.0,0.11954087424093085,80.0,70.04288100809899,0.1497115870451849,0.15568111471362392,0.07504695111324297,0.036046804442479076,2.159175167002924,1.4222136430922339,0.010014459601011015,1.4987718579575988,1.3955711700230302,0.8093482851570827,9.441406554698622,9.441406554698622,7.623120624786217,9.20429544291798,0.0,7.490085884060261
0.02,0.0,0.0,0.0,7.009666803770063,0.0,1.4971276010470904,0.4993965190338797,0.0,0.3998706183688691,0.3979971366126687,4.041990220528034,0.5028723989529096,0.5014228175885049,0.30077993238086975,1.934185369614677,0.06581463038532309,0.2812263473490415,1.4971613505870478,1.5139019239877458,0.4860980760122542,0.0,0.0,0.46744336229238015,1.5325566377076199,0.0,0.0,1.6,0.2,0.2,0.2,0.1,0.12,10.0,10.0,10.0,80.0,10.0,5.0,4.0,10.0,5.0,10.0,0.02,1.0,4.0,4.0,1.0,0.1,0.1,2.0,2.0,2.0,2.0,0.5,1.0,1.0,1.0,0.01931303126323939,4.0,0.11917049967210717,80.0,70.09666803770062,0.149532062502492,0.1546847799575681,0.0750710862795969,0.03609359188570437,2.6602209238514316,1.4061317367452075,0.010028456351770099,1.4971613505870478,1.3670358637032298,0.9963689556688298,9.357756110492453,9.357756110492453,7.706804329352359,8.942534530874351,0.0,7.485638005235452
0.03,0.0,0.0,0.0,7.0150566718531815,0.0,1.4969697278992053,0.4990918912286445,0.0,0.39981989284222963,0.3969996644740463,4.054693872150191,0.5030302721007947,0.5021171133430655,0.3011695752943638,1.931645465916363,0.0683545340836369,0.2808672987697127,1.4954946273289575,1.5172908637450555,0.4827091362549445,0.0,0.0,0.4563421504285643,1.5436578495714357,0.0,0.0,1.6,0.2,0.2,0.2,0.1,0.12,10.0,10.0,10.0,80.0,10.0,5.0,4.0,10.0,5.0,10.0,0.02,1.0,4.0,4.0,1.0,0.1,0.1,2.0,2.0,2.0,2.0,0.5,1.0,1.0,1.0,0.019214476825655993,4.0,0.11885929594075778,80.0,70.15056671853182,0.14942509052184877,0.15446205663837181,0.07509134452944798,0.03614034903532365,2.7715671048260386,1.4043364938485636,0.01004234226686131,1.4954946273289575,1.3557721119138746,1.0371371006065226,9.319979470608454,9.319979470608454,7.765066281004469,8.76119558645464,0.0,7.484848639496027
0.04,0.0,0.0,0.0,7.02023022488127,0.0,1.497297883576543,0.4987851741156125,0.0,0.3997694814845446,0.3960041126790791,4.066841017876729,0.5027021164234571,0.5028099396603928,0.30155895425289725,1.931329272250403,0.06867072774959704,0.2811511310779575,1.493846323687882,1.5203927071219334,0.4796072928780666,0.0,0.0,0.44734087691353097,1.552659123086469,0.0,0.0,1.6,0.2,0.2,0.2,0.1,0.12,10.0,10.0,10.0,80.0,10.0,5.0,4.0,10.0,5.0,10.0,0.02,1.0,4.0,4.0,1.0,0.1,0.1,2.0,2.0,2.0,2.0,0.5,1.0,1.0,1.0,0.01911661182256649,4.0,0.1185872239603984,80.0,70.2023022488127,0.14936599711253282,0.1544173003486933,0.07511207798754035,0.03618707451034767,2.7927293233950694,1.4057556553897874,0.010056198793207856,1.493846323687882,1.3484213286590565,1.0440647366324312,9.292763967201005,9.292763967201005,7.805250272597569,8.61656002745478,0.0,7.486489417882715
0.05,0.0,0.0,0.0,7.025155988393648,0.0,1.497936625333228,0.4984762978954615,0.0,0.39971883958018345,0.3950101719459603,4.07890454147797,0.502063374666772,0.5035022166570008,0.3019480802801417,1.9315228418789643,0.06847715812103572,0.28156829679521084,1.4922325260544211,1.5234052425181253,0.47659475748187474,0.0,0.0,0.4399938063946618,1.5600061936053382,0.0,0.0,1.6,0.2,0.2,0.2,0.1,0.12,10.0,10.0,10.0,80.0,10.0,5.0,4.0,10.0,5.0,10.0,0.02,1.0,4.0,4.0,1.0,0.1,0.1,2.0,2.0,2.0,2.0,0.5,1.0,1.0,1.0,0.01901942757962507,4.0,0.118340040787406,80.0,70.25155988393648,0.1493371806956257,0.15441321379569556,0.07513423846360767,0.036233769633617005,2.793117912473976,1.4078414839760542,0.010070044333140016,1.4922325260544211,1.3419397412569805,1.0431846167432843,9.267984892401925,9.267984892401925,7.832219740625618,8.49556977045466,0.0,7.48968312666614
0.06,0.0,0.0,0.0,7.029845383872307,0.0,1.498759690591365,0.49816522158299775,0.0,0.3996679904190457,0.3940176537842361,4.090993730346579,0.5012403094086351,0.5041941419675591,0.3023369690660468,1.931829311425724,0.0681706885742761,0.2820019626820602,1.4906559487412683,1.5263741060291853,0.47362589397081467,0.0,0.0,0.4339815714457369,1.566018428554263,0.0,0.0,1.6,0.2,0.2,0.2,0.1,0.12,10.0,10.0,10.0,80.0,10.0,5.0,4.0,10.0,5.0,10.0,0.02,1.0,4.0,4.0,1.0,0.1,0.1,2.0,2.0,2.0,2.0,0.5,1.0,1.0,1.0,0.018922914397128253,4.0,0.11810755537463945,80.0,70.29845383872308,0.1493259906726225,0.1544180677460256,0.07515799970444416,0.03628043628792561,2.788858595507727,1.410009813410301,0.010083882839351181,1.4906559487412683,1.3356343167681508,1.040539738299547,9.243767721189506,9.243767721189506,7.849515616681633,8.392628444332148,0.0,7.493798452956825
0.07,0.0,0.0,0.0,7.0343180338690825,0.0,1.4996769911990038,0.4978519252426026,0.0,0.39961701715492043,0.39302645573415385,4.103132830076628,0.5003230088009962,0.5048857455211452,0.3027256369262773,1.9321597161943787,0.06784028380562135,0.28242699458532616,1.4891162503598927,1.5293094608792026,0.4706905391207974,0.0,0.0,0.4290586531611973,1.5709413468388027,0.0,0.0,1.6,0.2,0.2,0.2,0.1,0.12,10.0,10.0,10.0,80.0,10.0,5.0,4.0,10.0,5.0,10.0,0.02,1.0,4.0,4.0,1.0,0.1,0.1,2.0,2.0,2.0,2.0,0.5,1.0,1.0,1.0,0.018827062577519673,4.0,0.11788254651940087,80.0,70.34318033869083,0.14932341546209152,0.15442478049049904,0.07518335682306068,0.03632707643115327,2.7835769568456077,1.4121349729266308,0.010097714910422904,1.4891162503598927,1.329357143436337,1.0374878785266688,9.219694848424501,9.219694848424501,7.859781013002792,8.304326443435421,0.0,7.498384955995019
0.08,0.0,0.0,0.0,7.038593944074004,0.0,1.5006257822432127,0.4975364044871031,0.0,0.39956596572733744,0.3920365372081501,4.115325515032862,0.49937421775678725,0.5055770172026429,0.303114099896978,1.9324995840328119,0.06750041596718814,0.2828403376306492,1.4876124073219856,1.5322129392635457,0.46778706073645426,0.0,0.0,0.4250326048050759,1.5749673951949241,0.0,0.0,1.6,0.2,0.2,0.2,0.1,0.12,10.0,10.0,10.0,80.0,10.0,5.0,4.0,10.0,5.0,10.0,0.02,1.0,4.0,4.0,1.0,0.1,0.1,2.0,2.0,2.0,2.0,0.5,1.0,1.0,1.0,0.018731862648731477,4.0,0.11766002706318014,80.0,70.38593944074005,0.14932319123558693,0.15443221251234968,0.07521026436474926,0.03637369198763736,2.7778618410510094,1.414201688153246,0.010111540344052858,1.4876124073219856,1.3230905019794772,1.0342501075059731,9.195699739802354,9.195699739802354,7.8649811096791,8.228174289278476,0.0,7.503128911216064
0.09,0.0,0.0,0.0,7.042691174291922,0.0,1.5015625503635435,0.49721866541023413,0.0,0.39951483187573616,0.3910478975101311,4.127575026683964,0.49843744963645653,0.5062679471501701,0.3035023734800279,1.9328359024513668,0.06716409754863317,0.283239230916275,1.4861434601084185,1.535086108628087,0.4649138913719131,0.0,0.0,0.4217490577320848,1.5782509422679152,0.0,0.0,1.6,0.2,0.2,0.2,0.1,0.12,10.0,10.0,10.0,80.0,10.0,5.0,4.0,10.0,5.0,10.0,0.02,1.0,4.0,4.0,1.0,0.1,0.1,2.0,2.0,2.0,2.0,0.5,1.0,1.0,1.0,0.018637305421240417,4.0,0.11743657565992281,80.0,70.42691174291922,0.14932098546434971,0.15443932212224892,0.07523867987197398,0.03642028481760334,2.772248517315039,1.416196154581375,0.010125358943003402,1.4861434601084185,1.3168185303447328,1.0310267314544852,9.171723253126057,9.171723253126057,7.86659374550354,8.162127385452333,0.0,7.507812751817717
